time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,-4.48806e-06,-1.80382e-07,0.733792,-0.00224384,-9.01926e-05,-0.000976898,0.0837003,0.000736402,-0.0391991,1,89.0966,0.299952,-0.0241877,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,99.901,0.299968,-0.0161891,0.000854,-0.0391991,nan
0.008,-1.3679e-05,-5.44884e-07,0.733688,-0.00459548,-0.000182251,-0.000979903,0.0837567,0.000658515,-0.0389415,1,87.5203,0.299844,-0.0538877,nan,nan,nan,-0.000980032,-0.0837469,0.000657973,-0.0392106,1,98.3881,0.299897,-0.0351202,nan,nan,nan
0.01,-2.71009e-05,-1.03511e-06,0.733573,-0.00671092,-0.000245112,-0.000984285,0.0838657,0.000578043,-0.0402292,1,90.2752,0.29965,-0.0966845,nan,nan,nan,-0.000987118,-0.0838386,0.000576511,-0.0407161,1,100.899,0.299767,-0.0651048,nan,nan,nan
0.012,-4.40712e-05,-1.45448e-06,0.73345,-0.00848516,-0.000209687,-0.000986224,0.0840138,0.000493002,-0.0425053,1,99.742,0.299396,-0.127335,nan,nan,nan,-0.00099844,-0.0839697,0.000489666,-0.0433936,1,113.905,0.2996,-0.0835596,nan,nan,nan
0.014,-6.42073e-05,-1.92377e-06,0.733317,-0.0100681,-0.000234643,-0.000991918,0.0841842,0.000405802,-0.0435778,1,101.479,0.299066,-0.164958,nan,nan,nan,-0.00101932,-0.0841265,0.000400985,-0.0443031,1,115.437,0.299372,-0.114204,nan,nan,nan
0.016,-8.71456e-05,-2.31283e-06,0.733177,-0.0114692,-0.000194532,-0.00100012,0.0843704,0.000314679,-0.0455314,1,103.626,0.298651,-0.207567,nan,nan,nan,-0.00104698,-0.0843037,0.000308144,-0.0463749,1,117.684,0.299064,-0.153932,nan,nan,nan
0.018,-0.000112719,-2.61141e-06,0.73303,-0.0127868,-0.000149291,-0.00100992,0.0845669,0.000218424,-0.0480891,1,105.528,0.298147,-0.25206,nan,nan,nan,-0.00107971,-0.0844953,0.000210122,-0.048958,1,119.755,0.298667,-0.198565,nan,nan,nan
0.02,-0.000140188,3.46784e-06,0.732887,-0.0137343,0.00303963,-0.00102069,0.084769,0.000116285,-0.0510221,1,106.694,0.297543,-0.301739,nan,nan,nan,-0.00111631,-0.0846958,0.000106472,-0.0517635,1,204.348,0.298355,-0.155634,nan,nan,nan
0.022,-0.000172561,2.53873e-05,0.732774,-0.0161867,0.0109597,-0.00103189,0.084974,8.68059e-06,-0.0537451,1,177.774,0.297024,-0.259591,nan,nan,nan,-0.00116421,-0.0848675,1.93632e-05,-0.0435082,1,315.37,0.298339,-0.00801439,nan,nan,nan
0.024,-0.00021085,3.93927e-05,0.732704,-0.0191446,0.0070027,-0.00105506,0.0851469,-8.03604e-05,-0.0444672,1,321.779,0.296868,-0.0779333,nan,nan,nan,-0.00120071,-0.0849813,-3.94288e-05,-0.0293803,1,277.057,0.2985,0.0802464,nan,nan,nan
0.026,-0.000251814,4.87712e-05,0.732664,-0.020482,0.00468925,-0.00107225,0.0852558,-0.000135125,-0.027366,1,262.714,0.296912,0.0221606,nan,nan,nan,-0.00122618,-0.0850553,-7.58331e-05,-0.0181959,1,243.877,0.298765,0.132567,nan,nan,nan
0.028,-0.000294113,5.51733e-05,0.732647,-0.0211492,0.00320106,-0.00108527,0.0853246,-0.000168806,-0.0168364,1,224.124,0.29707,0.0788539,nan,nan,nan,-0.00124411,-0.0851039,-9.6192e-05,-0.0101748,1,216.415,0.299077,0.156207,nan,nan,nan
0.03,-0.000334621,5.99058e-05,0.732644,-0.0202542,0.00236624,-0.00109481,0.0853689,-0.000188185,-0.0096867,1,201.022,0.297277,0.103301,nan,nan,nan,-0.00125676,-0.0851369,-0.000105561,-0.00467952,1,195.615,0.299382,0.152266,nan,nan,nan
0.032,-0.000372082,6.36408e-05,0.732651,-0.0187307,0.0018675,-0.00110159,0.0853976,-0.000196494,-0.00415145,1,182.188,0.297493,0.108346,nan,nan,nan,-0.00126601,-0.0851602,-0.000107287,-0.000857967,1,181.624,0.299643,0.130579,nan,nan,nan
0.034,-0.000405887,6.66982e-05,0.732666,-0.016902,0.00152873,-0.00110626,0.0854168,-0.000196826,-0.000162755,1,168.903,0.29769,0.0984554,nan,nan,nan,-0.00127289,-0.0851777,-0.000103829,0.00173339,1,170.923,0.29985,0.103475,nan,nan,nan
0.036,-0.000436169,6.93971e-05,0.732686,-0.0151411,0.00134941,-0.00110944,0.0854299,-0.000192125,0.00235431,1,159.604,0.297851,0.08018,nan,nan,nan,-0.00127808,-0.0851916,-9.6862e-05,0.00348666,1,162.752,0.30001,0.0800727,nan,nan,nan
0.038,-0.000463548,7.20643e-05,0.732708,-0.0136899,0.00133363,-0.00111157,0.0854395,-0.000184057,0.00403677,1,149.167,0.297976,0.0625964,nan,nan,nan,-0.00128217,-0.0852036,-8.73453e-05,0.00476088,1,159.151,0.300129,0.0595948,nan,nan,nan
0.04,-0.000488508,7.49552e-05,0.732732,-0.01248,0.00144546,-0.00111299,0.0854469,-0.000174095,0.0049832,1,142.787,0.298065,0.044729,nan,nan,nan,-0.00128552,-0.0852146,-7.61587e-05,0.00559537,1,156.993,0.300213,0.0416357,nan,nan,nan
0.042,-0.000511514,7.8196e-05,0.732757,-0.0115029,0.00162038,-0.00111387,0.085453,-0.000162861,0.00561873,1,139.272,0.298118,0.0264752,nan,nan,nan,-0.00128844,-0.0852252,-6.38836e-05,0.00613924,1,155.179,0.300264,0.0258836,nan,nan,nan
0.044,-0.000533278,8.13834e-05,0.732783,-0.0108818,0.00159369,-0.00111439,0.0854584,-0.000151164,0.00584997,1,139.111,0.298144,0.012745,nan,nan,nan,-0.00129118,-0.0852361,-5.08276e-05,0.0065295,1,155.493,0.300295,0.0154068,nan,nan,nan
0.046,-0.000554329,8.45475e-05,0.73281,-0.0105256,0.00158206,-0.00111463,0.0854638,-0.00013937,0.00589862,1,137.427,0.298144,0.000250194,nan,nan,nan,-0.00129431,-0.0852484,-3.70579e-05,0.00688619,1,153.401,0.30031,0.00721357,nan,nan,nan
0.048,-0.000575058,8.77852e-05,0.732836,-0.0103643,0.00161885,-0.00111468,0.0854694,-0.000127832,0.00577006,1,136.203,0.29812,-0.0120342,nan,nan,nan,-0.00129777,-0.0852621,-2.27903e-05,0.00713499,1,151.93,0.300312,0.000976831,nan,nan,nan
0.05,-0.000595797,9.10629e-05,0.732863,-0.0103696,0.00163886,-0.00111459,0.0854751,-0.000116785,0.00552466,1,135.357,0.298073,-0.0237594,nan,nan,nan,-0.00130153,-0.0852771,-8.12402e-06,0.0073343,1,150.556,0.300304,-0.0039047,nan,nan,nan
0.052,-0.000616884,9.42823e-05,0.732889,-0.0105434,0.00160969,-0.00111441,0.0854809,-0.000106375,0.00520643,1,134.94,0.298005,-0.0337486,nan,nan,nan,-0.00130556,-0.0852935,6.7859e-06,0.00745612,1,148.726,0.300288,-0.0080446,nan,nan,nan
0.054,-0.000638573,9.74232e-05,0.732914,-0.0108446,0.00157048,-0.00111418,0.0854868,-9.66922e-05,0.00484247,1,134.424,0.297921,-0.0422947,nan,nan,nan,-0.00130998,-0.0853119,2.16791e-05,0.00744776,1,148.105,0.300265,-0.0114529,nan,nan,nan
0.056,-0.000661107,0.000100187,0.732939,-0.0112672,0.00138166,-0.00111391,0.0854928,-8.77638e-05,0.00446544,1,134.304,0.297821,-0.0498336,nan,nan,nan,-0.00131469,-0.0853319,3.64788e-05,0.00740095,1,145.479,0.300237,-0.014121,nan,nan,nan
0.058,-0.000684631,0.000102633,0.732964,-0.0117618,0.00122302,-0.00111363,0.0854989,-7.96025e-05,0.00408204,1,134.182,0.297708,-0.0562487,nan,nan,nan,-0.00132025,-0.0853557,5.07027e-05,0.00711303,1,145.584,0.300204,-0.0162925,nan,nan,nan
0.06,-0.000709258,0.000104977,0.732987,-0.0123136,0.00117241,-0.00111334,0.085505,-7.21882e-05,0.00370861,1,135.169,0.297586,-0.06115,nan,nan,nan,-0.00132645,-0.0853824,6.44083e-05,0.00685387,1,144.995,0.300166,-0.0189903,nan,nan,nan
0.062,-0.000734821,0.00010634,0.733009,-0.0127814,0.000681188,-0.00111308,0.0855111,-6.55452e-05,0.00332304,1,137.081,0.297465,-0.0607262,nan,nan,nan,-0.00133256,-0.0854107,7.80129e-05,0.00680338,1,135.921,0.300101,-0.0322478,nan,nan,nan
0.064,-0.000761441,0.000106873,0.73303,-0.0133099,0.000266712,-0.00111287,0.085517,-5.97209e-05,0.00291368,1,137.551,0.297345,-0.0596805,nan,nan,nan,-0.00134145,-0.0854526,9.01909e-05,0.00609027,1,136.965,0.300014,-0.0436587,nan,nan,nan
0.066,-0.000789267,0.000106929,0.733049,-0.0139132,2.78562e-05,-0.00111271,0.0855227,-5.46238e-05,0.00255014,1,138.546,0.297226,-0.0598604,nan,nan,nan,-0.00135276,-0.0855057,0.000101142,0.00547721,1,135.123,0.299903,-0.0554549,nan,nan,nan
0.068,-0.000818322,0.00010656,0.733067,-0.0145273,-0.000184514,-0.0011126,0.0855283,-5.02049e-05,0.00221108,1,139.328,0.297106,-0.0596282,nan,nan,nan,-0.00136603,-0.0855679,0.000110506,0.00468359,1,135.987,0.29977,-0.0665516,nan,nan,nan
0.07,-0.000848625,0.000105755,0.733084,-0.0151516,-0.000402688,-0.00111255,0.0855339,-4.63847e-05,0.00191174,1,140.061,0.296989,-0.0585299,nan,nan,nan,-0.0013808,-0.0856366,0.000118499,0.00399858,1,136.72,0.299615,-0.0773185,nan,nan,nan
0.072,-0.000880197,0.000104505,0.7331,-0.0157858,-0.00062472,-0.00111253,0.0855393,-4.30886e-05,0.00164971,1,140.71,0.296876,-0.0567731,nan,nan,nan,-0.00139669,-0.0857099,0.000125331,0.00341874,1,137.251,0.29944,-0.0876647,nan,nan,nan
0.074,-0.000913056,0.000102822,0.733115,-0.0164297,-0.000841488,-0.00111254,0.0855446,-4.02514e-05,0.00142037,1,141.302,0.296766,-0.054699,nan,nan,nan,-0.00141339,-0.085786,0.000131154,0.00291402,1,137.598,0.299245,-0.0973445,nan,nan,nan
0.076,-0.000947221,0.000100735,0.73313,-0.0170825,-0.0010438,-0.00111257,0.0855498,-3.78152e-05,0.00121985,1,141.849,0.296661,-0.0525899,nan,nan,nan,-0.00143062,-0.0858639,0.000136068,0.00246043,1,137.809,0.299033,-0.106118,nan,nan,nan
0.078,-0.000982709,9.82863e-05,0.733144,-0.0177438,-0.00122412,-0.00111261,0.085555,-3.57286e-05,0.00104514,1,142.344,0.29656,-0.0506382,nan,nan,nan,-0.00144815,-0.0859426,0.00014015,0.00204428,1,137.924,0.298806,-0.113813,nan,nan,nan
0.08,-0.00101953,9.55308e-05,0.733158,-0.0184126,-0.00137771,-0.00111265,0.08556,-3.3947e-05,0.000892667,1,142.793,0.296462,-0.0489484,nan,nan,nan,-0.00146581,-0.0860215,0.000143461,0.00165949,1,137.975,0.298565,-0.120336,nan,nan,nan
0.082,-0.00105764,9.23541e-05,0.733171,-0.0190509,-0.00158838,-0.0011127,0.085565,-3.2432e-05,0.000759435,1,142.936,0.296368,-0.0469463,nan,nan,nan,-0.00148346,-0.0861002,0.000146061,0.00130389,1,138.217,0.298313,-0.125967,nan,nan,nan
0.084,-0.00109703,8.8794e-05,0.733184,-0.0196972,-0.00178003,-0.00111277,0.0855701,-3.11525e-05,0.000641776,1,143.103,0.296278,-0.0449802,nan,nan,nan,-0.00150248,-0.0861795,0.000147845,0.00089624,1,138.475,0.298049,-0.131966,nan,nan,nan
0.086,-0.00113772,8.50593e-05,0.733197,-0.0203452,-0.00186738,-0.00111288,0.0855755,-3.00818e-05,0.000537404,1,143.845,0.29619,-0.044295,nan,nan,nan,-0.00152244,-0.0862595,0.000148902,0.000533021,1,137.898,0.297779,-0.134993,nan,nan,nan
0.088,-0.00117962,8.18954e-05,0.733209,-0.0209475,-0.00158194,-0.001113,0.0855809,-2.92056e-05,0.000440232,1,144.961,0.296095,-0.0474827,nan,nan,nan,-0.00154263,-0.0863389,0.000149363,0.000235151,1,136.309,0.297507,-0.13605,nan,nan,nan
0.09,-0.00122271,7.9247e-05,0.733221,-0.0215468,-0.0013242,-0.00111316,0.0855862,-2.85338e-05,0.000338075,1,145.368,0.295994,-0.0505005,nan,nan,nan,-0.00156273,-0.0864176,0.000149129,-0.000112542,1,136.323,0.297234,-0.136568,nan,nan,nan
0.092,-0.00126706,7.70539e-05,0.733233,-0.022177,-0.00109652,-0.00111333,0.0855915,-2.80255e-05,0.000256427,1,145.73,0.295888,-0.052611,nan,nan,nan,-0.00158263,-0.0864956,0.000148286,-0.000417326,1,136.328,0.296957,-0.138292,nan,nan,nan
