time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,1.69609e-07,3.49574e-10,0.73362,5.30502e-05,1.07215e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.7238,0.300225,0.0733657,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.7239,0.300225,0.0733663,nan,nan,nan
0.01,4.44805e-07,6.65807e-10,0.733438,0.000137598,1.58116e-07,-0.000971439,0.0837014,0.000548772,-0.0500983,1,22.7226,0.300418,0.0964128,nan,nan,nan,-0.000971439,-0.0837014,0.000548772,-0.0500985,1,22.7227,0.300418,0.0964139,nan,nan,nan
0.012,9.84235e-07,1.12961e-09,0.733225,0.000269715,2.31901e-07,-0.000967767,0.0837023,0.000433741,-0.0574896,1,32.2534,0.300646,0.114051,nan,nan,nan,-0.000967767,-0.0837023,0.00043374,-0.05749,1,32.2536,0.300646,0.114053,nan,nan,nan
0.014,1.86711e-06,1.73293e-09,0.732981,0.000441436,3.0166e-07,-0.000962636,0.0837051,0.000305667,-0.063995,1,36.6479,0.300894,0.124142,nan,nan,nan,-0.000962635,-0.0837051,0.000305665,-0.0639955,1,36.6482,0.300894,0.124145,nan,nan,nan
0.016,3.0501e-06,2.49158e-09,0.73271,0.0005915,3.79326e-07,-0.000957076,0.0837095,0.000163314,-0.0711166,1,41.5632,0.30115,0.127839,nan,nan,nan,-0.000957075,-0.0837095,0.00016331,-0.0711174,1,41.5636,0.30115,0.127842,nan,nan,nan
0.018,5.41875e-06,3.84795e-09,0.732427,0.00118432,6.78186e-07,-0.000951172,0.0837152,6.32847e-06,-0.0784146,1,106.122,0.301567,0.208545,nan,nan,nan,-0.000951172,-0.0837152,6.32249e-06,-0.0784157,1,106.124,0.301567,0.208551,nan,nan,nan
0.02,7.66762e-06,7.96776e-09,0.732213,0.00112443,2.0599e-06,-0.000947836,0.083725,-0.000130354,-0.0682122,1,400.839,0.302696,0.564737,nan,nan,nan,-0.000947835,-0.083725,-0.000130363,-0.0682135,1,400.908,0.302696,0.564838,nan,nan,nan
0.022,1.10683e-05,1.34184e-08,0.732046,0.00170033,2.72531e-06,-0.00095318,0.0837307,-0.000212954,-0.0412065,1,319.101,0.304308,0.805833,nan,nan,nan,-0.000953181,-0.0837307,-0.000212965,-0.0412075,1,319.158,0.304308,0.806013,nan,nan,nan
0.024,2.19895e-05,1.92702e-08,0.731911,0.00546062,2.92589e-06,-0.000961317,0.0837342,-0.00025978,-0.0233037,1,262.838,0.306202,0.947042,nan,nan,nan,-0.00096132,-0.0837342,-0.000259792,-0.0233043,1,262.891,0.306203,0.947283,nan,nan,nan
0.026,4.51417e-05,2.49802e-08,0.731796,0.0115761,2.85504e-06,-0.000969363,0.0837364,-0.000282284,-0.0111178,1,223.971,0.308226,1.01206,nan,nan,nan,-0.000969369,-0.0837364,-0.000282297,-0.0111181,1,224.02,0.308228,1.01235,nan,nan,nan
0.028,8.36125e-05,3.13291e-08,0.731694,0.0192354,3.17443e-06,-0.000976352,0.0837381,-0.000288651,-0.0030324,1,195.878,0.310281,1.02755,nan,nan,nan,-0.00097636,-0.0837381,-0.000288664,-0.00303247,1,195.642,0.310284,1.02809,nan,nan,nan
0.03,0.000138112,3.77474e-08,0.731599,0.02725,3.20914e-06,-0.00098215,0.0837394,-0.000284582,0.00219259,1,175.025,0.312315,1.01708,nan,nan,nan,-0.000982162,-0.0837394,-0.000284584,0.00219849,1,175.002,0.312319,1.0177,nan,nan,nan
0.032,0.000207137,4.45894e-08,0.731507,0.0345122,3.421e-06,-0.000986882,0.0837403,-0.000274052,0.00542367,1,159.643,0.314313,0.998873,nan,nan,nan,-0.000986902,-0.0837404,-0.000274036,0.00543243,1,159.393,0.314319,0.999669,nan,nan,nan
0.034,0.000290155,5.17299e-08,0.731415,0.0415089,3.57025e-06,-0.000990734,0.0837408,-0.000259814,0.00727548,1,149.694,0.316254,0.970707,nan,nan,nan,-0.000990762,-0.0837409,-0.000259777,0.0072867,1,149.433,0.316262,0.971645,nan,nan,nan
0.036,0.000386565,5.90483e-08,0.731321,0.048205,3.6592e-06,-0.000993912,0.083741,-0.000243753,0.00818336,1,143.193,0.318127,0.936115,nan,nan,nan,-0.000993949,-0.0837411,-0.000243691,0.00819587,1,142.931,0.318136,0.93716,nan,nan,nan
0.038,0.000495788,6.64798e-08,0.731226,0.0546119,3.71578e-06,-0.000996586,0.083741,-0.000227132,0.00845756,1,139.449,0.319925,0.89921,nan,nan,nan,-0.000996631,-0.0837411,-0.000227045,0.00847055,1,139.177,0.319937,0.900313,nan,nan,nan
0.04,0.000617814,7.40402e-08,0.731128,0.0610129,3.78017e-06,-0.000998831,0.0837409,-0.000210208,0.00860401,1,136.515,0.321646,0.860332,nan,nan,nan,-0.000998885,-0.0837409,-0.000210103,0.00861309,1,136.237,0.32166,0.861485,nan,nan,nan
0.042,0.00075128,8.1467e-08,0.731026,0.0667331,3.71342e-06,-0.0010008,0.0837406,-0.000193711,0.00838494,1,135.141,0.323292,0.823139,nan,nan,nan,-0.00100086,-0.0837407,-0.000193594,0.00839131,1,134.875,0.323308,0.824322,nan,nan,nan
0.044,0.000895289,8.86336e-08,0.730921,0.0720042,3.58331e-06,-0.00100254,0.0837403,-0.00017809,0.00794287,1,134.383,0.324869,0.788633,nan,nan,nan,-0.0010026,-0.0837404,-0.000177965,0.0079473,1,134.122,0.324888,0.789838,nan,nan,nan
0.046,0.00104896,9.54729e-08,0.730814,0.0768366,3.41965e-06,-0.00100406,0.08374,-0.000163345,0.00750144,1,133.919,0.326383,0.756895,nan,nan,nan,-0.00100414,-0.0837401,-0.000163213,0.00750497,1,133.662,0.326404,0.758113,nan,nan,nan
0.048,0.00121142,1.01928e-07,0.730703,0.0812288,3.22776e-06,-0.00100544,0.0837398,-0.000149671,0.00696332,1,133.813,0.32784,0.728231,nan,nan,nan,-0.00100552,-0.0837399,-0.000149534,0.00696617,1,133.56,0.327863,0.729454,nan,nan,nan
0.05,0.00138187,1.0609e-07,0.730589,0.0852268,2.08073e-06,-0.0010067,0.0837395,-0.000137146,0.00638706,1,134.965,0.32924,0.700051,nan,nan,nan,-0.00100679,-0.0837396,-0.000137005,0.00638939,1,134.015,0.329267,0.701696,nan,nan,nan
0.052,0.00155948,1.09469e-07,0.730473,0.0888033,1.68943e-06,-0.00100786,0.0837393,-0.000125795,0.005798,1,135.314,0.33059,0.67542,nan,nan,nan,-0.00100796,-0.0837394,-0.000125639,0.00580609,1,134.337,0.330621,0.677406,nan,nan,nan
0.054,0.0017434,1.12415e-07,0.730355,0.0919608,1.47334e-06,-0.00100888,0.0837393,-0.000115356,0.00534142,1,135.497,0.331899,0.654185,nan,nan,nan,-0.001009,-0.0837394,-0.000115184,0.00534941,1,134.517,0.331934,0.656436,nan,nan,nan
0.056,0.00193284,1.14986e-07,0.730234,0.0947193,1.28548e-06,-0.00100981,0.0837394,-0.000105841,0.00487831,1,135.8,0.333171,0.63615,nan,nan,nan,-0.00100994,-0.0837395,-0.000105654,0.00488613,1,134.818,0.333212,0.638599,nan,nan,nan
0.058,0.00212705,1.17235e-07,0.730112,0.0971047,1.12429e-06,-0.00101064,0.0837397,-9.71747e-05,0.00445353,1,136.129,0.334413,0.621004,nan,nan,nan,-0.0010108,-0.0837398,-9.6976e-05,0.00446005,1,135.148,0.334459,0.623601,nan,nan,nan
0.06,0.00232545,1.19148e-07,0.729987,0.0992014,9.56369e-07,-0.00101139,0.08374,-8.92927e-05,0.00406108,1,136.512,0.33563,0.608244,nan,nan,nan,-0.00101156,-0.0837401,-8.90846e-05,0.00406635,1,135.534,0.335681,0.610947,nan,nan,nan
0.062,0.00252756,1.20685e-07,0.729861,0.101053,7.68449e-07,-0.00101208,0.0837405,-8.21644e-05,0.00368411,1,136.939,0.336825,0.597509,nan,nan,nan,-0.00101227,-0.0837406,-8.19486e-05,0.00368847,1,135.965,0.336881,0.600286,nan,nan,nan
0.064,0.00273291,1.21776e-07,0.729734,0.102678,5.4586e-07,-0.00101272,0.0837411,-7.57446e-05,0.0033297,1,137.375,0.338002,0.588535,nan,nan,nan,-0.00101292,-0.0837412,-7.55224e-05,0.0033334,1,136.406,0.338064,0.591359,nan,nan,nan
0.066,0.0029411,1.22339e-07,0.729605,0.104092,2.81153e-07,-0.00101332,0.0837418,-6.9981e-05,0.00300136,1,137.813,0.339164,0.581069,nan,nan,nan,-0.00101353,-0.0837418,-6.97536e-05,0.00300453,1,136.852,0.339232,0.583916,nan,nan,nan
0.068,0.00315135,1.16743e-07,0.729476,0.105127,-2.79808e-06,-0.00101389,0.0837425,-6.48193e-05,0.0027002,1,139.425,0.34031,0.573088,nan,nan,nan,-0.00101411,-0.0837425,-6.45875e-05,0.00270294,1,138.111,0.340384,0.576006,nan,nan,nan
0.07,0.00336332,1.0632e-07,0.729346,0.105985,-5.21143e-06,-0.00101439,0.0837433,-6.0211e-05,0.0024225,1,139.854,0.341442,0.566155,nan,nan,nan,-0.00101464,-0.0837433,-5.99739e-05,0.0024257,1,138.551,0.341522,0.569126,nan,nan,nan
0.072,0.00357675,9.22189e-08,0.729216,0.106716,-7.05038e-06,-0.00101485,0.0837441,-5.61042e-05,0.00217061,1,140.213,0.342562,0.559934,nan,nan,nan,-0.00101513,-0.0837441,-5.58616e-05,0.00217397,1,138.925,0.342648,0.56295,nan,nan,nan
0.074,0.0037913,7.49946e-08,0.729085,0.10727,-8.61213e-06,-0.00101527,0.083745,-5.24497e-05,0.00194321,1,140.561,0.343671,0.554445,nan,nan,nan,-0.00101558,-0.0837449,-5.22019e-05,0.00194643,1,139.284,0.343763,0.557481,nan,nan,nan
0.076,0.00400657,5.53544e-08,0.728955,0.107637,-9.82009e-06,-0.00101565,0.0837459,-4.92022e-05,0.00173835,1,140.916,0.34477,0.549635,nan,nan,nan,-0.001016,-0.0837458,-4.89498e-05,0.00174126,1,139.646,0.344868,0.55268,nan,nan,nan
0.078,0.00422224,3.38737e-08,0.728824,0.107835,-1.07404e-05,-0.00101601,0.0837469,-4.63206e-05,0.0015539,1,141.29,0.345861,0.545334,nan,nan,nan,-0.00101639,-0.0837467,-4.60642e-05,0.00155653,1,140.025,0.345965,0.548379,nan,nan,nan
0.08,0.00443801,1.10048e-08,0.728694,0.107885,-1.14345e-05,-0.00101633,0.0837478,-4.37678e-05,0.0013878,1,141.683,0.346944,0.541355,nan,nan,nan,-0.00101676,-0.0837477,-4.35079e-05,0.00139018,1,140.424,0.347054,0.544391,nan,nan,nan
0.082,0.00465363,-1.2908e-08,0.728564,0.107808,-1.19564e-05,-0.00101664,0.0837487,-4.15104e-05,0.00123821,1,142.092,0.348019,0.537525,nan,nan,nan,-0.0010171,-0.0837486,-4.12477e-05,0.00124029,1,140.839,0.348135,0.540546,nan,nan,nan
0.084,0.00486887,-3.76033e-08,0.728435,0.107622,-1.23477e-05,-0.00101692,0.0837497,-3.95187e-05,0.00110336,1,142.513,0.349086,0.533692,nan,nan,nan,-0.00101742,-0.0837495,-3.92538e-05,0.00110512,1,141.267,0.349208,0.536692,nan,nan,nan
0.086,0.00508356,-6.2891e-08,0.728307,0.107343,-1.26438e-05,-0.00101717,0.0837506,-3.7766e-05,0.000981686,1,142.943,0.350146,0.529722,nan,nan,nan,-0.00101772,-0.0837504,-3.74995e-05,0.000983107,1,141.704,0.350274,0.532695,nan,nan,nan
0.088,0.00529725,-1.2204e-07,0.72818,0.106848,-2.95746e-05,-0.00101741,0.0837515,-3.62285e-05,0.00087179,1,144.15,0.351191,0.522633,nan,nan,nan,-0.00101799,-0.0837513,-3.5961e-05,0.000872946,1,144.572,0.351323,0.524649,nan,nan,nan
0.09,0.00550983,-2.19569e-07,0.728055,0.106289,-4.87642e-05,-0.00101759,0.0837524,-3.48887e-05,0.000769569,1,144.561,0.352221,0.515204,nan,nan,nan,-0.00101822,-0.0837522,-3.46344e-05,0.000763647,1,145.033,0.352356,0.516325,nan,nan,nan
0.092,0.00572117,-3.45289e-07,0.727932,0.105668,-6.28604e-05,-0.00101772,0.0837533,-3.37286e-05,0.00067636,1,144.944,0.353236,0.507557,nan,nan,nan,-0.00101841,-0.0837531,-3.34963e-05,0.000666097,1,145.379,0.353372,0.507971,nan,nan,nan
0.094,0.00593116,-4.87323e-07,0.72781,0.104998,-7.10169e-05,-0.00101783,0.0837542,-3.2731e-05,0.000591559,1,145.332,0.354236,0.499638,nan,nan,nan,-0.00101858,-0.083754,-3.2525e-05,0.000579177,1,145.715,0.354371,0.499524,nan,nan,nan
