time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,1.80765e-07,3.51202e-10,0.73362,5.86281e-05,1.08028e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.9243,0.300224,0.0729782,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.9243,0.300224,0.0729789,nan,nan,nan
0.01,4.6659e-07,6.68634e-10,0.733438,0.000142912,1.58716e-07,-0.000971459,0.0837014,0.00054878,-0.0500944,1,22.725,0.300416,0.0960258,nan,nan,nan,-0.000971459,-0.0837014,0.00054878,-0.0500946,1,22.7251,0.300416,0.0960269,nan,nan,nan
0.012,1.01318e-06,1.13318e-09,0.733225,0.000273293,2.32275e-07,-0.0009678,0.0837023,0.000433761,-0.0574835,1,32.2434,0.300643,0.113721,nan,nan,nan,-0.0009678,-0.0837023,0.00043376,-0.0574839,1,32.2436,0.300643,0.113723,nan,nan,nan
0.014,1.89971e-06,1.7369e-09,0.732982,0.000443268,3.0186e-07,-0.000962678,0.0837052,0.000305703,-0.0639871,1,36.6381,0.300891,0.123872,nan,nan,nan,-0.000962678,-0.0837052,0.000305701,-0.0639876,1,36.6384,0.300891,0.123874,nan,nan,nan
0.016,3.08284e-06,2.49567e-09,0.73271,0.000591564,3.79385e-07,-0.000957125,0.0837096,0.000163369,-0.0711074,1,41.554,0.301146,0.127622,nan,nan,nan,-0.000957124,-0.0837096,0.000163365,-0.0711082,1,41.5544,0.301146,0.127625,nan,nan,nan
0.018,5.50369e-06,3.7921e-09,0.732425,0.00121042,6.48213e-07,-0.000951227,0.0837152,6.40285e-06,-0.0784046,1,99.0604,0.301568,0.211031,nan,nan,nan,-0.000951226,-0.0837152,6.39685e-06,-0.0784056,1,99.0626,0.301568,0.211037,nan,nan,nan
0.02,8.00418e-06,7.85155e-09,0.732209,0.00125025,2.02972e-06,-0.000947546,0.0837251,-0.000130191,-0.0681639,1,399.144,0.302734,0.582795,nan,nan,nan,-0.000947545,-0.0837251,-0.000130199,-0.0681651,1,399.211,0.302734,0.582895,nan,nan,nan
0.022,1.16353e-05,1.32748e-08,0.73204,0.00181554,2.71164e-06,-0.000953188,0.0837307,-0.000212387,-0.0409996,1,320.813,0.304382,0.823907,nan,nan,nan,-0.000953189,-0.0837307,-0.000212397,-0.0410005,1,320.871,0.304382,0.824087,nan,nan,nan
0.024,2.29792e-05,1.91228e-08,0.731903,0.00567195,2.92399e-06,-0.000961527,0.0837341,-0.000258963,-0.0231742,1,264.386,0.306308,0.962898,nan,nan,nan,-0.00096153,-0.0837341,-0.000258975,-0.0231748,1,264.438,0.306309,0.963138,nan,nan,nan
0.026,4.67832e-05,2.48432e-08,0.731787,0.011902,2.86018e-06,-0.000969691,0.0837364,-0.000281339,-0.0110491,1,225.135,0.308359,1.02553,nan,nan,nan,-0.000969697,-0.0837364,-0.000281351,-0.0110494,1,225.184,0.30836,1.02581,nan,nan,nan
0.028,8.59688e-05,3.04857e-08,0.731683,0.0195928,2.82125e-06,-0.000976746,0.083738,-0.000287654,-0.00300218,1,196.428,0.310439,1.03996,nan,nan,nan,-0.000976754,-0.083738,-0.000287667,-0.00300225,1,196.525,0.310441,1.04025,nan,nan,nan
0.03,0.000141278,3.5757e-08,0.731587,0.0276546,2.63563e-06,-0.000982576,0.0837393,-0.000283571,0.00220341,1,175.463,0.312495,1.02829,nan,nan,nan,-0.000982587,-0.0837393,-0.000283585,0.00220301,1,175.609,0.312498,1.02857,nan,nan,nan
0.032,0.000211148,4.06211e-08,0.731493,0.0349352,2.43206e-06,-0.000987322,0.0837402,-0.00027305,0.00542254,1,159.821,0.314514,1.00924,nan,nan,nan,-0.000987335,-0.0837402,-0.000273065,0.00542173,1,159.92,0.314517,1.00952,nan,nan,nan
0.034,0.000294988,4.50025e-08,0.731401,0.0419198,2.19071e-06,-0.000991172,0.0837407,-0.000258835,0.00726756,1,149.75,0.316474,0.980349,nan,nan,nan,-0.000991188,-0.0837407,-0.000258852,0.00726671,1,149.848,0.316478,0.980637,nan,nan,nan
0.036,0.0003922,4.89134e-08,0.731306,0.048606,1.95546e-06,-0.000994339,0.0837408,-0.000242803,0.00817151,1,143.194,0.318364,0.945032,nan,nan,nan,-0.000994358,-0.0837409,-0.000242822,0.00817066,1,143.291,0.318369,0.945323,nan,nan,nan
0.038,0.00050225,5.24233e-08,0.73121,0.0550248,1.75496e-06,-0.000996995,0.0837408,-0.000226216,0.0084433,1,139.019,0.320177,0.906511,nan,nan,nan,-0.000997018,-0.0837408,-0.000226237,0.00844248,1,139.114,0.320183,0.906803,nan,nan,nan
0.04,0.000624516,5.55476e-08,0.731111,0.0611334,1.56211e-06,-0.000999276,0.0837405,-0.000209894,0.00830548,1,136.836,0.321914,0.868161,nan,nan,nan,-0.000999302,-0.0837405,-0.000209916,0.00830471,1,136.931,0.321919,0.868454,nan,nan,nan
0.042,0.000758243,5.83338e-08,0.731009,0.0668635,1.39311e-06,-0.00100123,0.0837402,-0.000193778,0.00819661,1,135.138,0.323575,0.830667,nan,nan,nan,-0.00100126,-0.0837402,-0.000193802,0.00819601,1,135.234,0.323581,0.830959,nan,nan,nan
0.044,0.000902595,6.0826e-08,0.730904,0.0721755,1.24614e-06,-0.00100297,0.0837398,-0.00017838,0.00783277,1,134.256,0.325165,0.795119,nan,nan,nan,-0.001003,-0.0837399,-0.000178406,0.00783228,1,134.352,0.325172,0.79541,nan,nan,nan
0.046,0.00105669,6.30699e-08,0.730796,0.0770454,1.12192e-06,-0.00100453,0.0837394,-0.000163989,0.00732612,1,133.997,0.326691,0.762663,nan,nan,nan,-0.00100457,-0.0837395,-0.000164015,0.0073257,1,134.094,0.326698,0.762953,nan,nan,nan
0.048,0.00121938,6.89041e-08,0.730685,0.0813471,2.91712e-06,-0.00100593,0.083739,-0.000150506,0.00686921,1,134.279,0.328156,0.732415,nan,nan,nan,-0.00100596,-0.0837391,-0.000150532,0.00686905,1,134.558,0.328163,0.732662,nan,nan,nan
0.05,0.0013898,7.76367e-08,0.730571,0.085211,4.36632e-06,-0.00100718,0.0837387,-0.00013808,0.00633834,1,134.35,0.329566,0.705393,nan,nan,nan,-0.00100722,-0.0837388,-0.000138109,0.00633709,1,134.635,0.329575,0.705606,nan,nan,nan
0.052,0.0015671,8.85456e-08,0.730455,0.0886516,5.45445e-06,-0.00100832,0.0837384,-0.000126748,0.00578939,1,134.658,0.33093,0.681914,nan,nan,nan,-0.00100837,-0.0837385,-0.000126781,0.00578747,1,134.945,0.330939,0.682105,nan,nan,nan
0.054,0.00175049,1.01112e-07,0.730336,0.0916927,6.28317e-06,-0.00100933,0.0837383,-0.00011628,0.00535628,1,134.886,0.332253,0.661486,nan,nan,nan,-0.00100938,-0.0837385,-0.000116317,0.00535455,1,135.171,0.332262,0.661663,nan,nan,nan
0.056,0.0019392,1.14897e-07,0.730216,0.0943544,6.89236e-06,-0.00101024,0.0837384,-0.000106709,0.00490688,1,135.258,0.333541,0.643949,nan,nan,nan,-0.0010103,-0.0837385,-0.000106749,0.00490532,1,135.545,0.33355,0.644118,nan,nan,nan
0.058,0.00213253,1.29556e-07,0.730093,0.0966638,7.32958e-06,-0.00101105,0.0837386,-9.79375e-05,0.00450684,1,135.603,0.334799,0.628962,nan,nan,nan,-0.00101111,-0.0837387,-9.79801e-05,0.00450566,1,135.889,0.334809,0.629128,nan,nan,nan
0.06,0.0023299,1.44626e-07,0.729969,0.0986877,7.53493e-06,-0.00101177,0.0837389,-8.99601e-05,0.00410924,1,136.017,0.336031,0.616149,nan,nan,nan,-0.00101184,-0.083739,-9.00047e-05,0.00410833,1,136.311,0.336041,0.616316,nan,nan,nan
0.062,0.00253087,1.59911e-07,0.729843,0.100483,7.64243e-06,-0.00101244,0.0837393,-8.27464e-05,0.00372701,1,136.48,0.337242,0.605169,nan,nan,nan,-0.00101252,-0.0837395,-8.27925e-05,0.00372628,1,136.772,0.337252,0.605341,nan,nan,nan
0.064,0.002735,1.75249e-07,0.729716,0.102065,7.66932e-06,-0.00101306,0.0837399,-7.62512e-05,0.00336742,1,136.947,0.338433,0.595788,nan,nan,nan,-0.00101314,-0.08374,-7.62986e-05,0.00336684,1,137.236,0.338444,0.595968,nan,nan,nan
0.066,0.0029415,1.89856e-07,0.729588,0.103252,7.30321e-06,-0.00101365,0.0837404,-7.04219e-05,0.00303411,1,138.202,0.339605,0.586051,nan,nan,nan,-0.00101374,-0.0837406,-7.04703e-05,0.00303366,1,139.05,0.339616,0.585945,nan,nan,nan
0.068,0.00315001,2.03948e-07,0.729459,0.104257,7.04592e-06,-0.00101418,0.0837411,-6.52071e-05,0.00272572,1,138.646,0.34076,0.577474,nan,nan,nan,-0.00101427,-0.0837412,-6.52603e-05,0.00272338,1,139.516,0.34077,0.57713,nan,nan,nan
0.07,0.00336026,2.18074e-07,0.729331,0.105124,7.06315e-06,-0.00101467,0.0837418,-6.05524e-05,0.0024445,1,139.039,0.3419,0.569775,nan,nan,nan,-0.00101476,-0.0837419,-6.0613e-05,0.00244079,1,139.917,0.341909,0.569279,nan,nan,nan
0.072,0.00357194,2.31891e-07,0.729201,0.10584,6.90837e-06,-0.00101512,0.0837426,-5.6405e-05,0.00218954,1,139.402,0.343025,0.562812,nan,nan,nan,-0.00101522,-0.0837427,-5.64747e-05,0.00218498,1,140.276,0.343033,0.562196,nan,nan,nan
0.074,0.00378466,2.45244e-07,0.729072,0.10636,6.67669e-06,-0.00101554,0.0837434,-5.27153e-05,0.00195935,1,139.758,0.344139,0.556645,nan,nan,nan,-0.00101564,-0.0837435,-5.27952e-05,0.00195425,1,140.626,0.344145,0.555936,nan,nan,nan
0.076,0.00399806,2.58029e-07,0.728943,0.106699,6.39258e-06,-0.00101593,0.0837442,-4.94374e-05,0.0017519,1,140.126,0.345241,0.551134,nan,nan,nan,-0.00101604,-0.0837443,-4.95279e-05,0.00174653,1,140.988,0.345246,0.550354,nan,nan,nan
0.078,0.00421182,2.70179e-07,0.728814,0.106879,6.07493e-06,-0.0010163,0.083745,-4.65298e-05,0.00156508,1,140.511,0.346333,0.546094,nan,nan,nan,-0.00101641,-0.0837451,-4.66309e-05,0.00155971,1,141.367,0.346336,0.545261,nan,nan,nan
0.08,0.00442566,2.81655e-07,0.728685,0.106921,5.73782e-06,-0.00101664,0.0837458,-4.39551e-05,0.00139682,1,140.913,0.347416,0.541349,nan,nan,nan,-0.00101676,-0.0837459,-4.40664e-05,0.00139165,1,141.761,0.347417,0.540476,nan,nan,nan
0.082,0.00463934,2.92449e-07,0.728557,0.106842,5.39746e-06,-0.00101696,0.0837467,-4.16795e-05,0.00124523,1,141.327,0.348489,0.536738,nan,nan,nan,-0.00101708,-0.0837468,-4.18005e-05,0.00124036,1,142.169,0.348489,0.535836,nan,nan,nan
0.084,0.00485267,3.02563e-07,0.728429,0.10666,5.05669e-06,-0.00101726,0.0837475,-3.96729e-05,0.00110867,1,141.751,0.349554,0.53212,nan,nan,nan,-0.00101739,-0.0837476,-3.98029e-05,0.00110408,1,142.585,0.349551,0.531199,nan,nan,nan
0.086,0.00506545,3.11993e-07,0.728303,0.106392,4.71492e-06,-0.00101753,0.0837483,-3.79079e-05,0.000985548,1,142.18,0.350608,0.527372,nan,nan,nan,-0.00101767,-0.0837484,-3.80465e-05,0.000981214,1,143.007,0.350604,0.526439,nan,nan,nan
0.088,0.00527713,3.2138e-07,0.728178,0.10584,4.69354e-06,-0.00101779,0.0837491,-3.63604e-05,0.000874435,1,143.699,0.351648,0.519818,nan,nan,nan,-0.00101793,-0.0837492,-3.65069e-05,0.000870384,1,145.015,0.351641,0.51861,nan,nan,nan
0.09,0.00548758,3.30601e-07,0.728054,0.105227,4.61074e-06,-0.00101801,0.0837498,-3.50151e-05,0.000770041,1,144.129,0.352672,0.511964,nan,nan,nan,-0.00101815,-0.08375,-3.51721e-05,0.000764696,1,145.451,0.352662,0.510523,nan,nan,nan
0.092,0.00569672,3.39418e-07,0.727933,0.104567,4.40838e-06,-0.00101819,0.0837506,-3.38522e-05,0.000675515,1,144.511,0.35368,0.503897,nan,nan,nan,-0.00101833,-0.0837508,-3.4021e-05,0.000669447,1,145.821,0.353667,0.502268,nan,nan,nan
0.094,0.00590446,3.47656e-07,0.727813,0.10387,4.11923e-06,-0.00101836,0.0837514,-3.28533e-05,0.000590073,1,144.888,0.354671,0.495562,nan,nan,nan,-0.00101849,-0.0837515,-3.30344e-05,0.000583758,1,146.184,0.354654,0.493782,nan,nan,nan
