time,base_x,base_y,base_z,base_vx,base_vy,left_foot_x,left_foot_y,left_foot_z,left_foot_vz,left_contact,left_force_n,left_knee_q,left_knee_dq,left_swing_peak_z,left_touchdown_vz,left_step_length,right_foot_x,right_foot_y,right_foot_z,right_foot_vz,right_contact,right_force_n,right_knee_q,right_knee_dq,right_swing_peak_z,right_touchdown_vz,right_step_length
0.002,-1.42939e-10,1.06514e-12,0.733961,-7.14696e-08,5.32571e-10,-0.000976901,0.0837003,0.000854,0,0,0,0.3,-7.90963e-06,nan,nan,nan,-0.000976901,-0.0837003,0.000854,0,0,0,0.3,-7.90976e-06,nan,nan,nan
0.004,-3.74307e-10,2.86537e-12,0.733882,-1.15684e-07,9.00113e-10,-0.0009769,0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44393e-05,nan,nan,nan,-0.0009769,-0.0837003,0.000814801,-0.0195996,0,0,0.3,-1.44396e-05,nan,nan,nan
0.006,6.35086e-08,1.35145e-10,0.733769,3.19415e-05,6.614e-08,-0.000976898,0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390048,0.000854,-0.0391991,nan,-0.000976898,-0.0837003,0.000736402,-0.0391991,1,19.8428,0.300078,0.0390051,0.000854,-0.0391991,nan
0.008,1.69612e-07,3.49575e-10,0.73362,5.30517e-05,1.07215e-07,-0.000974783,0.0837007,0.000648996,-0.0436995,1,17.7239,0.300225,0.0733656,nan,nan,nan,-0.000974783,-0.0837007,0.000648995,-0.0436996,1,17.7239,0.300225,0.0733662,nan,nan,nan
0.01,4.44814e-07,6.65808e-10,0.733438,0.000137601,1.58117e-07,-0.000971439,0.0837014,0.000548772,-0.0500983,1,22.7226,0.300418,0.0964126,nan,nan,nan,-0.000971439,-0.0837014,0.000548772,-0.0500985,1,22.7227,0.300418,0.0964137,nan,nan,nan
0.012,9.84252e-07,1.12961e-09,0.733225,0.000269719,2.31901e-07,-0.000967767,0.0837023,0.000433741,-0.0574896,1,32.2534,0.300646,0.114051,nan,nan,nan,-0.000967767,-0.0837023,0.00043374,-0.05749,1,32.2536,0.300646,0.114053,nan,nan,nan
0.014,1.86713e-06,1.73293e-09,0.732981,0.00044144,3.0166e-07,-0.000962636,0.0837051,0.000305667,-0.063995,1,36.6479,0.300894,0.124142,nan,nan,nan,-0.000962635,-0.0837051,0.000305665,-0.0639955,1,36.6482,0.300894,0.124144,nan,nan,nan
0.016,3.05014e-06,2.49158e-09,0.73271,0.000591505,3.79327e-07,-0.000957076,0.0837095,0.000163314,-0.0711166,1,41.5632,0.30115,0.127838,nan,nan,nan,-0.000957075,-0.0837095,0.00016331,-0.0711174,1,41.5636,0.30115,0.127842,nan,nan,nan
0.018,5.41879e-06,3.84796e-09,0.732427,0.00118432,6.78187e-07,-0.000951172,0.0837152,6.32843e-06,-0.0784147,1,106.122,0.301567,0.208544,nan,nan,nan,-0.000951172,-0.0837152,6.32246e-06,-0.0784157,1,106.124,0.301567,0.208551,nan,nan,nan
0.02,7.66766e-06,7.96777e-09,0.732213,0.00112444,2.05991e-06,-0.000947836,0.083725,-0.000130354,-0.0682122,1,400.839,0.302696,0.564737,nan,nan,nan,-0.000947835,-0.083725,-0.000130363,-0.0682135,1,400.908,0.302696,0.564838,nan,nan,nan
0.022,1.10683e-05,1.34184e-08,0.732046,0.00170033,2.72531e-06,-0.00095318,0.0837307,-0.000212954,-0.0412065,1,319.101,0.304308,0.805832,nan,nan,nan,-0.000953181,-0.0837307,-0.000212965,-0.0412075,1,319.158,0.304308,0.806013,nan,nan,nan
0.024,2.19896e-05,1.92702e-08,0.731911,0.00546062,2.92589e-06,-0.000961317,0.0837342,-0.00025978,-0.0233037,1,262.838,0.306202,0.947042,nan,nan,nan,-0.00096132,-0.0837342,-0.000259792,-0.0233043,1,262.891,0.306203,0.947283,nan,nan,nan
0.026,4.5086e-05,2.5245e-08,0.731797,0.0115482,2.98743e-06,-0.000969363,0.0837364,-0.000282284,-0.0111178,1,224.098,0.308225,1.01168,nan,nan,nan,-0.000969369,-0.0837364,-0.000282297,-0.0111181,1,224.21,0.308227,1.01194,nan,nan,nan
0.028,8.33481e-05,3.09805e-08,0.731694,0.0191311,2.86776e-06,-0.000976342,0.0837381,-0.00028867,-0.00304205,1,195.566,0.310282,1.02835,nan,nan,nan,-0.000976351,-0.0837381,-0.000288684,-0.00304265,1,195.677,0.310284,1.02861,nan,nan,nan
0.03,0.000137691,3.62249e-08,0.731599,0.0271715,2.62217e-06,-0.000982134,0.0837394,-0.000284605,0.00219109,1,174.918,0.312318,1.01794,nan,nan,nan,-0.000982146,-0.0837394,-0.00028462,0.00219032,1,175.07,0.31232,1.01819,nan,nan,nan
0.032,0.000206429,4.09626e-08,0.731507,0.0343688,2.36885e-06,-0.000986866,0.0837403,-0.000274067,0.00542724,1,159.343,0.314319,1.00069,nan,nan,nan,-0.000986882,-0.0837403,-0.000274085,0.00542621,1,159.453,0.314322,1.00095,nan,nan,nan
0.034,0.000289018,4.51383e-08,0.731415,0.0412947,2.08787e-06,-0.000990716,0.0837407,-0.000259816,0.00728285,1,149.383,0.316266,0.973478,nan,nan,nan,-0.000990735,-0.0837408,-0.000259836,0.00728186,1,149.493,0.31627,0.973737,nan,nan,nan
0.036,0.000384882,4.87845e-08,0.731321,0.0479318,1.82306e-06,-0.000993892,0.0837409,-0.000243736,0.00819325,1,142.908,0.318145,0.939642,nan,nan,nan,-0.000993915,-0.0837409,-0.000243758,0.00819231,1,143.017,0.31815,0.939904,nan,nan,nan
0.038,0.000493476,5.19636e-08,0.731226,0.0542971,1.58955e-06,-0.000996562,0.0837408,-0.000227095,0.00846876,1,139.193,0.319952,0.903274,nan,nan,nan,-0.000996589,-0.0837408,-0.000227119,0.00846788,1,139.3,0.319957,0.903538,nan,nan,nan
0.04,0.000614198,5.47364e-08,0.731128,0.0603613,1.38641e-06,-0.000998806,0.0837406,-0.000210153,0.00861367,1,136.48,0.321683,0.865725,nan,nan,nan,-0.000998836,-0.0837407,-0.000210178,0.008613,1,136.586,0.321689,0.865989,nan,nan,nan
0.042,0.000746321,5.7159e-08,0.731026,0.0660614,1.21132e-06,-0.00100075,0.0837403,-0.000193647,0.00839,1,134.935,0.323341,0.82876,nan,nan,nan,-0.00100078,-0.0837404,-0.000193674,0.00838947,1,135.042,0.323347,0.829023,nan,nan,nan
0.044,0.000889025,5.92883e-08,0.730922,0.0713518,1.06466e-06,-0.00100247,0.08374,-0.000178018,0.00794778,1,134.247,0.324929,0.794044,nan,nan,nan,-0.00100251,-0.08374,-0.000178045,0.00794734,1,134.355,0.324935,0.794306,nan,nan,nan
0.046,0.00104145,6.11702e-08,0.730814,0.0762128,9.40956e-07,-0.00100399,0.0837396,-0.000163265,0.00750552,1,133.807,0.326453,0.761966,nan,nan,nan,-0.00100403,-0.0837397,-0.000163294,0.00750533,1,133.915,0.32646,0.762228,nan,nan,nan
0.048,0.00120248,6.6849e-08,0.730703,0.0805138,2.83936e-06,-0.00100536,0.0837393,-0.000149586,0.00696639,1,134.163,0.327917,0.73201,nan,nan,nan,-0.0010054,-0.0837394,-0.000149614,0.00696635,1,134.437,0.327924,0.732231,nan,nan,nan
0.05,0.00137125,7.5595e-08,0.73059,0.0843841,4.37303e-06,-0.00100659,0.083739,-0.000137072,0.00638147,1,134.256,0.329328,0.705286,nan,nan,nan,-0.00100664,-0.0837391,-0.000137102,0.00638036,1,134.534,0.329335,0.705476,nan,nan,nan
0.052,0.00154692,8.6642e-08,0.730474,0.0878369,5.52347e-06,-0.00100773,0.0837388,-0.000125721,0.00579783,1,134.577,0.330692,0.682093,nan,nan,nan,-0.00100778,-0.0837389,-0.000125756,0.00579607,1,134.858,0.3307,0.682263,nan,nan,nan
0.054,0.00172871,9.94409e-08,0.730356,0.0908956,6.39947e-06,-0.00100874,0.0837387,-0.000115279,0.00534291,1,134.816,0.332016,0.661923,nan,nan,nan,-0.0010088,-0.0837388,-0.000115316,0.00534131,1,135.096,0.332024,0.662081,nan,nan,nan
0.056,0.00191587,1.13536e-07,0.730236,0.0935809,7.04762e-06,-0.00100966,0.0837387,-0.000105759,0.00488057,1,135.177,0.333305,0.644571,nan,nan,nan,-0.00100973,-0.0837388,-0.0001058,0.00487912,1,135.457,0.333313,0.644724,nan,nan,nan
0.058,0.00210771,1.28553e-07,0.730114,0.0959165,7.50826e-06,-0.00101049,0.0837389,-9.70887e-05,0.00445541,1,135.559,0.334564,0.629775,nan,nan,nan,-0.00101057,-0.083739,-9.71319e-05,0.00445421,1,135.839,0.334573,0.629927,nan,nan,nan
0.06,0.00230366,1.44011e-07,0.72999,0.0979751,7.72936e-06,-0.00101124,0.0837392,-8.92045e-05,0.00406197,1,135.976,0.335799,0.617105,nan,nan,nan,-0.00101132,-0.0837393,-8.92496e-05,0.00406107,1,136.263,0.335808,0.617259,nan,nan,nan
0.062,0.00250327,1.59706e-07,0.729865,0.0998049,7.84755e-06,-0.00101192,0.0837396,-8.20756e-05,0.003684,1,136.441,0.337011,0.60623,nan,nan,nan,-0.00101201,-0.0837397,-8.21222e-05,0.00368329,1,136.726,0.337021,0.606389,nan,nan,nan
0.064,0.00270611,1.75468e-07,0.729738,0.101422,7.88094e-06,-0.00101256,0.0837401,-7.5657e-05,0.00332858,1,136.909,0.338205,0.596921,nan,nan,nan,-0.00101265,-0.0837402,-7.57048e-05,0.00332803,1,137.192,0.338215,0.597089,nan,nan,nan
0.066,0.00291179,1.9116e-07,0.72961,0.102841,7.84581e-06,-0.00101316,0.0837407,-6.98963e-05,0.00299925,1,137.375,0.339383,0.588965,nan,nan,nan,-0.00101326,-0.0837408,-6.99451e-05,0.00299884,1,137.656,0.339393,0.589142,nan,nan,nan
0.068,0.00311956,2.05853e-07,0.729481,0.103883,7.34659e-06,-0.00101373,0.0837413,-6.47389e-05,0.00269722,1,138.617,0.340543,0.580369,nan,nan,nan,-0.00101383,-0.0837414,-6.47886e-05,0.00269687,1,139.513,0.340553,0.580235,nan,nan,nan
0.07,0.00332911,2.20086e-07,0.729352,0.104776,7.11651e-06,-0.00101424,0.083742,-6.01344e-05,0.00241964,1,139.035,0.341689,0.572579,nan,nan,nan,-0.00101434,-0.0837421,-6.01893e-05,0.00241707,1,139.964,0.341698,0.572213,nan,nan,nan
0.072,0.00354017,2.33956e-07,0.729223,0.10553,6.93494e-06,-0.0010147,0.0837427,-5.60311e-05,0.00216778,1,139.398,0.34282,0.56548,nan,nan,nan,-0.00101482,-0.0837428,-5.60942e-05,0.00216365,1,140.327,0.342828,0.564937,nan,nan,nan
0.074,0.00375234,2.47337e-07,0.729093,0.106085,6.69045e-06,-0.00101514,0.0837435,-5.23801e-05,0.00194026,1,139.746,0.343938,0.55917,nan,nan,nan,-0.00101525,-0.0837436,-5.24534e-05,0.00193514,1,140.671,0.343945,0.558488,nan,nan,nan
0.076,0.00396526,2.60135e-07,0.728964,0.106458,6.39885e-06,-0.00101554,0.0837443,-4.91363e-05,0.00173519,1,140.107,0.345045,0.553518,nan,nan,nan,-0.00101566,-0.0837444,-4.92209e-05,0.00172948,1,141.027,0.34505,0.552731,nan,nan,nan
0.078,0.0041786,2.72288e-07,0.728834,0.106669,6.07667e-06,-0.00101591,0.0837451,-4.62585e-05,0.00155046,1,140.486,0.346142,0.548348,nan,nan,nan,-0.00101604,-0.0837452,-4.63549e-05,0.00154454,1,141.399,0.346145,0.547478,nan,nan,nan
0.08,0.00439207,2.83763e-07,0.728705,0.10674,5.73741e-06,-0.00101625,0.0837459,-4.371e-05,0.00138406,1,140.882,0.347229,0.543483,nan,nan,nan,-0.00101639,-0.083746,-4.38179e-05,0.00137821,1,141.788,0.34723,0.542552,nan,nan,nan
0.082,0.00460545,2.94555e-07,0.728577,0.106688,5.39592e-06,-0.00101657,0.0837467,-4.14574e-05,0.00123411,1,141.291,0.348306,0.538766,nan,nan,nan,-0.00101672,-0.0837469,-4.15764e-05,0.0012285,1,142.19,0.348306,0.537788,nan,nan,nan
0.084,0.00481851,3.04668e-07,0.72845,0.10653,5.05691e-06,-0.00101687,0.0837475,-3.94709e-05,0.00109899,1,141.711,0.349374,0.534055,nan,nan,nan,-0.00101703,-0.0837477,-3.96004e-05,0.00109365,1,142.602,0.349372,0.533044,nan,nan,nan
0.086,0.00503108,3.14109e-07,0.728323,0.106284,4.72039e-06,-0.00101715,0.0837483,-3.77235e-05,0.00097713,1,142.137,0.350433,0.529228,nan,nan,nan,-0.00101732,-0.0837485,-3.7863e-05,0.000972078,1,143.02,0.350428,0.528194,nan,nan,nan
0.088,0.00524259,3.2307e-07,0.728197,0.105756,4.48024e-06,-0.00101741,0.0837491,-3.61914e-05,0.000867141,1,143.637,0.351476,0.521583,nan,nan,nan,-0.00101759,-0.0837493,-3.63402e-05,0.000862387,1,145.05,0.351469,0.520251,nan,nan,nan
0.09,0.00545292,3.31687e-07,0.728074,0.105164,4.3086e-06,-0.00101763,0.0837499,-3.48593e-05,0.000763878,1,144.06,0.352503,0.513648,nan,nan,nan,-0.00101781,-0.0837501,-3.50203e-05,0.000757655,1,145.484,0.352493,0.512067,nan,nan,nan
0.092,0.00566196,3.39782e-07,0.727952,0.104522,4.04766e-06,-0.00101782,0.0837507,-3.37076e-05,0.000670321,1,144.438,0.353514,0.505519,nan,nan,nan,-0.00101799,-0.0837509,-3.38824e-05,0.000663272,1,145.849,0.3535,0.503739,nan,nan,nan
0.094,0.00586965,3.47224e-07,0.727832,0.103841,3.72076e-06,-0.00101798,0.0837515,-3.27184e-05,0.000585703,1,144.811,0.354509,0.49714,nan,nan,nan,-0.00101816,-0.0837516,-3.29075e-05,0.000578371,1,146.208,0.354491,0.495203,nan,nan,nan
