t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,obs_64,obs_65,obs_66,obs_67,obs_68,obs_69,obs_70,obs_71,obs_72,obs_73,obs_74,obs_75,obs_76,obs_77,obs_78,obs_79,obs_80,obs_81,obs_82,action_0,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,action_11,action_12,action_13,action_14,action_15,action_16,action_17,action_18,action_19,action_20,action_21,action_22,action_23,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_q_6,target_q_7,target_q_8,target_q_9,target_q_10,target_q_11,target_q_12,target_q_13,target_q_14,target_q_15,target_q_16,target_q_17,target_q_18,target_q_19,target_q_20,target_q_21,target_q_22,target_q_23
0.0199988,0,0,0,0,0.733604,0,-0.0280844,-0.0024345,-0.999603,0,0.4,0,0,flat,0,8.60753e-15,1.75748e-14,1,1.37082e-09,0,0,1,3.58555e-05,0.000595751,-0.00100347,-0.0280962,-0.00243335,-0.999602,0,0,0,0,0,-0.000907809,-0.0422709,-0.0114764,-0.00193986,0.0217525,0.0346826,0.00836084,0.0233191,0.00530492,-0.00360221,0.0140875,-0.0213108,-0.00469372,-0.00441663,0.00714499,0.00417204,-0.00535301,0.00498021,-0.0023605,0.00296417,0.00108418,0.002017,0.000177741,-0.00926282,-0.000408427,0.00193231,-0.00119027,-0.00193922,0.00158283,-0.00199618,-0.00157387,-0.00207702,0.000257174,-0.00106295,0.00174038,0.00190565,-0.000262021,-0.000684871,-0.000342393,0.000240691,-0.000367698,0.000886609,0.000598008,4.09717e-05,-0.000543986,2.3438e-05,-1.30429e-05,-0.000882956,-0.0413462,0.327606,-0.18536,-0.178843,0.551755,0.0570421,-0.0977204,-0.382882,0.117166,-0.22746,0.502982,-0.002565,-0.0292627,-0.0309677,0.0792267,0.0747496,0.00458818,-0.020842,-0.00530297,0.0677799,-0.0616022,-0.0136277,-0.0359775,-0.0231859,-0.0413557,0.326887,-0.185192,-0.178859,0.551516,0.0570621,-0.0976788,-0.382267,0.117024,-0.227462,0.502594,-0.00264262,-0.0291798,-0.0310143,0.0792228,0.0746982,0.00457806,-0.0209411,-0.0053142,0.0677913,-0.0615769,-0.0136093,-0.0360045,-0.0230961,-0.106203,0.083933,-0.0754788,0.27183,-0.0190338,-0.0161765,-0.114652,-0.09224,0.0652537,0.264175,-0.0350865,0.0340329,-0.00437697,-0.00465214,0.379709,0.208012,0.00188845,0.861362,-0.00219211,0.375422,-0.203091,-0.00561385,0.855148,-0.00952715
0.0399988,-9.19588e-06,-2.09688e-06,0,1.25207e-05,0.733607,0,-0.0280719,-0.00243577,-0.999603,-2.22977e-05,0.4,0,0,flat,0,1.10151e-14,2.05602e-14,1,1.0355e-09,0,0,1,2.55313e-05,0.000578415,-0.00100702,-0.0280844,-0.0024345,-0.999603,0.01,0,0,0,0,-0.000915691,-0.0422323,-0.0114998,-0.00197724,0.0217828,0.0346428,0.00832997,0.0232776,0.00531074,-0.00362262,0.0141214,-0.021272,-0.00469888,-0.00443012,0.00713819,0.00417674,-0.00536031,0.00499749,-0.00234885,0.002965,0.00107351,0.00201756,0.000177443,-0.00927959,-0.000381652,0.00192413,-0.00115582,-0.00181471,0.00145763,-0.00198525,-0.00151863,-0.0020632,0.000324558,-0.000985734,0.00163802,0.00195757,-0.000255034,-0.0006669,-0.000337729,0.000228613,-0.000362901,0.000842532,0.000569678,4.34508e-05,-0.000525533,3.07994e-05,-1.83315e-05,-0.000801593,-0.0413557,0.326887,-0.185192,-0.178859,0.551516,0.0570621,-0.0976788,-0.382267,0.117024,-0.227462,0.502594,-0.00264262,-0.0291798,-0.0310143,0.0792228,0.0746982,0.00457806,-0.0209411,-0.0053142,0.0677913,-0.0615769,-0.0136093,-0.0360045,-0.0230961,-0.0411589,0.324893,-0.185265,-0.180218,0.54246,0.0574178,-0.0996133,-0.382605,0.117002,-0.232447,0.490067,-0.00333184,-0.0300406,-0.0308204,0.0804433,0.0740137,0.00467684,-0.0224511,-0.00557602,0.0657613,-0.0615863,-0.0131535,-0.0372622,-0.0224156,-0.106174,0.0836339,-0.0754897,0.271616,-0.0220052,-0.0160598,-0.114942,-0.0922907,0.0652504,0.26339,-0.0391968,0.0338067,-0.00450609,-0.00462305,0.380166,0.207755,0.0019292,0.860739,-0.00230011,0.37466,-0.203095,-0.00542584,0.854629,-0.00924645
0.0599988,-1.19898e-05,-2.98049e-06,0,2.31806e-05,0.733608,0,-0.0280612,-0.00243737,-0.999603,-4.09633e-05,0.4,0,0,flat,0,1.3426e-14,2.16205e-14,1,7.01021e-10,0,0,1,5.06749e-05,0.0005537,-0.00101755,-0.0280719,-0.00243577,-0.999603,0.02,0,0,0,0,-0.00092344,-0.0421905,-0.0115245,-0.00201413,0.0218107,0.0346,0.00829763,0.0232318,0.00531698,-0.00364211,0.0141535,-0.0212305,-0.00470455,-0.00444463,0.0071317,0.00418116,-0.00536812,0.00501412,-0.00233716,0.00296545,0.00106211,0.00201871,0.000176132,-0.00929477,-0.000293421,0.00184531,-0.00109173,-0.00137711,0.000807887,-0.0018555,-0.00136642,-0.00213057,0.000229171,-0.00064969,0.00092047,0.00187653,-0.000288902,-0.000665913,-0.000135617,0.00012511,-0.000330171,0.000519809,0.000436515,-9.03566e-05,-0.0005246,0.000126072,-0.000209179,-0.000447057,-0.0411589,0.324893,-0.185265,-0.180218,0.54246,0.0574178,-0.0996133,-0.382605,0.117002,-0.232447,0.490067,-0.00333184,-0.0300406,-0.0308204,0.0804433,0.0740137,0.00467684,-0.0224511,-0.00557602,0.0657613,-0.0615863,-0.0131535,-0.0372622,-0.0224156,-0.0408414,0.322648,-0.185346,-0.182235,0.530782,0.0577222,-0.102637,-0.383337,0.116877,-0.238889,0.474229,-0.00400291,-0.0306972,-0.0308555,0.0815848,0.0728235,0.00526274,-0.0244174,-0.00613009,0.0634843,-0.0616141,-0.0125434,-0.0384467,-0.0221128,-0.106126,0.0832972,-0.0755019,0.271298,-0.0258373,-0.0159599,-0.115396,-0.0924006,0.0652316,0.262375,-0.0443937,0.0335865,-0.00460459,-0.00462833,0.380594,0.207309,0.00217088,0.859928,-0.00252866,0.373807,-0.203105,-0.00517416,0.854141,-0.00912154
0.0799987,-9.0152e-06,-3.42265e-06,0,3.78098e-05,0.733608,0,-0.0280466,-0.00244015,-0.999604,-6.15213e-05,0.4,0,0,flat,0,1.57834e-14,2.13239e-14,1,4.42904e-10,0,0,1,5.46374e-05,0.000634682,-0.0010395,-0.0280612,-0.00243737,-0.999603,0.03,0,0,0,0,-0.000927106,-0.0421582,-0.0115431,-0.00203356,0.0218182,0.0345673,0.00827458,0.0231913,0.00531542,-0.00364909,0.0141649,-0.0212013,-0.00471012,-0.00445593,0.00713143,0.00418213,-0.00537384,0.00502032,-0.0023306,0.00296172,0.00105263,0.00202198,0.000169933,-0.00929963,-0.000161925,0.00177408,-0.0010069,-0.000931366,0.000229488,-0.00181221,-0.0012386,-0.00229411,-0.000171448,-0.000252829,0.000496252,0.00161166,-0.000318245,-0.000594093,1.43725e-05,2.30632e-05,-0.000313664,0.000265527,0.000333337,-0.000277858,-0.000519968,0.000204213,-0.000413749,-0.00019891,-0.0408414,0.322648,-0.185346,-0.182235,0.530782,0.0577222,-0.102637,-0.383337,0.116877,-0.238889,0.474229,-0.00400291,-0.0306972,-0.0308555,0.0815848,0.0728235,0.00526274,-0.0244174,-0.00613009,0.0634843,-0.0616141,-0.0125434,-0.0384467,-0.0221128,-0.0404469,0.320535,-0.185477,-0.184544,0.518209,0.0579188,-0.106029,-0.384153,0.116698,-0.245751,0.457503,-0.00461736,-0.0313336,-0.0309654,0.082629,0.0715544,0.00600927,-0.0265091,-0.0067786,0.0612337,-0.0616612,-0.0118968,-0.0395409,-0.0219654,-0.106067,0.0829802,-0.0755215,0.270934,-0.0299628,-0.0158954,-0.115904,-0.092523,0.0652047,0.261294,-0.0498817,0.0333849,-0.00470003,-0.00464481,0.380986,0.206833,0.00247882,0.859065,-0.00279617,0.372963,-0.203123,-0.00490741,0.853689,-0.00906074
0.0999987,4.71994e-06,-3.51124e-06,0,5.58458e-05,0.733606,0,-0.0280286,-0.00244359,-0.999604,-7.90935e-05,0.4,0,0,flat,0,1.80972e-14,2.05471e-14,1,2.67085e-10,0,0,1,0.000153283,0.000818321,-0.00100999,-0.0280466,-0.00244015,-0.999604,0.04,0,0,0,0,-0.000929065,-0.0421248,-0.0115627,-0.00204256,0.0218062,0.0345332,0.00825144,0.023142,0.00530521,-0.00364488,0.0141556,-0.0211692,-0.00471824,-0.00446859,0.00713691,0.00417757,-0.00537593,0.0050137,-0.00233098,0.00294942,0.00104211,0.00203,0.00015533,-0.00929978,3.10978e-05,0.00160322,-0.000949556,1.80816e-05,-0.00139232,-0.00165395,-0.00102217,-0.00258997,-0.00077591,0.000689576,-0.0013645,0.00166839,-0.000479988,-0.000666433,0.000514076,-0.000443595,8.76e-05,-0.000816857,-0.000330603,-0.000863619,-0.000530876,0.000568201,-0.000962337,0.00010537,-0.0404469,0.320535,-0.185477,-0.184544,0.518209,0.0579188,-0.106029,-0.384153,0.116698,-0.245751,0.457503,-0.00461736,-0.0313336,-0.0309654,0.082629,0.0715544,0.00600927,-0.0265091,-0.0067786,0.0612337,-0.0616612,-0.0118968,-0.0395409,-0.0219654,-0.0400073,0.318504,-0.185572,-0.187041,0.505288,0.0580425,-0.109504,-0.384893,0.116445,-0.252611,0.440801,-0.00519205,-0.0319209,-0.0311178,0.0835327,0.0703669,0.0068398,-0.0286422,-0.00747269,0.0590583,-0.0617218,-0.0113305,-0.0405962,-0.0218984,-0.106001,0.0826756,-0.0755358,0.270541,-0.0342023,-0.0158548,-0.116426,-0.0926339,0.0651668,0.260214,-0.0553622,0.0331964,-0.00478813,-0.00466766,0.381325,0.206388,0.00282142,0.858185,-0.00308249,0.372147,-0.203146,-0.00467383,0.853254,-0.00903307
0.119999,4.16301e-05,-3.45275e-06,0,8.9949e-05,0.733602,0,-0.0279945,-0.00244909,-0.999605,-9.89195e-05,0.4,0,0,flat,0,2.03418e-14,1.98535e-14,1,1.55176e-10,0,0,1,0.000161849,0.00117506,-0.000960298,-0.0280286,-0.00244359,-0.999604,0.05,0,0,0,0,-0.000924826,-0.042096,-0.0115791,-0.00203538,0.0217697,0.0345033,0.00823642,0.0230948,0.00528913,-0.00362477,0.0141197,-0.0211371,-0.00472764,-0.00448029,0.00714856,0.00416709,-0.00537245,0.00499403,-0.00234015,0.00293097,0.00103271,0.00204199,0.000135422,-0.00929698,0.000389706,0.00160888,-0.000869531,0.000600233,-0.00243047,-0.00167902,-0.000696637,-0.00261715,-0.000956448,0.00135285,-0.0023544,0.00184498,-0.000541461,-0.000619717,0.00068985,-0.000641115,0.000230478,-0.00120027,-0.00057484,-0.00110557,-0.000512473,0.000703425,-0.0011736,0.0001736,-0.0400073,0.318504,-0.185572,-0.187041,0.505288,0.0580425,-0.109504,-0.384893,0.116445,-0.252611,0.440801,-0.00519205,-0.0319209,-0.0311178,0.0835327,0.0703669,0.0068398,-0.0286422,-0.00747269,0.0590583,-0.0617218,-0.0113305,-0.0405962,-0.0218984,-0.0395252,0.316586,-0.185651,-0.189712,0.492121,0.0580827,-0.112951,-0.385602,0.116129,-0.25934,0.424277,-0.00575364,-0.0325096,-0.031266,0.0843611,0.0691843,0.0076955,-0.0307928,-0.00818044,0.0568961,-0.0618104,-0.0108439,-0.0416759,-0.0218478,-0.105929,0.0823879,-0.0755476,0.27012,-0.0385228,-0.0158416,-0.116943,-0.0927404,0.0651193,0.259154,-0.0607842,0.0330121,-0.00487644,-0.0046899,0.381635,0.205944,0.0031744,0.857298,-0.00337443,0.371336,-0.203179,-0.00447309,0.852809,-0.00901221
0.139999,9.45348e-05,-3.27981e-06,0,0.000139009,0.733596,0,-0.0279454,-0.00245479,-0.999606,-0.000113508,0.4,0,0,flat,0,2.2344e-14,1.9476e-14,1,8.74011e-11,0,0,1,0.000274813,0.00198564,-0.00084717,-0.0279945,-0.00244909,-0.999605,0.06,0,0,0,0,-0.000908405,-0.0420614,-0.0115939,-0.00200602,0.0216813,0.0344697,0.00822897,0.0230346,0.00526231,-0.00357762,0.0140286,-0.0210915,-0.00474147,-0.00449521,0.0071705,0.00414681,-0.00536066,0.00495315,-0.00236297,0.00290033,0.001021,0.00206167,0.000103652,-0.0092922,0.00103,0.00157185,-0.000463113,0.00190739,-0.00533467,-0.00135259,-6.8339e-05,-0.00282479,-0.00143023,0.00278478,-0.0055959,0.00221458,-0.000695394,-0.000718698,0.001234,-0.00115205,0.00078199,-0.0023921,-0.00140937,-0.0016301,-0.00054672,0.00103793,-0.00167106,0.00024575,-0.0395252,0.316586,-0.185651,-0.189712,0.492121,0.0580827,-0.112951,-0.385602,0.116129,-0.25934,0.424277,-0.00575364,-0.0325096,-0.031266,0.0843611,0.0691843,0.0076955,-0.0307928,-0.00818044,0.0568961,-0.0618104,-0.0108439,-0.0416759,-0.0218478,-0.0389264,0.314701,-0.185604,-0.192369,0.479315,0.0580957,-0.116224,-0.386041,0.115688,-0.265647,0.408588,-0.00625149,-0.0330621,-0.0314063,0.0849808,0.0681882,0.00862732,-0.0329769,-0.00890346,0.0547529,-0.0619283,-0.0104934,-0.042757,-0.0218401,-0.105839,0.0821051,-0.0755405,0.269702,-0.0427248,-0.0158374,-0.117434,-0.0928061,0.0650532,0.258161,-0.0659319,0.0328487,-0.00495931,-0.00471094,0.381868,0.205571,0.00355877,0.856397,-0.00367268,0.370532,-0.203223,-0.00432853,0.852363,-0.00900903
0.159999,0.000191877,-2.94391e-06,0,0.000239823,0.733588,0,-0.0278446,-0.00246334,-0.999609,-0.000130372,0.4,0,0,flat,0,2.41105e-14,2.0022e-14,1,4.88978e-11,0,0,1,0.000303002,0.00339436,-0.000802086,-0.0279454,-0.00245479,-0.999606,0.07,0,0,0,0,-0.000887215,-0.0420329,-0.0116015,-0.00196803,0.0215684,0.0344439,0.00822996,0.0229836,0.00523518,-0.00352296,0.0139124,-0.0210519,-0.00475448,-0.00450767,0.00719413,0.00412415,-0.00534497,0.00490618,-0.00239081,0.00286868,0.00101127,0.00208134,7.15256e-05,-0.00928763,0.00124498,0.00159946,-0.000416181,0.00214639,-0.00692377,-0.00151127,0.000107953,-0.00282196,-0.00153655,0.00309557,-0.00703194,0.00215882,-0.000734408,-0.000660272,0.00133384,-0.00130252,0.000900234,-0.00269189,-0.00158926,-0.00182241,-0.0005336,0.00111126,-0.00183698,0.000255398,-0.0389264,0.314701,-0.185604,-0.192369,0.479315,0.0580957,-0.116224,-0.386041,0.115688,-0.265647,0.408588,-0.00625149,-0.0330621,-0.0314063,0.0849808,0.0681882,0.00862732,-0.0329769,-0.00890346,0.0547529,-0.0619283,-0.0104934,-0.042757,-0.0218401,-0.0381261,0.312951,-0.185481,-0.194896,0.466845,0.0580199,-0.119202,-0.386365,0.115155,-0.271531,0.393486,-0.0066733,-0.0336415,-0.0315398,0.0855382,0.0672448,0.0095612,-0.0352084,-0.0096243,0.052657,-0.0621154,-0.0102294,-0.0438709,-0.0217505,-0.105719,0.0818427,-0.0755222,0.269304,-0.0468164,-0.0158622,-0.11788,-0.0928547,0.0649733,0.257234,-0.0708874,0.0327103,-0.00504623,-0.00473096,0.382077,0.205217,0.00394399,0.855477,-0.00397003,0.369746,-0.203293,-0.00421965,0.851903,-0.00897208
0.179999,0.000304161,-2.26256e-06,0,0.000363888,0.733579,0.000345267,-0.0277205,-0.00247199,-0.999613,-0.000143591,0.4,0,0,flat,0,2.55914e-14,2.19544e-14,1,2.77279e-11,0,0,1,0.000406443,0.00566971,-0.000763238,-0.0278446,-0.00246334,-0.999609,0.08,0,0,0,0,-0.000855885,-0.0419984,-0.0116096,-0.00191414,0.0213768,0.0344079,0.0082359,0.0229198,0.0051977,-0.00344715,0.013717,-0.0210029,-0.00477204,-0.00452282,0.00722796,0.00409123,-0.00531918,0.00483495,-0.00243405,0.00282341,0.000999019,0.00210788,2.60472e-05,-0.009282,0.00153722,0.00155618,-0.000337957,0.00257111,-0.0100358,-0.00172162,0.000368722,-0.00294032,-0.00179932,0.0036,-0.0102099,0.00223344,-0.000832445,-0.000689923,0.00164761,-0.00161175,0.00132951,-0.00356309,-0.0021785,-0.00220721,-0.000571762,0.00125345,-0.00220947,0.000266154,-0.0381261,0.312951,-0.185481,-0.194896,0.466845,0.0580199,-0.119202,-0.386365,0.115155,-0.271531,0.393486,-0.0066733,-0.0336415,-0.0315398,0.0855382,0.0672448,0.0095612,-0.0352084,-0.0096243,0.052657,-0.0621154,-0.0102294,-0.0438709,-0.0217505,-0.0370847,0.311286,-0.185135,-0.197005,0.455797,0.0579706,-0.12172,-0.38631,0.114447,-0.276623,0.379898,-0.00694907,-0.0342069,-0.0316909,0.0858678,0.0665697,0.0105783,-0.037486,-0.0103209,0.0506368,-0.062384,-0.0101228,-0.0449614,-0.0216417,-0.105563,0.0815929,-0.0754703,0.268972,-0.0504415,-0.0158784,-0.118258,-0.0928465,0.064867,0.256432,-0.075346,0.0326198,-0.00513104,-0.00475363,0.3822,0.204964,0.00436353,0.854537,-0.00425737,0.368989,-0.203394,-0.00417564,0.851453,-0.00892719
0.199999,0.000508171,2.77942e-09,0,0.000601282,0.733565,0.000488281,-0.0274831,-0.00248554,-0.999619,-0.000160845,0.4,0,0,flat,0,2.68654e-14,2.61182e-14,1,1.61738e-11,0,0,1,0.000504576,0.00792255,-0.000743779,-0.0277205,-0.00247199,-0.999613,0.09,0,0,0,0,-0.00082504,-0.0419711,-0.0116144,-0.00186351,0.0211657,0.0343756,0.00824536,0.0228653,0.00516263,-0.00337732,0.0135021,-0.0209616,-0.00478776,-0.00453563,0.00726056,0.00405928,-0.00529082,0.0047617,-0.00247927,0.0027799,0.000987977,0.00213139,-1.75834e-05,-0.00927648,0.00187974,0.0014738,-0.000185632,0.00302544,-0.0131776,-0.00183322,0.000673216,-0.00310901,-0.00208905,0.00412476,-0.0134267,0.00235853,-0.000907209,-0.000731579,0.00194191,-0.00190304,0.00180279,-0.00452681,-0.00280625,-0.00260354,-0.000657379,0.00133675,-0.00261643,0.00034802,-0.0370847,0.311286,-0.185135,-0.197005,0.455797,0.0579706,-0.12172,-0.38631,0.114447,-0.276623,0.379898,-0.00694907,-0.0342069,-0.0316909,0.0858678,0.0665697,0.0105783,-0.037486,-0.0103209,0.0506368,-0.062384,-0.0101228,-0.0449614,-0.0216417,-0.0360242,0.309781,-0.184748,-0.199002,0.445495,0.0578914,-0.1241,-0.386115,0.11372,-0.281399,0.367122,-0.00716117,-0.0347934,-0.031856,0.0861235,0.0660177,0.0115651,-0.0397669,-0.0109527,0.0486626,-0.0626623,-0.0100856,-0.0460659,-0.0214766,-0.105404,0.0813672,-0.0754122,0.268657,-0.053822,-0.0159044,-0.118615,-0.0928173,0.064758,0.25568,-0.0795382,0.0325502,-0.00521902,-0.0047784,0.382296,0.204757,0.0047706,0.853596,-0.00451797,0.368248,-0.203498,-0.00416032,0.850998,-0.0088591
