t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0556055,0,0.733421,0,-0.0254878,-0.00206321,-0.999673,0,0.25,0.2,0,DISABLED,0
0.0399988,1.08611e-05,4.32087e-06,0.0533395,1.4212e-05,0.733419,0,-0.0254736,-0.00206152,-0.999673,-8.72067e-06,0.25,0.2,0,DISABLED,0
0.0599988,3.65786e-05,1.93233e-05,0.0504135,2.64123e-05,0.733414,0,-0.0254614,-0.0020543,-0.999674,-1.47404e-05,0.25,0.2,0,DISABLED,0
0.0799987,0.000100804,6.16238e-05,0.0478403,4.30029e-05,0.7334,0,-0.0254448,-0.00203425,-0.999674,-1.84462e-05,0.25,0.2,0,DISABLED,0
0.0999987,-0.000415505,0.000487843,0.0354605,0.00271985,0.733237,0.00358812,-0.0227679,0.000268752,-0.999741,0.00292986,0.25,0.2,0,DISABLED,0
0.119999,-0.00110883,0.001933,0.0140968,0.00596649,0.732895,0.00919348,-0.0195213,0.0049312,-0.999797,0.0048469,0.25,0.2,0,DISABLED,0
0.139999,-0.00145546,0.00390173,-0.00124419,0.00737293,0.732703,0.0120498,-0.0181148,0.00747123,-0.999808,0.00532444,0.25,0.2,0,DISABLED,0
0.159999,-0.00167356,0.00607087,-0.00102144,0.00829877,0.732666,0.013093,-0.017189,0.0080615,-0.99982,0.00598874,0.25,0.2,0,DISABLED,0
0.179999,-0.00176811,0.00841496,0.000337183,0.00916792,0.732703,0.0136414,-0.0163199,0.00803414,-0.999835,0.00657204,0.25,0.2,0,DISABLED,0
0.199999,-0.00171486,0.0109473,-0.00510597,0.00999113,0.732819,0.0138151,-0.0154966,0.00747673,-0.999852,0.00691087,0.25,0.2,0,DISABLED,0
0.219999,-0.00148738,0.0137428,-0.0149591,0.0106178,0.733016,0.0136371,-0.01487,0.00650001,-0.999868,0.00709708,0.25,0.2,0,DISABLED,0
0.239999,-0.00118405,0.0169178,-0.0240027,0.0114117,0.733247,0.0136894,-0.014076,0.00549583,-0.999886,0.00754027,0.25,0.2,0,DISABLED,0
0.259999,-0.000851044,0.0205761,-0.0275257,0.0124781,0.733467,0.0141012,-0.0130097,0.00450003,-0.999905,0.00812141,0.25,0.2,0,DISABLED,0
0.279999,-0.000503426,0.0248191,-0.0281877,0.0138249,0.733639,0.0149944,-0.0116629,0.00374003,-0.999925,0.0089446,0.25,0.2,0,DISABLED,0
0.299999,-0.000129028,0.0297164,-0.0329574,0.0153403,0.733691,0.0163229,-0.0101475,0.00350507,-0.999942,0.00972935,0.25,0.2,0,DISABLED,0
0.319999,0.000157519,0.0347188,-0.0455975,0.0171072,0.733466,0.0183547,-0.00838054,0.0045776,-0.999954,0.0101757,0.25,0.2,0,DISABLED,0
0.339998,0.000435376,0.0415964,-0.0420981,0.0197176,0.732464,0.0229601,-0.00577019,0.00969826,-0.999936,0.0115537,0.25,0.2,0,DISABLED,0
