t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0929628,0,0.445449,0,-0.247761,-0.0909484,-0.964543,0,0,-0.3,0,DISABLED,0
0.0399988,-0.0241679,0.00125077,-0.199788,-0.00100666,0.434319,0.0284011,-0.248768,-0.0626369,-0.966536,-0.0027,0,-0.3,0,DISABLED,0
0.0599988,-0.0532962,0.00117153,-0.216461,-0.00473335,0.421484,0.0348891,-0.252494,-0.0564125,-0.965953,-0.0143453,0,-0.3,0,DISABLED,0
0.0799987,-0.0779915,0.00162154,-0.175574,-0.0101768,0.410653,0.0366914,-0.257938,-0.0556998,-0.964555,-0.0230731,0,-0.3,0,DISABLED,0
0.0999987,-0.106479,0.00303751,-0.144529,-0.0161237,0.398621,0.0383985,-0.263885,-0.0561406,-0.962919,-0.0281588,0,-0.3,0,DISABLED,0
0.119999,-0.135023,0.00391117,-0.0378387,-0.0333057,0.389471,0.0345922,-0.281067,-0.0881362,-0.955633,-0.0609867,0,-0.3,0,DISABLED,0
0.139999,-0.163805,0.00664222,0.019405,-0.05717,0.379897,0.0598637,-0.304931,-0.0959317,-0.947531,-0.0888553,0,-0.3,0,DISABLED,0
0.159999,-0.190963,0.0101013,0.015549,-0.0718532,0.370261,0.0764655,-0.319614,-0.103827,-0.941842,-0.104974,0,-0.3,0,DISABLED,0
0.179999,-0.216564,0.0143302,0.0400829,-0.0774612,0.360705,0.0889998,-0.325222,-0.125213,-0.937311,-0.135826,0,-0.3,0,DISABLED,0
0.199999,-0.248504,0.0197825,0.0588902,-0.0803712,0.347073,0.102571,-0.328132,-0.146367,-0.933223,-0.164474,0,-0.3,0,DISABLED,0
0.219999,-0.275162,0.0240499,0.0760637,-0.082952,0.334093,0.114944,-0.330713,-0.162361,-0.92966,-0.190627,0,-0.3,0,DISABLED,0
0.239999,-0.306127,0.028577,0.0948892,-0.0838536,0.3173,0.131844,-0.331614,-0.18463,-0.925172,-0.228917,0,-0.3,0,DISABLED,0
0.259999,-0.33859,0.0319637,0.117762,-0.0856478,0.297822,0.149247,-0.333409,-0.204701,-0.920291,-0.26348,0,-0.3,0,DISABLED,0
0.279999,-0.37595,0.0342832,0.154649,-0.0896606,0.273228,0.170224,-0.337421,-0.22619,-0.913775,-0.302462,0,-0.3,0,DISABLED,0
0.299999,-0.40787,0.034569,0.18068,-0.0959535,0.251005,0.182183,-0.343714,-0.235244,-0.909132,-0.333171,0,-0.3,0,DISABLED,0
0.319999,-0.444805,0.0327585,0.207582,-0.107147,0.224512,0.186043,-0.354908,-0.230935,-0.90593,-0.366211,0,-0.3,0,DISABLED,0
0.339998,-0.483781,0.0282515,0.113274,-0.124792,0.197911,0.195418,-0.372553,-0.226324,-0.89999,-0.405308,0,-0.3,0,DISABLED,0
0.359998,-0.522396,0.0265684,-0.00777262,-0.14703,0.169893,0.182492,-0.394791,-0.178118,-0.90134,-0.446354,0,-0.3,0,DISABLED,0
0.379998,-0.546899,0.0365276,-0.202058,-0.142178,0.146576,0.168528,-0.389939,-0.160135,-0.90681,-0.484762,0,-0.3,0,DISABLED,0
0.399998,-0.5674,0.0536072,-0.25515,-0.116923,0.124001,0.160851,-0.364684,-0.187823,-0.911991,-0.522902,0,-0.3,0,DISABLED,0
0.419998,-0.595413,0.0627171,-0.265206,-0.115208,0.0932742,0.212119,-0.362968,-0.254928,-0.896251,-0.543215,0,-0.3,0,DISABLED,0
0.439998,-0.628366,0.0651498,0.0307461,-0.103099,0.0598752,0.275118,-0.35086,-0.329377,-0.876589,-0.596617,0,-0.3,0,DISABLED,0
0.459998,-0.660473,0.0703868,0.339176,-0.0441616,0.0324072,0.339698,-0.291922,-0.410624,-0.863811,-0.663816,0,-0.3,0,DISABLED,0
0.479998,-0.705825,0.0781175,0.431394,0.0216205,-0.00160395,0.404309,-0.22614,-0.475298,-0.850266,-0.679566,0,-0.3,0,DISABLED,0
0.499998,-0.74872,0.0830767,0.115224,0.0230858,-0.031355,0.445687,-0.224675,-0.51121,-0.829569,-0.641006,0,-0.3,0,DISABLED,0
0.519998,-0.786997,0.084184,-0.0132369,0.00339368,-0.0562058,0.473714,-0.244367,-0.533875,-0.809482,-0.639659,0,-0.3,0,DISABLED,0
