t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0556533,0,0.733394,0,-0.0252999,-0.00214298,-0.999678,0,-0.3,0,0,DISABLED,0
0.0399988,1.26474e-06,3.6764e-07,0.0565637,1.79876e-05,0.733396,0,-0.0252819,-0.00214165,-0.999678,-9.82638e-06,-0.3,0,0,DISABLED,0
0.0599988,-1.56099e-05,4.10713e-07,0.0577049,3.3766e-05,0.733402,0,-0.0252661,-0.00213733,-0.999678,-2.40796e-05,-0.3,0,0,DISABLED,0
0.0799987,-6.67851e-05,-4.37722e-07,0.0586584,3.57553e-05,0.733413,0,-0.0252642,-0.00213113,-0.999679,-4.46163e-05,-0.3,0,0,DISABLED,0
0.0999987,-0.000822641,0.000345679,0.024893,0.00276244,0.733301,0.00375056,-0.0225375,0.000366142,-0.999746,0.00259444,-0.3,0,0,DISABLED,0
0.119999,-0.00206995,0.00157784,0.00392991,0.00643405,0.733079,0.00979005,-0.0188659,0.00523671,-0.999808,0.00477762,-0.3,0,0,DISABLED,0
0.139999,-0.00317382,0.00331021,-0.0152338,0.00756767,0.733011,0.0123865,-0.0177322,0.00765554,-0.999813,0.00480605,-0.3,0,0,DISABLED,0
0.159999,-0.00440165,0.00525463,-0.0187171,0.00765903,0.733069,0.0128726,-0.0176409,0.00819932,-0.999811,0.00453407,-0.3,0,0,DISABLED,0
0.179999,-0.00583718,0.00736007,-0.0182968,0.00769515,0.73317,0.0131066,-0.0176048,0.00846654,-0.999809,0.00439008,-0.3,0,0,DISABLED,0
0.199999,-0.00744581,0.00965574,-0.0204312,0.00776691,0.733297,0.0132738,-0.017533,0.00861548,-0.999809,0.00402422,-0.3,0,0,DISABLED,0
0.219999,-0.00924673,0.0122212,-0.0253477,0.00796104,0.733469,0.0135669,-0.0173389,0.00884214,-0.999811,0.00292323,-0.3,0,0,DISABLED,0
0.239999,-0.0112745,0.0151764,-0.0284287,0.00828369,0.733694,0.0142233,-0.0170162,0.00941681,-0.999811,0.0015428,-0.3,0,0,DISABLED,0
0.259999,-0.0133338,0.0182685,-0.0236333,0.00881821,0.733918,0.0150381,-0.0164817,0.0100353,-0.999814,0.000588819,-0.3,0,0,DISABLED,0
0.279999,-0.0161423,0.0226819,-0.0149181,0.00976153,0.734154,0.0160095,-0.0155384,0.0105453,-0.999824,-0.000380858,-0.3,0,0,DISABLED,0
0.299999,-0.0189261,0.0273683,-0.00734553,0.0107636,0.734193,0.0172048,-0.0145363,0.0112783,-0.999831,-0.00146204,-0.3,0,0,DISABLED,0
0.319999,-0.0219599,0.0327329,-0.00242156,0.012211,0.73379,0.0200734,-0.0130889,0.0137864,-0.999819,-0.00255499,-0.3,0,0,DISABLED,0
0.339998,-0.0248485,0.0381543,0.0135289,0.0137813,0.732721,0.0252335,-0.0115186,0.0189912,-0.999753,-0.00309613,-0.3,0,0,DISABLED,0
0.359998,-0.0286748,0.0446971,0.0556209,0.015419,0.731734,0.0263521,-0.00988094,0.0192239,-0.999766,-0.00281566,-0.3,0,0,DISABLED,0
0.379998,-0.0315312,0.0492363,0.0924415,0.0136757,0.7327,0.0180204,-0.0116243,0.00959164,-0.999886,-0.00486344,-0.3,0,0,DISABLED,0
0.399998,-0.0344967,0.0546897,0.0875041,0.00978862,0.733935,0.018208,-0.0155113,0.0132068,-0.999792,-0.0104947,-0.3,0,0,DISABLED,0
0.419998,-0.0380349,0.0600327,0.0745798,0.0072781,0.735078,0.0216809,-0.0180218,0.0182772,-0.999671,-0.0125829,-0.3,0,0,DISABLED,0
0.439998,-0.0414528,0.0643122,0.0588415,0.00506771,0.735853,0.0242136,-0.0202322,0.0215328,-0.999563,-0.0149385,-0.3,0,0,DISABLED,0
0.459998,-0.0446232,0.0677444,0.0458209,0.00249058,0.73632,0.0259004,-0.0228093,0.0236364,-0.99946,-0.0173453,-0.3,0,0,DISABLED,0
0.479998,-0.0485916,0.0713656,0.0387002,-0.000630792,0.736607,0.0267071,-0.0259307,0.0245526,-0.999362,-0.0201656,-0.3,0,0,DISABLED,0
0.499998,-0.0522895,0.0741675,0.0354221,-0.00425472,0.736686,0.0269051,-0.0295546,0.0244205,-0.999265,-0.0237954,-0.3,0,0,DISABLED,0
0.519998,-0.0560813,0.0765342,0.0333412,-0.00815425,0.736681,0.0270883,-0.0334542,0.0236835,-0.99916,-0.0280551,-0.3,0,0,DISABLED,0
0.539998,-0.0599815,0.07845,0.030178,-0.0120994,0.736627,0.0273969,-0.0373993,0.0224271,-0.999049,-0.0328134,-0.3,0,0,DISABLED,0
0.559998,-0.0639717,0.0798816,0.0264381,-0.0160756,0.736554,0.02788,-0.0413755,0.0206221,-0.998931,-0.0377834,-0.3,0,0,DISABLED,0
0.579998,-0.0680445,0.0808061,0.0207569,-0.0199509,0.736471,0.0287454,-0.0452508,0.0185286,-0.998804,-0.0423379,-0.3,0,0,DISABLED,0
0.599998,-0.0722144,0.0812364,0.0133387,-0.0234577,0.736357,0.0299619,-0.0487576,0.0164675,-0.998675,-0.0464495,-0.3,0,0,DISABLED,0
0.619998,-0.0764631,0.0812055,0.00455257,-0.0264441,0.736204,0.0312513,-0.051744,0.0144713,-0.998556,-0.0503757,-0.3,0,0,DISABLED,0
0.639998,-0.08078,0.0806896,-0.00477853,-0.0287072,0.736012,0.0322483,-0.0540072,0.0124934,-0.998462,-0.0541187,-0.3,0,0,DISABLED,0
0.659998,-0.0847037,0.0797864,-0.013625,-0.0301185,0.735803,0.0326853,-0.0554184,0.0104855,-0.998408,-0.0580061,-0.3,0,0,DISABLED,0
0.679998,-0.0894939,0.0780372,-0.0211553,-0.0306701,0.735508,0.0325299,-0.05597,0.00861432,-0.998395,-0.0607297,-0.3,0,0,DISABLED,0
0.699998,-0.0938088,0.0758391,-0.0261516,-0.030317,0.735204,0.0313921,-0.055617,0.00589171,-0.998435,-0.0637153,-0.3,0,0,DISABLED,0
0.719998,-0.0980856,0.0731193,-0.0230056,-0.0288466,0.734848,0.0293467,-0.0541465,0.00311722,-0.998528,-0.0662346,-0.3,0,0,DISABLED,0
0.739998,-0.101911,0.0702287,-0.0117188,-0.026549,0.734414,0.026658,-0.0518489,2.69761e-05,-0.998655,-0.0679996,-0.3,0,0,DISABLED,0
0.759998,-0.106222,0.0665255,0.00670543,-0.0228036,0.733698,0.0230482,-0.0481035,-0.00537964,-0.998828,-0.0703472,-0.3,0,0,DISABLED,0
0.779998,-0.110917,0.0620737,0.0281284,-0.0182531,0.732897,0.0204325,-0.043553,-0.0112946,-0.998987,-0.070813,-0.3,0,0,DISABLED,0
0.799998,-0.115116,0.057933,0.0349733,-0.0143072,0.732796,0.0203154,-0.0396071,-0.0165535,-0.999078,-0.0703222,-0.3,0,0,DISABLED,0
0.819998,-0.119145,0.0540199,0.0318078,-0.0121887,0.733677,0.0207652,-0.0374886,-0.0189459,-0.999117,-0.066364,-0.3,0,0,DISABLED,0
0.839998,-0.123064,0.0501121,0.00616318,-0.012165,0.734626,0.0253161,-0.0374649,-0.0243325,-0.999002,-0.0612644,-0.3,0,0,DISABLED,0
0.859998,-0.127123,0.0466558,-0.00142589,-0.0125875,0.73519,0.0307629,-0.0378874,-0.0301955,-0.998826,-0.0558527,-0.3,0,0,DISABLED,0
0.879998,-0.131195,0.0437693,-0.00981337,-0.0131222,0.735451,0.0348703,-0.0384221,-0.0344318,-0.998668,-0.0508302,-0.3,0,0,DISABLED,0
0.899998,-0.135259,0.041367,-0.0164421,-0.0134858,0.735546,0.0382818,-0.0387857,-0.0379492,-0.998527,-0.0448125,-0.3,0,0,DISABLED,0
0.919998,-0.139401,0.039252,-0.0207867,-0.0130082,0.735595,0.0402896,-0.0383081,-0.0402519,-0.998455,-0.0390917,-0.3,0,0,DISABLED,0
0.939998,-0.143188,0.0375453,-0.0271136,-0.0119752,0.735653,0.0416173,-0.0372751,-0.0419776,-0.998423,-0.0346739,-0.3,0,0,DISABLED,0
0.959998,-0.147873,0.0357121,-0.0357017,-0.0103499,0.735745,0.0426853,-0.0356498,-0.0435319,-0.998416,-0.0304053,-0.3,0,0,DISABLED,0
0.979998,-0.152216,0.034242,-0.0439303,-0.00885577,0.735837,0.0435591,-0.0341557,-0.0447693,-0.998413,-0.0273304,-0.3,0,0,DISABLED,0
0.999998,-0.156679,0.0329809,-0.0512145,-0.00768156,0.73591,0.0442881,-0.0329815,-0.0457376,-0.998409,-0.0246733,-0.3,0,0,DISABLED,0
1.02,-0.160848,0.0320871,-0.0551719,-0.00693415,0.73594,0.0443325,-0.0322341,-0.0459096,-0.998425,-0.0224459,-0.3,0,0,DISABLED,0
1.04,-0.166193,0.0313744,-0.0522763,-0.0061969,0.735936,0.042954,-0.0314968,-0.0446282,-0.998507,-0.0195014,-0.3,0,0,DISABLED,0
1.06,-0.1708,0.0311292,-0.0394078,-0.00538332,0.735891,0.0405095,-0.0306832,-0.0422765,-0.998635,-0.0168851,-0.3,0,0,DISABLED,0
1.08,-0.17613,0.0312255,-0.0224153,-0.00412331,0.735812,0.0368309,-0.0294232,-0.0387301,-0.998816,-0.013863,-0.3,0,0,DISABLED,0
1.1,-0.182188,0.0317989,-0.00262746,-0.00250312,0.73574,0.0321706,-0.027803,-0.0342065,-0.999028,-0.010625,-0.3,0,0,DISABLED,0
1.12,-0.187765,0.0327481,0.0159115,-0.000589397,0.735733,0.0258312,-0.0258893,-0.0279623,-0.999274,-0.00683193,-0.3,0,0,DISABLED,0
1.14,-0.19325,0.0341152,0.0358404,0.00064306,0.735813,0.0192549,-0.0246568,-0.0213849,-0.999467,-0.0038874,-0.3,0,0,DISABLED,0
1.16,-0.198023,0.0356745,0.0557241,0.00109481,0.735903,0.0117999,-0.0242051,-0.0138884,-0.999611,-0.00100398,-0.3,0,0,DISABLED,0
1.18,-0.203191,0.0377899,0.0750799,0.0011215,0.735815,0.00353794,-0.0241784,-0.00549291,-0.999693,0.00209694,-0.3,0,0,DISABLED,0
1.2,-0.208808,0.0403127,0.0983382,0.000971487,0.735553,0.00888353,-0.0243284,0.00668459,-0.999682,0.00943882,-0.3,0,0,DISABLED,0
1.22,-0.214029,0.0428518,0.10463,0.00102193,0.735614,0.0195499,-0.024278,0.0173757,-0.999554,0.0171024,-0.3,0,0,DISABLED,0
1.24,-0.219587,0.0455406,0.0777379,0.00095881,0.73625,0.024783,-0.0243411,0.0226208,-0.999448,0.0205857,-0.3,0,0,DISABLED,0
1.26,-0.224554,0.0483584,0.0614198,-0.00131905,0.737089,0.0276697,-0.026619,0.0254928,-0.999321,0.0199818,-0.3,0,0,DISABLED,0
1.28,-0.23053,0.0522954,0.0660847,-0.00420644,0.737571,0.0318165,-0.0295063,0.0293889,-0.999132,0.0190478,-0.3,0,0,DISABLED,0
1.3,-0.235689,0.0558964,0.0679707,-0.00843864,0.73766,0.037584,-0.0337385,0.0344685,-0.998836,0.0177377,-0.3,0,0,DISABLED,0
1.32,-0.240513,0.0592458,0.0572219,-0.0122071,0.737557,0.0422176,-0.037507,0.038253,-0.998564,0.0161226,-0.3,0,0,DISABLED,0
1.34,-0.244606,0.0619261,0.045138,-0.015261,0.737402,0.0457607,-0.0405609,0.0409722,-0.998337,0.014156,-0.3,0,0,DISABLED,0
1.36,-0.249258,0.0647182,0.0289584,-0.0177934,0.737248,0.0484419,-0.0430933,0.0428823,-0.99815,0.0116525,-0.3,0,0,DISABLED,0
1.38,-0.252821,0.0665848,0.0112871,-0.0199763,0.737184,0.0502045,-0.0452762,0.0438799,-0.99801,0.00842465,-0.3,0,0,DISABLED,0
1.4,-0.257008,0.0683284,-0.00166121,-0.0217625,0.73716,0.0508946,-0.0470624,0.0438256,-0.99793,0.00444609,-0.3,0,0,DISABLED,0
1.42,-0.260762,0.0693184,-0.00672907,-0.022978,0.73716,0.050569,-0.0482779,0.042863,-0.997914,0.000352457,-0.3,0,0,DISABLED,0
1.44,-0.264532,0.0696554,-0.00456148,-0.0234372,0.737159,0.0490705,-0.0487371,0.0409293,-0.997973,-0.00363719,-0.3,0,0,DISABLED,0
1.46,-0.268317,0.0693906,-0.00128862,-0.0231818,0.737182,0.0467813,-0.0484817,0.0384537,-0.998084,-0.00802132,-0.3,0,0,DISABLED,0
1.48,-0.272126,0.0684873,0.000340074,-0.0220284,0.737227,0.0435701,-0.0473283,0.0354165,-0.998251,-0.0127223,-0.3,0,0,DISABLED,0
1.5,-0.275947,0.0669752,-0.000153393,-0.0199092,0.737272,0.0397473,-0.0452091,0.0322334,-0.998457,-0.0170957,-0.3,0,0,DISABLED,0
1.52,-0.279779,0.0649301,0.00218055,-0.0168246,0.737308,0.0355124,-0.0421245,0.0291131,-0.998688,-0.021527,-0.3,0,0,DISABLED,0
1.54,-0.283271,0.0626263,0.0123571,-0.0126502,0.737309,0.030312,-0.0379501,0.0253907,-0.998957,-0.0255111,-0.3,0,0,DISABLED,0
1.56,-0.287239,0.0595048,0.0303695,-0.00742661,0.737192,0.023012,-0.0327265,0.0196318,-0.999272,-0.0286091,-0.3,0,0,DISABLED,0
1.58,-0.291248,0.0558288,0.0524339,-0.00234123,0.736851,0.0137285,-0.0276411,0.0113795,-0.999553,-0.0302156,-0.3,0,0,DISABLED,0
1.6,-0.295504,0.0518498,0.0705229,0.00338697,0.736589,0.00465791,-0.0219129,0.00104754,-0.999759,-0.0319153,-0.3,0,0,DISABLED,0
1.62,-0.299192,0.0482641,0.0731838,0.00745216,0.736627,0.0101781,-0.0178478,-0.0090748,-0.9998,-0.0319096,-0.3,0,0,DISABLED,0
1.64,-0.303069,0.0446852,0.0552869,0.0109537,0.736029,0.0251554,-0.0143462,-0.024784,-0.99959,-0.0349022,-0.3,0,0,DISABLED,0
1.66,-0.307122,0.0423198,0.0166638,0.011855,0.736036,0.0273838,-0.0134449,-0.0268241,-0.99955,-0.0308771,-0.3,0,0,DISABLED,0
1.68,-0.310864,0.0402507,-0.0306163,0.00859743,0.736008,0.0278586,-0.0167025,-0.0286398,-0.99945,-0.0246395,-0.3,0,0,DISABLED,0
