t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0557661,0,0.356272,0,-0.016625,0.184784,-0.982638,0,0,0.3,0,DISABLED,0
0.0399988,-0.0177805,0.00317949,0.0570483,0.00370256,0.35476,0.00668608,-0.0129225,0.179322,-0.983706,0.0171145,0,0.3,0,DISABLED,0
0.0599988,-0.0346447,0.00615841,0.0379401,0.005495,0.352221,0.0187531,-0.01113,0.167151,-0.985868,0.0381309,0,0.3,0,DISABLED,0
0.0799987,-0.0525184,0.00962025,-0.00617456,0.00380239,0.347297,0.0427565,-0.0128226,0.142785,-0.989671,0.0569135,0,0.3,0,DISABLED,0
0.0999987,-0.0674801,0.0131719,0.0590764,0.000649912,0.341503,0.0635445,-0.0159751,0.122008,-0.992401,0.0566635,0,0.3,0,DISABLED,0
0.119999,-0.0825901,0.0160536,0.104749,-0.00491351,0.333422,0.0977519,-0.0215385,0.0880978,-0.995879,0.042306,0,0.3,0,DISABLED,0
0.139999,-0.101507,0.0182455,0.120604,-0.0122834,0.320872,0.132345,-0.0289085,0.0540213,-0.998121,0.0423097,0,0.3,0,DISABLED,0
0.159999,-0.121369,0.0255604,0.0814526,-0.0237523,0.314524,0.103247,-0.0403774,0.0851866,-0.995547,0.0506766,0,0.3,0,DISABLED,0
0.179999,-0.141852,0.0310398,0.0396521,-0.042598,0.310147,0.0992778,-0.059223,0.0958323,-0.993634,0.0700688,0,0.3,0,DISABLED,0
0.199999,-0.161185,0.0336448,0.0267785,-0.051914,0.307123,0.10848,-0.068539,0.0902221,-0.99356,0.0895827,0,0.3,0,DISABLED,0
0.219999,-0.178954,0.0355156,0.00546968,-0.0556249,0.304688,0.118227,-0.0722499,0.0811679,-0.994078,0.104981,0,0.3,0,DISABLED,0
0.239999,-0.196828,0.0378421,-0.0148798,-0.057447,0.301904,0.126981,-0.0740721,0.0722741,-0.99463,0.11804,0,0.3,0,DISABLED,0
0.259999,-0.221177,0.0429636,-0.036849,-0.0587287,0.29651,0.136496,-0.0753537,0.0623295,-0.995207,0.125831,0,0.3,0,DISABLED,0
0.279999,-0.242272,0.0493131,-0.072819,-0.058506,0.289559,0.141674,-0.0751311,0.0565359,-0.99557,0.126821,0,0.3,0,DISABLED,0
0.299999,-0.262197,0.0570153,-0.0708394,-0.0547092,0.28054,0.134755,-0.0713342,0.0624205,-0.995497,0.124959,0,0.3,0,DISABLED,0
0.319999,-0.286354,0.0676196,-0.0503716,-0.0415731,0.266485,0.11122,-0.0581981,0.08242,-0.994897,0.127457,0,0.3,0,DISABLED,0
0.339998,-0.314544,0.0811907,0.00769681,-0.0117668,0.249296,0.0651948,-0.0283918,0.121389,-0.992199,0.136594,0,0.3,0,DISABLED,0
0.359998,-0.347739,0.0988218,0.0462159,0.0235221,0.227779,0.031278,0.00689705,0.164507,-0.986352,0.140209,0,0.3,0,DISABLED,0
0.379998,-0.378095,0.116297,0.0348173,0.0475424,0.20646,0.0483902,0.0309174,0.193543,-0.980605,0.136689,0,0.3,0,DISABLED,0
0.399998,-0.40495,0.132485,0.00190613,0.0588794,0.185817,0.0652753,0.0422543,0.212216,-0.976309,0.13337,0,0.3,0,DISABLED,0
0.419998,-0.433624,0.14886,-0.030701,0.0591527,0.162978,0.0685113,0.0425277,0.21845,-0.974921,0.133726,0,0.3,0,DISABLED,0
0.439998,-0.453565,0.155153,-0.100567,0.0317097,0.161035,0.045944,0.0150846,0.152022,-0.988262,0.123957,0,0.3,0,DISABLED,0
0.459998,-0.473665,0.161904,-0.0426135,0.0143486,0.163169,0.0345474,-0.00227643,0.153836,-0.988094,0.128558,0,0.3,0,DISABLED,0
0.479998,-0.497455,0.167031,-0.0169432,0.0181105,0.165003,0.0324914,0.00148551,0.158235,-0.9874,0.147246,0,0.3,0,DISABLED,0
0.499998,-0.516783,0.171547,0.0180105,0.0268327,0.165017,0.0427955,0.0102077,0.151941,-0.988337,0.154138,0,0.3,0,DISABLED,0
0.519998,-0.537233,0.17722,0.0274277,0.0305275,0.163525,0.0546234,0.0139025,0.140106,-0.990039,0.156987,0,0.3,0,DISABLED,0
0.539998,-0.556449,0.183174,0.0251686,0.0276168,0.160364,0.0670326,0.0109917,0.124466,-0.992163,0.159282,0,0.3,0,DISABLED,0
0.559998,-0.575273,0.189018,0.0327137,0.0227429,0.155975,0.0841354,0.00611789,0.104679,-0.994487,0.161047,0,0.3,0,DISABLED,0
0.579998,-0.594584,0.195144,0.0504745,0.0196126,0.150559,0.101301,0.00298755,0.0863824,-0.996258,0.162049,0,0.3,0,DISABLED,0
0.599998,-0.616876,0.202532,0.0661688,0.0197435,0.143675,0.118822,0.00311849,0.0686489,-0.997636,0.16356,0,0.3,0,DISABLED,0
0.619998,-0.636078,0.209297,0.0814253,0.0222804,0.137448,0.13222,0.00565537,0.0555144,-0.998442,0.165727,0,0.3,0,DISABLED,0
0.639998,-0.658289,0.217974,0.0834903,0.0249418,0.129852,0.14659,0.00831675,0.0414075,-0.999108,0.167237,0,0.3,0,DISABLED,0
0.659998,-0.681525,0.228417,0.0837256,0.0257257,0.121351,0.161984,0.00910063,0.0259411,-0.999622,0.16241,0,0.3,0,DISABLED,0
0.679998,-0.705887,0.240728,0.0502679,0.0251531,0.111947,0.176226,0.00852804,0.01145,-0.999898,0.148803,0,0.3,0,DISABLED,0
0.699998,-0.73357,0.254806,-0.0776613,0.0267808,0.100311,0.200327,0.0101558,-0.0126558,-0.999868,0.118972,0,0.3,0,DISABLED,0
0.719998,-0.756484,0.263538,-0.109604,0.0389054,0.0885322,0.258377,0.0222804,-0.0694965,-0.997333,0.0698971,0,0.3,0,DISABLED,0
0.739998,-0.785379,0.266573,-0.00843892,0.0845489,0.0709392,0.362645,0.0679238,-0.165824,-0.983813,0.0191094,0,0.3,0,DISABLED,0
0.759998,-0.815428,0.271436,0.0156332,0.135041,0.0543931,0.392083,0.118416,-0.180585,-0.976405,0.0207983,0,0.3,0,DISABLED,0
0.779998,-0.839509,0.285047,-0.118547,0.148438,0.0530696,0.329379,0.131813,-0.107571,-0.985421,0.0294341,0,0.3,0,DISABLED,0
0.799998,-0.858597,0.294789,-0.111444,0.127019,0.0507237,0.296407,0.110394,-0.0817102,-0.990523,0.0193029,0,0.3,0,DISABLED,0
0.819998,-0.872203,0.299711,-0.205139,0.100295,0.0440936,0.267592,0.0836695,-0.0621536,-0.994553,0.0386301,0,0.3,0,DISABLED,0
0.839998,-0.890015,0.307213,-0.251556,0.0845364,0.0367347,0.230277,0.0679114,-0.0283645,-0.997288,0.052949,0,0.3,0,DISABLED,0
0.859998,-0.911688,0.318259,-0.184685,0.0889076,0.0303855,0.211653,0.0722826,-0.00628843,-0.997364,0.0599741,0,0.3,0,DISABLED,0
0.879998,-0.937406,0.33274,-0.16165,0.112082,0.0227615,0.205609,0.0954574,0.0133129,-0.995345,0.0617152,0,0.3,0,DISABLED,0
0.899998,-0.966372,0.350683,-0.184152,0.142622,0.0135888,0.209651,0.125997,0.0319016,-0.991518,0.0516742,0,0.3,0,DISABLED,0
0.919998,-0.995228,0.370908,-0.102838,0.160053,0.00345412,0.211348,0.143428,0.0474878,-0.988521,0.0328499,0,0.3,0,DISABLED,0
0.939998,-1.02243,0.391777,-0.0598834,0.155263,-0.00777172,0.198849,0.138638,0.06121,-0.98845,0.0163935,0,0.3,0,DISABLED,0
0.959998,-1.04808,0.411609,-0.0318111,0.131277,-0.0207145,0.172984,0.114652,0.0727582,-0.990738,0.016655,0,0.3,0,DISABLED,0
0.979998,-1.07309,0.430249,-0.0207661,0.0957247,-0.0353831,0.13958,0.0790997,0.0839209,-0.993328,0.0300703,0,0.3,0,DISABLED,0
0.999998,-1.09971,0.448005,-0.0237211,0.0517806,-0.0541476,0.109303,0.0351555,0.0894326,-0.995372,0.0619505,0,0.3,0,DISABLED,0
1.02,-1.12366,0.463712,-0.0230637,0.0266518,-0.0694631,0.08515,0.0100268,0.104806,-0.994442,0.0890885,0,0.3,0,DISABLED,0
1.04,-1.15152,0.481001,0.0180643,0.0108323,-0.0873104,0.0628224,-0.00579274,0.123673,-0.992306,0.125914,0,0.3,0,DISABLED,0
1.06,-1.18009,0.497525,0.0388898,0.00728893,-0.108017,0.0342719,-0.0093361,0.151791,-0.988369,0.166104,0,0.3,0,DISABLED,0
1.08,-1.21074,0.514928,0.170838,0.0191221,-0.132734,0.0307959,0.00249702,0.208477,-0.978024,0.207127,0,0.3,0,DISABLED,0
1.1,-1.24131,0.53261,0.0705259,0.0343798,-0.158689,0.0861249,0.0177548,0.261719,-0.964981,0.224563,0,0.3,0,DISABLED,0
1.12,-1.26136,0.545927,0.17264,0.00663469,-0.163197,0.0370295,-0.00999035,0.220473,-0.975342,0.201685,0,0.3,0,DISABLED,0
1.14,-1.28352,0.563816,-0.00452562,-0.0108097,-0.16277,0.0411766,-0.0274347,0.223626,-0.974289,0.208068,0,0.3,0,DISABLED,0
1.16,-1.30357,0.579333,-0.0528618,-0.00691939,-0.160407,0.0480687,-0.0235444,0.231277,-0.972603,0.215822,0,0.3,0,DISABLED,0
1.18,-1.3274,0.598643,-0.0830234,0.00357071,-0.156817,0.0634101,-0.0130543,0.246602,-0.969029,0.216916,0,0.3,0,DISABLED,0
1.2,-1.3525,0.619712,-0.111442,0.0209119,-0.153965,0.0859417,0.00428688,0.265996,-0.963965,0.225574,0,0.3,0,DISABLED,0
1.22,-1.37848,0.642203,-0.115588,0.0408558,-0.153578,0.108997,0.0242307,0.282931,-0.958834,0.242047,0,0.3,0,DISABLED,0
1.24,-1.40485,0.666214,-0.111063,0.0541265,-0.15697,0.128909,0.0375014,0.29807,-0.953807,0.253181,0,0.3,0,DISABLED,0
1.26,-1.4311,0.690443,-0.0943083,0.0625967,-0.163614,0.1413,0.0459717,0.307192,-0.950537,0.262112,0,0.3,0,DISABLED,0
1.28,-1.45697,0.714519,-0.116241,0.067908,-0.172954,0.145997,0.051283,0.309555,-0.949498,0.271424,0,0.3,0,DISABLED,0
1.3,-1.48417,0.74101,-0.162896,0.0695041,-0.184644,0.155563,0.0528791,0.318946,-0.946297,0.27716,0,0.3,0,DISABLED,0
1.32,-1.51505,0.772559,-0.183625,0.0616954,-0.196797,0.182597,0.0450704,0.349836,-0.935726,0.254456,0,0.3,0,DISABLED,0
1.34,-1.5462,0.80419,-0.262169,0.0472733,-0.208917,0.225591,0.0306483,0.395198,-0.918085,0.236274,0,0.3,0,DISABLED,0
1.36,-1.57637,0.833563,-0.328175,0.0278564,-0.221326,0.258581,0.0112313,0.428592,-0.903428,0.235978,0,0.3,0,DISABLED,0
1.38,-1.60585,0.861175,-0.369714,-0.00403037,-0.235088,0.294789,-0.0206554,0.462294,-0.886486,0.24941,0,0.3,0,DISABLED,0
1.4,-1.63763,0.890944,-0.414355,-0.045652,-0.252849,0.335629,-0.062277,0.494766,-0.866792,0.257787,0,0.3,0,DISABLED,0
1.42,-1.66303,0.915056,-0.38819,-0.0857147,-0.270229,0.379925,-0.10234,0.525653,-0.844521,0.260263,0,0.3,0,DISABLED,0
1.44,-1.69006,0.940795,-0.331483,-0.133974,-0.292667,0.439367,-0.150599,0.563056,-0.812581,0.265489,0,0.3,0,DISABLED,0
