t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.151343,0,0.355999,0,0.00348023,-0.0611998,-0.998119,0,0,0,0,DISABLED,0
0.0399988,-0.0119404,-0.00294036,-0.159299,-0.00820883,0.348802,0.0400268,-0.00472861,-0.0220596,-0.999745,-0.00436501,0,0,0,DISABLED,0
0.0599988,-0.0269217,-0.00447839,-0.08556,-0.00644198,0.337035,0.0945716,-0.00296175,0.0331075,-0.999447,-0.00333095,0,0,0,DISABLED,0
0.0799987,-0.0445111,-0.00392538,0.0129892,0.0113271,0.322082,0.164952,0.0148073,0.103137,-0.994557,0.00428747,0,0,0,DISABLED,0
0.0999987,-0.0633091,-0.00436324,-0.00644967,0.0363861,0.3051,0.218524,0.0398663,0.153562,-0.987334,0.00741595,0,0,0,DISABLED,0
0.119999,-0.079379,-0.0136302,0.0773796,0.0442407,0.303745,0.186008,0.0477209,0.119082,-0.991737,-0.0239763,0,0,0,DISABLED,0
0.139999,-0.0932215,-0.0235475,-0.0582741,0.0367105,0.304417,0.183281,0.0401907,0.118008,-0.992199,-0.0180973,0,0,0,DISABLED,0
0.159999,-0.1053,-0.0316014,-0.196005,0.0360938,0.303527,0.170602,0.039574,0.105269,-0.993656,-0.00339371,0,0,0,DISABLED,0
0.179999,-0.119883,-0.0407947,-0.161234,0.0383504,0.299699,0.132778,0.0418306,0.0658121,-0.996955,-0.000473086,0,0,0,DISABLED,0
0.199999,-0.13248,-0.0501935,-0.138112,0.0359979,0.293801,0.0936627,0.0394781,0.0252287,-0.998902,0.00393124,0,0,0,DISABLED,0
0.219999,-0.144047,-0.0608431,-0.088763,0.0326172,0.286144,0.0576252,0.0360974,-0.0137172,-0.999254,0.0112795,0,0,0,DISABLED,0
0.239999,-0.159041,-0.0765705,-0.0420016,0.0325465,0.274365,0.0327909,0.0360267,-0.0650775,-0.99723,0.0117832,0,0,0,DISABLED,0
0.259999,-0.173656,-0.0929615,0.00729603,0.0395497,0.261452,0.0757363,0.0430299,-0.125393,-0.991174,-0.00402378,0,0,0,DISABLED,0
0.279999,-0.190503,-0.109916,0.0443003,0.0587032,0.246078,0.143001,0.0621834,-0.190166,-0.979781,-0.0299121,0,0,0,DISABLED,0
0.299999,-0.205193,-0.119842,0.0991618,0.0745164,0.238987,0.143162,0.0779966,-0.181975,-0.980205,-0.0304836,0,0,0,DISABLED,0
0.319999,-0.216583,-0.130666,-0.0682894,0.0681448,0.240611,0.129092,0.0716251,-0.169671,-0.982894,-0.00966012,0,0,0,DISABLED,0
