t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0107442,0,0.377752,0,-0.0457339,0.0436378,-0.998,0,0,0,-0.5,DISABLED,0
0.0399988,-0.0156738,-0.00476915,-0.00575751,0.00432064,0.369746,0.0494843,-0.0414133,-0.00563969,-0.999126,-0.00620298,0,0,-0.5,DISABLED,0
0.0599988,-0.0325809,-0.0119274,0.0266196,0.0188181,0.358803,0.11345,-0.0269158,-0.0681773,-0.99731,-0.026913,0,0,-0.5,DISABLED,0
0.0799987,-0.0519332,-0.0170096,0.11606,0.0408271,0.348572,0.133086,-0.00490682,-0.0829199,-0.996544,-0.0296268,0,0,-0.5,DISABLED,0
0.0999987,-0.0696709,-0.0172759,0.00444636,0.047432,0.347088,0.0991412,0.00169808,-0.0433689,-0.999058,-0.0081857,0,0,-0.5,DISABLED,0
0.119999,-0.0837461,-0.0195297,0.0262749,0.0396199,0.346465,0.0977739,-0.00611403,-0.0457016,-0.998936,-0.00411855,0,0,-0.5,DISABLED,0
0.139999,-0.0973911,-0.0214142,-0.0219365,0.031938,0.345134,0.0943453,-0.0137959,-0.0450959,-0.998887,0.0020667,0,0,-0.5,DISABLED,0
0.159999,-0.113368,-0.0225314,-0.0472145,0.0302698,0.343076,0.0884745,-0.0154641,-0.0394597,-0.999102,0.0113984,0,0,-0.5,DISABLED,0
0.179999,-0.127118,-0.022233,-0.058983,0.0317725,0.340948,0.0845514,-0.0139614,-0.0346787,-0.999301,0.016973,0,0,-0.5,DISABLED,0
0.199999,-0.142895,-0.020339,-0.0713902,0.0331687,0.337966,0.0792857,-0.0125652,-0.0283375,-0.999519,0.021051,0,0,-0.5,DISABLED,0
0.219999,-0.159442,-0.0168534,-0.0772268,0.0348258,0.33416,0.0721235,-0.0109081,-0.0194788,-0.999751,0.0237318,0,0,-0.5,DISABLED,0
0.239999,-0.177368,-0.0118311,-0.0677642,0.0398723,0.329425,0.064721,-0.00586163,-0.00729006,-0.999956,0.0237244,0,0,-0.5,DISABLED,0
0.259999,-0.196669,-0.00529945,-0.046562,0.0491627,0.323725,0.059498,0.00342883,0.0101975,-0.999942,0.0216727,0,0,-0.5,DISABLED,0
0.279999,-0.217263,0.00206727,-0.0142151,0.0645584,0.316169,0.0646758,0.0188245,0.040069,-0.99902,0.0271174,0,0,-0.5,DISABLED,0
0.299999,-0.238944,0.0090223,0.020358,0.0883396,0.305094,0.0963953,0.0426057,0.0820542,-0.995717,0.0442212,0,0,-0.5,DISABLED,0
0.319999,-0.261709,0.0159416,0.0260139,0.120411,0.290384,0.14963,0.074677,0.131716,-0.988471,0.0577322,0,0,-0.5,DISABLED,0
0.339998,-0.28393,0.0223094,0.00901362,0.150273,0.272251,0.192271,0.104539,0.161925,-0.98125,0.0642369,0,0,-0.5,DISABLED,0
0.359998,-0.307941,0.0318783,0.00587976,0.172937,0.250186,0.229844,0.127203,0.192191,-0.973079,0.0412278,0,0,-0.5,DISABLED,0
0.379998,-0.329024,0.0429929,0.0336125,0.179101,0.234538,0.264568,0.133367,0.234131,-0.963014,0.0191993,0,0,-0.5,DISABLED,0
0.399998,-0.351545,0.0525975,-0.0135081,0.163003,0.218765,0.266103,0.117269,0.249717,-0.961191,0.0229538,0,0,-0.5,DISABLED,0
0.419998,-0.375157,0.0599,-0.0983487,0.143562,0.203861,0.261009,0.0978281,0.257604,-0.961285,0.0398663,0,0,-0.5,DISABLED,0
0.439998,-0.399621,0.0644643,-0.0991429,0.130958,0.193908,0.23773,0.0852245,0.238974,-0.967279,0.0523808,0,0,-0.5,DISABLED,0
0.459998,-0.422332,0.0697801,-0.0740963,0.116341,0.191723,0.219309,0.0706072,0.227095,-0.97131,0.0613893,0,0,-0.5,DISABLED,0
0.479998,-0.444059,0.0755385,-0.0416402,0.107593,0.191397,0.227682,0.0618588,0.241538,-0.968418,0.0726366,0,0,-0.5,DISABLED,0
0.499998,-0.465064,0.080309,-0.0592832,0.105461,0.19156,0.237483,0.0597266,0.2533,-0.965542,0.0873791,0,0,-0.5,DISABLED,0
0.519998,-0.485314,0.0853827,-0.0663916,0.105282,0.191567,0.244744,0.0595485,0.261178,-0.963452,0.0963974,0,0,-0.5,DISABLED,0
0.539998,-0.504876,0.0914037,-0.0452,0.103512,0.190878,0.247105,0.0577782,0.264515,-0.962649,0.0992856,0,0,-0.5,DISABLED,0
0.559998,-0.524117,0.0982629,-0.0360626,0.101289,0.188751,0.24437,0.055555,0.262627,-0.963297,0.103643,0,0,-0.5,DISABLED,0
0.579998,-0.543414,0.106348,-0.0232442,0.0989099,0.18453,0.234458,0.053176,0.253183,-0.965956,0.107378,0,0,-0.5,DISABLED,0
0.599998,-0.563196,0.116306,-0.0178533,0.0964635,0.177923,0.218875,0.0507296,0.237617,-0.970033,0.109842,0,0,-0.5,DISABLED,0
0.619998,-0.581917,0.127449,-0.0523853,0.0948778,0.169744,0.203675,0.0491439,0.221838,-0.973844,0.109949,0,0,-0.5,DISABLED,0
0.639998,-0.606313,0.144245,-0.115302,0.0928476,0.157057,0.186749,0.0471137,0.204093,-0.977817,0.103225,0,0,-0.5,DISABLED,0
0.659998,-0.629771,0.16206,-0.173803,0.0904664,0.143176,0.172548,0.0447325,0.189316,-0.980897,0.0901181,0,0,-0.5,DISABLED,0
0.679998,-0.656952,0.182645,-0.263527,0.0900799,0.125279,0.147884,0.044346,0.160144,-0.986097,0.0652694,0,0,-0.5,DISABLED,0
0.699998,-0.679945,0.197461,-0.156809,0.0950114,0.108068,0.110162,0.0492774,0.0991278,-0.993854,0.027553,0,0,-0.5,DISABLED,0
0.719998,-0.705156,0.207415,-0.0108261,0.115298,0.0871692,0.120551,0.0695642,0.00869403,-0.99754,-0.0248294,0,0,-0.5,DISABLED,0
