t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0557209,0,0.733397,0,-0.0253956,-0.00253628,-0.999674,0,-0.25,0.2,0,DISABLED,0
0.0399988,1.43889e-06,4.43636e-06,0.054951,1.52178e-05,0.733399,0,-0.0253804,-0.0025306,-0.999675,-1.22911e-05,-0.25,0.2,0,DISABLED,0
0.0599988,-7.50273e-06,1.58285e-05,0.0539421,2.36686e-05,0.733401,0,-0.0253719,-0.00251736,-0.999675,-2.48744e-05,-0.25,0.2,0,DISABLED,0
0.0799987,-4.12026e-05,3.94012e-05,0.0526295,1.7412e-05,0.733407,0,-0.0253782,-0.00249229,-0.999675,-4.00295e-05,-0.25,0.2,0,DISABLED,0
0.0999987,-0.000891238,0.000537078,0.0200219,0.002726,0.733279,0.00352105,-0.0226696,-0.000299528,-0.999743,0.00256044,-0.25,0.2,0,DISABLED,0
0.119999,-0.00191615,0.00181218,-0.00427771,0.00625833,0.733055,0.00965517,-0.0191373,0.00481552,-0.999805,0.00439385,-0.25,0.2,0,DISABLED,0
0.139999,-0.0031132,0.00386844,-0.0200917,0.00746437,0.732931,0.0122995,-0.0179312,0.00723544,-0.999813,0.00460253,-0.25,0.2,0,DISABLED,0
0.159999,-0.0042422,0.00573091,-0.0209237,0.00797296,0.732928,0.0132288,-0.0174226,0.00801556,-0.999816,0.00468864,-0.25,0.2,0,DISABLED,0
0.179999,-0.00567304,0.00797665,-0.0215865,0.00840217,0.73297,0.013914,-0.0169934,0.00855113,-0.999819,0.00470903,-0.25,0.2,0,DISABLED,0
0.199999,-0.00726146,0.0104416,-0.0256471,0.00881075,0.733052,0.0144808,-0.0165848,0.00895057,-0.999822,0.00468908,-0.25,0.2,0,DISABLED,0
0.219999,-0.0092325,0.0134643,-0.030941,0.00931437,0.733216,0.0150262,-0.0160812,0.0092558,-0.999828,0.00462798,-0.25,0.2,0,DISABLED,0
0.239999,-0.0110703,0.0162936,-0.0335948,0.00998975,0.733418,0.0158411,-0.0154058,0.00976024,-0.999834,0.00433653,-0.25,0.2,0,DISABLED,0
0.259999,-0.0135987,0.0203313,-0.0296069,0.0109297,0.733718,0.0168229,-0.0144659,0.0102518,-0.999843,0.00377685,-0.25,0.2,0,DISABLED,0
0.279999,-0.0159069,0.0241564,-0.0209243,0.0121617,0.733969,0.0178242,-0.0132339,0.0104931,-0.999857,0.00333952,-0.25,0.2,0,DISABLED,0
0.299999,-0.0186801,0.0290077,-0.0136681,0.0134832,0.734171,0.0188703,-0.0119124,0.010665,-0.999872,0.00284691,-0.25,0.2,0,DISABLED,0
0.319999,-0.0217084,0.0345477,-0.0112308,0.015151,0.734119,0.0209652,-0.0102446,0.0119551,-0.999876,0.00234358,-0.25,0.2,0,DISABLED,0
0.339998,-0.0253191,0.0414367,-0.00636187,0.0175224,0.733425,0.0258266,-0.00787323,0.0164365,-0.999834,0.00221864,-0.25,0.2,0,DISABLED,0
0.359998,-0.0288748,0.0484062,0.028893,0.0197997,0.732133,0.0320145,-0.00559593,0.0226199,-0.999729,0.00289734,-0.25,0.2,0,DISABLED,0
0.379998,-0.0320199,0.053931,0.0813984,0.0203272,0.732232,0.0274251,-0.00506842,0.015872,-0.999861,0.0041784,-0.25,0.2,0,DISABLED,0
0.399998,-0.0353385,0.0605181,0.0917938,0.0166568,0.733529,0.0208883,-0.00873877,0.010061,-0.999911,7.91284e-05,-0.25,0.2,0,DISABLED,0
0.419998,-0.0383644,0.066468,0.0850897,0.0133247,0.734493,0.0209026,-0.0120709,0.0135687,-0.999835,-0.00374833,-0.25,0.2,0,DISABLED,0
0.439998,-0.0412137,0.0713304,0.06597,0.00996533,0.735112,0.0222642,-0.0154303,0.0173691,-0.99973,-0.00578867,-0.25,0.2,0,DISABLED,0
0.459998,-0.0444289,0.0763047,0.0515012,0.00644446,0.735556,0.0230223,-0.0189511,0.0195652,-0.999629,-0.00824649,-0.25,0.2,0,DISABLED,0
0.479998,-0.0476985,0.0808352,0.0441485,0.0027386,0.735786,0.0231669,-0.022657,0.0204674,-0.999534,-0.0110719,-0.25,0.2,0,DISABLED,0
0.499998,-0.0513441,0.0853118,0.0395054,-0.00146994,0.735873,0.0231669,-0.0268655,0.0205825,-0.999427,-0.0142765,-0.25,0.2,0,DISABLED,0
0.519998,-0.0546504,0.088982,0.0335017,-0.00509777,0.73588,0.0234838,-0.0304934,0.0203855,-0.999327,-0.0171952,-0.25,0.2,0,DISABLED,0
0.539998,-0.057643,0.0919913,0.0286486,-0.00907266,0.735857,0.0242038,-0.0344683,0.0198958,-0.999208,-0.0208079,-0.25,0.2,0,DISABLED,0
0.559998,-0.060981,0.0949872,0.0223565,-0.0128931,0.735809,0.0251507,-0.0382887,0.0190487,-0.999085,-0.0244666,-0.25,0.2,0,DISABLED,0
