t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.055578,0,0.733441,0,-0.0256552,-0.00201549,-0.999669,0,0.3,0,0,DISABLED,0
0.0399988,9.19402e-06,4.79398e-07,0.0545969,1.44951e-05,0.733439,0,-0.0256407,-0.00201733,-0.999669,-6.87118e-06,0.3,0,0,DISABLED,0
0.0599988,4.494e-05,2.56626e-06,0.0531775,3.95384e-05,0.733434,0,-0.0256156,-0.00202163,-0.99967,-1.1639e-05,0.3,0,0,DISABLED,0
0.0799987,0.000108343,6.29784e-06,0.0518163,8.28505e-05,0.733424,0,-0.0255723,-0.00202647,-0.999671,-1.31476e-05,0.3,0,0,DISABLED,0
0.0999987,-0.000361213,0.000345675,0.0434866,0.00279987,0.733259,0.00370258,-0.0228553,0.000400801,-0.999739,0.00303882,0.3,0,0,DISABLED,0
0.119999,-0.000975437,0.00145737,0.025727,0.00619336,0.732952,0.00939866,-0.0194618,0.00505141,-0.999798,0.00532028,0.3,0,0,DISABLED,0
0.139999,-0.00123444,0.00341959,0.00783771,0.00740824,0.732738,0.0119505,-0.0182469,0.00735941,-0.999806,0.00572708,0.3,0,0,DISABLED,0
0.159999,-0.00120382,0.0054268,0.00362217,0.00786281,0.732723,0.0125775,-0.0177924,0.00780082,-0.999811,0.00604532,0.3,0,0,DISABLED,0
0.179999,-0.00107131,0.00755912,0.00420174,0.00844937,0.732795,0.0127001,-0.0172058,0.0074661,-0.999824,0.00661601,0.3,0,0,DISABLED,0
0.199999,-0.000732095,0.0098471,-0.000544995,0.00892054,0.732956,0.0123189,-0.0167346,0.00647985,-0.999839,0.0071369,0.3,0,0,DISABLED,0
0.219999,-0.000246887,0.0121316,-0.00930122,0.00924208,0.733148,0.0118654,-0.0164131,0.00542386,-0.999851,0.00746705,0.3,0,0,DISABLED,0
0.239999,0.000423428,0.0150194,-0.0169315,0.00977092,0.733374,0.0115755,-0.0158842,0.00419358,-0.999865,0.00786463,0.3,0,0,DISABLED,0
0.259999,0.00117818,0.0183753,-0.0210285,0.0106734,0.733566,0.01181,-0.0149818,0.00304465,-0.999883,0.00845013,0.3,0,0,DISABLED,0
0.279999,0.00198999,0.0223156,-0.0251774,0.0120066,0.733672,0.0127469,-0.0136486,0.00226705,-0.999904,0.00904054,0.3,0,0,DISABLED,0
0.299999,0.00294856,0.0274223,-0.0362456,0.0138665,0.733559,0.014616,-0.0117887,0.00259143,-0.999927,0.00960299,0.3,0,0,DISABLED,0
0.319999,0.00372006,0.0322079,-0.047186,0.0158104,0.732988,0.0172981,-0.00984481,0.00499662,-0.999939,0.0104748,0.3,0,0,DISABLED,0
0.339998,0.00471525,0.0387635,-0.032828,0.0181042,0.731348,0.0227515,-0.00755096,0.0117613,-0.999902,0.0130473,0.3,0,0,DISABLED,0
0.359998,0.00603204,0.043964,0.0273573,0.0174632,0.730871,0.0182505,-0.00819199,0.00327022,-0.999961,0.0160266,0.3,0,0,DISABLED,0
0.379998,0.00796126,0.0492165,0.0448949,0.0145841,0.731226,0.0145915,-0.0110711,-0.00247208,-0.999936,0.0157507,0.3,0,0,DISABLED,0
0.399998,0.00970577,0.0543441,0.052798,0.0132039,0.731972,0.0133589,-0.0124512,-1.3349e-05,-0.999922,0.0160447,0.3,0,0,DISABLED,0
