t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0506191,0,0.718117,0,-0.122024,0.0135697,-0.992434,0,0,0,0.5,DISABLED,0
0.0399988,0.000170976,-0.000968283,0.0482954,-0.000348039,0.718158,0.000345267,-0.122372,0.0132164,-0.992396,0.000608712,0,0,0.5,DISABLED,0
0.0599988,0.000330836,-0.00181391,0.0461222,-0.000644587,0.718186,0.000913491,-0.122668,0.012959,-0.992363,0.00116,0,0,0.5,DISABLED,0
0.0799987,-4.28855e-05,-0.0027028,0.020032,0.0014615,0.718091,0.00150498,-0.120562,0.0137883,-0.99261,0.00358722,0,0,0.5,DISABLED,0
0.0999987,-0.00125588,-0.0030355,0.0469385,0.00652242,0.717785,0.00738905,-0.115501,0.0169733,-0.993162,0.00715461,0,0,0.5,DISABLED,0
0.119999,-0.00256327,-0.00261565,0.0472827,0.0107327,0.717629,0.0120201,-0.111291,0.0188528,-0.993609,0.0107772,0,0,0.5,DISABLED,0
0.139999,-0.00369792,-0.00171234,0.0324905,0.013467,0.717687,0.014567,-0.108557,0.0189265,-0.99391,0.0132731,0,0,0.5,DISABLED,0
0.159999,-0.00498748,-0.000508319,0.0167625,0.0163697,0.717861,0.0172221,-0.105654,0.0186192,-0.994229,0.0161143,0,0,0.5,DISABLED,0
0.179999,-0.00626834,0.000827317,-0.00269192,0.0191749,0.718097,0.0198554,-0.102849,0.0182763,-0.994529,0.0194668,0,0,0.5,DISABLED,0
0.199999,-0.0080296,0.00287913,-0.0210237,0.0216434,0.718438,0.0222213,-0.10038,0.018029,-0.994786,0.0235603,0,0,0.5,DISABLED,0
0.219999,-0.0098725,0.00518391,-0.0338938,0.0237973,0.718711,0.0243413,-0.0982265,0.0179926,-0.995001,0.0285118,0,0,0.5,DISABLED,0
0.239999,-0.0117608,0.00768132,-0.0418439,0.0254168,0.718867,0.0259555,-0.096607,0.0180852,-0.995158,0.0335751,0,0,0.5,DISABLED,0
0.259999,-0.0141558,0.0110147,-0.0455904,0.0269303,0.718883,0.0275076,-0.0950934,0.0183868,-0.995299,0.039917,0,0,0.5,DISABLED,0
0.279999,-0.017151,0.0154834,-0.0475409,0.0283021,0.718601,0.0290117,-0.0937216,0.0192055,-0.995413,0.0475617,0,0,0.5,DISABLED,0
0.299999,-0.0202042,0.0202458,-0.0539854,0.0294778,0.717785,0.03059,-0.092546,0.0211539,-0.995484,0.0554232,0,0,0.5,DISABLED,0
0.319999,-0.0236316,0.0256951,-0.0469335,0.030884,0.716074,0.0335458,-0.0911397,0.0263024,-0.995491,0.0648719,0,0,0.5,DISABLED,0
0.339998,-0.0270559,0.0315042,-0.0113631,0.0320533,0.713545,0.0387678,-0.0899705,0.0351829,-0.995323,0.073811,0,0,0.5,DISABLED,0
0.359998,-0.0313868,0.0392468,0.0470254,0.0320287,0.710501,0.041504,-0.0899951,0.0398223,-0.995146,0.0817519,0,0,0.5,DISABLED,0
0.379998,-0.0346001,0.0444754,0.093004,0.0306631,0.71021,0.0342858,-0.0913607,0.0286185,-0.995407,0.0874293,0,0,0.5,DISABLED,0
0.399998,-0.0384686,0.0511309,0.105582,0.0294243,0.71076,0.0309484,-0.0925994,0.0226762,-0.995445,0.0923851,0,0,0.5,DISABLED,0
0.419998,-0.0416462,0.0560083,0.095955,0.0313114,0.711358,0.0325262,-0.0907124,0.0217665,-0.995639,0.0980041,0,0,0.5,DISABLED,0
0.439998,-0.0448397,0.0606552,0.0663633,0.0344693,0.712028,0.0353711,-0.0875545,0.0206811,-0.995945,0.104379,0,0,0.5,DISABLED,0
0.459998,-0.0478158,0.0649717,0.0291162,0.0366778,0.712651,0.0374426,-0.085346,0.0201133,-0.996148,0.110515,0,0,0.5,DISABLED,0
