t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0544239,0,0.733624,0,-0.0300005,-0.00135163,-0.999549,0,0.25,0.2,0,DISABLED,0
0.0399988,1.10473e-05,-1.54087e-06,0.0520363,1.37519e-05,0.733623,0,-0.0299867,-0.00135483,-0.999549,-9.43244e-06,0.25,0.2,0,DISABLED,0
0.0599988,4.25782e-05,5.621e-06,0.0490677,2.96012e-05,0.733617,0,-0.0299709,-0.00135239,-0.99955,-1.12783e-05,0.25,0.2,0,DISABLED,0
0.0799987,0.000105826,2.98723e-05,0.0459971,5.24763e-05,0.733607,0,-0.029948,-0.00133904,-0.999551,-5.92507e-06,0.25,0.2,0,DISABLED,0
0.0999987,-0.000506943,0.000494005,0.0377025,0.003252,0.733435,0.00404125,-0.0267485,0.00105296,-0.999642,0.00327738,0.25,0.2,0,DISABLED,0
0.119999,-0.00125552,0.00190071,0.0199421,0.00660416,0.733194,0.00876872,-0.0233963,0.00441714,-0.999717,0.00533589,0.25,0.2,0,DISABLED,0
0.139999,-0.00161122,0.00359139,0.00361541,0.00846533,0.733128,0.0112199,-0.0215352,0.00600924,-0.99975,0.0061183,0.25,0.2,0,DISABLED,0
0.159999,-0.00183073,0.00567631,-0.00201997,0.00951723,0.733182,0.0118654,-0.0204833,0.00573443,-0.999774,0.00675996,0.25,0.2,0,DISABLED,0
0.179999,-0.00191523,0.00796249,-0.0035269,0.0103652,0.733306,0.0119405,-0.0196353,0.00457883,-0.999797,0.00735283,0.25,0.2,0,DISABLED,0
0.199999,-0.00185679,0.0102108,-0.00871068,0.0110857,0.733473,0.0118453,-0.0189148,0.00280881,-0.999817,0.00774167,0.25,0.2,0,DISABLED,0
0.219999,-0.00159572,0.0132598,-0.0157075,0.0116739,0.733732,0.0118754,-0.0183266,0.000808298,-0.999832,0.0078891,0.25,0.2,0,DISABLED,0
0.239999,-0.00129617,0.0160818,-0.0220959,0.0123874,0.733966,0.0124057,-0.017613,-0.000848702,-0.999844,0.0082016,0.25,0.2,0,DISABLED,0
0.259999,-0.000863329,0.0200185,-0.0243787,0.0135907,0.734256,0.013672,-0.0164098,-0.00279837,-0.999861,0.00864683,0.25,0.2,0,DISABLED,0
0.279999,-0.000424875,0.0241533,-0.0237121,0.0150295,0.734472,0.0153325,-0.014971,-0.00437936,-0.999878,0.00924256,0.25,0.2,0,DISABLED,0
0.299999,5.59501e-05,0.0288837,-0.0263305,0.0167962,0.734599,0.0172186,-0.0132043,-0.00512454,-0.9999,0.0100414,0.25,0.2,0,DISABLED,0
0.319999,0.00051398,0.0342371,-0.0370536,0.0190385,0.734466,0.019227,-0.010962,-0.00400448,-0.999932,0.0109606,0.25,0.2,0,DISABLED,0
0.339998,0.000900546,0.0401925,-0.0353323,0.0218276,0.733812,0.0218943,-0.00817293,0.000282034,-0.999967,0.0125182,0.25,0.2,0,DISABLED,0
0.359998,0.00134318,0.0467369,-0.0114548,0.0242939,0.732382,0.0260747,-0.00570659,0.00810456,-0.999951,0.014785,0.25,0.2,0,DISABLED,0
0.379998,0.00218345,0.0523862,0.0418673,0.0242258,0.731997,0.0244927,-0.00577467,0.00220976,-0.999981,0.0175748,0.25,0.2,0,DISABLED,0
0.399998,0.00360305,0.0580896,0.0712748,0.021038,0.732287,0.0212729,-0.00896246,-0.00446559,-0.99995,0.0174496,0.25,0.2,0,DISABLED,0
0.419998,0.00481731,0.0632363,0.0605584,0.019215,0.732707,0.0193322,-0.0107855,-0.00341391,-0.999936,0.0168426,0.25,0.2,0,DISABLED,0
