t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0544749,0,0.733622,0.000345267,-0.0298992,-0.00129174,-0.999552,0,-0.3,0,0,DISABLED,0
0.0399988,2.49222e-06,-5.43427e-06,0.0553967,1.57692e-05,0.733624,0.000345267,-0.0298834,-0.00129603,-0.999553,-1.07819e-05,-0.3,0,0,DISABLED,0
0.0599988,-1.32173e-05,-1.33151e-05,0.0564273,2.98098e-05,0.73363,0.000345267,-0.0298694,-0.00129854,-0.999553,-2.47573e-05,-0.3,0,0,DISABLED,0
0.0799987,-6.36186e-05,-2.72433e-05,0.0572505,2.94317e-05,0.733642,0,-0.0298698,-0.00130004,-0.999553,-3.66988e-05,-0.3,0,0,DISABLED,0
0.0999987,-0.000850415,0.000236102,0.028714,0.00292952,0.733566,0.00350408,-0.0269697,0.000622373,-0.999636,0.00274939,-0.3,0,0,DISABLED,0
0.119999,-0.00204056,0.00122744,0.0128951,0.00670332,0.733436,0.0085971,-0.0231959,0.00407903,-0.999723,0.0049708,-0.3,0,0,DISABLED,0
0.139999,-0.00318146,0.00284614,-0.00793985,0.00834384,0.733423,0.011097,-0.0215554,0.00602114,-0.99975,0.00527241,-0.3,0,0,DISABLED,0
0.159999,-0.00436528,0.00468371,-0.0202108,0.00848472,0.733525,0.011188,-0.0214145,0.00599198,-0.999753,0.00486999,-0.3,0,0,DISABLED,0
0.179999,-0.00595285,0.00687779,-0.022974,0.00861958,0.733671,0.0108691,-0.0212796,0.00532597,-0.999759,0.00462541,-0.3,0,0,DISABLED,0
0.199999,-0.00742444,0.00883796,-0.023539,0.00874412,0.733811,0.0105179,-0.0211551,0.00455025,-0.999766,0.00424533,-0.3,0,0,DISABLED,0
0.219999,-0.00942208,0.0114785,-0.026555,0.00890499,0.734007,0.010283,-0.0209942,0.00384992,-0.999772,0.00370797,-0.3,0,0,DISABLED,0
0.239999,-0.0114821,0.014242,-0.0283568,0.00928075,0.734209,0.010404,-0.0206185,0.00341636,-0.999782,0.00282783,-0.3,0,0,DISABLED,0
0.259999,-0.0135988,0.0171409,-0.023041,0.0100299,0.734405,0.0110594,-0.0198693,0.00335647,-0.999797,0.00210528,-0.3,0,0,DISABLED,0
0.279999,-0.0164767,0.0212872,-0.0143664,0.0112266,0.734633,0.0121336,-0.0186726,0.00328428,-0.99982,0.000949534,-0.3,0,0,DISABLED,0
0.299999,-0.0193417,0.0256631,-0.00517389,0.0124702,0.734728,0.0134478,-0.017429,0.00372055,-0.999841,-0.000144842,-0.3,0,0,DISABLED,0
0.319999,-0.0224766,0.03062,0.00149003,0.0141371,0.734501,0.0157921,-0.0157621,0.005732,-0.999859,-0.00118316,-0.3,0,0,DISABLED,0
0.339998,-0.0258785,0.0361483,0.0182614,0.0162917,0.733628,0.020377,-0.0136075,0.0109448,-0.999848,-0.00126564,-0.3,0,0,DISABLED,0
0.359998,-0.0291392,0.0414588,0.0549133,0.0182016,0.732428,0.0253514,-0.0116976,0.0163515,-0.999798,-0.000182108,-0.3,0,0,DISABLED,0
0.379998,-0.032681,0.0461864,0.0951733,0.0178124,0.732844,0.0200407,-0.0120868,0.0078839,-0.999896,0.000777861,-0.3,0,0,DISABLED,0
0.399998,-0.0357537,0.0510589,0.0898689,0.0138502,0.733931,0.0157127,-0.016049,0.00611828,-0.999852,-0.00308655,-0.3,0,0,DISABLED,0
