t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0543839,0,0.733619,0,-0.0300248,-0.00163837,-0.999548,0,0.4,0,0,DISABLED,0
0.0399988,1.49142e-05,-4.05905e-06,0.0531748,1.78516e-05,0.733618,0,-0.030007,-0.00164554,-0.999548,-1.37817e-05,0.4,0,0,DISABLED,0
0.0599988,5.43334e-05,-5.19527e-06,0.0515014,4.23491e-05,0.733612,0,-0.0299825,-0.0016541,-0.999549,-2.28677e-05,0.4,0,0,DISABLED,0
0.0799987,-0.000347098,0.000215956,0.0424277,0.0022592,0.733479,0.00284715,-0.0277656,0.00012597,-0.999614,0.00234856,0.4,0,0,DISABLED,0
0.0999987,-0.00113239,0.00133142,0.0415379,0.00615377,0.733133,0.00884318,-0.0238711,0.00471539,-0.999704,0.00509264,0.4,0,0,DISABLED,0
0.119999,-0.00146611,0.00305713,0.0226907,0.00808631,0.732937,0.0119804,-0.0219385,0.00719996,-0.999733,0.00631532,0.4,0,0,DISABLED,0
0.139999,-0.00145329,0.00502181,0.013729,0.00888681,0.732954,0.0123913,-0.021138,0.00699879,-0.999752,0.00691457,0.4,0,0,DISABLED,0
0.159999,-0.0012232,0.00714764,0.0125646,0.00953862,0.733099,0.0117898,-0.0204862,0.00529827,-0.999776,0.00742974,0.4,0,0,DISABLED,0
0.179999,-0.000739271,0.00948281,0.00755501,0.0101027,0.733345,0.0110378,-0.0199221,0.00280981,-0.999798,0.00781628,0.4,0,0,DISABLED,0
0.199999,4.58211e-06,0.0120808,-0.00124845,0.0105564,0.733655,0.0107145,-0.0194684,0.000186109,-0.99981,0.00826675,0.4,0,0,DISABLED,0
0.219999,0.000991482,0.0150513,-0.0099926,0.0110163,0.733981,0.0110432,-0.0190085,-0.00233249,-0.999817,0.00854319,0.4,0,0,DISABLED,0
0.239999,0.00219199,0.0184505,-0.0165858,0.011686,0.734281,0.0120893,-0.0183388,-0.00473429,-0.999821,0.00896469,0.4,0,0,DISABLED,0
0.259999,0.00358284,0.0223519,-0.0196034,0.0127095,0.734509,0.0137068,-0.0173153,-0.00676087,-0.999827,0.00945793,0.4,0,0,DISABLED,0
0.279999,0.00512637,0.0268373,-0.0225834,0.0143404,0.734616,0.015777,-0.0156844,-0.00821913,-0.999843,0.00995834,0.4,0,0,DISABLED,0
0.299999,0.00661721,0.0314237,-0.0329885,0.016717,0.734486,0.0179342,-0.0133078,-0.00813012,-0.999878,0.0111963,0.4,0,0,DISABLED,0
0.319999,0.00855549,0.0377496,-0.041689,0.0194604,0.733695,0.0197682,-0.0105644,-0.00510118,-0.999931,0.0133197,0.4,0,0,DISABLED,0
0.339998,0.0104556,0.0442623,-0.0318859,0.0220614,0.732035,0.0224614,-0.00796342,0.00255113,-0.999965,0.0160931,0.4,0,0,DISABLED,0
0.359998,0.0124932,0.0496451,0.0104361,0.0225424,0.730949,0.0226043,-0.00748244,-3.74512e-05,-0.999972,0.0193947,0.4,0,0,DISABLED,0
0.379998,0.0154862,0.0551963,0.044242,0.019919,0.730699,0.0208855,-0.0101058,-0.00791119,-0.999918,0.0196368,0.4,0,0,DISABLED,0
0.399998,0.018386,0.0606728,0.0475062,0.0186245,0.731072,0.0196502,-0.0114003,-0.00790269,-0.999904,0.0201425,0.4,0,0,DISABLED,0
0.419998,0.0214435,0.0659436,0.0419737,0.019082,0.731995,0.0191058,-0.0109428,-0.00251909,-0.999937,0.0221781,0.4,0,0,DISABLED,0
0.439998,0.0243868,0.0698878,0.0276031,0.0196144,0.732885,0.0199274,-0.0104104,0.00186319,-0.999944,0.0241569,0.4,0,0,DISABLED,0
0.459998,0.027606,0.073138,0.0136767,0.0193412,0.733551,0.02045,-0.0106837,0.00499293,-0.99993,0.0262038,0.4,0,0,DISABLED,0
0.479998,0.0311434,0.0757946,0.00197989,0.0180163,0.733946,0.0200437,-0.0120085,0.00714461,-0.999902,0.0286473,0.4,0,0,DISABLED,0
0.499998,0.0349693,0.0779374,-0.00732109,0.0159726,0.734133,0.0189428,-0.0140522,0.00854414,-0.999865,0.0307235,0.4,0,0,DISABLED,0
