t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0189175,0,0.734738,0.000345267,-0.0975289,0.0238334,-0.994947,0,-0.3,0,0,DISABLED,0
0.0399988,-0.00405204,-0.00347193,-0.105799,0.00425261,0.734049,0.0194888,-0.0932763,0.00482805,-0.995629,0.00765838,-0.3,0,0,DISABLED,0
0.0599988,-0.00612029,-0.00400311,-0.219291,-0.00486987,0.733428,0.0236557,-0.102399,0.000683426,-0.994743,0.0083051,-0.3,0,0,DISABLED,0
0.0799987,-0.00806633,-0.00326698,-0.101505,-0.0151717,0.73327,0.0240976,-0.112701,0.0051605,-0.993616,0.00300913,-0.3,0,0,DISABLED,0
0.0999987,-0.0111405,-0.00399767,-0.140309,-0.0184001,0.732393,0.0288241,-0.115929,0.00171152,-0.993256,-0.000506759,-0.3,0,0,DISABLED,0
0.119999,-0.0144633,-0.00581416,-0.156389,-0.0222097,0.731055,0.0364273,-0.119739,-0.00495747,-0.992793,-0.00363792,-0.3,0,0,DISABLED,0
0.139999,-0.0176253,-0.00836717,-0.162866,-0.0298981,0.729421,0.0468475,-0.127427,-0.0120859,-0.991774,-0.00440213,-0.3,0,0,DISABLED,0
0.159999,-0.020748,-0.0110402,-0.123679,-0.0354829,0.727468,0.0553436,-0.133012,-0.0184406,-0.990943,-0.00392409,-0.3,0,0,DISABLED,0
0.179999,-0.0239673,-0.0137397,-0.0449164,-0.0373116,0.725398,0.059759,-0.134841,-0.0226317,-0.990609,-0.000825509,-0.3,0,0,DISABLED,0
0.199999,-0.0282851,-0.0166047,0.105841,-0.036425,0.723973,0.0557248,-0.133954,-0.0181261,-0.990822,0.00530621,-0.3,0,0,DISABLED,0
0.219999,-0.0318989,-0.0188939,0.14825,-0.032519,0.723347,0.0533867,-0.130048,-0.0183427,-0.991338,0.0099664,-0.3,0,0,DISABLED,0
0.239999,-0.0354117,-0.0207629,0.146691,-0.0287901,0.723259,0.0528478,-0.126319,-0.0203627,-0.991781,0.0131719,-0.3,0,0,DISABLED,0
0.259999,-0.038701,-0.0218095,0.122848,-0.0266314,0.723677,0.0526873,-0.12416,-0.0215274,-0.992029,0.0172663,-0.3,0,0,DISABLED,0
0.279999,-0.0415087,-0.0220363,0.0867763,-0.0257066,0.724308,0.052625,-0.123235,-0.0219918,-0.992134,0.0203168,-0.3,0,0,DISABLED,0
0.299999,-0.0443696,-0.0218466,0.0501569,-0.0254236,0.725158,0.0525547,-0.122952,-0.0220715,-0.992167,0.0219401,-0.3,0,0,DISABLED,0
0.319999,-0.047415,-0.0213977,0.0358517,-0.0254837,0.72617,0.052341,-0.123013,-0.0217925,-0.992166,0.0214298,-0.3,0,0,DISABLED,0
0.339998,-0.0503707,-0.0208786,0.0488648,-0.0253914,0.727087,0.0511902,-0.12292,-0.0205247,-0.992204,0.0199243,-0.3,0,0,DISABLED,0
0.359998,-0.0542499,-0.0201889,0.0658728,-0.0246514,0.728022,0.0484899,-0.12218,-0.0178363,-0.992348,0.0183952,-0.3,0,0,DISABLED,0
0.379998,-0.0576083,-0.0196203,0.0669822,-0.0235325,0.728537,0.0448154,-0.121061,-0.0142261,-0.992543,0.0177604,-0.3,0,0,DISABLED,0
0.399998,-0.0618917,-0.0188152,0.0619674,-0.0219592,0.728744,0.0376648,-0.119488,-0.00669086,-0.992813,0.0182239,-0.3,0,0,DISABLED,0
0.419998,-0.0663199,-0.0177721,0.080447,-0.0182312,0.727849,0.0253631,-0.11576,0.00628323,-0.993257,0.0210855,-0.3,0,0,DISABLED,0
0.439998,-0.0716805,-0.0167228,0.0962734,-0.0101464,0.725357,0.0103177,-0.107675,0.0222629,-0.993937,0.0263488,-0.3,0,0,DISABLED,0
0.459998,-0.0769954,-0.0172119,0.0962354,-0.00239409,0.723275,0.00484606,-0.099923,0.0196241,-0.994802,0.0301997,-0.3,0,0,DISABLED,0
0.479998,-0.0811993,-0.0177689,-0.00619721,-0.00569458,0.722737,0.0161024,-0.103223,0.0087794,-0.994619,0.0260742,-0.3,0,0,DISABLED,0
0.499998,-0.0845546,-0.0168067,-0.0651639,-0.0130778,0.7228,0.0160133,-0.110607,0.014673,-0.993756,0.0287309,-0.3,0,0,DISABLED,0
0.519998,-0.0880043,-0.0161646,-0.0254967,-0.0172378,0.723385,0.0173462,-0.114767,0.0242478,-0.993096,0.0360914,-0.3,0,0,DISABLED,0
0.539998,-0.0914815,-0.0161643,0.0215349,-0.0171118,0.724478,0.0192208,-0.114641,0.0323343,-0.992881,0.0410163,-0.3,0,0,DISABLED,0
0.559998,-0.0953444,-0.0168222,0.0574082,-0.0126527,0.725994,0.0171214,-0.110182,0.0352474,-0.993286,0.0407518,-0.3,0,0,DISABLED,0
0.579998,-0.0986884,-0.0179805,0.0797677,-0.0065081,0.727482,0.0127796,-0.104037,0.0347851,-0.993965,0.0391175,-0.3,0,0,DISABLED,0
0.599998,-0.101511,-0.019504,0.0853755,0.00175823,0.728817,0.0074613,-0.0957706,0.0310772,-0.994918,0.0367124,-0.3,0,0,DISABLED,0
0.619998,-0.104538,-0.0217393,0.0988358,0.00795531,0.730168,0.00835805,-0.0895736,0.0262983,-0.995633,0.0349278,-0.3,0,0,DISABLED,0
0.639998,-0.108294,-0.0246577,0.114634,0.0157941,0.731035,0.0163776,-0.0817348,0.0197837,-0.996458,0.0319848,-0.3,0,0,DISABLED,0
0.659998,-0.111918,-0.0273134,0.126958,0.0225635,0.731046,0.0247662,-0.0749654,0.0138527,-0.99709,0.0276573,-0.3,0,0,DISABLED,0
0.679998,-0.116317,-0.0306427,0.137871,0.029222,0.730279,0.0347436,-0.0683069,0.00524291,-0.997651,0.0200986,-0.3,0,0,DISABLED,0
0.699998,-0.121072,-0.0344394,0.148369,0.0345479,0.728568,0.0464256,-0.062981,-0.00701987,-0.99799,0.00865628,-0.3,0,0,DISABLED,0
0.719998,-0.125791,-0.0378992,0.140538,0.0357611,0.726539,0.0534135,-0.0617677,-0.0157173,-0.997967,-0.00442818,-0.3,0,0,DISABLED,0
0.739998,-0.13064,-0.0414767,0.146645,0.0322638,0.724248,0.0583196,-0.0652651,-0.0246672,-0.997563,-0.0180219,-0.3,0,0,DISABLED,0
0.759998,-0.134861,-0.0445121,0.16155,0.029573,0.721654,0.0684407,-0.0679558,-0.0378407,-0.99697,-0.0290386,-0.3,0,0,DISABLED,0
0.779998,-0.140232,-0.046327,0.167351,0.0238859,0.719564,0.0631604,-0.073643,-0.034599,-0.996684,-0.0364937,-0.3,0,0,DISABLED,0
0.799998,-0.144056,-0.0473527,0.124961,0.0163524,0.718495,0.0565913,-0.0811765,-0.0303203,-0.996238,-0.0389556,-0.3,0,0,DISABLED,0
0.819998,-0.148793,-0.0482817,0.106736,0.0136439,0.717614,0.0567618,-0.083885,-0.0312455,-0.995985,-0.0432548,-0.3,0,0,DISABLED,0
0.839998,-0.1533,-0.0485907,0.108065,0.0138046,0.717288,0.0558317,-0.0837243,-0.0302464,-0.99603,-0.0445071,-0.3,0,0,DISABLED,0
0.859998,-0.157863,-0.048192,0.108649,0.0160362,0.71749,0.0545688,-0.0814927,-0.0283021,-0.996272,-0.045067,-0.3,0,0,DISABLED,0
0.879998,-0.161464,-0.0473528,0.0902692,0.0196229,0.717834,0.0536318,-0.077906,-0.0260436,-0.99662,-0.0460311,-0.3,0,0,DISABLED,0
0.899998,-0.165395,-0.0461052,0.0553315,0.0248965,0.718091,0.0516205,-0.0726323,-0.0213273,-0.997131,-0.0465316,-0.3,0,0,DISABLED,0
0.919998,-0.16958,-0.0445455,0.0359199,0.0311475,0.717958,0.0489025,-0.0663814,-0.0137588,-0.997699,-0.0472335,-0.3,0,0,DISABLED,0
0.939998,-0.173273,-0.0437396,0.0319906,0.0372764,0.717872,0.0506786,-0.0602525,-0.0103443,-0.99813,-0.0452969,-0.3,0,0,DISABLED,0
0.959998,-0.178083,-0.0432037,0.0395927,0.044005,0.718199,0.055132,-0.0535239,-0.00917297,-0.998524,-0.0418896,-0.3,0,0,DISABLED,0
0.979998,-0.182268,-0.0426175,0.0436965,0.0464904,0.718541,0.0564869,-0.0510384,-0.00802162,-0.998664,-0.0405416,-0.3,0,0,DISABLED,0
0.999998,-0.186077,-0.0420857,0.0566837,0.0469161,0.718642,0.0561395,-0.0506127,-0.00675499,-0.998695,-0.038588,-0.3,0,0,DISABLED,0
1.02,-0.190512,-0.0416822,0.0738128,0.0463073,0.71857,0.0555211,-0.0512216,-0.0065568,-0.998666,-0.0348608,-0.3,0,0,DISABLED,0
1.04,-0.194951,-0.0417243,0.0859715,0.04354,0.719005,0.0549337,-0.0539889,-0.00946074,-0.998497,-0.0331245,-0.3,0,0,DISABLED,0
1.06,-0.199399,-0.0416529,0.14686,0.0406737,0.719593,0.052341,-0.0568551,-0.00892437,-0.998343,-0.034288,-0.3,0,0,DISABLED,0
1.08,-0.204544,-0.0420351,0.181202,0.0390977,0.720177,0.0514806,-0.0584311,-0.00948573,-0.998246,-0.0353443,-0.3,0,0,DISABLED,0
1.1,-0.208712,-0.0426527,0.158507,0.0371459,0.720824,0.0491276,-0.060383,-0.00815196,-0.998142,-0.0327132,-0.3,0,0,DISABLED,0
1.12,-0.213245,-0.0435121,0.111846,0.0335455,0.721822,0.0429651,-0.0639834,-0.00283653,-0.997947,-0.0273459,-0.3,0,0,DISABLED,0
1.14,-0.217699,-0.0445045,0.0722263,0.0286747,0.723104,0.0336275,-0.0688542,0.00647455,-0.997606,-0.0214207,-0.3,0,0,DISABLED,0
1.16,-0.222801,-0.0458855,0.0506003,0.0236158,0.724548,0.0248599,-0.0739131,0.0163864,-0.99713,-0.0164535,-0.3,0,0,DISABLED,0
1.18,-0.227527,-0.0474643,0.0518784,0.019132,0.725761,0.0192456,-0.0783969,0.0226375,-0.996665,-0.0137748,-0.3,0,0,DISABLED,0
1.2,-0.232236,-0.0494743,0.0653453,0.0147184,0.726826,0.0149067,-0.0828105,0.0258014,-0.996231,-0.0111625,-0.3,0,0,DISABLED,0
1.22,-0.236818,-0.0519957,0.0937666,0.00994925,0.727737,0.0100721,-0.0875796,0.0250558,-0.995842,-0.00940961,-0.3,0,0,DISABLED,0
1.24,-0.241279,-0.0550951,0.122193,0.00496823,0.728392,0.00645013,-0.0925606,0.0197562,-0.995511,-0.00859094,-0.3,0,0,DISABLED,0
1.26,-0.245284,-0.058431,0.133282,0.000646465,0.728549,0.0136676,-0.0968824,0.0101851,-0.995244,-0.00842819,-0.3,0,0,DISABLED,0
