t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.228318,0,0.680658,0,-0.0209282,-0.125347,-0.991892,0,0,-0.3,0,DISABLED,0
0.0399988,-0.000788078,-0.000983573,0.233342,0.00212764,0.682394,0.0117594,-0.0188006,-0.136819,-0.990418,0.00325396,0,-0.3,0,DISABLED,0
0.0599988,-0.00131218,-0.00182906,0.243488,0.00263778,0.683658,0.0179442,-0.0182905,-0.142943,-0.989562,0.00501091,0,-0.3,0,DISABLED,0
0.0799987,-0.00172029,-0.00275902,0.254798,0.00301587,0.684475,0.0210758,-0.0179124,-0.146022,-0.989119,0.0056662,0,-0.3,0,DISABLED,0
0.0999987,-0.00252573,-0.00386648,0.287655,0.00493781,0.684889,0.022699,-0.0159904,-0.147309,-0.988961,0.00863478,0,-0.3,0,DISABLED,0
0.119999,-0.00334148,-0.00467548,0.222631,0.005714,0.684718,0.0234812,-0.0152142,-0.147923,-0.988882,0.0110643,0,-0.3,0,DISABLED,0
0.139999,-0.00401212,-0.00534447,0.170489,0.00494805,0.684274,0.0266826,-0.0159802,-0.151326,-0.988355,0.013453,0,-0.3,0,DISABLED,0
0.159999,-0.00480056,-0.00609004,0.131908,0.00317876,0.683509,0.0320833,-0.0177495,-0.15696,-0.987445,0.0162168,0,-0.3,0,DISABLED,0
0.179999,-0.00567272,-0.00661548,0.103947,0.00209721,0.682665,0.0348789,-0.018831,-0.159813,-0.986968,0.0211563,0,-0.3,0,DISABLED,0
0.199999,-0.00637278,-0.00690784,0.0886945,0.00020249,0.681888,0.036584,-0.0207258,-0.16155,-0.986647,0.0314213,0,-0.3,0,DISABLED,0
0.219999,-0.00674202,-0.00687994,0.0919572,-0.00174872,0.681322,0.0368196,-0.022677,-0.161735,-0.986574,0.0428432,0,-0.3,0,DISABLED,0
0.239999,-0.00692864,-0.00641634,0.0945649,-0.00343305,0.680759,0.0359562,-0.0243613,-0.160757,-0.986693,0.0579252,0,-0.3,0,DISABLED,0
