t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0796151,0,0.675508,0,-0.0538707,-0.0500343,-0.997294,0,0,0,-0.5,DISABLED,0
0.0399988,0.000192255,0.000651054,0.0787558,0.00342417,0.675924,0.00402647,-0.0504465,-0.0521733,-0.997363,-7.80821e-06,0,0,-0.5,DISABLED,0
0.0599988,0.000299096,0.00133678,0.0792678,0.00522124,0.675907,0.00578774,-0.0486495,-0.0525476,-0.997433,-0.00122571,0,0,-0.5,DISABLED,0
0.0799987,-0.000102907,0.00235937,0.139446,0.00721122,0.675245,0.00741321,-0.0466595,-0.0517296,-0.997571,-0.00301127,0,0,-0.5,DISABLED,0
0.0999987,-0.000723064,0.00428738,0.126324,0.00661939,0.673377,0.0069312,-0.0472513,-0.0480414,-0.997727,-0.00459217,0,0,-0.5,DISABLED,0
0.119999,-0.00121799,0.00735694,0.134543,0.00233901,0.671371,0.0121631,-0.0515317,-0.0381207,-0.997944,-0.00613692,0,0,-0.5,DISABLED,0
0.139999,-0.00198841,0.010515,0.143459,-0.000853665,0.67,0.0182112,-0.0547244,-0.0318601,-0.997993,-0.0115678,0,0,-0.5,DISABLED,0
0.159999,-0.00300437,0.0133846,0.14893,-0.00178315,0.669714,0.0169042,-0.0556539,-0.033235,-0.997897,-0.0212012,0,0,-0.5,DISABLED,0
0.179999,-0.00393745,0.016517,0.144187,-0.00251155,0.670486,0.0109456,-0.0563823,-0.0393848,-0.997632,-0.0333432,0,0,-0.5,DISABLED,0
0.199999,-0.00492939,0.019565,0.141375,-0.00170519,0.671725,0.00633827,-0.0555759,-0.0439345,-0.997487,-0.0414108,0,0,-0.5,DISABLED,0
0.219999,-0.00587139,0.0225311,0.134891,8.11145e-05,0.672972,0.00150498,-0.0537896,-0.0485578,-0.997371,-0.048437,0,0,-0.5,DISABLED,0
0.239999,-0.00691599,0.0260984,0.125862,0.00204954,0.674172,0.00322044,-0.0518212,-0.0525316,-0.997274,-0.0527606,0,0,-0.5,DISABLED,0
0.259999,-0.00800765,0.0304625,0.123743,0.00375936,0.675075,0.00632886,-0.0501113,-0.055132,-0.997221,-0.055183,0,0,-0.5,DISABLED,0
0.279999,-0.00878939,0.0344393,0.124015,0.00487143,0.675515,0.00818511,-0.0489993,-0.0566044,-0.997194,-0.0577572,0,0,-0.5,DISABLED,0
0.299999,-0.00962964,0.0397526,0.116048,0.00554065,0.675624,0.00879587,-0.0483301,-0.0568701,-0.997211,-0.0607558,0,0,-0.5,DISABLED,0
0.319999,-0.0101894,0.0444138,0.10137,0.00559331,0.67528,0.00725062,-0.0482774,-0.0546414,-0.997338,-0.0636609,0,0,-0.5,DISABLED,0
0.339998,-0.0106175,0.0504677,0.0755988,0.00448352,0.674238,0.00448847,-0.0493872,-0.0502106,-0.997517,-0.0656051,0,0,-0.5,DISABLED,0
0.359998,-0.010818,0.0557476,0.0481148,0.00211208,0.672727,0.00962426,-0.0517586,-0.0406597,-0.997832,-0.0667738,0,0,-0.5,DISABLED,0
0.379998,-0.0109468,0.0625331,0.0215972,-0.00203566,0.66987,0.0242235,-0.0559064,-0.0259126,-0.9981,-0.0667309,0,0,-0.5,DISABLED,0
0.399998,-0.0113432,0.0676719,0.0176356,-0.00494795,0.666917,0.0326561,-0.0588186,-0.0177661,-0.998111,-0.0657075,0,0,-0.5,DISABLED,0
0.419998,-0.0126881,0.0727895,0.00273764,-0.00462646,0.663137,0.0413688,-0.0584972,-0.00893803,-0.998248,-0.0641099,0,0,-0.5,DISABLED,0
0.439998,-0.0149046,0.0786856,0.0622596,-0.00172311,0.657394,0.0612349,-0.0555938,0.0111569,-0.998391,-0.0707098,0,0,-0.5,DISABLED,0
0.459998,-0.0165992,0.0805468,0.119318,-0.00334871,0.653798,0.043159,-0.0572194,-0.00702195,-0.998337,-0.0790681,0,0,-0.5,DISABLED,0
0.479998,-0.0162121,0.0827239,-0.0147846,-0.0184394,0.652924,0.0423726,-0.0723101,-0.0118874,-0.997311,-0.0834417,0,0,-0.5,DISABLED,0
0.499998,-0.0164206,0.0867037,-0.0201887,-0.0263999,0.653005,0.0567901,-0.0802706,0.000235821,-0.996773,-0.0823468,0,0,-0.5,DISABLED,0
0.519998,-0.0174029,0.0902468,0.0280452,-0.0286405,0.653673,0.0672911,-0.0825112,0.0108389,-0.996531,-0.0749646,0,0,-0.5,DISABLED,0
0.539998,-0.0182421,0.0927715,0.0648987,-0.0280554,0.654534,0.0739387,-0.0819261,0.018352,-0.996469,-0.0700378,0,0,-0.5,DISABLED,0
0.559998,-0.0189435,0.095311,0.0711822,-0.0269818,0.655626,0.0813759,-0.0808525,0.0267093,-0.996368,-0.0674822,0,0,-0.5,DISABLED,0
