t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0934788,0,0.734528,0,-0.0965968,-0.0029577,-0.995319,0,0.3,0,0,DISABLED,0
0.0399988,-0.00222859,0.0004455,-0.11457,-0.00930002,0.7342,0.00936053,-0.105897,-0.00246337,-0.994374,-0.000122026,0.3,0,0,DISABLED,0
0.0599988,-0.0048168,0.00127205,-0.0381591,-0.0187115,0.733859,0.0188735,-0.115308,-0.0015021,-0.993329,-0.0043752,0.3,0,0,DISABLED,0
0.0799987,-0.00706106,0.000931397,-0.0167444,-0.0283221,0.733024,0.0289191,-0.124919,-0.00785825,-0.992136,-0.0063177,0.3,0,0,DISABLED,0
0.0999987,-0.0101196,0.000414856,-0.0872644,-0.0334762,0.731487,0.0348036,-0.130073,-0.011641,-0.991436,-0.00671699,0.3,0,0,DISABLED,0
0.119999,-0.0131208,-0.000244446,-0.0944486,-0.0391466,0.729363,0.0419711,-0.135743,-0.0173294,-0.990592,-0.0075703,0.3,0,0,DISABLED,0
0.139999,-0.0164353,-0.0017098,-0.0606653,-0.0465077,0.726181,0.0517221,-0.143104,-0.024789,-0.989397,-0.00667181,0.3,0,0,DISABLED,0
0.159999,-0.0199158,-0.00248966,0.0824078,-0.0500758,0.724242,0.0529774,-0.146673,-0.0190345,-0.989002,-0.00330089,0.3,0,0,DISABLED,0
0.179999,-0.0238425,-0.00383673,0.144111,-0.0511982,0.72288,0.0537862,-0.147795,-0.0180924,-0.988853,0.000348575,0.3,0,0,DISABLED,0
0.199999,-0.0273674,-0.00532437,0.142108,-0.0513654,0.72253,0.0557847,-0.147962,-0.0236727,-0.98871,0.0026446,0.3,0,0,DISABLED,0
0.219999,-0.0307164,-0.00652061,0.1181,-0.0519207,0.722898,0.0589947,-0.148517,-0.0300946,-0.988452,0.00594812,0.3,0,0,DISABLED,0
0.239999,-0.0332274,-0.00695651,0.0905684,-0.0527408,0.723441,0.0613691,-0.149338,-0.0335029,-0.988219,0.00966936,0.3,0,0,DISABLED,0
0.259999,-0.0359206,-0.00684336,0.068402,-0.0541412,0.724185,0.0636795,-0.150738,-0.0356354,-0.987931,0.0133833,0.3,0,0,DISABLED,0
0.279999,-0.0388616,-0.0061473,0.0484583,-0.056223,0.725136,0.0658086,-0.15282,-0.0362505,-0.987589,0.0158343,0.3,0,0,DISABLED,0
0.299999,-0.0413797,-0.00532112,0.0324775,-0.0584848,0.725938,0.0674884,-0.155082,-0.0356301,-0.987259,0.0166697,0.3,0,0,DISABLED,0
0.319999,-0.0443371,-0.00421494,0.0340255,-0.0606646,0.726721,0.0684189,-0.157261,-0.0334504,-0.98699,0.0158468,0.3,0,0,DISABLED,0
0.339998,-0.0476587,-0.00275058,0.0547067,-0.0624875,0.727287,0.068479,-0.159084,-0.0296142,-0.986821,0.014687,0.3,0,0,DISABLED,0
0.359998,-0.0507033,-0.00117214,0.0761439,-0.0639339,0.727428,0.0677663,-0.160531,-0.0236827,-0.986747,0.0136672,0.3,0,0,DISABLED,0
