t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.120616,0,0.641887,0,-0.123584,-0.109626,-0.98626,0,0,0.3,0,DISABLED,0
0.0399988,-0.00384033,-0.00126709,0.111835,0.00207141,0.643399,0.0116832,-0.121513,-0.0982273,-0.987718,-0.0225226,0,0.3,0,DISABLED,0
0.0599988,-0.00852826,-0.00172526,0.111687,0.00305284,0.642848,0.0306406,-0.120531,-0.0793156,-0.989536,-0.042517,0,0.3,0,DISABLED,0
0.0799987,-0.013653,-0.0012262,0.100059,0.00353813,0.640479,0.0515454,-0.120046,-0.0584318,-0.991047,-0.0609546,0,0.3,0,DISABLED,0
0.0999987,-0.0190359,-0.00182843,0.199058,-0.000270911,0.640211,0.0465397,-0.123855,-0.0632664,-0.990281,-0.0792497,0,0.3,0,DISABLED,0
0.119999,-0.0229979,7.78735e-05,0.158719,-0.00635482,0.640201,0.0557804,-0.129939,-0.0543448,-0.990032,-0.0944305,0,0.3,0,DISABLED,0
0.139999,-0.0278088,0.00493018,0.213012,-0.0102546,0.639472,0.0713995,-0.133839,-0.0390941,-0.990232,-0.110923,0,0.3,0,DISABLED,0
0.159999,-0.0326664,0.0113215,0.303127,-0.0091212,0.638488,0.0865907,-0.132705,-0.0236678,-0.990873,-0.126199,0,0.3,0,DISABLED,0
0.179999,-0.0377886,0.0196131,0.221849,-0.00607889,0.63831,0.095378,-0.129663,-0.01462,-0.99145,-0.149702,0,0.3,0,DISABLED,0
0.199999,-0.0429109,0.0291107,0.112007,-0.0042441,0.638231,0.0968383,-0.127828,-0.0130724,-0.99171,-0.187506,0,0.3,0,DISABLED,0
0.219999,-0.0480203,0.038157,0.0242649,-0.00435031,0.637369,0.0961019,-0.127935,-0.0138139,-0.991686,-0.232522,0,0.3,0,DISABLED,0
0.239999,-0.0532138,0.0458718,-0.0347064,-0.00704286,0.635243,0.10021,-0.130627,-0.00983797,-0.991383,-0.276069,0,0.3,0,DISABLED,0
0.259999,-0.0583932,0.0522462,-0.0803806,-0.0127942,0.631708,0.112223,-0.136378,0.00171902,-0.990655,-0.315018,0,0.3,0,DISABLED,0
0.279999,-0.0637156,0.0582453,-0.118831,-0.02174,0.625746,0.137356,-0.145324,0.0258604,-0.989046,-0.347478,0,0.3,0,DISABLED,0
0.299999,-0.0684149,0.0634492,-0.0212215,-0.0295839,0.618277,0.17436,-0.153168,0.0619821,-0.986254,-0.374341,0,0.3,0,DISABLED,0
0.319999,-0.0749921,0.0644904,-0.0285547,-0.0505414,0.614682,0.163959,-0.174126,0.0461337,-0.983642,-0.40822,0,0.3,0,DISABLED,0
