t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.209959,0,0.65907,0,-0.0329195,-0.048733,-0.998269,0,0,0,0.5,DISABLED,0
0.0399988,0.00564274,9.74536e-06,0.229233,0.0044302,0.659921,0.00786574,-0.0284893,-0.0552357,-0.998067,-0.0212232,0,0,0.5,DISABLED,0
0.0599988,0.0108698,4.81308e-05,0.228264,0.00813443,0.660869,0.0173428,-0.0247851,-0.0640364,-0.99764,-0.0423291,0,0,0.5,DISABLED,0
0.0799987,0.0174631,0.000366956,0.218067,0.0112995,0.661789,0.0247276,-0.02162,-0.0707023,-0.997263,-0.0622286,0,0,0.5,DISABLED,0
0.0999987,0.0229902,0.000685364,0.197369,0.0122809,0.661794,0.0306853,-0.0206386,-0.0768154,-0.996832,-0.079091,0,0,0.5,DISABLED,0
0.119999,0.0299498,0.00104329,0.160129,0.0111648,0.661018,0.0401369,-0.0217547,-0.0872136,-0.995952,-0.0979082,0,0,0.5,DISABLED,0
0.139999,0.0367903,0.00147909,0.125837,0.00885902,0.659819,0.049976,-0.0240605,-0.0977977,-0.994915,-0.114278,0,0,0.5,DISABLED,0
0.159999,0.0433697,0.00234565,0.117088,0.00890585,0.658169,0.0567712,-0.0240136,-0.104647,-0.994219,-0.128869,0,0,0.5,DISABLED,0
0.179999,0.0524238,0.00378686,0.116051,0.010379,0.656405,0.0572222,-0.0225405,-0.104853,-0.994232,-0.141304,0,0,0.5,DISABLED,0
0.199999,0.0604526,0.00501716,0.110935,0.0125785,0.655087,0.055997,-0.020341,-0.103158,-0.994457,-0.147888,0,0,0.5,DISABLED,0
0.219999,0.0707809,0.00678638,0.104117,0.0179657,0.653155,0.0532883,-0.0149538,-0.0987873,-0.994996,-0.155574,0,0,0.5,DISABLED,0
0.239999,0.0795826,0.00839087,0.10233,0.0238803,0.651249,0.0489842,-0.00903922,-0.0914237,-0.995771,-0.160566,0,0,0.5,DISABLED,0
0.259999,0.0895641,0.0102606,0.090763,0.0317412,0.64884,0.0447555,-0.00117831,-0.0802457,-0.996774,-0.16422,0,0,0.5,DISABLED,0
0.279999,0.100218,0.0119425,0.064143,0.041652,0.645918,0.046892,0.00873252,-0.0702499,-0.997491,-0.166873,0,0,0.5,DISABLED,0
0.299999,0.108099,0.0125488,-0.0395846,0.0499462,0.644501,0.0540019,0.0170267,-0.0692307,-0.997455,-0.16848,0,0,0.5,DISABLED,0
0.319999,0.114539,0.0123306,-0.108593,0.0531768,0.645431,0.0552141,0.0202573,-0.0635621,-0.997772,-0.170385,0,0,0.5,DISABLED,0
0.339998,0.119255,0.0114365,-0.205379,0.0507329,0.648876,0.0510175,0.0178134,-0.0540629,-0.998379,-0.178333,0,0,0.5,DISABLED,0
0.359998,0.122374,0.00960672,-0.260124,0.0407547,0.654247,0.0416488,0.00783521,-0.0402113,-0.99916,-0.196366,0,0,0.5,DISABLED,0
0.379998,0.125117,0.00723624,-0.11613,0.0259438,0.660801,0.0371083,-0.00697574,-0.0222444,-0.999728,-0.221908,0,0,0.5,DISABLED,0
0.399998,0.127689,0.00423196,-0.0291513,0.0107798,0.667921,0.0433464,-0.0221397,-0.00677778,-0.999732,-0.246882,0,0,0.5,DISABLED,0
0.419998,0.129727,0.00145376,-0.00835639,0.000465319,0.674638,0.0531964,-0.0324542,0.00444242,-0.999463,-0.267174,0,0,0.5,DISABLED,0
0.439998,0.132233,-0.00155565,-0.0111928,-0.00961277,0.683493,0.0644754,-0.0425323,0.0150065,-0.998982,-0.297495,0,0,0.5,DISABLED,0
0.459998,0.134854,-0.00399259,0.0142512,-0.01927,0.691832,0.0741119,-0.0521895,0.0228124,-0.998377,-0.328617,0,0,0.5,DISABLED,0
0.479998,0.137859,-0.00633577,0.0394286,-0.0298507,0.699709,0.0855666,-0.0627702,0.0314267,-0.997533,-0.358956,0,0,0.5,DISABLED,0
0.499998,0.140516,-0.00854009,0.0320607,-0.0396011,0.706013,0.0976933,-0.0725206,0.0405145,-0.996544,-0.383416,0,0,0.5,DISABLED,0
0.519998,0.143676,-0.0113423,-0.00203231,-0.0526968,0.712868,0.111583,-0.0856163,0.0495055,-0.995098,-0.415341,0,0,0.5,DISABLED,0
0.539998,0.146122,-0.0136397,-0.0609148,-0.0637519,0.717813,0.120022,-0.0966714,0.0527798,-0.993916,-0.44262,0,0,0.5,DISABLED,0
0.559998,0.14896,-0.0161026,-0.115216,-0.0744392,0.723038,0.128335,-0.107359,0.0555489,-0.992667,-0.473303,0,0,0.5,DISABLED,0
0.579998,0.151288,-0.0176605,-0.16464,-0.0793878,0.726516,0.131826,-0.112307,0.0562062,-0.992083,-0.496101,0,0,0.5,DISABLED,0
0.599998,0.154479,-0.0191656,-0.20597,-0.081889,0.729397,0.130547,-0.114809,0.0526237,-0.991993,-0.521797,0,0,0.5,DISABLED,0
0.619998,0.158624,-0.0204619,-0.220972,-0.0833102,0.731213,0.133182,-0.11623,0.0548416,-0.991707,-0.542032,0,0,0.5,DISABLED,0
0.639998,0.163232,-0.0215976,-0.184766,-0.0845604,0.732772,0.136584,-0.11748,0.0581701,-0.99137,-0.567215,0,0,0.5,DISABLED,0
0.659998,0.167596,-0.0226547,-0.1714,-0.0852423,0.734202,0.136161,-0.118162,0.0570832,-0.991352,-0.597183,0,0,0.5,DISABLED,0
0.679998,0.171649,-0.0238658,-0.176908,-0.0858667,0.735524,0.134472,-0.118786,0.0543962,-0.991429,-0.628426,0,0,0.5,DISABLED,0
0.699998,0.175361,-0.0251943,-0.160549,-0.0862562,0.736695,0.13265,-0.119176,0.0516896,-0.991527,-0.659681,0,0,0.5,DISABLED,0
0.719998,0.17862,-0.0264424,-0.115512,-0.0851732,0.737456,0.129618,-0.118093,0.0486386,-0.991811,-0.689668,0,0,0.5,DISABLED,0
0.739998,0.181435,-0.0272889,-0.0492289,-0.0805803,0.737522,0.124129,-0.1135,0.0454045,-0.9925,-0.716474,0,0,0.5,DISABLED,0
0.759998,0.183651,-0.0275643,0.053774,-0.0731591,0.737107,0.116646,-0.106079,0.0419067,-0.993474,-0.736558,0,0,0.5,DISABLED,0
0.779998,0.186167,-0.0276793,0.125677,-0.0634707,0.736143,0.105892,-0.0963902,0.035891,-0.994696,-0.757072,0,0,0.5,DISABLED,0
0.799998,0.188557,-0.0284342,0.110244,-0.0595729,0.734687,0.0991966,-0.0924924,0.0304749,-0.995247,-0.772936,0,0,0.5,DISABLED,0
0.819998,0.191329,-0.029688,0.0786297,-0.0600557,0.732648,0.0970243,-0.0929752,0.0273639,-0.995292,-0.784933,0,0,0.5,DISABLED,0
0.839998,0.194602,-0.030973,0.0482903,-0.0625203,0.730036,0.0981554,-0.0954398,0.0268163,-0.995074,-0.793026,0,0,0.5,DISABLED,0
0.859998,0.197973,-0.0318288,0.0440175,-0.0649748,0.727276,0.101039,-0.0978943,0.0285087,-0.994788,-0.79694,0,0,0.5,DISABLED,0
0.879998,0.20205,-0.0321547,0.0581262,-0.0660784,0.723957,0.103837,-0.0989979,0.031221,-0.994598,-0.797571,0,0,0.5,DISABLED,0
0.899998,0.206863,-0.0317902,0.0754168,-0.0663242,0.720335,0.107185,-0.0992437,0.035316,-0.994436,-0.796084,0,0,0.5,DISABLED,0
0.919998,0.211321,-0.0308201,0.0819497,-0.0661268,0.717402,0.110786,-0.0990463,0.0399929,-0.994279,-0.792755,0,0,0.5,DISABLED,0
0.939998,0.215723,-0.0292476,0.0744482,-0.0660571,0.715124,0.115247,-0.0989766,0.0455315,-0.994048,-0.786916,0,0,0.5,DISABLED,0
0.959998,0.220058,-0.0271648,0.058314,-0.0668656,0.713792,0.12031,-0.0997851,0.0510924,-0.993696,-0.778715,0,0,0.5,DISABLED,0
0.979998,0.224365,-0.0246637,0.0237554,-0.0690224,0.713648,0.125976,-0.101942,0.0564289,-0.993189,-0.767786,0,0,0.5,DISABLED,0
0.999998,0.228717,-0.0216468,-0.0303999,-0.0717877,0.715062,0.131575,-0.104707,0.0612737,-0.992614,-0.75603,0,0,0.5,DISABLED,0
1.02,0.232751,-0.0180344,-0.0472849,-0.0749446,0.717891,0.138058,-0.107864,0.0669066,-0.991912,-0.73819,0,0,0.5,DISABLED,0
1.04,0.236325,-0.0140791,-0.0685357,-0.0768565,0.721508,0.144077,-0.109776,0.0727855,-0.991288,-0.718808,0,0,0.5,DISABLED,0
1.06,0.239873,-0.010194,-0.0463931,-0.0797572,0.725968,0.153827,-0.112677,0.0823778,-0.990211,-0.698976,0,0,0.5,DISABLED,0
1.08,0.243357,-0.00671202,-0.046371,-0.0855103,0.731162,0.165518,-0.11843,0.0924376,-0.98865,-0.677487,0,0,0.5,DISABLED,0
1.1,0.246804,-0.00354481,-0.0481104,-0.0919475,0.736881,0.175936,-0.124867,0.100578,-0.987062,-0.656848,0,0,0.5,DISABLED,0
1.12,0.250486,-0.000279188,-0.0249401,-0.0978581,0.742923,0.185574,-0.130778,0.10811,-0.9855,-0.631857,0,0,0.5,DISABLED,0
1.14,0.254634,0.00330588,0.000755996,-0.10008,0.748917,0.188375,-0.133,0.109974,-0.984996,-0.612539,0,0,0.5,DISABLED,0
1.16,0.259319,0.00706789,-0.00183934,-0.10005,0.754477,0.186446,-0.132969,0.107734,-0.985247,-0.595095,0,0,0.5,DISABLED,0
1.18,0.264509,0.0108513,-0.0282006,-0.0992331,0.759411,0.182981,-0.132153,0.104187,-0.985739,-0.577205,0,0,0.5,DISABLED,0
1.2,0.270151,0.014628,-0.048651,-0.0989423,0.763733,0.180141,-0.131862,0.101018,-0.986107,-0.558289,0,0,0.5,DISABLED,0
1.22,0.276239,0.0184878,-0.046979,-0.0997062,0.767528,0.178475,-0.132626,0.098519,-0.986258,-0.539301,0,0,0.5,DISABLED,0
1.24,0.282662,0.0224658,-0.0327146,-0.102065,0.770944,0.177295,-0.134985,0.0954517,-0.986239,-0.521704,0,0,0.5,DISABLED,0
1.26,0.288655,0.026223,-0.0209451,-0.105437,0.773751,0.175974,-0.138357,0.0913502,-0.986161,-0.507652,0,0,0.5,DISABLED,0
1.28,0.296149,0.031234,-0.0122551,-0.109668,0.776748,0.17445,-0.142588,0.0860958,-0.986031,-0.492213,0,0,0.5,DISABLED,0
1.3,0.303043,0.0363558,0.032996,-0.113756,0.77888,0.173244,-0.146676,0.0810509,-0.985859,-0.473634,0,0,0.5,DISABLED,0
1.32,0.309291,0.0422142,0.22989,-0.114536,0.779388,0.166591,-0.147456,0.0713967,-0.986488,-0.463198,0,0,0.5,DISABLED,0
1.34,0.312516,0.0489901,0.407033,-0.106742,0.775927,0.142651,-0.139662,0.0452788,-0.989164,-0.463354,0,0,0.5,DISABLED,0
1.36,0.310722,0.0554802,0.294221,-0.0931302,0.767132,0.102655,-0.12605,-0.00611437,-0.992005,-0.481532,0,0,0.5,DISABLED,0
1.38,0.306744,0.0612883,-0.0884138,-0.0843009,0.754141,0.085002,-0.11722,-0.0398583,-0.992306,-0.510378,0,0,0.5,DISABLED,0
1.4,0.304301,0.0667297,-0.438765,-0.0805321,0.739513,0.0862267,-0.113452,-0.0183858,-0.993373,-0.498863,0,0,0.5,DISABLED,0
1.42,0.302405,0.072825,-0.733698,-0.071992,0.72678,0.0923774,-0.104911,0.0089726,-0.994441,-0.439062,0,0,0.5,DISABLED,0
1.44,0.294161,0.0782932,-0.831848,-0.0743099,0.718742,0.0767124,-0.107229,-0.0303014,-0.993772,-0.400557,0,0,0.5,DISABLED,0
1.46,0.284056,0.082642,-0.356244,-0.0925972,0.713783,0.0968253,-0.125517,-0.0754122,-0.989221,-0.382663,0,0,0.5,DISABLED,0
1.48,0.276289,0.0858444,0.0344363,-0.115675,0.710981,0.120686,-0.148594,-0.0804642,-0.985619,-0.361866,0,0,0.5,DISABLED,0
1.5,0.274146,0.087694,-0.0369107,-0.148129,0.710304,0.152814,-0.181049,-0.0809199,-0.980139,-0.332244,0,0,0.5,DISABLED,0
1.52,0.277014,0.0878192,0.0776241,-0.194811,0.71356,0.196834,-0.22773,-0.0497081,-0.972455,-0.289418,0,0,0.5,DISABLED,0
1.54,0.280961,0.0903372,-0.128809,-0.232421,0.718464,0.23749,-0.26534,-0.0180419,-0.963986,-0.263457,0,0,0.5,DISABLED,0
1.56,0.283351,0.095514,-0.121048,-0.252238,0.723299,0.260214,-0.285157,-0.00265878,-0.958477,-0.264891,0,0,0.5,DISABLED,0
1.58,0.285345,0.104325,-0.0558764,-0.256491,0.729855,0.268204,-0.289411,0.0146696,-0.957093,-0.276889,0,0,0.5,DISABLED,0
1.6,0.287186,0.112905,-0.0408458,-0.250067,0.735693,0.264674,-0.282986,0.0257752,-0.958778,-0.295535,0,0,0.5,DISABLED,0
1.62,0.289945,0.122737,-0.0298144,-0.241406,0.742913,0.257363,-0.274325,0.0301186,-0.961165,-0.326572,0,0,0.5,DISABLED,0
1.64,0.295026,0.132968,-0.0329357,-0.231954,0.751219,0.25053,-0.264873,0.0374656,-0.963555,-0.359922,0,0,0.5,DISABLED,0
1.66,0.299623,0.141183,-0.0745731,-0.223534,0.759551,0.24506,-0.256453,0.0446211,-0.965526,-0.378451,0,0,0.5,DISABLED,0
1.68,0.3032,0.149015,-0.0912342,-0.214989,0.768348,0.239621,-0.247908,0.0511331,-0.967433,-0.389749,0,0,0.5,DISABLED,0
1.7,0.305187,0.156711,-0.0805623,-0.203602,0.777233,0.232587,-0.236522,0.0589288,-0.969838,-0.397217,0,0,0.5,DISABLED,0
1.72,0.305472,0.164205,-0.048149,-0.189865,0.7858,0.223465,-0.222785,0.0653956,-0.972672,-0.40272,0,0,0.5,DISABLED,0
1.74,0.304459,0.170605,-0.00582302,-0.178936,0.792985,0.215854,-0.211855,0.068939,-0.974867,-0.40682,0,0,0.5,DISABLED,0
1.76,0.301826,0.177916,0.0195458,-0.166635,0.800783,0.206088,-0.199555,0.0700871,-0.977377,-0.412293,0,0,0.5,DISABLED,0
1.78,0.298361,0.184106,0.0440336,-0.157001,0.80659,0.197043,-0.18992,0.0682966,-0.979421,-0.41794,0,0,0.5,DISABLED,0
1.8,0.294123,0.189725,0.0742193,-0.150408,0.811053,0.189508,-0.183328,0.0647671,-0.980916,-0.424533,0,0,0.5,DISABLED,0
1.82,0.289639,0.194743,0.0944218,-0.145172,0.813713,0.182146,-0.178092,0.0596766,-0.982203,-0.433564,0,0,0.5,DISABLED,0
1.84,0.283312,0.201204,0.0841748,-0.138015,0.815208,0.170153,-0.170935,0.0494082,-0.984043,-0.4484,0,0,0.5,DISABLED,0
1.86,0.277579,0.206854,0.0760842,-0.130897,0.815081,0.156216,-0.163816,0.0353271,-0.985858,-0.465458,0,0,0.5,DISABLED,0
1.88,0.270203,0.213916,0.077319,-0.125236,0.813457,0.140745,-0.158155,0.0142939,-0.987311,-0.48754,0,0,0.5,DISABLED,0
1.9,0.26365,0.220902,0.0887698,-0.120211,0.810041,0.126619,-0.153131,-0.010554,-0.98815,-0.514505,0,0,0.5,DISABLED,0
1.92,0.258384,0.228018,0.124771,-0.112689,0.804229,0.113501,-0.145608,-0.0400605,-0.988531,-0.553704,0,0,0.5,DISABLED,0
1.94,0.253243,0.236051,0.148868,-0.106039,0.793778,0.108117,-0.138959,-0.0668646,-0.988038,-0.599496,0,0,0.5,DISABLED,0
1.96,0.248251,0.243506,0.155939,-0.103582,0.779119,0.112142,-0.136502,-0.0899175,-0.986551,-0.645787,0,0,0.5,DISABLED,0
1.98,0.243238,0.250892,0.160197,-0.10411,0.758185,0.120846,-0.13703,-0.108405,-0.984617,-0.702632,0,0,0.5,DISABLED,0
2,0.238003,0.258315,0.109289,-0.101154,0.73577,0.129122,-0.134073,-0.127325,-0.982758,-0.750163,0,0,0.5,DISABLED,0
2.02,0.233707,0.26511,-0.0100466,-0.106393,0.714511,0.133396,-0.139313,-0.127374,-0.982022,-0.783893,0,0,0.5,DISABLED,0
2.04,0.232141,0.266787,-0.395972,-0.140257,0.70157,0.147655,-0.173176,-0.0909377,-0.980684,-0.794952,0,0,0.5,DISABLED,0
2.06,0.229402,0.26803,-0.435293,-0.167668,0.693919,0.171804,-0.200588,-0.0780651,-0.97656,-0.819657,0,0,0.5,DISABLED,0
2.08,0.226268,0.270333,-0.365695,-0.188737,0.690318,0.191529,-0.221656,-0.0662028,-0.972875,-0.851076,0,0,0.5,DISABLED,0
2.1,0.222975,0.27387,-0.224666,-0.195652,0.689135,0.197691,-0.228572,-0.0489729,-0.972294,-0.870162,0,0,0.5,DISABLED,0
2.12,0.218529,0.278451,-0.150283,-0.197485,0.689898,0.199749,-0.230405,-0.0390919,-0.972309,-0.90035,0,0,0.5,DISABLED,0
2.14,0.21399,0.283033,-0.0322344,-0.199649,0.692406,0.202056,-0.232569,-0.037301,-0.971864,-0.938831,0,0,0.5,DISABLED,0
