t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.157025,0,0.734614,0,-0.100412,0.000889375,-0.994946,0,-0.25,0.2,0,DISABLED,0
0.0399988,-0.00209484,0.000443056,-0.152006,-0.00981526,0.734325,0.0100306,-0.110227,0.00268284,-0.993903,0.000250429,-0.25,0.2,0,DISABLED,0
0.0599988,-0.00461534,0.000821628,-0.0469356,-0.0186682,0.734107,0.0190151,-0.11908,0.00385934,-0.992877,-0.00514498,-0.25,0.2,0,DISABLED,0
0.0799987,-0.00701529,-4.39659e-05,-0.0287078,-0.024961,0.733509,0.0253396,-0.125373,-0.0024197,-0.992107,-0.00705127,-0.25,0.2,0,DISABLED,0
0.0999987,-0.0102811,-0.00106324,-0.100836,-0.0273288,0.732247,0.0285184,-0.12774,-0.00662069,-0.991786,-0.00813943,-0.25,0.2,0,DISABLED,0
0.119999,-0.013808,-0.00234109,-0.109322,-0.0299605,0.730081,0.0327454,-0.130372,-0.0118394,-0.991394,-0.00768133,-0.25,0.2,0,DISABLED,0
0.139999,-0.0171156,-0.00445089,-0.0979084,-0.0360184,0.727132,0.0434838,-0.13643,-0.023036,-0.990382,-0.00689317,-0.25,0.2,0,DISABLED,0
0.159999,-0.0204727,-0.00581918,0.00710729,-0.0384851,0.725053,0.0453628,-0.138897,-0.0226133,-0.990049,-0.00498673,-0.25,0.2,0,DISABLED,0
0.179999,-0.0245444,-0.00751439,0.116836,-0.0379492,0.723434,0.0435564,-0.138361,-0.0199451,-0.990181,-0.000816196,-0.25,0.2,0,DISABLED,0
0.199999,-0.028664,-0.00926443,0.135654,-0.0337835,0.72264,0.0415356,-0.134195,-0.0228906,-0.990691,0.00282702,-0.25,0.2,0,DISABLED,0
0.219999,-0.032291,-0.0104582,0.125888,-0.0305975,0.722599,0.0406887,-0.131009,-0.0256434,-0.991049,0.00607041,-0.25,0.2,0,DISABLED,0
0.239999,-0.0355918,-0.0109407,0.111295,-0.0277825,0.722966,0.040337,-0.128194,-0.0281306,-0.99135,0.00970737,-0.25,0.2,0,DISABLED,0
0.259999,-0.0385742,-0.0107499,0.0925291,-0.0265366,0.723636,0.041081,-0.126948,-0.0302715,-0.991447,0.0130143,-0.25,0.2,0,DISABLED,0
0.279999,-0.0418612,-0.00991339,0.0771555,-0.025737,0.724582,0.0415758,-0.126149,-0.031577,-0.991509,0.0149152,-0.25,0.2,0,DISABLED,0
0.299999,-0.0446735,-0.00891408,0.0610594,-0.0252116,0.725512,0.041656,-0.125623,-0.0320933,-0.991559,0.014602,-0.25,0.2,0,DISABLED,0
0.319999,-0.0483339,-0.00745967,0.0583543,-0.0244446,0.726703,0.0411433,-0.124856,-0.0320364,-0.991657,0.0125383,-0.25,0.2,0,DISABLED,0
0.339998,-0.0517921,-0.00597619,0.0799673,-0.0236584,0.7277,0.0398178,-0.12407,-0.030977,-0.99179,0.010432,-0.25,0.2,0,DISABLED,0
0.359998,-0.0550484,-0.00452946,0.0963517,-0.022285,0.728397,0.0373756,-0.122697,-0.0289708,-0.992021,0.0086427,-0.25,0.2,0,DISABLED,0
0.379998,-0.0587952,-0.00283819,0.0931709,-0.0201367,0.728927,0.0330859,-0.120548,-0.0252359,-0.992387,0.00758363,-0.25,0.2,0,DISABLED,0
0.399998,-0.062618,-0.00100219,0.076715,-0.018017,0.729258,0.026967,-0.118429,-0.0190565,-0.99278,0.00784703,-0.25,0.2,0,DISABLED,0
0.419998,-0.0667771,0.00115136,0.0845262,-0.0148985,0.729077,0.0177101,-0.11531,-0.00854176,-0.993293,0.0100118,-0.25,0.2,0,DISABLED,0
0.439998,-0.0723344,0.00387761,0.0992161,-0.00699324,0.727412,0.0105236,-0.107405,0.00871737,-0.994177,0.0163335,-0.25,0.2,0,DISABLED,0
0.459998,-0.0774232,0.00623542,0.101056,0.0017691,0.724541,0.0237061,-0.0986425,0.0245275,-0.994821,0.0241022,-0.25,0.2,0,DISABLED,0
0.479998,-0.0825882,0.00647408,0.0933311,0.00511422,0.722968,0.0085971,-0.0952974,0.00778629,-0.995418,0.0236148,-0.25,0.2,0,DISABLED,0
0.499998,-0.0856688,0.0081439,-0.0423067,-0.00423132,0.7221,0.00598021,-0.104643,0.00509465,-0.994497,0.0191099,-0.25,0.2,0,DISABLED,0
0.519998,-0.088525,0.0104703,-0.04969,-0.0132349,0.721736,0.0190714,-0.113646,0.0145358,-0.993415,0.0222191,-0.25,0.2,0,DISABLED,0
0.539998,-0.0917096,0.0120449,-0.00513181,-0.0171763,0.721894,0.0267629,-0.117588,0.021305,-0.992834,0.025942,-0.25,0.2,0,DISABLED,0
0.559998,-0.0950499,0.0130114,0.0369424,-0.0165281,0.722537,0.0291633,-0.11694,0.0248209,-0.992829,0.0266339,-0.25,0.2,0,DISABLED,0
0.579998,-0.0983969,0.0134384,0.0671987,-0.0122108,0.723544,0.0275444,-0.112622,0.0255232,-0.99331,0.0250164,-0.25,0.2,0,DISABLED,0
0.599998,-0.101564,0.0133711,0.0821491,-0.00626744,0.72479,0.0232157,-0.106679,0.0232242,-0.994022,0.0218067,-0.25,0.2,0,DISABLED,0
0.619998,-0.104718,0.0128153,0.0948854,0.000762336,0.726017,0.0181062,-0.0996493,0.0189763,-0.994842,0.0188108,-0.25,0.2,0,DISABLED,0
0.639998,-0.108169,0.0119411,0.115477,0.00880385,0.726828,0.0157846,-0.0916077,0.0139664,-0.995697,0.015147,-0.25,0.2,0,DISABLED,0
0.659998,-0.112175,0.0108915,0.129291,0.0177955,0.726803,0.0192549,-0.0826161,0.0080734,-0.996549,0.00862434,-0.25,0.2,0,DISABLED,0
0.679998,-0.116634,0.0095091,0.14162,0.0265575,0.725791,0.0267004,-0.0738541,-0.000604574,-0.997269,-0.00159946,-0.25,0.2,0,DISABLED,0
0.699998,-0.121495,0.00832136,0.143501,0.033444,0.724218,0.0344904,-0.0669676,-0.00705249,-0.99773,-0.0161279,-0.25,0.2,0,DISABLED,0
0.719998,-0.126077,0.00716589,0.134911,0.034962,0.722767,0.037323,-0.0654496,-0.0118574,-0.997785,-0.0291036,-0.25,0.2,0,DISABLED,0
0.739998,-0.130512,0.00582086,0.134698,0.0334263,0.720861,0.0405845,-0.0669853,-0.0219787,-0.997512,-0.0387095,-0.25,0.2,0,DISABLED,0
0.759998,-0.135586,0.00521369,0.153628,0.0332569,0.718111,0.0461874,-0.0671546,-0.0310707,-0.997259,-0.0482707,-0.25,0.2,0,DISABLED,0
0.779998,-0.140856,0.00620152,0.163648,0.0313998,0.716693,0.0392325,-0.0690118,-0.0225034,-0.997362,-0.051897,-0.25,0.2,0,DISABLED,0
0.799998,-0.145348,0.00702565,0.108191,0.0274078,0.715852,0.0360406,-0.0730037,-0.0224146,-0.99708,-0.0555198,-0.25,0.2,0,DISABLED,0
0.819998,-0.149755,0.00845155,0.0962863,0.0252577,0.715607,0.0359197,-0.0751539,-0.024576,-0.996869,-0.0637382,-0.25,0.2,0,DISABLED,0
0.839998,-0.153899,0.0104327,0.106109,0.0252274,0.715886,0.0355443,-0.0751842,-0.0240723,-0.996879,-0.0683095,-0.25,0.2,0,DISABLED,0
0.859998,-0.157801,0.0130666,0.110333,0.0268767,0.71651,0.0355811,-0.0735348,-0.0223321,-0.997043,-0.072102,-0.25,0.2,0,DISABLED,0
0.879998,-0.161424,0.0163067,0.0967018,0.0294925,0.71734,0.0363289,-0.0709191,-0.0201915,-0.997278,-0.0757243,-0.25,0.2,0,DISABLED,0
0.899998,-0.164914,0.0199518,0.0618821,0.0334199,0.718045,0.0378212,-0.0669917,-0.0166091,-0.997615,-0.079475,-0.25,0.2,0,DISABLED,0
0.919998,-0.168338,0.0238946,0.0364439,0.0371169,0.718335,0.0395368,-0.0632947,-0.0123977,-0.997918,-0.0822078,-0.25,0.2,0,DISABLED,0
0.939998,-0.171751,0.028008,0.0253554,0.0414931,0.718139,0.0422416,-0.0589185,-0.00629214,-0.998243,-0.0840149,-0.25,0.2,0,DISABLED,0
0.959998,-0.175554,0.0318058,0.022118,0.0463476,0.718114,0.046766,-0.054064,-0.00418068,-0.998529,-0.0829507,-0.25,0.2,0,DISABLED,0
0.979998,-0.179603,0.0353112,0.0276929,0.0499151,0.718355,0.0502674,-0.0504965,-0.0036387,-0.998718,-0.0812647,-0.25,0.2,0,DISABLED,0
0.999998,-0.183772,0.0388588,0.042112,0.0517705,0.718402,0.0519935,-0.0486411,-0.00185517,-0.998815,-0.0796357,-0.25,0.2,0,DISABLED,0
1.02,-0.188295,0.0419268,0.0638259,0.0529617,0.718165,0.0532401,-0.0474499,-0.00278947,-0.99887,-0.0762467,-0.25,0.2,0,DISABLED,0
1.04,-0.192751,0.0442697,0.0860319,0.0512942,0.71869,0.0523467,-0.0491174,-0.00880403,-0.998754,-0.0749111,-0.25,0.2,0,DISABLED,0
1.06,-0.196942,0.0467632,0.144614,0.0485076,0.71935,0.0496588,-0.051904,-0.00906813,-0.998611,-0.0786525,-0.25,0.2,0,DISABLED,0
1.08,-0.201208,0.0484699,0.169788,0.0464619,0.720118,0.0474029,-0.0539497,-0.00777696,-0.998513,-0.0786626,-0.25,0.2,0,DISABLED,0
1.1,-0.205242,0.0495832,0.149103,0.04327,0.721167,0.0437694,-0.0571416,-0.00473149,-0.998355,-0.0745223,-0.25,0.2,0,DISABLED,0
1.12,-0.209165,0.0504282,0.115609,0.0393946,0.722482,0.0395262,-0.061017,0.000812494,-0.998136,-0.0698923,-0.25,0.2,0,DISABLED,0
1.14,-0.213177,0.0510728,0.0882178,0.0357393,0.723944,0.0366378,-0.0646723,0.00839654,-0.997871,-0.0652442,-0.25,0.2,0,DISABLED,0
1.16,-0.217405,0.0515186,0.0740874,0.0329709,0.725331,0.0357233,-0.0674407,0.0143733,-0.99762,-0.0621841,-0.25,0.2,0,DISABLED,0
1.18,-0.221746,0.0517589,0.0729216,0.02968,0.726563,0.0350511,-0.0707316,0.0193813,-0.997307,-0.0586533,-0.25,0.2,0,DISABLED,0
1.2,-0.22653,0.0517334,0.0870814,0.0264326,0.727678,0.0332226,-0.073979,0.0209041,-0.997041,-0.0557712,-0.25,0.2,0,DISABLED,0
1.22,-0.230373,0.0514307,0.106548,0.0226128,0.728343,0.0291592,-0.0777988,0.0192059,-0.996784,-0.053667,-0.25,0.2,0,DISABLED,0
1.24,-0.234656,0.0507982,0.121969,0.0186911,0.728599,0.0227829,-0.0817205,0.0138184,-0.99656,-0.0525991,-0.25,0.2,0,DISABLED,0
1.26,-0.238993,0.0497906,0.128843,0.0148363,0.72809,0.0152193,-0.0855753,0.00399744,-0.996324,-0.0529206,-0.25,0.2,0,DISABLED,0
1.28,-0.243333,0.0483266,0.123405,0.0103547,0.726765,0.0160653,-0.0900569,-0.0113602,-0.995872,-0.0550153,-0.25,0.2,0,DISABLED,0
1.3,-0.247789,0.0464996,0.114256,0.00566294,0.724444,0.0335049,-0.0947487,-0.0321318,-0.994983,-0.0585237,-0.25,0.2,0,DISABLED,0
1.32,-0.25278,0.0452215,0.136081,0.00241998,0.721234,0.0517843,-0.0979916,-0.0508215,-0.993889,-0.0640844,-0.25,0.2,0,DISABLED,0
1.34,-0.258658,0.0447559,0.156812,-0.000551596,0.717853,0.0646869,-0.100963,-0.0637498,-0.992846,-0.0732264,-0.25,0.2,0,DISABLED,0
1.36,-0.262987,0.0450809,0.151951,-0.00843956,0.717012,0.0616871,-0.108851,-0.0601475,-0.992237,-0.0734821,-0.25,0.2,0,DISABLED,0
1.38,-0.267594,0.0449833,0.121551,-0.013804,0.716392,0.0648775,-0.114216,-0.0623974,-0.991495,-0.0735683,-0.25,0.2,0,DISABLED,0
