t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.010255,0,0.734501,0,-0.100413,0.0144889,-0.99484,0,0.25,0.2,0,DISABLED,0
0.0399988,-0.00474098,-0.00354085,-0.0118077,0.00694302,0.734295,0.0134389,-0.09347,0.00301225,-0.995618,0.00975831,0.25,0.2,0,DISABLED,0
0.0599988,-0.0071806,-0.00536696,-0.154218,-0.00030899,0.734462,0.0147297,-0.100722,-0.000238727,-0.994915,0.0138217,0.25,0.2,0,DISABLED,0
0.0799987,-0.00871599,-0.00546351,-0.174226,-0.0131757,0.73379,0.0183254,-0.113589,0.00182482,-0.993526,0.017736,0.25,0.2,0,DISABLED,0
0.0999987,-0.0112523,-0.00518946,-0.152061,-0.0212356,0.732667,0.0246987,-0.121649,0.00208144,-0.992571,0.0159434,0.25,0.2,0,DISABLED,0
0.119999,-0.0143183,-0.0061594,-0.122288,-0.0277653,0.730576,0.034795,-0.128178,-0.00624778,-0.991731,0.0127001,0.25,0.2,0,DISABLED,0
0.139999,-0.0171621,-0.00788509,-0.0905486,-0.0354389,0.727926,0.0480997,-0.135852,-0.0177439,-0.99057,0.010261,0.25,0.2,0,DISABLED,0
0.159999,-0.0207171,-0.00954131,0.0151156,-0.0403417,0.724996,0.0542652,-0.140755,-0.0214449,-0.989812,0.00965025,0.25,0.2,0,DISABLED,0
0.179999,-0.0247077,-0.0109931,0.15226,-0.0430096,0.72313,0.0516702,-0.143423,-0.0136448,-0.989567,0.0142357,0.25,0.2,0,DISABLED,0
0.199999,-0.0284377,-0.0128623,0.168062,-0.043206,0.722265,0.0530348,-0.143619,-0.0157907,-0.989507,0.0175081,0.25,0.2,0,DISABLED,0
0.219999,-0.0314171,-0.0142356,0.146167,-0.0439844,0.722445,0.0572305,-0.144397,-0.0216898,-0.989282,0.0194285,0.25,0.2,0,DISABLED,0
0.239999,-0.0341282,-0.0148914,0.110748,-0.0444634,0.723059,0.0605994,-0.144876,-0.0262681,-0.989101,0.0227637,0.25,0.2,0,DISABLED,0
0.259999,-0.0367713,-0.0147692,0.0765041,-0.0450638,0.723756,0.0629608,-0.145477,-0.0290673,-0.988935,0.0263692,0.25,0.2,0,DISABLED,0
0.279999,-0.039373,-0.0139929,0.0497922,-0.0467528,0.724498,0.065394,-0.147166,-0.0307935,-0.988632,0.0287533,0.25,0.2,0,DISABLED,0
0.299999,-0.0420482,-0.0128416,0.0297295,-0.0487075,0.725238,0.0671651,-0.149121,-0.031278,-0.988324,0.0297387,0.25,0.2,0,DISABLED,0
0.319999,-0.0449095,-0.0114342,0.0256377,-0.0509206,0.725896,0.0686956,-0.151334,-0.0310899,-0.987994,0.028954,0.25,0.2,0,DISABLED,0
0.339998,-0.0478651,-0.00982413,0.0442894,-0.0531707,0.726395,0.069318,-0.153584,-0.029385,-0.987699,0.0276294,0.25,0.2,0,DISABLED,0
0.359998,-0.0508717,-0.00802045,0.071207,-0.0550861,0.726627,0.0686261,-0.155499,-0.0257508,-0.9875,0.0263655,0.25,0.2,0,DISABLED,0
0.379998,-0.0538442,-0.00602913,0.0887207,-0.0567633,0.726599,0.0669159,-0.157176,-0.0201252,-0.987365,0.0257476,0.25,0.2,0,DISABLED,0
0.399998,-0.056879,-0.00379205,0.0872771,-0.0578263,0.726263,0.0638806,-0.158239,-0.0115709,-0.987333,0.0262149,0.25,0.2,0,DISABLED,0
0.419998,-0.0597319,-0.00147735,0.0923388,-0.0581084,0.725573,0.060424,-0.158521,-0.000254939,-0.987356,0.0286223,0.25,0.2,0,DISABLED,0
0.439998,-0.0638713,0.00195185,0.113724,-0.0546869,0.723367,0.0555447,-0.1551,0.0209991,-0.987676,0.0351713,0.25,0.2,0,DISABLED,0
0.459998,-0.0683587,0.00364473,0.14155,-0.0496143,0.721672,0.0504486,-0.150027,0.0209859,-0.988459,0.0386151,0.25,0.2,0,DISABLED,0
0.479998,-0.0712182,0.00549363,0.0472113,-0.0543412,0.721232,0.0547967,-0.154754,0.0141286,-0.987852,0.0341694,0.25,0.2,0,DISABLED,0
0.499998,-0.073892,0.00836764,-0.0157588,-0.0586594,0.720869,0.05927,-0.159072,0.0178221,-0.987106,0.0385294,0.25,0.2,0,DISABLED,0
0.519998,-0.0765134,0.0111267,-0.00298378,-0.0619901,0.720924,0.0629428,-0.162403,0.0214106,-0.986492,0.0441645,0.25,0.2,0,DISABLED,0
0.539998,-0.0791103,0.0134816,0.0135902,-0.0638097,0.721356,0.0652652,-0.164223,0.0249819,-0.986107,0.0481238,0.25,0.2,0,DISABLED,0
0.559998,-0.0816859,0.0153053,0.0320149,-0.0638315,0.722036,0.0657514,-0.164245,0.0275177,-0.986036,0.0496997,0.25,0.2,0,DISABLED,0
0.579998,-0.0841181,0.0164812,0.0520072,-0.0626231,0.722806,0.0646491,-0.163036,0.0279857,-0.986223,0.0498447,0.25,0.2,0,DISABLED,0
0.599998,-0.0863857,0.0171336,0.064975,-0.0606817,0.723509,0.062473,-0.161095,0.0267775,-0.986576,0.0489754,0.25,0.2,0,DISABLED,0
0.619998,-0.0885214,0.017333,0.0682853,-0.0585315,0.724031,0.059769,-0.158945,0.0236489,-0.987004,0.0469961,0.25,0.2,0,DISABLED,0
0.639998,-0.090743,0.0171363,0.0692297,-0.0556176,0.724203,0.0562796,-0.156031,0.0190029,-0.987569,0.044108,0.25,0.2,0,DISABLED,0
0.659998,-0.0933149,0.0166701,0.0750943,-0.0510111,0.723806,0.051469,-0.151424,0.0122964,-0.988392,0.0386793,0.25,0.2,0,DISABLED,0
0.679998,-0.0963663,0.0159848,0.0816895,-0.0459108,0.722534,0.0478549,-0.146324,0.00222466,-0.989234,0.0285285,0.25,0.2,0,DISABLED,0
0.699998,-0.0991471,0.0157556,0.0937726,-0.0410932,0.721161,0.0471279,-0.141506,-0.00804203,-0.989905,0.0122341,0.25,0.2,0,DISABLED,0
0.719998,-0.102255,0.0155413,0.110622,-0.0382211,0.719127,0.05022,-0.138634,-0.0177452,-0.990185,-0.00438962,0.25,0.2,0,DISABLED,0
0.739998,-0.106184,0.0165049,0.158969,-0.0350862,0.716399,0.0470646,-0.135499,-0.0165905,-0.990639,-0.0164585,0.25,0.2,0,DISABLED,0
0.759998,-0.10882,0.0176625,0.164661,-0.0361452,0.715003,0.0435632,-0.136558,-0.00944721,-0.990587,-0.0205581,0.25,0.2,0,DISABLED,0
0.779998,-0.111291,0.0185156,0.13833,-0.0359975,0.713973,0.046146,-0.136411,-0.0140568,-0.990553,-0.0250567,0.25,0.2,0,DISABLED,0
0.799998,-0.113293,0.0197651,0.108292,-0.0348459,0.713708,0.0485931,-0.135259,-0.0191073,-0.990626,-0.029293,0.25,0.2,0,DISABLED,0
0.819998,-0.115017,0.0214893,0.0908471,-0.0324617,0.713941,0.0485206,-0.132875,-0.0213511,-0.990903,-0.0317661,0.25,0.2,0,DISABLED,0
0.839998,-0.116474,0.0237401,0.0859239,-0.0293498,0.7144,0.0472808,-0.129763,-0.0224034,-0.991292,-0.0324148,0.25,0.2,0,DISABLED,0
0.859998,-0.11757,0.0267637,0.0836432,-0.026438,0.71489,0.0461925,-0.126851,-0.0232486,-0.991649,-0.0324152,0.25,0.2,0,DISABLED,0
0.879998,-0.11842,0.0310376,0.0757992,-0.0235841,0.715201,0.0449906,-0.123997,-0.0237163,-0.991999,-0.032064,0.25,0.2,0,DISABLED,0
