t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.100758,0,0.703016,0,-0.133016,-0.0237696,-0.990829,0,0,0,0,DISABLED,0
0.0399988,-0.00348637,-0.0025768,0.0436699,0.00792825,0.70572,0.00801587,-0.125088,-0.0244123,-0.991845,0.0163327,0,0,0,DISABLED,0
0.0599988,-0.00656527,-0.00502762,-0.0119921,0.0147401,0.708545,0.0148747,-0.118276,-0.0244826,-0.992679,0.0294831,0,0,0,DISABLED,0
0.0799987,-0.0100015,-0.00783429,-0.0390866,0.0225304,0.710982,0.0229887,-0.110486,-0.0201895,-0.993673,0.0420353,0,0,0,DISABLED,0
0.0999987,-0.0137756,-0.0101399,0.0352221,0.0320627,0.711222,0.0373708,-0.100954,-0.00500584,-0.994879,0.0568174,0,0,0,DISABLED,0
0.119999,-0.0187918,-0.0116383,0.0141089,0.0460434,0.707987,0.0678287,-0.0869729,0.0257635,-0.995878,0.0744548,0,0,0,DISABLED,0
0.139999,-0.0236246,-0.0138497,-0.0186726,0.057604,0.70168,0.095185,-0.0754122,0.0517976,-0.995806,0.093924,0,0,0,DISABLED,0
0.159999,-0.0249562,-0.0182765,-0.083219,0.0535919,0.699941,0.0692121,-0.0794243,0.0196175,-0.996648,0.0984397,0,0,0,DISABLED,0
0.179999,-0.0256132,-0.0198617,-0.193866,0.0386192,0.698314,0.0524855,-0.094397,0.0114611,-0.995469,0.0975886,0,0,0,DISABLED,0
0.199999,-0.027306,-0.0205296,-0.0640359,0.0304682,0.697247,0.0466165,-0.102548,0.0112975,-0.994664,0.087877,0,0,0,DISABLED,0
0.219999,-0.029016,-0.0230643,-0.0583456,0.0227785,0.696215,0.0356012,-0.110238,0.00341541,-0.993899,0.0819851,0,0,0,DISABLED,0
0.239999,-0.03093,-0.0259895,-0.0412581,0.0162809,0.69563,0.0275985,-0.116735,-0.00160766,-0.993162,0.0802097,0,0,0,DISABLED,0
0.259999,-0.0327509,-0.028803,-0.0232329,0.00932737,0.695316,0.02134,-0.123689,-0.00463408,-0.99231,0.0788344,0,0,0,DISABLED,0
0.279999,-0.0344462,-0.0316381,-0.0164872,0.00433248,0.695121,0.017541,-0.128684,-0.00679309,-0.991662,0.0789139,0,0,0,DISABLED,0
0.299999,-0.0360872,-0.0344898,-0.016461,-9.64701e-05,0.694978,0.0134522,-0.133113,-0.0103154,-0.991047,0.0792911,0,0,0,DISABLED,0
0.319999,-0.0377933,-0.037373,-0.014758,-0.00305738,0.694812,0.00881618,-0.136074,-0.0155035,-0.990577,0.0800373,0,0,0,DISABLED,0
0.339998,-0.0398037,-0.0400097,-0.00659168,-0.00461891,0.694859,0.00656916,-0.137635,-0.019118,-0.990298,0.0803646,0,0,0,DISABLED,0
0.359998,-0.0422172,-0.04268,0.0277601,-0.0055916,0.695249,0.00683595,-0.138608,-0.0198877,-0.990148,0.0842565,0,0,0,DISABLED,0
0.379998,-0.0445017,-0.0450996,0.0769789,-0.00393392,0.695785,0.00581855,-0.13695,-0.0195037,-0.990386,0.0931278,0,0,0,DISABLED,0
0.399998,-0.0477519,-0.048071,0.103942,0.00290975,0.696849,0.00446184,-0.130107,-0.0204136,-0.99129,0.106052,0,0,0,DISABLED,0
0.419998,-0.0510177,-0.0509073,0.0980996,0.0114794,0.698582,0.0117696,-0.121537,-0.0216303,-0.992351,0.118375,0,0,0,DISABLED,0
0.439998,-0.0535853,-0.0533564,0.0587198,0.0182558,0.700727,0.0185871,-0.11476,-0.0211736,-0.993168,0.12923,0,0,0,DISABLED,0
0.459998,-0.055752,-0.0557166,0.0138535,0.0241711,0.702808,0.0247614,-0.108845,-0.0193423,-0.99387,0.139601,0,0,0,DISABLED,0
0.479998,-0.0582245,-0.058397,-0.0215489,0.031471,0.704356,0.0333319,-0.101545,-0.013511,-0.994739,0.15115,0,0,0,DISABLED,0
0.499998,-0.060789,-0.0605341,-0.00583383,0.0404231,0.704116,0.0474809,-0.0925932,0.000648578,-0.995704,0.164634,0,0,0,DISABLED,0
0.519998,-0.0647258,-0.062768,-0.011311,0.0534162,0.701098,0.072054,-0.0796001,0.0242277,-0.996532,0.181442,0,0,0,DISABLED,0
0.539998,-0.0689639,-0.0664501,-0.000826657,0.065347,0.694737,0.0887809,-0.0676693,0.0359618,-0.997059,0.203539,0,0,0,DISABLED,0
0.559998,-0.069749,-0.0706598,-0.110657,0.0613873,0.693239,0.0693042,-0.0716289,0.00768811,-0.997402,0.208524,0,0,0,DISABLED,0
0.579998,-0.0705566,-0.0718171,-0.150663,0.0460448,0.692765,0.0535695,-0.0869714,0.0030642,-0.996206,0.20394,0,0,0,DISABLED,0
0.599998,-0.071463,-0.072842,-0.140646,0.033676,0.692624,0.0447568,-0.0993403,0.00540396,-0.995039,0.20594,0,0,0,DISABLED,0
0.619998,-0.072695,-0.0749349,-0.113272,0.0229472,0.692557,0.0388431,-0.110069,0.00741682,-0.993896,0.211225,0,0,0,DISABLED,0
0.639998,-0.0739651,-0.0778204,-0.0869989,0.0143119,0.692535,0.0352174,-0.118704,0.00833913,-0.992895,0.216475,0,0,0,DISABLED,0
0.659998,-0.0749219,-0.0806532,-0.0682229,0.00732985,0.692534,0.0331076,-0.125686,0.00849387,-0.992034,0.222774,0,0,0,DISABLED,0
0.679998,-0.0756491,-0.0832525,-0.0570044,0.00188421,0.692522,0.0310599,-0.131132,0.00722778,-0.991339,0.229738,0,0,0,DISABLED,0
0.699998,-0.0763628,-0.0860864,-0.0460871,-0.00251053,0.692472,0.0286769,-0.135527,0.00479421,-0.990762,0.237631,0,0,0,DISABLED,0
0.719998,-0.0770338,-0.0892015,-0.0341068,-0.00639679,0.692255,0.0250557,-0.139413,0.000448503,-0.990234,0.246,0,0,0,DISABLED,0
0.739998,-0.077589,-0.0919287,-0.0205595,-0.00949267,0.691803,0.0195529,-0.142509,-0.00670893,-0.989771,0.254854,0,0,0,DISABLED,0
