t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.075812,0,0.732687,0,-0.129883,-0.0334628,-0.990965,0,0,0.3,0,DISABLED,0
0.0399988,-0.00307491,-0.00163982,0.0199783,0.00611429,0.734671,0.00738905,-0.123768,-0.0294211,-0.991875,0.010911,0,0.3,0,DISABLED,0
0.0599988,-0.0058479,-0.00307348,-0.0219504,0.0112202,0.73629,0.0143775,-0.118662,-0.0246346,-0.992629,0.0194124,0,0.3,0,DISABLED,0
0.0799987,-0.00918558,-0.00461406,-0.0195853,0.0173593,0.737326,0.0255224,-0.112523,-0.0149317,-0.993537,0.0305868,0,0.3,0,DISABLED,0
0.0999987,-0.0141332,-0.00557002,-0.0173362,0.0292563,0.736205,0.0457502,-0.100626,0.00148144,-0.994923,0.0481054,0,0.3,0,DISABLED,0
0.119999,-0.0200301,-0.0067923,-0.193914,0.0394182,0.731645,0.0596731,-0.0904645,0.0110601,-0.995838,0.0852612,0,0.3,0,DISABLED,0
0.139999,-0.0237827,-0.00814502,-0.117281,0.0361503,0.729811,0.0473589,-0.0937323,-0.0032297,-0.995592,0.0884064,0,0.3,0,DISABLED,0
0.159999,-0.0275966,-0.00851654,-0.0941508,0.0240439,0.727865,0.0337566,-0.105839,-0.0100128,-0.994333,0.0795817,0,0.3,0,DISABLED,0
0.179999,-0.0320023,-0.00897329,-0.00439599,0.0155352,0.726383,0.0317997,-0.114347,-0.00582762,-0.993424,0.0811075,0,0.3,0,DISABLED,0
0.199999,-0.0365987,-0.00999124,0.132735,0.0126451,0.725115,0.0326305,-0.117238,-0.00346147,-0.993098,0.0861117,0,0.3,0,DISABLED,0
0.219999,-0.0417377,-0.0110513,0.173821,0.0123266,0.724362,0.0316663,-0.117556,-0.00437028,-0.993057,0.0884481,0,0.3,0,DISABLED,0
0.239999,-0.0465538,-0.0115531,0.170764,0.0104062,0.724376,0.0285623,-0.119476,-0.00693077,-0.992813,0.0891314,0,0.3,0,DISABLED,0
0.259999,-0.0500726,-0.0114381,0.123606,0.00780277,0.724756,0.0255014,-0.12208,-0.00923327,-0.992477,0.0902087,0,0.3,0,DISABLED,0
0.279999,-0.0540904,-0.0106171,0.0691506,0.00296541,0.725511,0.0216726,-0.126917,-0.0120111,-0.991841,0.08998,0,0.3,0,DISABLED,0
0.299999,-0.057736,-0.00932935,0.0224884,-0.00282247,0.726335,0.0198524,-0.132705,-0.0138139,-0.991059,0.0882681,0,0.3,0,DISABLED,0
0.319999,-0.061666,-0.00767604,0.0077334,-0.00879134,0.727031,0.020725,-0.138674,-0.0147107,-0.990229,0.085113,0,0.3,0,DISABLED,0
0.339998,-0.0654488,-0.00592025,0.0224065,-0.0139327,0.727422,0.0239264,-0.143815,-0.0140688,-0.989505,0.082113,0,0.3,0,DISABLED,0
0.359998,-0.0703782,-0.00340429,0.0363593,-0.0194561,0.727561,0.030508,-0.149339,-0.0100724,-0.988735,0.0796532,0,0.3,0,DISABLED,0
0.379998,-0.0751485,-0.000727363,0.0399523,-0.0236541,0.727392,0.0385735,-0.153537,-0.00312778,-0.988138,0.0788348,0,0.3,0,DISABLED,0
0.399998,-0.0797435,0.00213173,0.0449196,-0.026471,0.726782,0.048496,-0.156354,0.00703076,-0.987676,0.078929,0,0.3,0,DISABLED,0
0.419998,-0.0861827,0.00637139,0.0590493,-0.0258809,0.724643,0.0661629,-0.155764,0.0273102,-0.987417,0.0814223,0,0.3,0,DISABLED,0
0.439998,-0.0931723,0.00973669,0.0898282,-0.0204277,0.721673,0.0751996,-0.15031,0.0388245,-0.987876,0.0855337,0,0.3,0,DISABLED,0
0.459998,-0.0990222,0.01205,0.0261738,-0.0231138,0.720923,0.0656207,-0.152996,0.0278593,-0.987834,0.0789884,0,0.3,0,DISABLED,0
0.479998,-0.103875,0.0157239,-0.0555583,-0.0280264,0.720952,0.0694143,-0.157909,0.0299034,-0.987001,0.0805585,0,0.3,0,DISABLED,0
0.499998,-0.108186,0.0192183,-0.0130278,-0.0304046,0.721249,0.0769128,-0.160287,0.0370149,-0.986376,0.0872854,0,0.3,0,DISABLED,0
0.519998,-0.112961,0.0225739,0.0187995,-0.0307407,0.721981,0.082047,-0.160623,0.042427,-0.986103,0.0911739,0,0.3,0,DISABLED,0
0.539998,-0.11818,0.0255231,0.032391,-0.0284053,0.723181,0.0845917,-0.158288,0.0460546,-0.986318,0.0912195,0,0.3,0,DISABLED,0
