t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.107859,0,0.73124,0,-0.13363,-0.0326028,-0.990495,0,0,-0.3,0,DISABLED,0
0.0399988,-0.00351316,-0.00184101,0.0765906,0.00803103,0.732761,0.00823593,-0.125599,-0.0311543,-0.991592,0.00995424,0,-0.3,0,DISABLED,0
0.0599988,-0.00628176,-0.00326586,0.0171279,0.0134234,0.734276,0.0147943,-0.120206,-0.0266851,-0.99239,0.0200065,0,-0.3,0,DISABLED,0
0.0799987,-0.00957906,-0.00501275,-0.0288249,0.0192748,0.735848,0.0243364,-0.114355,-0.0180104,-0.993277,0.0313061,0,-0.3,0,DISABLED,0
0.0999987,-0.0138077,-0.00667774,-0.0382994,0.0288811,0.735408,0.0379298,-0.104748,-0.00834296,-0.994464,0.0456781,0,-0.3,0,DISABLED,0
0.119999,-0.0185972,-0.0086748,-0.147053,0.0376932,0.731821,0.0480104,-0.0959363,-0.00327997,-0.995382,0.0726509,0,-0.3,0,DISABLED,0
0.139999,-0.0231816,-0.0109093,-0.11526,0.0385863,0.729739,0.0428136,-0.0950432,-0.0147148,-0.995364,0.0789123,0,-0.3,0,DISABLED,0
0.159999,-0.0270372,-0.0118672,-0.108102,0.0299608,0.729101,0.0334818,-0.103669,-0.0181923,-0.994446,0.0712695,0,-0.3,0,DISABLED,0
0.179999,-0.0308517,-0.0133424,-0.0830629,0.0171576,0.728086,0.0240655,-0.116472,-0.0159275,-0.993066,0.076775,0,-0.3,0,DISABLED,0
0.199999,-0.0356081,-0.0153339,0.0304433,0.0115232,0.726689,0.0217495,-0.122106,-0.0142563,-0.992415,0.0820301,0,-0.3,0,DISABLED,0
0.219999,-0.0407707,-0.0174638,0.13985,0.0103936,0.72554,0.0222534,-0.123236,-0.0130084,-0.992292,0.0876076,0,-0.3,0,DISABLED,0
0.239999,-0.0455366,-0.0192824,0.167084,0.00964878,0.724946,0.0214709,-0.123981,-0.0134994,-0.992193,0.0912126,0,-0.3,0,DISABLED,0
