t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.108136,0,0.731526,0.000345267,-0.1326,-0.0352895,-0.990541,0,0,0,0,DISABLED,0
0.0399988,-0.00362283,-0.00196351,0.0609168,0.00769173,0.733478,0.00815593,-0.124908,-0.0328315,-0.991625,0.0113359,0,0,0,DISABLED,0
0.0599988,-0.00630867,-0.00345789,-0.000513017,0.0124272,0.73516,0.0141687,-0.120172,-0.0287314,-0.992337,0.0212719,0,0,0,DISABLED,0
0.0799987,-0.00941318,-0.00514261,-0.0340608,0.0177272,0.736579,0.0227933,-0.114873,-0.0212083,-0.993154,0.0321441,0,0,0,DISABLED,0
0.0999987,-0.0130714,-0.00659036,0.0112391,0.0251816,0.736693,0.0384155,-0.107418,-0.00651275,-0.994193,0.0447108,0,0,0,DISABLED,0
0.119999,-0.0177538,-0.00755082,0.0138483,0.0358492,0.734286,0.0626036,-0.0967505,0.0158092,-0.995183,0.0586918,0,0,0,DISABLED,0
0.139999,-0.0218907,-0.0116199,-0.0285844,0.0433757,0.733518,0.0553511,-0.089224,-0.00135558,-0.996011,0.0735542,0,0,0,DISABLED,0
0.159999,-0.0234385,-0.013444,-0.204364,0.0360986,0.733178,0.0461564,-0.0965011,-0.00693448,-0.995309,0.0799778,0,0,0,DISABLED,0
0.179999,-0.0251095,-0.0130333,-0.168247,0.0238962,0.732632,0.0404889,-0.108704,-0.00279953,-0.99407,0.0779774,0,0,0,DISABLED,0
0.199999,-0.0270945,-0.0131971,-0.0674775,0.016264,0.732078,0.035339,-0.116336,-0.00403052,-0.993202,0.0718763,0,0,0,DISABLED,0
0.219999,-0.029249,-0.0153098,-0.0415765,0.00864086,0.731129,0.0247397,-0.123959,-0.0121686,-0.992213,0.0721113,0,0,0,DISABLED,0
0.239999,-0.0313025,-0.0176305,-0.0145487,0.00209033,0.730141,0.0153946,-0.130509,-0.0200605,-0.991244,0.0722499,0,0,0,DISABLED,0
0.259999,-0.0334564,-0.0200762,0.00528982,-0.00321744,0.729104,0.00782776,-0.135817,-0.0281588,-0.990334,0.070643,0,0,0,DISABLED,0
0.279999,-0.0361861,-0.0225701,0.0224154,-0.00735797,0.728565,0.00818511,-0.139958,-0.0318339,-0.989646,0.0689814,0,0,0,DISABLED,0
0.299999,-0.0384135,-0.0246491,0.0487569,-0.0101661,0.728684,0.0104896,-0.142766,-0.033095,-0.989203,0.0696695,0,0,0,DISABLED,0
0.319999,-0.0410025,-0.027146,0.0896546,-0.0108738,0.729249,0.0110216,-0.143474,-0.0342694,-0.989061,0.0736443,0,0,0,DISABLED,0
0.339998,-0.0440459,-0.0296995,0.117873,-0.00708736,0.730268,0.00717625,-0.139687,-0.0347973,-0.989584,0.0805764,0,0,0,DISABLED,0
0.359998,-0.0475041,-0.0320747,0.104655,0.00036934,0.731764,0.00119604,-0.13223,-0.0342257,-0.990628,0.0909414,0,0,0,DISABLED,0
