t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0752764,0,0.732885,0.000345267,-0.1266,-0.0331285,-0.9914,0,-0.3,0,0,DISABLED,0
0.0399988,-0.00313166,-0.00160194,0.0123594,0.00501324,0.734837,0.00607906,-0.121587,-0.029782,-0.992134,0.0100281,-0.3,0,0,DISABLED,0
0.0599988,-0.00593886,-0.00306266,-0.0309981,0.00997172,0.736406,0.0137676,-0.116629,-0.0237521,-0.992892,0.0204687,-0.3,0,0,DISABLED,0
0.0799987,-0.00980809,-0.00479071,-0.0152719,0.0168808,0.73719,0.0290199,-0.10972,-0.00966004,-0.993916,0.0341196,-0.3,0,0,DISABLED,0
0.0999987,-0.0148625,-0.00587824,-0.0936459,0.0290515,0.73544,0.0491713,-0.0975488,0.00635269,-0.99521,0.0514804,-0.3,0,0,DISABLED,0
0.119999,-0.0201907,-0.0082313,-0.189145,0.0365289,0.731745,0.0529661,-0.0900714,0.00494835,-0.995923,0.0827256,-0.3,0,0,DISABLED,0
0.139999,-0.0242807,-0.00993155,-0.159785,0.0281655,0.730399,0.0372574,-0.0984348,-0.00902521,-0.995103,0.0822171,-0.3,0,0,DISABLED,0
0.159999,-0.0273327,-0.0105727,-0.144893,0.0172079,0.729249,0.0271301,-0.109392,-0.0123094,-0.993922,0.0784108,-0.3,0,0,DISABLED,0
0.179999,-0.0313946,-0.012353,-0.0997206,0.00881024,0.727404,0.0175002,-0.11779,-0.0180853,-0.992874,0.0831659,-0.3,0,0,DISABLED,0
0.199999,-0.0362459,-0.0141539,0.0351126,0.00503254,0.726053,0.018257,-0.121568,-0.0156117,-0.99246,0.0884202,-0.3,0,0,DISABLED,0
0.219999,-0.0413475,-0.016216,0.150102,0.00595531,0.724993,0.020679,-0.120645,-0.0133645,-0.992606,0.0943793,-0.3,0,0,DISABLED,0
0.239999,-0.0465301,-0.0180664,0.179417,0.00799484,0.724473,0.0212308,-0.118606,-0.0135126,-0.99285,0.0984272,-0.3,0,0,DISABLED,0
0.259999,-0.0502705,-0.0188559,0.159624,0.00869396,0.724506,0.0219514,-0.117906,-0.0130318,-0.992939,0.101244,-0.3,0,0,DISABLED,0
0.279999,-0.054068,-0.0190256,0.108186,0.00820079,0.724923,0.0221514,-0.1184,-0.0126078,-0.992886,0.10327,-0.3,0,0,DISABLED,0
0.299999,-0.0577368,-0.0186549,0.0543266,0.0064144,0.725645,0.0218834,-0.120186,-0.0122451,-0.992676,0.103448,-0.3,0,0,DISABLED,0
0.319999,-0.0620258,-0.0179131,0.0304451,0.00424591,0.726551,0.0225752,-0.122354,-0.0109808,-0.992426,0.101895,-0.3,0,0,DISABLED,0
0.339998,-0.066322,-0.0170485,0.0376505,0.0029249,0.727272,0.0247228,-0.123675,-0.00859941,-0.992285,0.10001,-0.3,0,0,DISABLED,0
0.359998,-0.0703978,-0.0161868,0.038275,0.00189129,0.727723,0.027605,-0.124709,-0.00560004,-0.992178,0.0992568,-0.3,0,0,DISABLED,0
0.379998,-0.07525,-0.0150667,0.0298605,0.00125335,0.727794,0.034038,-0.125347,0.000875988,-0.992113,0.0995468,-0.3,0,0,DISABLED,0
0.399998,-0.0813339,-0.013442,0.0349346,0.00286844,0.726803,0.0475085,-0.123732,0.0142824,-0.992213,0.101124,-0.3,0,0,DISABLED,0
0.419998,-0.0871342,-0.0119067,0.0751759,0.00779301,0.724521,0.0632415,-0.118807,0.029611,-0.992476,0.104589,-0.3,0,0,DISABLED,0
0.439998,-0.0942416,-0.0113474,0.0904792,0.0162062,0.721291,0.0699775,-0.110394,0.0349052,-0.993275,0.111659,-0.3,0,0,DISABLED,0
0.459998,-0.100322,-0.0115598,0.00405863,0.0140715,0.720898,0.0540825,-0.112529,0.0190432,-0.993466,0.108155,-0.3,0,0,DISABLED,0
0.479998,-0.10489,-0.00989063,-0.0683721,0.00656573,0.721517,0.0584003,-0.120035,0.0248826,-0.992458,0.108288,-0.3,0,0,DISABLED,0
0.499998,-0.10909,-0.00861217,-0.0132309,0.00387972,0.722541,0.06756,-0.122721,0.0343054,-0.991848,0.114097,-0.3,0,0,DISABLED,0
0.519998,-0.114329,-0.00784786,0.0361775,0.00557074,0.72414,0.0753161,-0.12103,0.0419628,-0.991762,0.117466,-0.3,0,0,DISABLED,0
0.539998,-0.118555,-0.00776201,0.0660977,0.010343,0.725636,0.0790324,-0.116257,0.0451994,-0.99219,0.11655,-0.3,0,0,DISABLED,0
0.559998,-0.123537,-0.00820376,0.0767626,0.0187993,0.727518,0.0813187,-0.107801,0.0459458,-0.99311,0.11328,-0.3,0,0,DISABLED,0
0.579998,-0.127437,-0.00897992,0.0856746,0.0263828,0.728992,0.0815509,-0.100218,0.04397,-0.993994,0.109136,-0.3,0,0,DISABLED,0
0.599998,-0.131618,-0.0103529,0.0838172,0.0342877,0.73049,0.0805045,-0.0923127,0.0395988,-0.994942,0.104835,-0.3,0,0,DISABLED,0
0.619998,-0.135851,-0.0122488,0.0949977,0.041256,0.731751,0.0790128,-0.0853444,0.0340924,-0.995768,0.101304,-0.3,0,0,DISABLED,0
0.639998,-0.140463,-0.0145537,0.111685,0.0477498,0.732558,0.0780769,-0.0788506,0.0284099,-0.996482,0.09751,-0.3,0,0,DISABLED,0
0.659998,-0.145676,-0.0171572,0.12189,0.0542457,0.732659,0.0777706,-0.0723547,0.0222771,-0.99713,0.0917661,-0.3,0,0,DISABLED,0
0.679998,-0.151315,-0.0201196,0.13307,0.0598129,0.731954,0.0764194,-0.0667875,0.0139895,-0.997669,0.0825033,-0.3,0,0,DISABLED,0
0.699998,-0.157748,-0.0238972,0.13909,0.0636458,0.730116,0.0724569,-0.0629545,0.000828411,-0.998016,0.0682739,-0.3,0,0,DISABLED,0
0.719998,-0.163598,-0.0274005,0.126676,0.0639971,0.727518,0.0678964,-0.0626033,-0.0114647,-0.997973,0.0548073,-0.3,0,0,DISABLED,0
0.739998,-0.168675,-0.0300455,0.1389,0.0604126,0.72517,0.0617344,-0.0661877,-0.0220721,-0.997563,0.0376702,-0.3,0,0,DISABLED,0
0.759998,-0.174823,-0.0335678,0.149655,0.0549517,0.721694,0.0557975,-0.0716487,-0.0412602,-0.996576,0.0166476,-0.3,0,0,DISABLED,0
0.779998,-0.180175,-0.0353,0.167172,0.0499128,0.719497,0.0507926,-0.0766876,-0.0411891,-0.996204,0.00652259,-0.3,0,0,DISABLED,0
0.799998,-0.185008,-0.0366217,0.132616,0.0389422,0.718032,0.0391747,-0.0876582,-0.0339192,-0.995573,0.00298575,-0.3,0,0,DISABLED,0
0.819998,-0.190078,-0.0379752,0.110718,0.0334022,0.716851,0.0336487,-0.0931982,-0.0348775,-0.995036,-0.00283688,-0.3,0,0,DISABLED,0
0.839998,-0.195395,-0.0388242,0.111709,0.0316401,0.716243,0.0318521,-0.0949603,-0.0342256,-0.994893,-0.00535208,-0.3,0,0,DISABLED,0
0.859998,-0.199486,-0.0388996,0.108558,0.0326458,0.716229,0.0328599,-0.0939546,-0.0323481,-0.995051,-0.0059405,-0.3,0,0,DISABLED,0
0.879998,-0.203905,-0.0383549,0.0833523,0.0360903,0.716505,0.0365074,-0.0905101,-0.0294505,-0.99546,-0.0063672,-0.3,0,0,DISABLED,0
0.899998,-0.208285,-0.0373732,0.0450047,0.041394,0.716734,0.0425061,-0.0852063,-0.0246835,-0.996058,-0.00637191,-0.3,0,0,DISABLED,0
0.919998,-0.213029,-0.0360283,0.0238507,0.0481882,0.716592,0.0511097,-0.0784122,-0.0169846,-0.996776,-0.00667475,-0.3,0,0,DISABLED,0
0.939998,-0.217191,-0.0353514,0.0241591,0.0549589,0.71646,0.0588813,-0.0716414,-0.0128751,-0.997347,-0.00403899,-0.3,0,0,DISABLED,0
0.959998,-0.222633,-0.0349653,0.0383185,0.0625664,0.716756,0.0665459,-0.0640339,-0.0114469,-0.997882,-5.53466e-05,-0.3,0,0,DISABLED,0
0.979998,-0.227412,-0.0344835,0.0414977,0.0657688,0.717028,0.0701852,-0.0608315,-0.00960328,-0.998102,0.00249768,-0.3,0,0,DISABLED,0
0.999998,-0.23167,-0.0340266,0.054744,0.0663984,0.717051,0.07131,-0.0602019,-0.00805872,-0.998154,0.00537477,-0.3,0,0,DISABLED,0
1.02,-0.236523,-0.0337893,0.0724851,0.0655377,0.717034,0.0700797,-0.0610627,-0.00927328,-0.998091,0.00948625,-0.3,0,0,DISABLED,0
1.04,-0.241181,-0.033681,0.0854749,0.0619516,0.717414,0.0660917,-0.0646488,-0.0110608,-0.997847,0.0109212,-0.3,0,0,DISABLED,0
1.06,-0.246294,-0.033445,0.146346,0.0587494,0.718087,0.0637694,-0.0678509,-0.00915867,-0.997653,0.0109238,-0.3,0,0,DISABLED,0
1.08,-0.250695,-0.0336067,0.186494,0.0583329,0.718663,0.0634384,-0.0682674,-0.00901612,-0.997626,0.0104377,-0.3,0,0,DISABLED,0
1.1,-0.25613,-0.0342329,0.171353,0.0582243,0.719588,0.0637104,-0.068376,-0.0080536,-0.997627,0.0116863,-0.3,0,0,DISABLED,0
1.12,-0.260861,-0.0351138,0.117625,0.0559822,0.720761,0.0637076,-0.0706181,-0.0033633,-0.997498,0.0175489,-0.3,0,0,DISABLED,0
1.14,-0.265589,-0.0361381,0.0696737,0.0516501,0.722127,0.0651911,-0.0749502,0.00620801,-0.997168,0.0239609,-0.3,0,0,DISABLED,0
1.16,-0.27045,-0.0374133,0.042858,0.0470654,0.723508,0.0678085,-0.0795349,0.0153762,-0.996713,0.0282393,-0.3,0,0,DISABLED,0
1.18,-0.275377,-0.0390116,0.0370921,0.0420466,0.724804,0.069538,-0.0845537,0.0220336,-0.996175,0.0304487,-0.3,0,0,DISABLED,0
1.2,-0.280272,-0.0410739,0.0536722,0.0372428,0.726034,0.0691198,-0.0893575,0.0249243,-0.995688,0.0319233,-0.3,0,0,DISABLED,0
1.22,-0.285075,-0.0437498,0.0846236,0.0310944,0.727233,0.0649951,-0.095506,0.0238104,-0.995144,0.0332061,-0.3,0,0,DISABLED,0
1.24,-0.289319,-0.0467139,0.122378,0.0260345,0.728168,0.0579317,-0.100566,0.0185046,-0.994758,0.0339352,-0.3,0,0,DISABLED,0
1.26,-0.294565,-0.0510472,0.13455,0.0205544,0.728692,0.0434906,-0.106046,0.00507953,-0.994348,0.0338376,-0.3,0,0,DISABLED,0
1.28,-0.299476,-0.0554451,0.132656,0.0160724,0.728121,0.0258266,-0.110528,-0.0130554,-0.993787,0.032629,-0.3,0,0,DISABLED,0
1.3,-0.304163,-0.0595506,0.141418,0.0128344,0.726083,0.0130062,-0.113766,-0.0346035,-0.992905,0.0300942,-0.3,0,0,DISABLED,0
1.32,-0.310314,-0.0637135,0.147226,0.012515,0.721339,0.0294461,-0.114085,-0.0597791,-0.991671,0.0246217,-0.3,0,0,DISABLED,0
1.34,-0.316849,-0.065865,0.184301,0.0067109,0.717126,0.0302844,-0.119889,-0.062651,-0.990808,0.020792,-0.3,0,0,DISABLED,0
1.36,-0.320625,-0.0674837,0.132129,-0.0101583,0.715674,0.03101,-0.136759,-0.0622948,-0.988644,0.0245803,-0.3,0,0,DISABLED,0
1.38,-0.325678,-0.0693791,0.12411,-0.0170536,0.714804,0.0389504,-0.143654,-0.0679016,-0.987296,0.0249757,-0.3,0,0,DISABLED,0
1.4,-0.330926,-0.0706757,0.12823,-0.0168254,0.715225,0.041004,-0.143426,-0.0702769,-0.987163,0.0260302,-0.3,0,0,DISABLED,0
1.42,-0.336256,-0.0715065,0.108479,-0.0110473,0.716514,0.0392765,-0.137648,-0.0706572,-0.987958,0.0280299,-0.3,0,0,DISABLED,0
1.44,-0.341586,-0.0719914,0.090209,-0.0017399,0.718151,0.0374585,-0.12834,-0.0704812,-0.989223,0.0306757,-0.3,0,0,DISABLED,0
1.46,-0.346797,-0.0720611,0.0857806,0.00901279,0.719802,0.037698,-0.117588,-0.0697211,-0.990612,0.0334372,-0.3,0,0,DISABLED,0
1.48,-0.352269,-0.0715772,0.0909671,0.021003,0.721469,0.0396422,-0.105597,-0.0667364,-0.992167,0.0354396,-0.3,0,0,DISABLED,0
1.5,-0.35662,-0.0708345,0.0959224,0.0309707,0.722663,0.0423177,-0.0956296,-0.0618847,-0.993491,0.036293,-0.3,0,0,DISABLED,0
1.52,-0.361896,-0.0697744,0.096994,0.0435731,0.723906,0.0485415,-0.0830273,-0.0541916,-0.995073,0.0370397,-0.3,0,0,DISABLED,0
1.54,-0.366157,-0.0689588,0.106291,0.0538362,0.724808,0.0559672,-0.0727642,-0.0476209,-0.996212,0.0383817,-0.3,0,0,DISABLED,0
1.56,-0.370869,-0.068092,0.113444,0.0649716,0.725747,0.0655952,-0.0616288,-0.0398302,-0.997304,0.0412277,-0.3,0,0,DISABLED,0
1.58,-0.375677,-0.0672933,0.116206,0.0757546,0.726614,0.0760829,-0.0508458,-0.032179,-0.998188,0.0459007,-0.3,0,0,DISABLED,0
1.6,-0.381502,-0.0671314,0.109091,0.0863312,0.727877,0.0867717,-0.0402691,-0.02899,-0.998768,0.0554837,-0.3,0,0,DISABLED,0
1.62,-0.386418,-0.0668623,0.115535,0.0942101,0.728782,0.0948476,-0.0323902,-0.0257872,-0.999143,0.0651252,-0.3,0,0,DISABLED,0
1.64,-0.392447,-0.0660452,0.108053,0.0991525,0.729028,0.10076,-0.0274479,-0.0173961,-0.999472,0.077959,-0.3,0,0,DISABLED,0
1.66,-0.397602,-0.0652205,0.110785,0.102158,0.728064,0.105981,-0.0244424,-0.00636137,-0.999681,0.090151,-0.3,0,0,DISABLED,0
1.68,-0.40353,-0.0656388,0.116706,0.103423,0.727033,0.106728,-0.023177,-0.00833555,-0.999697,0.0980197,-0.3,0,0,DISABLED,0
1.7,-0.408338,-0.0658655,0.122584,0.0951561,0.726475,0.098405,-0.0314443,-0.00954929,-0.99946,0.0992221,-0.3,0,0,DISABLED,0
