t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0625321,0,0.736938,0,0.0781707,0.0523943,-0.995562,0,-0.25,0.2,0,DISABLED,0
0.0399988,0.00319165,0.00188345,0.0311896,-0.000441179,0.737269,0.00150498,0.0777295,0.0509468,-0.995672,0.0080002,-0.25,0.2,0,DISABLED,0
0.0599988,0.00599505,0.00365537,0.0204683,-0.000492953,0.737338,0.00882969,0.0776777,0.0435862,-0.996025,0.0143228,-0.25,0.2,0,DISABLED,0
0.0799987,0.00848414,0.00520033,0.016535,-0.00051605,0.737129,0.0180369,0.0776546,0.0343825,-0.996387,0.0187801,-0.25,0.2,0,DISABLED,0
0.0999987,0.0113852,0.00719188,0.0677193,5.40316e-05,0.736421,0.0263996,0.0782247,0.0260181,-0.996596,0.0208698,-0.25,0.2,0,DISABLED,0
0.119999,0.0137466,0.00894552,0.0929852,0.00373939,0.735781,0.0276998,0.0819101,0.0249604,-0.996327,0.0237417,-0.25,0.2,0,DISABLED,0
0.139999,0.0154909,0.0101313,0.0677688,0.00918002,0.735761,0.0305041,0.0873507,0.0233077,-0.995905,0.0239112,-0.25,0.2,0,DISABLED,0
0.159999,0.0175032,0.0111852,0.101035,0.0159048,0.736453,0.0406843,0.0940755,0.0149495,-0.995453,0.0201142,-0.25,0.2,0,DISABLED,0
0.179999,0.019285,0.0117022,0.189689,0.0207497,0.737513,0.0534503,0.0989204,0.00314516,-0.99509,0.0181763,-0.25,0.2,0,DISABLED,0
0.199999,0.0211147,0.0121812,0.213152,0.0286443,0.739448,0.0711953,0.106815,-0.0127537,-0.994197,0.0187384,-0.25,0.2,0,DISABLED,0
0.219999,0.0226261,0.0130916,0.19396,0.0357046,0.741597,0.0841234,0.113875,-0.0237122,-0.993212,0.0186839,-0.25,0.2,0,DISABLED,0
0.239999,0.024075,0.0145098,0.148753,0.0401171,0.743563,0.0920797,0.118288,-0.030395,-0.992514,0.0183767,-0.25,0.2,0,DISABLED,0
0.259999,0.0259488,0.0171205,0.096194,0.0425692,0.745645,0.0978691,0.12074,-0.0356183,-0.992045,0.0181599,-0.25,0.2,0,DISABLED,0
0.279999,0.0275954,0.0205131,0.0346592,0.0429789,0.747032,0.101022,0.12115,-0.0389073,-0.991871,0.018885,-0.25,0.2,0,DISABLED,0
0.299999,0.0289844,0.0249351,0.00388443,0.0433623,0.747859,0.10454,0.121533,-0.0425967,-0.991673,0.0206127,-0.25,0.2,0,DISABLED,0
0.319999,0.029938,0.0305792,0.0125939,0.0449186,0.747977,0.106655,0.123089,-0.0441958,-0.991411,0.0217101,-0.25,0.2,0,DISABLED,0
0.339998,0.0305281,0.0369091,0.0268042,0.0468769,0.747279,0.103191,0.125048,-0.0393877,-0.991369,0.0216724,-0.25,0.2,0,DISABLED,0
0.359998,0.0311018,0.0461992,0.032669,0.0487984,0.744856,0.0885453,0.126969,-0.0213545,-0.991677,0.0210652,-0.25,0.2,0,DISABLED,0
0.379998,0.0316358,0.052706,0.0268446,0.0484158,0.743258,0.0887285,0.126586,-0.0218267,-0.991715,0.0162824,-0.25,0.2,0,DISABLED,0
0.399998,0.0329037,0.0585817,-0.0355689,0.0434094,0.741691,0.0834525,0.12158,-0.0187816,-0.992404,0.0109086,-0.25,0.2,0,DISABLED,0
