t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0311081,0,0.734028,0,0.037987,-0.0278693,-0.99889,0,0,0,-0.5,DISABLED,0
0.0399988,-2.26922e-05,-1.47708e-06,0.0314246,-1.92672e-05,0.734014,0,0.0379677,-0.027856,-0.998891,2.56142e-05,0,0,-0.5,DISABLED,0
0.0599988,-5.71875e-05,-7.05943e-06,0.0318272,-3.45334e-05,0.734004,0,0.0379525,-0.0278362,-0.998892,2.98293e-05,0,0,-0.5,DISABLED,0
0.0799987,-0.000317148,9.7353e-05,0.104193,0.00125917,0.733919,0.00133721,0.0392462,-0.0276602,-0.998847,-0.00170907,0,0,-0.5,DISABLED,0
0.0999987,-0.000479477,0.000356731,0.133404,0.00381774,0.733717,0.00408526,0.0418047,-0.0264365,-0.998776,-0.00398495,0,0,-0.5,DISABLED,0
0.119999,-0.000294164,0.000480294,0.107939,0.00576701,0.733602,0.00656008,0.043754,-0.0247394,-0.998736,-0.00630682,0,0,-0.5,DISABLED,0
0.139999,-1.52879e-05,0.000689561,0.0776658,0.00829573,0.733512,0.00974734,0.0462827,-0.0227581,-0.998669,-0.0100139,0,0,-0.5,DISABLED,0
0.159999,0.000240348,0.00118208,0.0558844,0.0100203,0.733441,0.0123624,0.0480073,-0.0206406,-0.998634,-0.0126572,0,0,-0.5,DISABLED,0
0.179999,0.000584378,0.00201547,0.0681255,0.0103829,0.733379,0.0139439,0.0483699,-0.0185711,-0.998657,-0.0159077,0,0,-0.5,DISABLED,0
0.199999,0.00124814,0.0032615,0.0984728,0.00938642,0.733301,0.0142818,0.0473734,-0.0171027,-0.998731,-0.0198039,0,0,-0.5,DISABLED,0
0.219999,0.00184796,0.0045342,0.120309,0.00870883,0.733225,0.0141476,0.0466958,-0.0167248,-0.998769,-0.0226269,0,0,-0.5,DISABLED,0
0.239999,0.00235173,0.00596652,0.126816,0.00889902,0.733121,0.014616,0.046886,-0.0162769,-0.998768,-0.0241463,0,0,-0.5,DISABLED,0
0.259999,0.00274045,0.00745076,0.12022,0.00967377,0.73302,0.0156252,0.0476608,-0.0156019,-0.998742,-0.0249504,0,0,-0.5,DISABLED,0
0.279999,0.00312456,0.00959892,0.104646,0.0112171,0.732945,0.0173462,0.0492041,-0.0146387,-0.998681,-0.0253593,0,0,-0.5,DISABLED,0
0.299999,0.00332119,0.0120132,0.0928745,0.0133286,0.732961,0.0193507,0.0513156,-0.0138505,-0.998586,-0.0253683,0,0,-0.5,DISABLED,0
0.319999,0.00334136,0.0149195,0.0989313,0.0162087,0.733051,0.0218234,0.0541957,-0.0132671,-0.998442,-0.0251245,0,0,-0.5,DISABLED,0
0.339998,0.00324323,0.018237,0.110197,0.0197452,0.733216,0.0246745,0.0577322,-0.0130843,-0.998246,-0.0238172,0,0,-0.5,DISABLED,0
0.359998,0.00306908,0.0215985,0.120164,0.0234571,0.733349,0.0281312,0.0614441,-0.0123662,-0.998034,-0.0215,0,0,-0.5,DISABLED,0
0.379998,0.00285612,0.0263369,0.124341,0.0279277,0.7332,0.0341028,0.0659147,-0.00833257,-0.99779,-0.0179789,0,0,-0.5,DISABLED,0
0.399998,0.00279632,0.0311505,0.112328,0.0306268,0.732525,0.040756,0.0686138,-0.0010144,-0.997643,-0.0153193,0,0,-0.5,DISABLED,0
0.419998,0.00305665,0.0349895,0.0618991,0.0295936,0.732813,0.0380475,0.0675806,-0.00399112,-0.997706,-0.0165227,0,0,-0.5,DISABLED,0
0.439998,0.00320517,0.0382948,0.0261501,0.0278091,0.733593,0.0364534,0.0657961,-0.00432647,-0.997824,-0.0150778,0,0,-0.5,DISABLED,0
0.459998,0.00306155,0.0421401,0.0447924,0.0259221,0.734851,0.0381101,0.0639091,4.693e-05,-0.997956,-0.0118056,0,0,-0.5,DISABLED,0
0.479998,0.00289055,0.0451167,0.0659568,0.0241068,0.736141,0.0396663,0.0620938,0.00361534,-0.998064,-0.013083,0,0,-0.5,DISABLED,0
0.499998,0.00271333,0.0474347,0.0743141,0.0231083,0.737153,0.0405448,0.0610953,0.00543294,-0.998117,-0.0159593,0,0,-0.5,DISABLED,0
0.519998,0.00255173,0.0496278,0.0787922,0.0224527,0.73797,0.0410868,0.0604397,0.00652672,-0.998151,-0.0180134,0,0,-0.5,DISABLED,0
0.539998,0.00241681,0.0516286,0.0744607,0.0215853,0.738424,0.0401607,0.0595723,0.00598513,-0.998206,-0.0206191,0,0,-0.5,DISABLED,0
0.559998,0.00231963,0.0531965,0.0656084,0.0200181,0.738531,0.0381664,0.0580051,0.00461935,-0.998306,-0.0244871,0,0,-0.5,DISABLED,0
0.579998,0.00228495,0.0544599,0.0593491,0.0173946,0.738536,0.0360423,0.0553816,0.0036933,-0.998458,-0.0291764,0,0,-0.5,DISABLED,0
0.599998,0.0022832,0.0557614,0.057243,0.0141139,0.73854,0.0342493,0.0521009,0.0033323,-0.998636,-0.0344143,0,0,-0.5,DISABLED,0
0.619998,0.00228667,0.0567508,0.0586363,0.0110844,0.738552,0.0329578,0.0490714,0.00316822,-0.99879,-0.0397447,0,0,-0.5,DISABLED,0
0.639998,0.00230191,0.057551,0.0566816,0.00768044,0.738487,0.0309696,0.0456674,0.00212946,-0.998954,-0.0468507,0,0,-0.5,DISABLED,0
0.659998,0.00239516,0.058086,0.0598474,0.00494313,0.738217,0.0281968,0.0429301,-0.000111298,-0.999078,-0.0525459,0,0,-0.5,DISABLED,0
0.679998,0.00258723,0.0582913,0.0782783,0.00133764,0.737615,0.0225937,0.0393246,-0.00531752,-0.999212,-0.0597643,0,0,-0.5,DISABLED,0
0.699998,0.00299264,0.0588454,0.0980222,-0.00290483,0.737549,0.0255154,0.0350822,-0.00252465,-0.999381,-0.0625672,0,0,-0.5,DISABLED,0
0.719998,0.00384524,0.0595609,0.111467,-0.00868255,0.73779,0.0335245,0.0293045,0.00450292,-0.99956,-0.0643274,0,0,-0.5,DISABLED,0
0.739998,0.00400469,0.0599353,0.12017,-0.0123616,0.737738,0.0404477,0.0256254,0.0106321,-0.999615,-0.0697726,0,0,-0.5,DISABLED,0
0.759998,0.00391159,0.060495,0.0995387,-0.0138247,0.738069,0.04761,0.0241623,0.0176787,-0.999552,-0.0731648,0,0,-0.5,DISABLED,0
0.779998,0.00395215,0.0612622,0.109243,-0.0157562,0.738845,0.0514423,0.0222308,0.0210895,-0.99953,-0.0782369,0,0,-0.5,DISABLED,0
0.799998,0.00407696,0.0623941,0.121963,-0.0176216,0.73999,0.0516402,0.0203654,0.0206596,-0.999579,-0.083615,0,0,-0.5,DISABLED,0
0.819998,0.00412221,0.0639215,0.124596,-0.0181571,0.741272,0.0485046,0.0198299,0.0170962,-0.999657,-0.0864398,0,0,-0.5,DISABLED,0
0.839998,0.00424393,0.0656764,0.123012,-0.0181745,0.742263,0.0454114,0.0198125,0.0137329,-0.999709,-0.087939,0,0,-0.5,DISABLED,0
0.859998,0.00457548,0.0677775,0.113596,-0.0183467,0.74304,0.0425314,0.0196403,0.0104895,-0.999752,-0.0901681,0,0,-0.5,DISABLED,0
0.879998,0.00511889,0.0701858,0.0995648,-0.0186097,0.743604,0.0410621,0.0193773,0.00871879,-0.999774,-0.0920783,0,0,-0.5,DISABLED,0
0.899998,0.00584799,0.0729678,0.0840717,-0.0189416,0.744012,0.0403709,0.0190454,0.00776838,-0.999788,-0.0934252,0,0,-0.5,DISABLED,0
0.919998,0.0066804,0.0761526,0.0992538,-0.0188955,0.744261,0.0399896,0.0190915,0.00735972,-0.999791,-0.0944291,0,0,-0.5,DISABLED,0
0.939998,0.007478,0.0793599,0.123711,-0.0180879,0.7443,0.0401235,0.0198991,0.00792985,-0.999771,-0.0947022,0,0,-0.5,DISABLED,0
0.959998,0.00851,0.0837256,0.136403,-0.0158773,0.74405,0.0422133,0.0221097,0.0112314,-0.999692,-0.0934037,0,0,-0.5,DISABLED,0
0.979998,0.00967007,0.0880469,0.140469,-0.0135866,0.743491,0.0471229,0.0244004,0.0172423,-0.999554,-0.091591,0,0,-0.5,DISABLED,0
0.999998,0.0112771,0.0913609,0.111333,-0.0131463,0.743907,0.0425874,0.0248407,0.0126282,-0.999612,-0.0924544,0,0,-0.5,DISABLED,0
1.02,0.0130616,0.0944624,0.0614386,-0.0122578,0.744414,0.0396963,0.0257293,0.0098756,-0.99962,-0.0924644,0,0,-0.5,DISABLED,0
1.04,0.0144972,0.0974448,0.0708437,-0.00902118,0.744559,0.0407033,0.0289658,0.0118127,-0.999511,-0.0919461,0,0,-0.5,DISABLED,0
1.06,0.0159059,0.0995597,0.0705006,-0.00654661,0.744452,0.0426825,0.0314404,0.0143014,-0.999403,-0.093057,0,0,-0.5,DISABLED,0
1.08,0.0179502,0.101079,0.0721483,-0.00503369,0.744713,0.0431244,0.0329533,0.014954,-0.999345,-0.0931005,0,0,-0.5,DISABLED,0
1.1,0.0198403,0.102116,0.0814421,-0.00339809,0.744963,0.0436576,0.0345889,0.0156492,-0.999279,-0.093842,0,0,-0.5,DISABLED,0
1.12,0.0217305,0.10286,0.088446,-0.000233222,0.744999,0.042586,0.0377538,0.0147105,-0.999179,-0.0952274,0,0,-0.5,DISABLED,0
1.14,0.0235966,0.103301,0.0971386,0.00327758,0.74478,0.0395247,0.0412646,0.0115152,-0.999082,-0.0969976,0,0,-0.5,DISABLED,0
1.16,0.0254391,0.103529,0.0994558,0.00639013,0.744402,0.0361645,0.0443771,0.00772259,-0.998985,-0.0991946,0,0,-0.5,DISABLED,0
1.18,0.0272585,0.103645,0.10078,0.00962804,0.744028,0.0331831,0.047615,0.00388319,-0.998858,-0.102653,0,0,-0.5,DISABLED,0
1.2,0.0290009,0.103677,0.101055,0.0120206,0.743732,0.0318147,0.0500076,0.00158445,-0.998748,-0.107043,0,0,-0.5,DISABLED,0
1.22,0.0306149,0.103583,0.0988607,0.0140688,0.743469,0.0310407,0.0520558,-0.000202845,-0.998644,-0.112461,0,0,-0.5,DISABLED,0
1.24,0.0320196,0.103352,0.0929132,0.015268,0.74316,0.029924,0.053255,-0.00213723,-0.998579,-0.117925,0,0,-0.5,DISABLED,0
1.26,0.033648,0.102811,0.0915269,0.0158932,0.74254,0.027009,0.0538802,-0.00603727,-0.998529,-0.125175,0,0,-0.5,DISABLED,0
1.28,0.0351374,0.101954,0.0978515,0.0151316,0.741662,0.022224,0.0531186,-0.0115945,-0.998521,-0.131284,0,0,-0.5,DISABLED,0
1.3,0.0369691,0.101304,0.0950047,0.0115313,0.741337,0.022307,0.0495183,-0.00877278,-0.998735,-0.133334,0,0,-0.5,DISABLED,0
1.32,0.0390823,0.100601,0.0976604,0.00618806,0.74126,0.025704,0.0441751,-0.00292374,-0.99902,-0.1355,0,0,-0.5,DISABLED,0
1.34,0.0404214,0.0999931,0.102592,0.00432677,0.741278,0.0298263,0.0423138,0.00163821,-0.999103,-0.139992,0,0,-0.5,DISABLED,0
1.36,0.041721,0.0993855,0.101585,0.00387462,0.741824,0.0342876,0.0418616,0.00619561,-0.999104,-0.146818,0,0,-0.5,DISABLED,0
1.38,0.0431188,0.0992201,0.130615,0.00303013,0.742807,0.0358532,0.0410171,0.00785136,-0.999128,-0.153908,0,0,-0.5,DISABLED,0
1.4,0.0446378,0.0994039,0.156564,0.00236478,0.743888,0.0348515,0.0403518,0.0068987,-0.999162,-0.159316,0,0,-0.5,DISABLED,0
1.42,0.0460725,0.0998468,0.161717,0.0026561,0.744869,0.0320759,0.0406431,0.00409464,-0.999165,-0.162576,0,0,-0.5,DISABLED,0
1.44,0.0475159,0.1006,0.154355,0.00315228,0.745626,0.0291817,0.0411393,0.00113914,-0.999153,-0.165213,0,0,-0.5,DISABLED,0
1.46,0.0490004,0.101627,0.13724,0.00335294,0.746143,0.0272354,0.0413399,-0.000843814,-0.999145,-0.16747,0,0,-0.5,DISABLED,0
1.48,0.0504799,0.102921,0.11445,0.00327294,0.746489,0.0263702,0.0412599,-0.00170589,-0.999147,-0.169345,0,0,-0.5,DISABLED,0
1.5,0.0518865,0.104537,0.0952957,0.00320109,0.746735,0.026191,0.0411881,-0.00187767,-0.99915,-0.171138,0,0,-0.5,DISABLED,0
1.52,0.0531439,0.106527,0.102269,0.0036157,0.746912,0.0263453,0.0416027,-0.00177657,-0.999133,-0.172847,0,0,-0.5,DISABLED,0
1.54,0.0541517,0.108629,0.118761,0.00466691,0.747002,0.0269161,0.0426539,-0.00136202,-0.999089,-0.173873,0,0,-0.5,DISABLED,0
1.56,0.0552758,0.11157,0.126767,0.00678303,0.746984,0.0289685,0.04477,0.000292219,-0.998997,-0.174258,0,0,-0.5,DISABLED,0
1.58,0.0563262,0.114591,0.127155,0.00881451,0.746803,0.0325665,0.0468015,0.00348126,-0.998898,-0.174337,0,0,-0.5,DISABLED,0
1.6,0.0576291,0.117285,0.119363,0.00906251,0.746933,0.031413,0.0470495,0.00220518,-0.99889,-0.17688,0,0,-0.5,DISABLED,0
1.62,0.0592749,0.119493,0.0656053,0.00750672,0.747479,0.0260129,0.0454937,-0.00296641,-0.99896,-0.180263,0,0,-0.5,DISABLED,0
1.64,0.0605182,0.121759,0.0672572,0.00817147,0.747773,0.0254897,0.0461585,-0.0037271,-0.998927,-0.181393,0,0,-0.5,DISABLED,0
