t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0495357,0,0.737562,0,0.0788656,0.0526252,-0.995495,0,-0.3,0,0,DISABLED,0
0.0399988,0.00251617,0.00149957,0.0310032,-0.00060942,0.737761,0.00282613,0.0782562,0.0498687,-0.995685,0.00565867,-0.3,0,0,DISABLED,0
0.0599988,0.00556037,0.00326938,0.0173593,-0.00116428,0.737731,0.0113886,0.0777014,0.0413134,-0.99612,0.012009,-0.3,0,0,DISABLED,0
0.0799987,0.00830327,0.00478999,0.0141215,-0.00177741,0.737429,0.0212448,0.0770882,0.031483,-0.996527,0.0157633,-0.3,0,0,DISABLED,0
0.0999987,0.0106567,0.00613019,0.0649081,-0.00161257,0.736853,0.0278415,0.0772531,0.0248571,-0.996702,0.0171735,-0.3,0,0,DISABLED,0
0.119999,0.0134071,0.00748055,0.0958537,0.000933491,0.735934,0.0290322,0.0797991,0.0236264,-0.996531,0.0202034,-0.3,0,0,DISABLED,0
0.139999,0.0154002,0.00820392,0.0927697,0.00599398,0.735724,0.0294522,0.0848596,0.0237952,-0.996109,0.0199734,-0.3,0,0,DISABLED,0
0.159999,0.0175063,0.0087461,0.0545014,0.0127588,0.736314,0.0355627,0.0916244,0.0194324,-0.995604,0.0154213,-0.3,0,0,DISABLED,0
0.179999,0.0194255,0.00901743,0.13204,0.017995,0.737172,0.0460115,0.0968606,0.0102844,-0.995245,0.0115456,-0.3,0,0,DISABLED,0
0.199999,0.0213008,0.00891545,0.185169,0.023396,0.738604,0.0604003,0.102262,-0.00304521,-0.994753,0.010968,-0.3,0,0,DISABLED,0
0.219999,0.022928,0.00897355,0.182775,0.0294172,0.740409,0.0734139,0.108283,-0.0146026,-0.994013,0.0104664,-0.3,0,0,DISABLED,0
0.239999,0.0244002,0.0095013,0.146679,0.0335571,0.742102,0.0813011,0.112423,-0.021374,-0.993431,0.00919836,-0.3,0,0,DISABLED,0
0.259999,0.0263219,0.0108378,0.0977859,0.0358162,0.743921,0.086749,0.114682,-0.0263175,-0.993054,0.0078311,-0.3,0,0,DISABLED,0
0.279999,0.0280463,0.0128651,0.0363314,0.0360032,0.745115,0.0893732,0.114869,-0.029103,-0.992954,0.00715859,-0.3,0,0,DISABLED,0
0.299999,0.0295911,0.0158148,0.00665441,0.0358704,0.745788,0.0917153,0.114736,-0.0317091,-0.99289,0.00758356,-0.3,0,0,DISABLED,0
0.319999,0.0307912,0.0199577,0.0130033,0.0365337,0.745834,0.0926529,0.115399,-0.0324424,-0.992789,0.00756421,-0.3,0,0,DISABLED,0
0.339998,0.0316657,0.0249099,0.0196974,0.0374935,0.745139,0.0886699,0.116359,-0.0276506,-0.992822,0.00679057,-0.3,0,0,DISABLED,0
0.359998,0.0325226,0.032018,0.0228335,0.0385122,0.743175,0.078002,0.117378,-0.0151365,-0.992972,0.00483632,-0.3,0,0,DISABLED,0
0.379998,0.0335996,0.0371848,-0.0160012,0.0364698,0.742094,0.0782014,0.115335,-0.01649,-0.99319,-0.00255769,-0.3,0,0,DISABLED,0
0.399998,0.0347674,0.0423174,-0.0470328,0.0339389,0.740339,0.0719331,0.112804,-0.0107513,-0.993559,-0.00911513,-0.3,0,0,DISABLED,0
0.419998,0.0354325,0.0463627,-0.0254807,0.0338777,0.73782,0.0676852,0.112743,-0.00592591,-0.993606,-0.0124296,-0.3,0,0,DISABLED,0
0.439998,0.0361118,0.0482702,0.0203923,0.0330449,0.737405,0.0737237,0.111911,-0.0132325,-0.99363,-0.0149395,-0.3,0,0,DISABLED,0
0.459998,0.0373832,0.0509121,0.0387912,0.0284818,0.737646,0.0702022,0.107347,-0.0115097,-0.994155,-0.0201771,-0.3,0,0,DISABLED,0
0.479998,0.0382908,0.0530375,0.0317366,0.0246592,0.737715,0.0666775,0.103525,-0.00930471,-0.994583,-0.0270232,-0.3,0,0,DISABLED,0
0.499998,0.0389869,0.0543699,0.0191391,0.0216118,0.73749,0.0681639,0.100477,-0.0120045,-0.994867,-0.0326083,-0.3,0,0,DISABLED,0
0.519998,0.0395847,0.055166,0.0024457,0.0186722,0.737084,0.0735382,0.0975378,-0.0184837,-0.99506,-0.0367024,-0.3,0,0,DISABLED,0
0.539998,0.0399974,0.0557084,-0.0157819,0.0158624,0.736668,0.0795554,0.094728,-0.0253107,-0.995181,-0.0407694,-0.3,0,0,DISABLED,0
0.559998,0.0402845,0.0561578,-0.0212699,0.0124352,0.736206,0.0858806,0.0913008,-0.032323,-0.995299,-0.045699,-0.3,0,0,DISABLED,0
0.579998,0.040418,0.0563261,-0.013378,0.00864556,0.735714,0.0917075,0.0875112,-0.038642,-0.995414,-0.0506654,-0.3,0,0,DISABLED,0
0.599998,0.0404826,0.0560709,-0.000290692,0.00392729,0.735252,0.0976554,0.0827929,-0.0449121,-0.995554,-0.0555519,-0.3,0,0,DISABLED,0
0.619998,0.0406403,0.0555097,0.0149019,-0.000608653,0.734992,0.100719,0.078257,-0.048049,-0.995775,-0.0595024,-0.3,0,0,DISABLED,0
0.639998,0.0408725,0.0548951,0.013785,-0.00420714,0.735148,0.101006,0.0746585,-0.0482483,-0.996041,-0.0638765,-0.3,0,0,DISABLED,0
0.659998,0.0412001,0.0541789,0.0348909,-0.00656978,0.735628,0.0996716,0.0722959,-0.0467852,-0.996285,-0.0673645,-0.3,0,0,DISABLED,0
0.679998,0.0415447,0.0531878,0.0776402,-0.00726838,0.736073,0.0986099,0.0715973,-0.0456724,-0.996387,-0.0699902,-0.3,0,0,DISABLED,0
0.699998,0.041908,0.0516723,0.113963,-0.00661756,0.735978,0.101444,0.0722481,-0.0485566,-0.996204,-0.0722227,-0.3,0,0,DISABLED,0
0.719998,0.0421507,0.0503843,0.112099,-0.00526598,0.736033,0.100981,0.0735997,-0.0481742,-0.996124,-0.0718894,-0.3,0,0,DISABLED,0
0.739998,0.0428052,0.0493055,0.0881067,-0.00584988,0.736997,0.0981931,0.0730158,-0.0453509,-0.996299,-0.075879,-0.3,0,0,DISABLED,0
0.759998,0.0440067,0.0481674,0.0822184,-0.0101821,0.738209,0.0977354,0.0686835,-0.0445328,-0.996644,-0.0868262,-0.3,0,0,DISABLED,0
0.779998,0.0451725,0.0471018,0.0747651,-0.0157527,0.739327,0.0969406,0.063113,-0.0429756,-0.997081,-0.0964766,-0.3,0,0,DISABLED,0
0.799998,0.0458965,0.0465826,0.0760287,-0.02024,0.739957,0.0955974,0.0586256,-0.0407476,-0.997448,-0.102869,-0.3,0,0,DISABLED,0
0.819998,0.0462652,0.0465697,0.0835318,-0.0234569,0.740186,0.0933838,0.0554087,-0.0377014,-0.997752,-0.10686,-0.3,0,0,DISABLED,0
0.839998,0.0464678,0.0470515,0.0890698,-0.0266442,0.740119,0.0888347,0.0522214,-0.0320481,-0.998121,-0.110151,-0.3,0,0,DISABLED,0
0.859998,0.046546,0.0481002,0.0906695,-0.029227,0.739796,0.0831624,0.0496387,-0.0251497,-0.998451,-0.112311,-0.3,0,0,DISABLED,0
0.879998,0.0465566,0.0495105,0.0833628,-0.0317028,0.739421,0.0764545,0.0471628,-0.0168505,-0.998745,-0.114054,-0.3,0,0,DISABLED,0
0.899998,0.0465249,0.0513184,0.0868964,-0.0336923,0.739082,0.0700252,0.0451734,-0.00864922,-0.998942,-0.11554,-0.3,0,0,DISABLED,0
0.919998,0.0463768,0.0531771,0.100734,-0.0349152,0.738845,0.0627426,0.0439505,0.000628032,-0.999034,-0.116781,-0.3,0,0,DISABLED,0
0.939998,0.0460755,0.0554353,0.113902,-0.0350201,0.738648,0.0555318,0.0438455,0.00967962,-0.998991,-0.11703,-0.3,0,0,DISABLED,0
0.959998,0.0460791,0.0576127,0.120152,-0.0366069,0.739106,0.0543673,0.0422588,0.0125926,-0.999027,-0.121641,-0.3,0,0,DISABLED,0
0.979998,0.0463379,0.0595182,0.0717144,-0.0381372,0.739964,0.0565407,0.0407284,0.0110507,-0.999109,-0.125701,-0.3,0,0,DISABLED,0
0.999998,0.0461683,0.0614145,0.0766583,-0.035998,0.740808,0.0570563,0.0428676,0.00851198,-0.999044,-0.12748,-0.3,0,0,DISABLED,0
1.02,0.0457178,0.0639043,0.0794574,-0.0323429,0.741722,0.056959,0.0465228,0.00587271,-0.9989,-0.127769,-0.3,0,0,DISABLED,0
1.04,0.0452608,0.0664278,0.0624478,-0.0279051,0.741987,0.0550562,0.0509605,0.00528018,-0.998687,-0.127536,-0.3,0,0,DISABLED,0
1.06,0.0450768,0.0689436,0.0406079,-0.0248056,0.741512,0.0485341,0.0540601,0.011021,-0.998477,-0.125951,-0.3,0,0,DISABLED,0
1.08,0.0453197,0.071868,0.0335762,-0.0246623,0.740249,0.0424696,0.0542033,0.0181729,-0.998365,-0.125098,-0.3,0,0,DISABLED,0
1.1,0.0460005,0.0735368,0.0444332,-0.0268856,0.739671,0.0457633,0.0519801,0.0157194,-0.998524,-0.124696,-0.3,0,0,DISABLED,0
1.12,0.0468272,0.0751167,0.0537894,-0.0289455,0.739183,0.0485034,0.0499202,0.0138412,-0.998657,-0.123904,-0.3,0,0,DISABLED,0
1.14,0.0475196,0.0765206,0.0501865,-0.0302515,0.73869,0.0510046,0.0486141,0.0116961,-0.998749,-0.123719,-0.3,0,0,DISABLED,0
1.16,0.0482953,0.0780532,0.0412757,-0.0307433,0.737993,0.0546267,0.0481224,0.00760108,-0.998812,-0.12367,-0.3,0,0,DISABLED,0
1.18,0.0489315,0.0792957,0.0399945,-0.0306965,0.737366,0.0585838,0.0481691,0.00284876,-0.998835,-0.123846,-0.3,0,0,DISABLED,0
1.2,0.0495004,0.0803935,0.0436922,-0.0303244,0.736836,0.0625817,0.0485412,-0.00200572,-0.998819,-0.124416,-0.3,0,0,DISABLED,0
1.22,0.0499828,0.0811937,0.0503115,-0.0299044,0.736429,0.0663124,0.0489613,-0.0064567,-0.99878,-0.125293,-0.3,0,0,DISABLED,0
1.24,0.0505327,0.0818321,0.0583336,-0.0295847,0.736026,0.0709578,0.0492809,-0.0117741,-0.998716,-0.127538,-0.3,0,0,DISABLED,0
1.26,0.0510853,0.0822592,0.065392,-0.0292682,0.735712,0.0753913,0.0495974,-0.0167637,-0.998629,-0.130615,-0.3,0,0,DISABLED,0
1.28,0.0520537,0.0828353,0.0774495,-0.0301979,0.735978,0.0749238,0.0486677,-0.0158499,-0.998689,-0.130309,-0.3,0,0,DISABLED,0
1.3,0.0529304,0.0831839,0.0858148,-0.03035,0.736415,0.0723036,0.0485157,-0.0129018,-0.998739,-0.132476,-0.3,0,0,DISABLED,0
1.32,0.0535332,0.0832999,0.106046,-0.0286446,0.73675,0.0690481,0.050221,-0.0101055,-0.998687,-0.136528,-0.3,0,0,DISABLED,0
1.34,0.0538555,0.083154,0.123265,-0.0259001,0.736753,0.0664274,0.0529655,-0.00845492,-0.998561,-0.139787,-0.3,0,0,DISABLED,0
1.36,0.0539458,0.0829179,0.118659,-0.0218426,0.736429,0.0623554,0.0570231,-0.00569755,-0.998357,-0.141814,-0.3,0,0,DISABLED,0
1.38,0.0541887,0.0829797,0.0957595,-0.0206737,0.736734,0.0577884,0.0581919,-0.0012571,-0.998305,-0.145028,-0.3,0,0,DISABLED,0
1.4,0.0545859,0.0828463,0.130286,-0.0216332,0.73746,0.0590017,0.0572325,-0.00218328,-0.998358,-0.146812,-0.3,0,0,DISABLED,0
1.42,0.0548327,0.0828503,0.129076,-0.0223164,0.738138,0.0612436,0.0565493,-0.00432378,-0.99839,-0.145427,-0.3,0,0,DISABLED,0
1.44,0.055096,0.0833246,0.115911,-0.0227455,0.738765,0.0622175,0.0561201,-0.00520111,-0.99841,-0.143778,-0.3,0,0,DISABLED,0
1.46,0.0553848,0.0842768,0.102158,-0.0235471,0.739135,0.061856,0.0553185,-0.00448595,-0.998459,-0.141968,-0.3,0,0,DISABLED,0
1.48,0.0556981,0.0857651,0.0895932,-0.0246933,0.739358,0.0600468,0.0541723,-0.00201435,-0.99853,-0.140105,-0.3,0,0,DISABLED,0
