t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0703404,0,0.73723,0.000345267,0.0831732,0.0538306,-0.99508,0,0.25,0.2,0,DISABLED,0
0.0399988,0.00316058,0.0016325,0.0439658,-0.00143974,0.737788,0.00161945,0.0817334,0.0545842,-0.995158,0.01077,0.25,0.2,0,DISABLED,0
0.0599988,0.00590898,0.00305764,0.0164383,-0.00210375,0.73815,0.00572561,0.0810694,0.0485315,-0.995526,0.0174213,0.25,0.2,0,DISABLED,0
0.0799987,0.00855033,0.00458866,0.0097104,-0.00243235,0.738107,0.0160727,0.0807408,0.0379725,-0.996012,0.0226386,0.25,0.2,0,DISABLED,0
0.0999987,0.0111534,0.00647641,0.0580207,-0.00247883,0.73754,0.022809,0.0806944,0.0311888,-0.996251,0.0264109,0.25,0.2,0,DISABLED,0
0.119999,0.0136657,0.00809718,0.0841351,-0.000789523,0.736374,0.0258566,0.0823837,0.0280124,-0.996207,0.0291917,0.25,0.2,0,DISABLED,0
0.139999,0.0160141,0.00952866,0.0889899,0.00255191,0.735504,0.0263431,0.0857251,0.0276281,-0.995936,0.0293832,0.25,0.2,0,DISABLED,0
0.159999,0.0180946,0.0107658,0.0699049,0.00724715,0.735376,0.0280782,0.0904203,0.0267093,-0.995545,0.0251988,0.25,0.2,0,DISABLED,0
0.179999,0.0203109,0.0115158,0.154712,0.0114679,0.73598,0.0367985,0.0946411,0.0188697,-0.995333,0.0201678,0.25,0.2,0,DISABLED,0
0.199999,0.0221549,0.0116278,0.208084,0.0166942,0.737291,0.051646,0.0998674,0.00496278,-0.994988,0.0200399,0.25,0.2,0,DISABLED,0
0.219999,0.0240172,0.0118567,0.22255,0.0236415,0.739207,0.0693249,0.106815,-0.011318,-0.994215,0.021636,0.25,0.2,0,DISABLED,0
0.239999,0.0259101,0.01281,0.196388,0.0295846,0.741221,0.0824048,0.112758,-0.0230352,-0.993355,0.0219827,0.25,0.2,0,DISABLED,0
0.259999,0.0280791,0.0148083,0.153423,0.033905,0.743205,0.092252,0.117078,-0.031894,-0.99261,0.022135,0.25,0.2,0,DISABLED,0
0.279999,0.030014,0.0175381,0.0930075,0.0361335,0.744549,0.099635,0.119307,-0.0389295,-0.992094,0.0238877,0.25,0.2,0,DISABLED,0
0.299999,0.0317303,0.0213301,0.0442829,0.0375249,0.745366,0.10673,0.120698,-0.0459709,-0.991624,0.0261112,0.25,0.2,0,DISABLED,0
0.319999,0.0331521,0.0262786,0.0365961,0.0389841,0.745611,0.114707,0.122157,-0.0539055,-0.991046,0.0287444,0.25,0.2,0,DISABLED,0
0.339998,0.0342149,0.0324765,0.0487801,0.0414865,0.745149,0.119226,0.12466,-0.0577753,-0.990516,0.0312625,0.25,0.2,0,DISABLED,0
0.359998,0.0352005,0.0398624,0.0560928,0.0433982,0.743804,0.115426,0.126571,-0.0529607,-0.990543,0.0337483,0.25,0.2,0,DISABLED,0
0.379998,0.036218,0.047444,0.0557878,0.043559,0.741404,0.099985,0.126732,-0.0360408,-0.991282,0.0354029,0.25,0.2,0,DISABLED,0
0.399998,0.0374928,0.0545841,0.0190587,0.0415027,0.739013,0.0992153,0.124676,-0.0361721,-0.991538,0.0344613,0.25,0.2,0,DISABLED,0
