t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0591202,0,0.665931,0,-0.0397474,4.98258e-08,-0.99921,0,0,0.3,0,DISABLED,0
0.0399988,-0.00243223,0.000979831,0.0580267,-0.00105958,0.665755,0.00138107,-0.040807,0.000886109,-0.999167,-0.0056186,0,0.3,0,DISABLED,0
0.0599988,-0.00493017,0.00220813,0.0583394,-0.00202269,0.665558,0.00302971,-0.0417701,0.00224817,-0.999125,-0.0120249,0,0.3,0,DISABLED,0
0.0799987,-0.00751805,0.00367198,0.0587404,-0.00283179,0.665366,0.00475918,-0.0425792,0.00382599,-0.999086,-0.0189055,0,0.3,0,DISABLED,0
0.0999987,-0.0108031,0.00542516,0.102721,-0.000703882,0.66501,0.00658729,-0.0404513,0.00654459,-0.99916,-0.0226709,0,0.3,0,DISABLED,0
0.119999,-0.0142857,0.00735636,0.0844015,0.00154457,0.664284,0.00790354,-0.0382029,0.00775381,-0.99924,-0.0244198,0,0.3,0,DISABLED,0
0.139999,-0.0171772,0.00955395,0.082744,-0.000409748,0.663414,0.00709271,-0.0401572,0.00708309,-0.999168,-0.0288271,0,0.3,0,DISABLED,0
0.159999,-0.0200458,0.012224,0.0896876,-0.00377631,0.662606,0.00774355,-0.0435238,0.00676256,-0.99903,-0.0320725,0,0.3,0,DISABLED,0
0.179999,-0.0231946,0.0154808,0.102085,-0.00615249,0.662169,0.00836518,-0.0458999,0.00565971,-0.99893,-0.036088,0,0.3,0,DISABLED,0
0.199999,-0.0266252,0.0191787,0.122306,-0.00716109,0.662144,0.00740517,-0.0469085,0.00187432,-0.998897,-0.0429684,0,0.3,0,DISABLED,0
0.219999,-0.0297001,0.0227908,0.13592,-0.00703584,0.66229,0.00738905,-0.0467833,-0.00224448,-0.998903,-0.0497553,0,0.3,0,DISABLED,0
0.239999,-0.0333759,0.0276265,0.13342,-0.00622689,0.662341,0.0085065,-0.0459743,-0.00578293,-0.998926,-0.0586085,0,0.3,0,DISABLED,0
0.259999,-0.0367397,0.0325295,0.123392,-0.00496452,0.661984,0.0074613,-0.044712,-0.00555534,-0.998984,-0.0662088,0,0.3,0,DISABLED,0
0.279999,-0.0403135,0.0379814,0.106461,-0.00286687,0.661001,0.00338291,-0.0426143,-0.00176972,-0.99909,-0.0731206,0,0.3,0,DISABLED,0
0.299999,-0.0442337,0.0440702,0.092933,0.000443023,0.659151,0.00662338,-0.0393044,0.00660823,-0.999205,-0.0789718,0,0.3,0,DISABLED,0
0.319999,-0.048122,0.050063,0.107875,0.00467357,0.656673,0.0186798,-0.0350739,0.0180833,-0.999221,-0.0840893,0,0.3,0,DISABLED,0
0.339998,-0.0534177,0.0578408,0.136003,0.0121453,0.652532,0.0378795,-0.0276022,0.0358774,-0.998975,-0.0900742,0,0.3,0,DISABLED,0
0.359998,-0.058245,0.0644376,0.14356,0.0204619,0.648217,0.0569768,-0.0192855,0.0531616,-0.9984,-0.0942279,0,0.3,0,DISABLED,0
