t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.140265,0,0.714996,0,0.125895,-0.0291582,-0.991615,0,0,0,0,DISABLED,0
0.0399988,-0.000704352,-6.80485e-05,0.136268,-0.000470847,0.715186,0.00215619,0.125424,-0.0270504,-0.991734,0.000252033,0,0,0,DISABLED,0
0.0599988,-0.00143862,-0.00026231,0.134953,-0.000670627,0.715275,0.0030688,0.125224,-0.0261638,-0.991783,0.000155961,0,0,0,DISABLED,0
0.0799987,-0.00246633,-0.000778475,0.150198,-0.000169188,0.715244,0.002868,0.125726,-0.0263065,-0.991716,-0.000201125,0,0,0,DISABLED,0
0.0999987,-0.00361628,-0.00144297,0.175339,0.00172868,0.715226,0.00322044,0.127624,-0.0264569,-0.99147,0.0001652,0,0,0,DISABLED,0
0.119999,-0.00443234,-0.00200285,0.169809,0.00255793,0.715469,0.00617633,0.128453,-0.0235308,-0.991436,0.0035593,0,0,0,DISABLED,0
0.139999,-0.00509671,-0.00297461,0.150423,0.00299051,0.715569,0.00763503,0.128885,-0.0221377,-0.991412,0.00441362,0,0,0,DISABLED,0
0.159999,-0.00565458,-0.00419806,0.138258,0.00324239,0.715578,0.00797113,0.129137,-0.0218738,-0.991385,0.00495111,0,0,0,DISABLED,0
0.179999,-0.0062098,-0.00605016,0.133371,0.00293018,0.715627,0.00749319,0.128825,-0.0222702,-0.991417,0.00568234,0,0,0,DISABLED,0
0.199999,-0.00651405,-0.00784235,0.133137,0.00170799,0.71577,0.00519051,0.127603,-0.0242429,-0.991529,0.00625191,0,0,0,DISABLED,0
0.219999,-0.0066535,-0.0102249,0.165843,-0.00111314,0.715945,0.00150498,0.124782,-0.0281128,-0.991786,0.00607901,0,0,0,DISABLED,0
0.239999,-0.00668648,-0.012533,0.189745,-0.00398773,0.715998,0.00472146,0.121907,-0.0316472,-0.992037,0.00557164,0,0,0,DISABLED,0
0.259999,-0.00665976,-0.0147777,0.191904,-0.00656915,0.716038,0.00870733,0.119326,-0.0348398,-0.992244,0.00486703,0,0,0,DISABLED,0
0.279999,-0.00653394,-0.0175779,0.177476,-0.00961629,0.716041,0.0132648,0.116279,-0.0382569,-0.99248,0.00405923,0,0,0,DISABLED,0
0.299999,-0.00652165,-0.0199995,0.17735,-0.0111638,0.715998,0.0157543,0.114731,-0.0402372,-0.992581,0.00323179,0,0,0,DISABLED,0
0.319999,-0.00661813,-0.022205,0.181042,-0.0118289,0.715967,0.0176325,0.114066,-0.0421961,-0.992577,0.00270092,0,0,0,DISABLED,0
0.339998,-0.00674625,-0.0240627,0.185882,-0.0117571,0.715927,0.0184938,0.114138,-0.0434072,-0.992516,0.00224673,0,0,0,DISABLED,0
0.359998,-0.00687266,-0.0255312,0.186579,-0.0113892,0.71586,0.0187594,0.114506,-0.0440434,-0.992446,0.00180137,0,0,0,DISABLED,0
0.379998,-0.00694839,-0.0265274,0.184945,-0.0110838,0.715797,0.0189805,0.114811,-0.0445484,-0.992388,0.00130074,0,0,0,DISABLED,0
0.399998,-0.00699304,-0.0272993,0.182608,-0.0109068,0.715708,0.0191463,0.114988,-0.0448754,-0.992353,0.000850413,0,0,0,DISABLED,0
0.419998,-0.0070094,-0.0275665,0.181065,-0.0107496,0.715631,0.0191649,0.115145,-0.0450107,-0.992328,0.000504803,0,0,0,DISABLED,0
0.439998,-0.00701578,-0.0275085,0.180572,-0.0104807,0.715532,0.0189962,0.115414,-0.0449834,-0.992298,3.77148e-05,0,0,0,DISABLED,0
0.459998,-0.00701182,-0.0271422,0.181135,-0.0101504,0.715442,0.0187117,0.115744,-0.0448629,-0.992265,-0.000457466,0,0,0,DISABLED,0
0.479998,-0.00699337,-0.0264902,0.181977,-0.00975487,0.715349,0.0183222,0.11614,-0.0446535,-0.992229,-0.00101943,0,0,0,DISABLED,0
0.499998,-0.00695905,-0.0256843,0.182787,-0.00936131,0.71527,0.0179641,0.116534,-0.0444831,-0.99219,-0.00162251,0,0,0,DISABLED,0
0.519998,-0.00689278,-0.0245929,0.183028,-0.00892454,0.715182,0.0176055,0.11697,-0.044326,-0.992146,-0.00244936,0,0,0,DISABLED,0
0.539998,-0.00678655,-0.0232109,0.182476,-0.00841866,0.71506,0.0170901,0.117476,-0.0440201,-0.9921,-0.00352295,0,0,0,DISABLED,0
0.559998,-0.0066622,-0.0218247,0.181546,-0.00790775,0.714935,0.0165334,0.117987,-0.0436722,-0.992054,-0.00457488,0,0,0,DISABLED,0
0.579998,-0.00651143,-0.0203424,0.179985,-0.00733918,0.714809,0.016017,0.118556,-0.0433886,-0.991999,-0.00569644,0,0,0,DISABLED,0
0.599998,-0.00633952,-0.0187806,0.178703,-0.00669731,0.714678,0.015564,0.119198,-0.043203,-0.99193,-0.00677069,0,0,0,DISABLED,0
0.619998,-0.00614907,-0.017148,0.177071,-0.00599353,0.714524,0.0150262,0.119901,-0.0429406,-0.991857,-0.00783731,0,0,0,DISABLED,0
0.639998,-0.00593992,-0.0154805,0.175387,-0.00523432,0.714357,0.0145588,0.120661,-0.0427386,-0.991773,-0.0089311,0,0,0,DISABLED,0
0.659998,-0.0057434,-0.0139723,0.174685,-0.00448722,0.714218,0.0142065,0.121408,-0.0426431,-0.991686,-0.00984325,0,0,0,DISABLED,0
0.679998,-0.0054969,-0.0121263,0.173473,-0.00351297,0.714022,0.0140122,0.122382,-0.0427222,-0.991563,-0.0107375,0,0,0,DISABLED,0
0.699998,-0.00526793,-0.0104297,0.171711,-0.0026878,0.713799,0.0137329,0.123207,-0.0426258,-0.991465,-0.0112744,0,0,0,DISABLED,0
0.719998,-0.00505777,-0.00889977,0.17022,-0.00175558,0.713588,0.0133678,0.124139,-0.042409,-0.991358,-0.0117351,0,0,0,DISABLED,0
0.739998,-0.00482282,-0.00719346,0.168508,-0.000794679,0.713372,0.0128308,0.1251,-0.0419617,-0.991256,-0.0120601,0,0,0,DISABLED,0
0.759998,-0.00455506,-0.00530082,0.16692,0.000235707,0.713156,0.0119505,0.126131,-0.0410989,-0.991162,-0.0123319,0,0,0,DISABLED,0
0.779998,-0.00429464,-0.00355466,0.164462,0.0010639,0.712946,0.0107033,0.126959,-0.0398038,-0.991109,-0.0125102,0,0,0,DISABLED,0
0.799998,-0.00405717,-0.00184263,0.162986,0.00184588,0.712774,0.00980222,0.127741,-0.0387684,-0.99105,-0.0125245,0,0,0,DISABLED,0
0.819998,-0.00386214,-0.000118049,0.162121,0.00273591,0.712618,0.00849247,0.128631,-0.0371749,-0.990996,-0.0124827,0,0,0,DISABLED,0
0.839998,-0.00369849,0.0015912,0.160556,0.00352411,0.712427,0.00695695,0.129419,-0.0351232,-0.990968,-0.012114,0,0,0,DISABLED,0
0.859998,-0.00358789,0.00327908,0.157353,0.00395817,0.712299,0.00539325,0.129853,-0.0327621,-0.990992,-0.0116668,0,0,0,DISABLED,0
0.879998,-0.00355776,0.00474154,0.151786,0.00421189,0.712358,0.00424271,0.130107,-0.0290194,-0.991075,-0.0105042,0,0,0,DISABLED,0
0.899998,-0.00362323,0.00632653,0.139408,0.00419483,0.712656,0.00763503,0.13009,-0.0227938,-0.99124,-0.00879566,0,0,0,DISABLED,0
0.919998,-0.0038294,0.00779889,0.124096,0.00416376,0.713179,0.0132873,0.130059,-0.0165406,-0.991368,-0.00788751,0,0,0,DISABLED,0
0.939998,-0.0041817,0.00929876,0.137489,0.00448094,0.713882,0.0206472,0.130376,-0.00900457,-0.991424,-0.0074604,0,0,0,DISABLED,0
0.959998,-0.00472211,0.0104815,0.158483,0.00567926,0.714644,0.0285142,0.131574,-0.0012174,-0.991306,-0.00759948,0,0,0,DISABLED,0
0.979998,-0.0052173,0.0113641,0.1659,0.00706902,0.715249,0.0359744,0.132964,0.00610994,-0.991102,-0.00437036,0,0,0,DISABLED,0
0.999998,-0.0053973,0.0120795,0.151471,0.00655314,0.715512,0.0397218,0.132448,0.0100132,-0.991139,0.00257033,0,0,0,DISABLED,0
1.02,-0.00570308,0.0123751,0.139586,0.00672196,0.715408,0.0408116,0.132617,0.0110896,-0.991105,0.00428011,0,0,0,DISABLED,0
1.04,-0.00612871,0.0121985,0.128564,0.00749432,0.715413,0.0404992,0.133389,0.0106339,-0.991007,0.00582073,0,0,0,DISABLED,0
1.06,-0.0064626,0.0115848,0.122766,0.00784333,0.715549,0.0388538,0.133738,0.00888747,-0.990977,0.00674559,0,0,0,DISABLED,0
1.08,-0.00658932,0.010757,0.130776,0.00727914,0.71583,0.0358781,0.133174,0.00596729,-0.991075,0.00682377,0,0,0,DISABLED,0
1.1,-0.0064721,0.00953846,0.155419,0.00505604,0.716205,0.0304278,0.130951,0.00084359,-0.991388,0.00631942,0,0,0,DISABLED,0
1.12,-0.00616115,0.00819061,0.179463,0.0023389,0.716319,0.0263793,0.128234,-0.00288475,-0.99174,0.00576187,0,0,0,DISABLED,0
1.14,-0.00600108,0.00663625,0.186896,0.000118762,0.716247,0.0228586,0.126014,-0.00630311,-0.992009,0.00688815,0,0,0,DISABLED,0
1.16,-0.00572376,0.00455708,0.179565,-0.0024355,0.716111,0.0195193,0.123459,-0.00980569,-0.992301,0.00680956,0,0,0,DISABLED,0
