t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,-0.0662209,0,0.649267,0,0.0173218,0.151619,-0.988287,0,0,0,0.5,DISABLED,0
0.0399988,-0.0031817,-0.00195646,0.0457768,0.00572842,0.648369,0.014754,0.0230502,0.138147,-0.990143,0.00321344,0,0,0.5,DISABLED,0
0.0599988,-0.00603803,-0.00180036,0.0125208,0.00674533,0.647651,0.010681,0.0240671,0.143407,-0.989371,0.00135919,0,0,0.5,DISABLED,0
0.0799987,-0.00863181,-0.00239156,0.114681,0.00877948,0.646374,0.0174968,0.0261013,0.136614,-0.99028,0.00205505,0,0,0.5,DISABLED,0
0.0999987,-0.010667,-0.00388655,0.139443,0.010834,0.644339,0.0348532,0.0281558,0.118766,-0.992523,0.00649855,0,0,0.5,DISABLED,0
0.119999,-0.0125431,-0.00516625,0.157974,0.0143974,0.642217,0.0554415,0.0317192,0.0984645,-0.994635,0.00959903,0,0,0.5,DISABLED,0
0.139999,-0.0152725,-0.00672667,0.164437,0.0199297,0.639406,0.0739475,0.0372516,0.0808473,-0.99603,0.010313,0,0,0.5,DISABLED,0
0.159999,-0.018005,-0.00839749,0.168241,0.0265176,0.636429,0.0913554,0.0438394,0.064659,-0.996944,0.00920707,0,0,0.5,DISABLED,0
0.179999,-0.0208556,-0.0108698,0.18103,0.0337973,0.633437,0.114224,0.0511191,0.0429864,-0.997767,0.00931558,0,0,0.5,DISABLED,0
0.199999,-0.0235358,-0.0136483,0.206873,0.0412023,0.630365,0.142974,0.0585241,0.0151946,-0.99817,0.00654078,0,0,0.5,DISABLED,0
0.219999,-0.0269343,-0.0167508,0.215229,0.0480593,0.626207,0.166598,0.0653811,-0.00740989,-0.997833,0.00220978,0,0,0.5,DISABLED,0
0.239999,-0.0312774,-0.0165916,0.12636,0.0501086,0.625355,0.146907,0.0674304,0.0139783,-0.997626,-0.00158343,0,0,0.5,DISABLED,0
0.259999,-0.0342024,-0.0174949,0.0513259,0.0469885,0.62552,0.144909,0.0643103,0.0150063,-0.997817,-0.00390205,0,0,0.5,DISABLED,0
0.279999,-0.037003,-0.0183392,0.0563681,0.0428117,0.625769,0.150615,0.0601335,0.00770324,-0.998161,-0.00951809,0,0,0.5,DISABLED,0
0.299999,-0.0400333,-0.0184876,0.107614,0.0401284,0.625709,0.154638,0.0574502,0.00277764,-0.998344,-0.0136619,0,0,0.5,DISABLED,0
0.319999,-0.0432465,-0.018044,0.173336,0.0399192,0.625106,0.15478,0.057241,0.0025746,-0.998357,-0.0160497,0,0,0.5,DISABLED,0
0.339998,-0.0465755,-0.0169946,0.208307,0.04203,0.623862,0.150633,0.0593519,0.00745792,-0.998209,-0.0174984,0,0,0.5,DISABLED,0
0.359998,-0.0500815,-0.0151598,0.203159,0.0459628,0.621822,0.140538,0.0632847,0.0192743,-0.997809,-0.0193892,0,0,0.5,DISABLED,0
0.379998,-0.05383,-0.0123395,0.183706,0.0506176,0.618442,0.122131,0.0679394,0.0408854,-0.996851,-0.0228247,0,0,0.5,DISABLED,0
0.399998,-0.0582338,-0.00836913,0.154755,0.0563042,0.612929,0.0959558,0.073626,0.074214,-0.994521,-0.0292362,0,0,0.5,DISABLED,0
0.419998,-0.0630926,-0.003385,0.119189,0.0616735,0.604161,0.0724718,0.0789953,0.113647,-0.990376,-0.038461,0,0,0.5,DISABLED,0
0.439998,-0.0673969,-0.00183497,0.0876356,0.0670799,0.595903,0.0795029,0.0844017,0.109039,-0.990448,-0.041387,0,0,0.5,DISABLED,0
0.459998,-0.0703672,-0.00258671,0.0900759,0.0672855,0.593255,0.097337,0.0846073,0.0814989,-0.993076,-0.0407906,0,0,0.5,DISABLED,0
0.479998,-0.0728294,-0.00218842,0.0888652,0.0628389,0.592035,0.0963364,0.0801608,0.078845,-0.993659,-0.045522,0,0,0.5,DISABLED,0
0.499998,-0.0750636,-0.00237237,0.0866048,0.0591858,0.590899,0.0951304,0.0765076,0.077411,-0.994059,-0.0467637,0,0,0.5,DISABLED,0
0.519998,-0.0770776,-0.00319983,0.0912965,0.0571191,0.589613,0.0986057,0.0744409,0.0715434,-0.994656,-0.0452357,0,0,0.5,DISABLED,0
0.539998,-0.0789871,-0.00427518,0.0971085,0.0565499,0.588187,0.106156,0.0738718,0.0621149,-0.995331,-0.0434823,0,0,0.5,DISABLED,0
0.559998,-0.0808346,-0.00531245,0.0976678,0.0567367,0.586607,0.115159,0.0740585,0.0517692,-0.995909,-0.0426657,0,0,0.5,DISABLED,0
0.579998,-0.082638,-0.00619107,0.0912423,0.0573157,0.584605,0.123702,0.0746375,0.0423792,-0.99631,-0.0425942,0,0,0.5,DISABLED,0
0.599998,-0.0843745,-0.00717523,0.0869838,0.0582933,0.582304,0.133779,0.0756151,0.0316086,-0.996636,-0.0423954,0,0,0.5,DISABLED,0
0.619998,-0.0860158,-0.00826389,0.0954217,0.0593155,0.579776,0.144709,0.0766373,0.0200418,-0.996858,-0.0422036,0,0,0.5,DISABLED,0
0.639998,-0.087522,-0.00949441,0.113619,0.0602315,0.577023,0.156717,0.0775534,0.0073723,-0.996961,-0.0420363,0,0,0.5,DISABLED,0
0.659998,-0.0888705,-0.0109466,0.129965,0.0610431,0.573975,0.170677,0.0783649,-0.00731432,-0.996898,-0.0419423,0,0,0.5,DISABLED,0
0.679998,-0.090088,-0.0127701,0.151433,0.0619014,0.570442,0.188346,0.0792233,-0.0257792,-0.996523,-0.0423421,0,0,0.5,DISABLED,0
0.699998,-0.0911691,-0.0152204,0.171636,0.0628358,0.565982,0.210611,0.0801576,-0.0488597,-0.995584,-0.043027,0,0,0.5,DISABLED,0
0.719998,-0.0924871,-0.0167605,0.174938,0.0640376,0.562414,0.227395,0.0813594,-0.0659739,-0.994499,-0.044769,0,0,0.5,DISABLED,0
0.739998,-0.0935254,-0.0165618,0.0891356,0.0598055,0.562364,0.215637,0.0771273,-0.0549991,-0.995503,-0.0446475,0,0,0.5,DISABLED,0
0.759998,-0.0937992,-0.0176752,0.0598795,0.0553395,0.56301,0.221718,0.0726613,-0.0624959,-0.995397,-0.042726,0,0,0.5,DISABLED,0
0.779998,-0.0940552,-0.018674,0.0809775,0.0523165,0.563593,0.231954,0.0696383,-0.07373,-0.994844,-0.0422924,0,0,0.5,DISABLED,0
0.799998,-0.0943379,-0.0191586,0.104116,0.0511595,0.563879,0.23993,0.0684813,-0.0821287,-0.994266,-0.0429281,0,0,0.5,DISABLED,0
0.819998,-0.0945824,-0.0192572,0.116883,0.0518865,0.563852,0.244691,0.0692084,-0.0868194,-0.993817,-0.0435832,0,0,0.5,DISABLED,0
0.839998,-0.094797,-0.0190392,0.115983,0.0543263,0.563552,0.247176,0.0716481,-0.0888132,-0.993468,-0.0439112,0,0,0.5,DISABLED,0
0.859998,-0.0948141,-0.0186447,0.106079,0.0584305,0.563206,0.248482,0.0757523,-0.0891893,-0.99313,-0.0440423,0,0,0.5,DISABLED,0
