t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0729659,0,0.737379,0,0.0852871,0.0534456,-0.994922,0,0.3,0,0,DISABLED,0
0.0399988,0.0030143,0.00150525,0.0457914,-0.00139745,0.737971,0.00172634,0.0838897,0.0544677,-0.994985,0.00932127,0.3,0,0,DISABLED,0
0.0599988,0.00594813,0.00295237,0.0167501,-0.00248203,0.738419,0.00502717,0.0828051,0.0490961,-0.995356,0.0150591,0.3,0,0,DISABLED,0
0.0799987,0.00855649,0.00433162,0.00572842,-0.0033692,0.738504,0.0134832,0.0819179,0.0404254,-0.995819,0.0199628,0.3,0,0,DISABLED,0
0.0999987,0.0116921,0.00629592,0.0598803,-0.00381187,0.738065,0.0204733,0.0814752,0.0333682,-0.996117,0.0241393,0.3,0,0,DISABLED,0
0.119999,0.0144301,0.00783873,0.0864111,-0.00209706,0.737159,0.0213596,0.0831901,0.0322187,-0.996013,0.0267218,0.3,0,0,DISABLED,0
0.139999,0.0169955,0.00865848,0.0893344,0.00142276,0.736099,0.0249006,0.0867099,0.0286048,-0.995823,0.0259205,0.3,0,0,DISABLED,0
0.159999,0.0193011,0.00937744,0.0738885,0.0046092,0.735721,0.0264357,0.0898963,0.0274234,-0.995574,0.0236159,0.3,0,0,DISABLED,0
0.179999,0.0216624,0.00996985,0.0919378,0.0088608,0.736121,0.0323,0.0941479,0.0223907,-0.995306,0.018209,0.3,0,0,DISABLED,0
0.199999,0.0240716,0.00994358,0.170722,0.0126208,0.737296,0.0453602,0.0979079,0.00987995,-0.995146,0.0144739,0.3,0,0,DISABLED,0
0.219999,0.0265439,0.00947662,0.20308,0.0175949,0.739172,0.0619476,0.102882,-0.00594014,-0.994676,0.0145186,0.3,0,0,DISABLED,0
0.239999,0.028713,0.00944449,0.19026,0.0226771,0.740919,0.0751083,0.107964,-0.0181327,-0.993989,0.0146251,0.3,0,0,DISABLED,0
0.259999,0.0309464,0.0100943,0.153033,0.0264299,0.742437,0.0838953,0.111717,-0.0261379,-0.993396,0.0140617,0.3,0,0,DISABLED,0
0.279999,0.0329849,0.0113013,0.0950579,0.0284323,0.743435,0.0905581,0.113719,-0.0324784,-0.992982,0.0143822,0.3,0,0,DISABLED,0
0.299999,0.0353574,0.0137916,0.0501409,0.0297706,0.744084,0.0993776,0.115058,-0.0412938,-0.9925,0.0158044,0.3,0,0,DISABLED,0
0.319999,0.0372738,0.0172661,0.0445333,0.0308415,0.744077,0.106661,0.116129,-0.0485657,-0.992046,0.0172876,0.3,0,0,DISABLED,0
0.339998,0.0389537,0.0219427,0.0477664,0.0322757,0.743381,0.109897,0.117563,-0.0514985,-0.991729,0.0189595,0.3,0,0,DISABLED,0
0.359998,0.0405804,0.0278273,0.0447594,0.0332486,0.741772,0.105704,0.118536,-0.0467936,-0.991847,0.0202794,0.3,0,0,DISABLED,0
0.379998,0.0424505,0.0348784,0.0405041,0.0322198,0.738982,0.0897983,0.117507,-0.0303096,-0.992609,0.0218011,0.3,0,0,DISABLED,0
0.399998,0.0444568,0.0397973,-0.0100546,0.0280789,0.737318,0.0894159,0.113366,-0.0313953,-0.993057,0.0210884,0.3,0,0,DISABLED,0
0.419998,0.0468843,0.0437792,-0.0364757,0.0194861,0.736365,0.0847854,0.104773,-0.0290396,-0.994072,0.0167873,0.3,0,0,DISABLED,0
0.439998,0.0499128,0.0486283,-0.0155679,0.0117884,0.735315,0.0705556,0.0970755,-0.0161019,-0.995147,0.0145364,0.3,0,0,DISABLED,0
0.459998,0.0528656,0.052419,0.00440031,0.00551233,0.734134,0.0589876,0.0907994,-0.00526728,-0.995855,0.0119993,0.3,0,0,DISABLED,0
0.479998,0.0557394,0.0545868,0.0271403,0.00171383,0.733809,0.0602213,0.0870009,-0.00672834,-0.996185,0.0101138,0.3,0,0,DISABLED,0
0.499998,0.0588407,0.0559213,0.0497895,-0.00141843,0.734367,0.061151,0.0838687,-0.00766062,-0.996447,0.00982777,0.3,0,0,DISABLED,0
0.519998,0.0622113,0.0567273,0.0518647,-0.00483134,0.735128,0.0605404,0.0804558,-0.00686446,-0.996735,0.0101394,0.3,0,0,DISABLED,0
0.539998,0.0657291,0.0570028,0.0457267,-0.00836481,0.735764,0.0619774,0.0769223,-0.0079187,-0.997006,0.0105374,0.3,0,0,DISABLED,0
0.559998,0.0693393,0.0570189,0.0361923,-0.0121565,0.736268,0.0647781,0.0731306,-0.0101262,-0.997271,0.00992476,0.3,0,0,DISABLED,0
0.579998,0.0729724,0.0569347,0.025266,-0.0160988,0.736732,0.0676473,0.0691883,-0.0121932,-0.997529,0.00745337,0.3,0,0,DISABLED,0
0.599998,0.0766326,0.0567309,0.0225771,-0.0200194,0.737201,0.0699306,0.0652677,-0.0134818,-0.997777,0.00428496,0.3,0,0,DISABLED,0
0.619998,0.0803575,0.0563495,0.0267067,-0.0236458,0.737601,0.0719878,0.0616413,-0.0144612,-0.997994,0.00117647,0.3,0,0,DISABLED,0
0.639998,0.084266,0.0556576,0.0306295,-0.0272707,0.737777,0.0746285,0.0580164,-0.0159258,-0.998189,-0.00133902,0.3,0,0,DISABLED,0
0.659998,0.0883849,0.0544837,0.0523674,-0.0310651,0.73742,0.0793022,0.054222,-0.0194155,-0.99834,-0.00287749,0.3,0,0,DISABLED,0
0.679998,0.0928921,0.0530463,0.0987609,-0.0351457,0.736958,0.0814814,0.0501414,-0.0199515,-0.998543,-0.00225135,0.3,0,0,DISABLED,0
0.699998,0.0976731,0.051751,0.145723,-0.039541,0.736492,0.0800794,0.0457462,-0.0160559,-0.998824,-0.00279107,0.3,0,0,DISABLED,0
0.719998,0.102348,0.0504338,0.128802,-0.0407728,0.735396,0.0799519,0.0445143,-0.0151879,-0.998893,-0.0061653,0.3,0,0,DISABLED,0
