t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0691875,0,0.74047,0,0.069933,0.0135906,-0.997459,0,0,-0.3,0,DISABLED,0
0.0399988,0.000390761,0.000172108,0.058907,0.00172357,0.74042,0.00201324,0.0716566,0.0146233,-0.997322,0.00022842,0,-0.3,0,DISABLED,0
0.0599988,0.000888258,0.00069516,0.0456321,0.00272753,0.740376,0.00322044,0.0726606,0.0152886,-0.99724,0.000330225,0,-0.3,0,DISABLED,0
0.0799987,0.00138733,0.00153133,0.0420643,0.00356025,0.740365,0.00422864,0.0734933,0.0158666,-0.997169,0.00109664,0,-0.3,0,DISABLED,0
0.0999987,0.00139226,0.00288325,0.124131,0.00608141,0.740395,0.00703364,0.0760145,0.0170996,-0.99696,0.00145373,0,-0.3,0,DISABLED,0
0.119999,0.00111564,0.00461033,0.114147,0.00915575,0.740364,0.0100958,0.0790888,0.0177812,-0.996709,0.00328258,0,-0.3,0,DISABLED,0
0.139999,0.00107421,0.00628361,0.0887417,0.0101794,0.740154,0.0109402,0.0801125,0.0175149,-0.996632,0.00603063,0,-0.3,0,DISABLED,0
0.159999,0.00107761,0.00825734,0.067156,0.0101739,0.739823,0.0107422,0.0801069,0.0169377,-0.996642,0.00743629,0,-0.3,0,DISABLED,0
0.179999,0.000851005,0.010833,0.0501519,0.0103056,0.739904,0.0111024,0.0802386,0.0176397,-0.99662,0.00478141,0,-0.3,0,DISABLED,0
0.199999,0.000544176,0.0139884,0.0397919,0.0106355,0.740555,0.0124057,0.0805685,0.0199102,-0.99655,0.00171965,0,-0.3,0,DISABLED,0
0.219999,0.000555322,0.0166443,0.0798386,0.0102403,0.741089,0.0117137,0.0801733,0.0192152,-0.996596,-0.000846311,0,-0.3,0,DISABLED,0
0.239999,0.000591636,0.0190412,0.110066,0.0103735,0.741778,0.0104269,0.0803065,0.0143519,-0.996667,-0.000856191,0,-0.3,0,DISABLED,0
0.259999,0.000679255,0.0220312,0.100261,0.0106097,0.742494,0.0120943,0.0805427,0.00782154,-0.99672,0.000327259,0,-0.3,0,DISABLED,0
0.279999,0.000903063,0.0250674,0.0720969,0.0100006,0.742693,0.0138194,0.0799337,0.00407078,-0.996792,0.00128734,0,-0.3,0,DISABLED,0
0.299999,0.00120895,0.0285233,0.0513998,0.00880442,0.742504,0.014567,0.0787375,0.00200425,-0.996893,0.0024779,0,-0.3,0,DISABLED,0
0.319999,0.00147987,0.0325453,0.0568988,0.00782876,0.742091,0.0141939,0.0777618,0.00176234,-0.99697,0.00359087,0,-0.3,0,DISABLED,0
0.339998,0.00189059,0.0371571,0.0575246,0.00657281,0.741515,0.0117137,0.0765059,0.00390424,-0.997061,0.007256,0,-0.3,0,DISABLED,0
