t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.177949,0,0.738809,0.000345267,0.075945,0.00430709,-0.997103,0,0.25,0.2,0,DISABLED,0
0.0399988,0.0030015,0.0012541,0.0622146,-0.00211353,0.738703,0.00367024,0.0738315,0.00130726,-0.99727,-0.00461345,0.25,0.2,0,DISABLED,0
0.0599988,0.0055334,0.00274301,0.0123521,-0.00323776,0.73848,0.00499147,0.0727073,0.000520613,-0.997353,-0.00975786,0.25,0.2,0,DISABLED,0
0.0799987,0.00767559,0.00438599,0.0286921,-0.00174768,0.73827,0.00432619,0.0741973,0.000357066,-0.997244,-0.0126561,0.25,0.2,0,DISABLED,0
0.0999987,0.00912346,0.00674635,0.145874,0.002359,0.737963,0.0031074,0.078304,0.0023272,-0.996927,-0.0155736,0.25,0.2,0,DISABLED,0
0.119999,0.010054,0.00965598,0.152194,0.00753159,0.737042,0.00782015,0.0834766,0.00632679,-0.99649,-0.0190717,0.25,0.2,0,DISABLED,0
0.139999,0.0110714,0.0124174,0.179895,0.0102105,0.736054,0.0103523,0.0861555,0.00580163,-0.996265,-0.022056,0.25,0.2,0,DISABLED,0
0.159999,0.0120258,0.0160795,0.187958,0.0148831,0.735651,0.0149546,0.0908282,0.00360499,-0.99586,-0.0254899,0.25,0.2,0,DISABLED,0
0.179999,0.0124509,0.0196911,0.184612,0.0219866,0.736242,0.0227436,0.0979316,-0.00118722,-0.995192,-0.0264541,0.25,0.2,0,DISABLED,0
0.199999,0.0126545,0.0237088,0.187088,0.0308103,0.737588,0.0336009,0.106755,-0.00878771,-0.994246,-0.025296,0.25,0.2,0,DISABLED,0
0.219999,0.0128151,0.0278862,0.187704,0.0390177,0.739188,0.044602,0.114963,-0.0169413,-0.993225,-0.0227141,0.25,0.2,0,DISABLED,0
0.239999,0.0129875,0.0335051,0.169478,0.0476169,0.741154,0.0556584,0.123562,-0.0240488,-0.992045,-0.0178624,0.25,0.2,0,DISABLED,0
0.259999,0.0132057,0.0411014,0.131951,0.0554113,0.743203,0.064456,0.131356,-0.0280129,-0.990939,-0.0102924,0.25,0.2,0,DISABLED,0
0.279999,0.0134268,0.0491986,0.0899222,0.0611202,0.744545,0.070614,0.137065,-0.0303263,-0.990098,9.75057e-05,0.25,0.2,0,DISABLED,0
0.299999,0.0136588,0.0575119,0.0478236,0.0650248,0.744972,0.0746645,0.14097,-0.0315581,-0.989511,0.0106382,0.25,0.2,0,DISABLED,0
0.319999,0.0137221,0.0695052,0.0222949,0.0684238,0.743883,0.0749206,0.144369,-0.0251255,-0.989205,0.0211384,0.25,0.2,0,DISABLED,0
0.339998,0.0135955,0.0806153,0.0282945,0.0698142,0.741419,0.0721451,0.145759,-0.0120305,-0.989247,0.0272515,0.25,0.2,0,DISABLED,0
0.359998,0.0136381,0.0902992,0.00896132,0.0700848,0.740648,0.0751321,0.14603,-0.0214881,-0.989047,0.0342516,0.25,0.2,0,DISABLED,0
0.379998,0.0145493,0.100188,-0.020313,0.0650314,0.740662,0.0683081,0.140976,-0.0152639,-0.989895,0.0363246,0.25,0.2,0,DISABLED,0
0.399998,0.0157077,0.110275,-0.0356754,0.0594738,0.740342,0.0599145,0.135419,0.00765898,-0.990759,0.0415907,0.25,0.2,0,DISABLED,0
0.419998,0.0176949,0.120499,-0.0428591,0.0514519,0.739327,0.0561703,0.127397,0.0261181,-0.991508,0.0482643,0.25,0.2,0,DISABLED,0
0.439998,0.0201339,0.127939,-0.0130309,0.0428987,0.73942,0.0483643,0.118844,0.0261639,-0.992568,0.0506754,0.25,0.2,0,DISABLED,0
0.459998,0.0229078,0.134238,0.0138111,0.0345595,0.739957,0.0416231,0.110505,0.027218,-0.993503,0.053073,0.25,0.2,0,DISABLED,0
0.479998,0.0257239,0.13967,0.0324262,0.0274723,0.740275,0.0374537,0.103417,0.0295925,-0.994198,0.0551198,0.25,0.2,0,DISABLED,0
0.499998,0.0287705,0.144233,0.0409724,0.020912,0.740258,0.0327236,0.096857,0.0293767,-0.994865,0.0575549,0.25,0.2,0,DISABLED,0
0.519998,0.0321418,0.148066,0.0425629,0.0145535,0.740018,0.0267183,0.0904986,0.0266553,-0.99554,0.0613637,0.25,0.2,0,DISABLED,0
0.539998,0.0353704,0.151092,0.0370609,0.00919401,0.739687,0.0209709,0.085139,0.0231296,-0.996101,0.0652598,0.25,0.2,0,DISABLED,0
0.559998,0.039446,0.154587,0.0298268,0.00317395,0.739285,0.015125,0.079119,0.0190842,-0.996682,0.0692661,0.25,0.2,0,DISABLED,0
0.579998,0.0433034,0.157709,0.0302795,-0.00142025,0.739041,0.0129096,0.0745248,0.0171358,-0.997072,0.0725062,0.25,0.2,0,DISABLED,0
0.599998,0.0469231,0.16047,0.0351299,-0.00597771,0.738954,0.0134123,0.0699673,0.0163072,-0.997416,0.0766827,0.25,0.2,0,DISABLED,0
0.619998,0.0515031,0.163796,0.0401826,-0.00992157,0.738942,0.0155908,0.0660234,0.0163197,-0.997685,0.0819583,0.25,0.2,0,DISABLED,0
0.639998,0.055444,0.166495,0.0416698,-0.012697,0.738893,0.0175138,0.063248,0.0163432,-0.997864,0.0866936,0.25,0.2,0,DISABLED,0
0.659998,0.0604768,0.169684,0.0477973,-0.0157078,0.738569,0.0193937,0.0602372,0.0156375,-0.998062,0.0933107,0.25,0.2,0,DISABLED,0
0.679998,0.065264,0.172381,0.0831088,-0.0184818,0.737841,0.0207939,0.0574632,0.0137623,-0.998253,0.0997226,0.25,0.2,0,DISABLED,0
0.699998,0.0702161,0.175013,0.105276,-0.0220128,0.736817,0.0238215,0.0539322,0.0133076,-0.998456,0.10706,0.25,0.2,0,DISABLED,0
0.719998,0.0753805,0.177651,0.1043,-0.0270353,0.735991,0.0304846,0.0489097,0.0183028,-0.998635,0.117563,0.25,0.2,0,DISABLED,0
0.739998,0.0797949,0.179617,0.0961628,-0.030546,0.735025,0.0338325,0.045399,0.0187514,-0.998793,0.125288,0.25,0.2,0,DISABLED,0
0.759998,0.0851228,0.182165,0.116558,-0.0345172,0.73323,0.0359495,0.0414278,0.0141564,-0.999041,0.13179,0.25,0.2,0,DISABLED,0
0.779998,0.0891741,0.185248,0.152281,-0.0366498,0.732476,0.0400566,0.0392952,0.0203513,-0.99902,0.138239,0.25,0.2,0,DISABLED,0
0.799998,0.0933842,0.188675,0.165127,-0.0363176,0.733008,0.0408087,0.0396274,0.0228186,-0.998954,0.14141,0.25,0.2,0,DISABLED,0
0.819998,0.0978246,0.192241,0.18344,-0.033514,0.734603,0.0355778,0.042431,0.0160936,-0.99897,0.143699,0.25,0.2,0,DISABLED,0
0.839998,0.101795,0.195813,0.182848,-0.0303223,0.736253,0.0306192,0.0456228,0.00814459,-0.998926,0.147299,0.25,0.2,0,DISABLED,0
0.859998,0.105635,0.199863,0.160205,-0.027151,0.73776,0.0274968,0.048794,0.000321585,-0.998809,0.149821,0.25,0.2,0,DISABLED,0
0.879998,0.109244,0.204385,0.123547,-0.0240662,0.739038,0.02662,0.0518788,-0.00696581,-0.998629,0.15187,0.25,0.2,0,DISABLED,0
0.899998,0.112588,0.209418,0.0795319,-0.0212273,0.740115,0.0278907,0.0547177,-0.013731,-0.998407,0.153945,0.25,0.2,0,DISABLED,0
0.919998,0.115627,0.214924,0.0685081,-0.0183174,0.741031,0.0307629,0.0576276,-0.0203846,-0.99813,0.155188,0.25,0.2,0,DISABLED,0
0.939998,0.1183,0.220867,0.0776917,-0.0145507,0.741723,0.0337743,0.0613943,-0.0261625,-0.997771,0.156258,0.25,0.2,0,DISABLED,0
0.959998,0.120494,0.226631,0.0888676,-0.0105701,0.742094,0.0358732,0.0653749,-0.0299699,-0.997411,0.157839,0.25,0.2,0,DISABLED,0
0.979998,0.12283,0.233536,0.0957943,-0.0060162,0.742109,0.0361265,0.0699288,-0.0313119,-0.99706,0.160562,0.25,0.2,0,DISABLED,0
0.999998,0.125299,0.241044,0.0855334,-0.00265867,0.741386,0.0313332,0.0732863,-0.0269109,-0.996948,0.163965,0.25,0.2,0,DISABLED,0
1.02,0.128726,0.248851,0.0704533,-0.00261479,0.740393,0.0299996,0.0733302,-0.0255757,-0.99698,0.163873,0.25,0.2,0,DISABLED,0
1.04,0.132125,0.255351,-0.01256,-0.00399309,0.739677,0.0288365,0.0719519,-0.0242482,-0.997113,0.162077,0.25,0.2,0,DISABLED,0
1.06,0.135286,0.261358,-0.0169455,-0.00382425,0.738684,0.0190558,0.0721208,-0.0143617,-0.997293,0.163704,0.25,0.2,0,DISABLED,0
1.08,0.139023,0.266831,0.0088326,-0.00468393,0.737386,0.00740517,0.0712611,-0.00141705,-0.997457,0.165977,0.25,0.2,0,DISABLED,0
1.1,0.143445,0.271169,0.0296883,-0.00572757,0.736631,0.00705057,0.0702174,0.000233693,-0.997532,0.166604,0.25,0.2,0,DISABLED,0
1.12,0.147697,0.274505,0.0666147,-0.00572833,0.736811,0.0074373,0.0702167,-0.000400828,-0.997532,0.167823,0.25,0.2,0,DISABLED,0
1.14,0.15312,0.278631,0.0780766,-0.00564342,0.737377,0.0058083,0.0703016,0.00306804,-0.997521,0.168816,0.25,0.2,0,DISABLED,0
1.16,0.158183,0.282191,0.0801736,-0.00525408,0.737845,0.00548095,0.0706909,0.00581204,-0.997481,0.169681,0.25,0.2,0,DISABLED,0
1.18,0.16328,0.28563,0.0777074,-0.00467245,0.738185,0.00572561,0.0712726,0.00759575,-0.997428,0.170102,0.25,0.2,0,DISABLED,0
1.2,0.168367,0.289014,0.0702928,-0.00414627,0.73839,0.00604958,0.0717987,0.00868941,-0.997381,0.169738,0.25,0.2,0,DISABLED,0
1.22,0.173419,0.292389,0.062924,-0.00377294,0.738468,0.00641306,0.0721721,0.0094838,-0.997347,0.169269,0.25,0.2,0,DISABLED,0
1.24,0.178436,0.295766,0.0577177,-0.0037372,0.738338,0.00656008,0.0722078,0.00969386,-0.997343,0.169312,0.25,0.2,0,DISABLED,0
1.26,0.182958,0.298784,0.0579158,-0.00431258,0.737923,0.00638512,0.0716324,0.0090028,-0.99739,0.169978,0.25,0.2,0,DISABLED,0
1.28,0.188721,0.302389,0.0826059,-0.0066331,0.736977,0.0074373,0.0693119,0.00762437,-0.997566,0.173216,0.25,0.2,0,DISABLED,0
1.3,0.194086,0.305488,0.0780139,-0.0114653,0.736112,0.0127563,0.0644797,0.0098458,-0.99787,0.18067,0.25,0.2,0,DISABLED,0
1.32,0.200144,0.309308,0.0897407,-0.0146481,0.734962,0.0173703,0.0612969,0.0135943,-0.998027,0.182531,0.25,0.2,0,DISABLED,0
1.34,0.205298,0.312281,0.0927783,-0.0149425,0.733433,0.0163995,0.0610026,0.0109936,-0.998077,0.182403,0.25,0.2,0,DISABLED,0
1.36,0.21042,0.315989,0.141645,-0.0159518,0.73232,0.020005,0.0599932,0.0163335,-0.998065,0.183509,0.25,0.2,0,DISABLED,0
1.38,0.214983,0.319591,0.183167,-0.0163314,0.732371,0.023844,0.0596136,0.0216553,-0.997987,0.182186,0.25,0.2,0,DISABLED,0
1.4,0.220397,0.323224,0.20681,-0.0139965,0.733412,0.0184874,0.0619485,0.0163546,-0.997945,0.182262,0.25,0.2,0,DISABLED,0
