t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.102508,0,0.739875,0.000345267,0.0859111,0.00138734,-0.996302,0,0,0,0,DISABLED,0
0.0399988,0.0028317,0.00147855,0.237423,-0.00400049,0.739152,0.00499147,0.0819106,0.00434886,-0.99663,0.00252196,0,0,0,DISABLED,0
0.0599988,0.00567941,0.00249576,0.189347,-0.00460703,0.738689,0.00601994,0.0813041,0.00522679,-0.996676,0.00381633,0,0,0,DISABLED,0
0.0799987,0.00859249,0.00359382,0.0747885,-0.00654565,0.73851,0.00672164,0.0793655,0.00278505,-0.996842,-0.00077951,0,0,0,DISABLED,0
0.0999987,0.0113683,0.00504177,0.00632179,-0.00779697,0.738242,0.00784298,0.0781142,0.00191177,-0.996943,-0.00706203,0,0,0,DISABLED,0
0.119999,0.0132309,0.00637712,0.0217267,-0.00620592,0.738012,0.00628159,0.0797052,0.00224167,-0.996816,-0.0106674,0,0,0,DISABLED,0
0.139999,0.0150408,0.00814342,0.0461696,-0.00440925,0.737765,0.00489501,0.0815019,0.00346129,-0.996667,-0.0131863,0,0,0,DISABLED,0
0.159999,0.0170879,0.0105162,0.0570827,-0.00289404,0.7374,0.0058083,0.0830171,0.00641602,-0.996527,-0.015123,0,0,0,DISABLED,0
0.179999,0.0190949,0.0129091,0.0554022,-0.00187697,0.736992,0.00856933,0.0840342,0.00974867,-0.996415,-0.0163035,0,0,0,DISABLED,0
0.199999,0.0212474,0.0155007,0.0444075,-0.000799187,0.73649,0.012549,0.085112,0.0139119,-0.996274,-0.0170255,0,0,0,DISABLED,0
0.219999,0.0235737,0.0182763,0.0278505,0.000231959,0.735951,0.0171909,0.0861431,0.0185764,-0.99611,-0.0171955,0,0,0,DISABLED,0
0.239999,0.0259495,0.0211756,0.025335,0.00156144,0.735786,0.0228456,0.0874726,0.0241737,-0.995874,-0.0165959,0,0,0,DISABLED,0
0.259999,0.0279719,0.0240755,0.0073742,0.00311425,0.735983,0.0312226,0.0890254,0.0324424,-0.995501,-0.0152079,0,0,0,DISABLED,0
0.279999,0.0305268,0.0277698,0.00513965,0.00396962,0.736492,0.0442086,0.0898808,0.0453911,-0.994918,-0.011709,0,0,0,DISABLED,0
0.299999,0.0326942,0.0306645,0.0744029,0.00406568,0.737157,0.0556284,0.0899768,0.0568242,-0.994321,-0.00926176,0,0,0,DISABLED,0
0.319999,0.0352968,0.0340033,0.0772743,0.00433891,0.738309,0.0635999,0.0902501,0.064779,-0.99381,-0.00915436,0,0,0,DISABLED,0
0.339998,0.0373857,0.0365969,0.0497209,0.0045051,0.739375,0.0641527,0.0904162,0.0653204,-0.99376,-0.0081405,0,0,0,DISABLED,0
0.359998,0.0400891,0.0395068,0.0124836,0.00272387,0.740607,0.0562807,0.088635,0.057562,-0.9944,5.30556e-05,0,0,0,DISABLED,0
0.379998,0.0433025,0.0426439,-0.00616667,-0.00144283,0.741144,0.0364502,0.0844683,0.0378004,-0.995709,0.00828964,0,0,0,DISABLED,0
0.399998,0.0464577,0.0459439,0.0211271,-0.00737865,0.739934,0.0201711,0.0785325,0.0201559,-0.996708,0.0134274,0,0,0,DISABLED,0
0.419998,0.0497327,0.0494718,0.147542,-0.0143605,0.738669,0.0252501,0.0715506,0.022135,-0.997191,0.0212167,0,0,0,DISABLED,0
0.439998,0.0527991,0.0519414,0.256739,-0.0152973,0.738115,0.0279121,0.0706138,0.0247143,-0.997198,0.0312267,0,0,0,DISABLED,0
0.459998,0.055404,0.0538043,0.17,-0.0125919,0.737912,0.0261249,0.0733193,0.0242635,-0.997013,0.0397874,0,0,0,DISABLED,0
0.479998,0.0587206,0.0564925,0.0123876,-0.0117042,0.737707,0.0246504,0.074207,0.0230721,-0.996976,0.0411589,0,0,0,DISABLED,0
0.499998,0.0611757,0.0591484,-0.0089348,-0.00929695,0.737405,0.0253537,0.0766142,0.0249698,-0.996748,0.0406402,0,0,0,DISABLED,0
0.519998,0.0629995,0.0616137,-0.000560224,-0.00590836,0.736951,0.0290978,0.0800028,0.0298783,-0.996347,0.0403911,0,0,0,DISABLED,0
0.539998,0.065133,0.0641485,0.00953728,-0.00403983,0.736834,0.0324804,0.0818713,0.0336125,-0.996076,0.0425671,0,0,0,DISABLED,0
0.559998,0.0674145,0.0669203,0.0202285,-0.00380811,0.736894,0.0398163,0.082103,0.0410153,-0.99578,0.0472041,0,0,0,DISABLED,0
0.579998,0.0700608,0.0699591,0.0701684,-0.00464745,0.737056,0.0489354,0.0812637,0.0500882,-0.995433,0.0507518,0,0,0,DISABLED,0
0.599998,0.0722797,0.0722056,0.074335,-0.00516767,0.737295,0.0538781,0.0807435,0.0550003,-0.995216,0.0541196,0,0,0,DISABLED,0
0.619998,0.075142,0.0747429,0.0546304,-0.00661603,0.737768,0.0560343,0.0792951,0.0570123,-0.99522,0.0654727,0,0,0,DISABLED,0
0.639998,0.0779823,0.0771706,0.0214492,-0.00787377,0.738131,0.0516136,0.0780374,0.0523861,-0.995573,0.0736621,0,0,0,DISABLED,0
0.659998,0.0810271,0.0799382,0.0106108,-0.0091977,0.738084,0.0417218,0.0767134,0.0420782,-0.996165,0.0809125,0,0,0,DISABLED,0
0.679998,0.0838427,0.0824378,0.0109619,-0.0109195,0.737482,0.0313446,0.0749916,0.0307638,-0.99671,0.0853924,0,0,0,DISABLED,0
0.699998,0.086403,0.0849691,0.0171208,-0.0130301,0.736753,0.0274773,0.0728811,0.0255646,-0.997013,0.0870074,0,0,0,DISABLED,0
0.719998,0.0894886,0.0875817,0.0722003,-0.0156659,0.736342,0.0290794,0.0702453,0.025869,-0.997194,0.0881893,0,0,0,DISABLED,0
0.739998,0.0923966,0.0889584,0.172749,-0.0151246,0.736363,0.0278501,0.0707866,0.0247546,-0.997184,0.0940782,0,0,0,DISABLED,0
0.759998,0.0950382,0.0898348,0.134515,-0.0109977,0.736428,0.0255248,0.0749135,0.0244143,-0.996891,0.104134,0,0,0,DISABLED,0
0.779998,0.0981469,0.0911967,0.0122343,-0.00856837,0.736405,0.0255528,0.0773428,0.0254561,-0.99668,0.106866,0,0,0,DISABLED,0
0.799998,0.101183,0.0930325,-0.0125333,-0.00494454,0.73612,0.0307649,0.0809666,0.0317502,-0.996211,0.106616,0,0,0,DISABLED,0
0.819998,0.103402,0.0943012,-0.00617951,-0.00136432,0.736085,0.0349284,0.0845468,0.036283,-0.995759,0.106993,0,0,0,DISABLED,0
0.839998,0.106163,0.0958334,0.0182349,0.00157326,0.736393,0.0413543,0.0874844,0.0426951,-0.995251,0.111726,0,0,0,DISABLED,0
0.859998,0.108731,0.0975774,0.0800067,0.00286113,0.736943,0.0525422,0.0887723,0.0538176,-0.994597,0.117009,0,0,0,DISABLED,0
0.879998,0.111254,0.0991763,0.0788848,0.00356851,0.737755,0.059769,0.0894796,0.0610004,-0.994119,0.11886,0,0,0,DISABLED,0
0.899998,0.114055,0.100672,0.0501646,0.00309149,0.738796,0.0602005,0.0890026,0.0614594,-0.994133,0.127838,0,0,0,DISABLED,0
0.919998,0.117107,0.102318,0.00950187,0.00100587,0.739675,0.0532043,0.086917,0.054553,-0.994721,0.13607,0,0,0,DISABLED,0
0.939998,0.119834,0.103884,0.000701129,-0.00200884,0.739989,0.0389764,0.0839023,0.0403041,-0.995659,0.142746,0,0,0,DISABLED,0
0.959998,0.12324,0.10582,0.00813606,-0.00621649,0.739215,0.0197832,0.0796947,0.0201658,-0.996615,0.151675,0,0,0,DISABLED,0
0.979998,0.126687,0.108485,0.0488978,-0.0122474,0.738369,0.0181818,0.0736637,0.0147916,-0.997173,0.157308,0,0,0,DISABLED,0
0.999998,0.130006,0.110539,0.197968,-0.0151885,0.738021,0.020374,0.0707226,0.0149197,-0.997384,0.161342,0,0,0,DISABLED,0
1.02,0.13261,0.11152,0.202379,-0.0134844,0.737952,0.0191991,0.0724267,0.0150205,-0.997261,0.167298,0,0,0,DISABLED,0
1.04,0.135829,0.112743,0.110272,-0.0109249,0.737859,0.016202,0.0749863,0.013327,-0.997096,0.171148,0,0,0,DISABLED,0
1.06,0.13898,0.114387,0.00378385,-0.0102371,0.737562,0.0152506,0.075674,0.0126623,-0.997052,0.168912,0,0,0,DISABLED,0
1.08,0.14123,0.115814,-0.00175637,-0.00753593,0.737162,0.014673,0.0783752,0.0139656,-0.996826,0.168235,0,0,0,DISABLED,0
1.1,0.143687,0.117714,0.00245076,-0.00434577,0.736466,0.0163813,0.0815654,0.0171797,-0.99652,0.167753,0,0,0,DISABLED,0
1.12,0.145703,0.119309,0.0169658,-0.00270839,0.736233,0.0187085,0.0832027,0.0198951,-0.996334,0.16892,0,0,0,DISABLED,0
1.14,0.147748,0.121486,0.00694513,-0.00150222,0.736229,0.0249341,0.0844089,0.0262745,-0.996085,0.171856,0,0,0,DISABLED,0
1.16,0.150036,0.124063,0.0116128,-0.00157401,0.736171,0.0338483,0.0843371,0.0351942,-0.995816,0.176363,0,0,0,DISABLED,0
1.18,0.152248,0.126123,0.0626188,-0.00197216,0.736135,0.0415844,0.083939,0.0429143,-0.995546,0.178453,0,0,0,DISABLED,0
1.2,0.154539,0.127935,0.0734574,-0.00172613,0.736348,0.0479246,0.084185,0.0492649,-0.995232,0.182707,0,0,0,DISABLED,0
1.22,0.156973,0.129596,0.0503859,-0.00223946,0.736793,0.0506821,0.0836717,0.0520019,-0.995136,0.190557,0,0,0,DISABLED,0
1.24,0.159832,0.131503,0.0278346,-0.00199482,0.737445,0.0476651,0.0839163,0.0489956,-0.995268,0.195878,0,0,0,DISABLED,0
1.26,0.162382,0.133161,0.0128284,-0.00143198,0.737929,0.039591,0.0844792,0.0409435,-0.995584,0.199954,0,0,0,DISABLED,0
1.28,0.16516,0.134806,0.00954539,-0.000858456,0.738045,0.0274556,0.0850527,0.0288281,-0.995959,0.202576,0,0,0,DISABLED,0
1.3,0.167258,0.135841,0.0162408,-0.00104852,0.737716,0.0149027,0.0848626,0.0162539,-0.99626,0.203076,0,0,0,DISABLED,0
1.32,0.170504,0.137746,0.00575459,-0.00390476,0.737363,0.00830798,0.0820064,0.00871185,-0.996594,0.203395,0,0,0,DISABLED,0
1.34,0.173803,0.139007,0.0861034,-0.00695093,0.737359,0.00792614,0.0789602,0.00515728,-0.996864,0.20307,0,0,0,DISABLED,0
1.36,0.176553,0.13923,0.176229,-0.00647846,0.737621,0.00660536,0.0794327,0.00253151,-0.996837,0.206398,0,0,0,DISABLED,0
1.38,0.179359,0.139319,0.141007,-0.00230613,0.737782,0.00336525,0.083605,0.00385144,-0.996492,0.21239,0,0,0,DISABLED,0
1.4,0.181987,0.139826,0.0528678,-0.00109366,0.737804,0.00234172,0.0848175,0.00345248,-0.996391,0.211372,0,0,0,DISABLED,0
1.42,0.185183,0.140965,-0.0011175,-0.000477247,0.737507,0.00444846,0.0854339,0.00580376,-0.996327,0.206412,0,0,0,DISABLED,0
1.44,0.187201,0.141925,0.000892907,0.00172358,0.736905,0.00915449,0.0876347,0.0103731,-0.996099,0.203765,0,0,0,DISABLED,0
1.46,0.189421,0.142847,-0.00690183,0.00325504,0.736289,0.0120399,0.0891662,0.0129736,-0.995932,0.201293,0,0,0,DISABLED,0
1.48,0.191566,0.143786,0.00235829,0.00435747,0.736075,0.0144931,0.0902686,0.0151959,-0.995802,0.202102,0,0,0,DISABLED,0
1.5,0.193732,0.145433,0.043253,0.00497972,0.736087,0.02203,0.0908909,0.0228351,-0.995599,0.204686,0,0,0,DISABLED,0
