t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.230502,0,0.739306,0,0.0782304,0.000885166,-0.996935,0,0.3,0,0,DISABLED,0
0.0399988,0.0024585,0.000720941,0.172628,-0.00144084,0.739017,0.00146484,0.0767896,0.000554627,-0.997047,0.000943076,0.3,0,0,DISABLED,0
0.0599988,0.00550285,0.0017903,0.0696698,-0.00424514,0.738926,0.00556727,0.0739853,-0.0026949,-0.997256,-0.00376634,0.3,0,0,DISABLED,0
0.0799987,0.00875039,0.0035002,0.0120364,-0.00689553,0.738621,0.00842199,0.0713349,-0.00391159,-0.997445,-0.010045,0.3,0,0,DISABLED,0
0.0999987,0.0103391,0.00516269,0.104075,-0.00495751,0.738182,0.00597023,0.0732729,-0.00239735,-0.997309,-0.0148284,0.3,0,0,DISABLED,0
0.119999,0.0115106,0.00746894,0.132951,-0.00134216,0.737132,0.00133721,0.0768883,0.000983643,-0.997039,-0.0190757,0.3,0,0,DISABLED,0
0.139999,0.0131742,0.0103843,0.1294,-0.000406891,0.735661,0.00158221,0.0778235,0.00240093,-0.996964,-0.0253921,0.3,0,0,DISABLED,0
0.159999,0.0146394,0.013469,0.156253,0.000569031,0.734901,0.00269662,0.0787994,0.00351339,-0.996884,-0.0324953,0.3,0,0,DISABLED,0
0.179999,0.0157283,0.0167156,0.166217,0.00451025,0.735087,0.00460644,0.0827407,0.00167398,-0.99657,-0.0358263,0.3,0,0,DISABLED,0
0.199999,0.0165728,0.0202013,0.173853,0.0110388,0.736041,0.0120647,0.0892692,-0.00389184,-0.996,-0.0367913,0.3,0,0,DISABLED,0
0.219999,0.0173853,0.024246,0.176915,0.0187716,0.7375,0.022379,0.097002,-0.0111782,-0.995221,-0.0362633,0.3,0,0,DISABLED,0
0.239999,0.0181266,0.0285443,0.163281,0.0261021,0.738956,0.0321428,0.104332,-0.0176943,-0.994385,-0.0343819,0.3,0,0,DISABLED,0
0.259999,0.0189828,0.0343212,0.133414,0.0337836,0.740442,0.0411216,0.112014,-0.0222925,-0.993457,-0.0308714,0.3,0,0,DISABLED,0
0.279999,0.0200312,0.0419962,0.0960836,0.0408059,0.741644,0.0481567,0.119036,-0.0243063,-0.992592,-0.0241521,0.3,0,0,DISABLED,0
0.299999,0.0211428,0.0501696,0.0576482,0.0454981,0.742006,0.0524832,0.123729,-0.0247932,-0.992006,-0.0162126,0.3,0,0,DISABLED,0
0.319999,0.0221884,0.0586816,0.0298766,0.0487037,0.741292,0.0532357,0.126934,-0.0199447,-0.991711,-0.00909491,0.3,0,0,DISABLED,0
0.339998,0.0233351,0.0703248,0.0232249,0.0508303,0.738782,0.052068,0.129061,-0.00902245,-0.991596,-0.00289577,0.3,0,0,DISABLED,0
0.359998,0.0245132,0.079158,-0.019406,0.0503775,0.738012,0.0532872,0.128608,-0.0156114,-0.991573,0.000818193,0.3,0,0,DISABLED,0
0.379998,0.026338,0.0884388,-0.0388754,0.0462025,0.737654,0.0472505,0.124433,-0.00777075,-0.992198,-0.000428759,0.3,0,0,DISABLED,0
0.399998,0.0284857,0.097566,-0.0453728,0.0406399,0.736945,0.0434152,0.11887,0.0155728,-0.992788,0.00200659,0.3,0,0,DISABLED,0
0.419998,0.0307727,0.104559,-0.0460743,0.0353306,0.736547,0.0425636,0.113561,0.0243247,-0.993233,0.00362108,0.3,0,0,DISABLED,0
0.439998,0.0336582,0.110851,-0.00145993,0.0288565,0.737418,0.0377644,0.107087,0.0250563,-0.993934,0.00315476,0.3,0,0,DISABLED,0
0.459998,0.0367102,0.116435,0.0253941,0.0227529,0.73854,0.0367288,0.100983,0.0296069,-0.994447,0.0040967,0.3,0,0,DISABLED,0
0.479998,0.039874,0.121145,0.0402511,0.0172837,0.739293,0.0367142,0.0955141,0.0332089,-0.994874,0.00562199,0.3,0,0,DISABLED,0
0.499998,0.0435784,0.125315,0.0472847,0.0116724,0.739598,0.0346353,0.0899028,0.0334547,-0.995389,0.00822167,0.3,0,0,DISABLED,0
0.519998,0.0472155,0.128342,0.0455384,0.0066426,0.739536,0.0310523,0.084873,0.0311989,-0.995903,0.0115239,0.3,0,0,DISABLED,0
0.539998,0.050643,0.130597,0.0392211,0.0022517,0.739317,0.0272551,0.0804821,0.0280388,-0.996362,0.0145264,0.3,0,0,DISABLED,0
0.559998,0.054969,0.133053,0.0314489,-0.00290655,0.739015,0.0240233,0.0753239,0.0247317,-0.996852,0.0177922,0.3,0,0,DISABLED,0
0.579998,0.0590581,0.135173,0.0291107,-0.00750175,0.738861,0.0235421,0.0707287,0.0231976,-0.997226,0.019799,0.3,0,0,DISABLED,0
0.599998,0.0628706,0.136973,0.0337098,-0.0111627,0.738835,0.0248335,0.0670677,0.0230587,-0.997482,0.022316,0.3,0,0,DISABLED,0
0.619998,0.067683,0.139048,0.040168,-0.0146635,0.738857,0.0268629,0.0635669,0.0233766,-0.997704,0.0256506,0.3,0,0,DISABLED,0
0.639998,0.0722605,0.140814,0.0435486,-0.0171086,0.738816,0.0283528,0.0611219,0.0234724,-0.997854,0.0290165,0.3,0,0,DISABLED,0
0.659998,0.077043,0.142435,0.0527747,-0.0191729,0.738594,0.0294116,0.0590575,0.0231611,-0.997986,0.0327571,0.3,0,0,DISABLED,0
0.679998,0.0814831,0.143684,0.0883767,-0.0208229,0.738129,0.0300195,0.0574075,0.0224753,-0.998098,0.0367534,0.3,0,0,DISABLED,0
0.699998,0.0870168,0.144884,0.119016,-0.0229422,0.737119,0.0304454,0.0552883,0.0208553,-0.998253,0.0414048,0.3,0,0,DISABLED,0
0.719998,0.0917381,0.14584,0.106604,-0.0259464,0.736489,0.0353694,0.0522841,0.0248791,-0.998322,0.0477164,0.3,0,0,DISABLED,0
0.739998,0.0973948,0.14655,0.112149,-0.0294161,0.736004,0.040561,0.0488143,0.0287711,-0.998393,0.0546908,0.3,0,0,DISABLED,0
0.759998,0.101743,0.146852,0.0825018,-0.031988,0.735525,0.0409909,0.0462424,0.0264598,-0.99858,0.0598778,0.3,0,0,DISABLED,0
0.779998,0.10677,0.147529,0.108242,-0.0353639,0.734635,0.0405066,0.0428665,0.0205368,-0.99887,0.0645978,0.3,0,0,DISABLED,0
0.799998,0.112113,0.149468,0.161599,-0.0371213,0.734234,0.0436015,0.0411091,0.0236681,-0.998874,0.0721791,0.3,0,0,DISABLED,0
