t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold
0.0199988,0,0,0.0843334,0,0.741315,0.000345267,0.0921521,-0.0067126,-0.995722,0,0,0,-0.5,DISABLED,0
0.0399988,0.00370222,0.00192065,0.26254,-0.00739556,0.740441,0.00856933,0.0847566,-0.00244927,-0.996399,0.00619351,0,0,-0.5,DISABLED,0
0.0599988,0.00708422,0.00285541,0.247963,-0.00911329,0.740065,0.0102248,0.0830388,-0.00214721,-0.996544,0.00632735,0,0,-0.5,DISABLED,0
0.0799987,0.00913459,0.00348174,0.162346,-0.00791026,0.739691,0.0085065,0.0842419,-0.00366535,-0.996439,0.00401734,0,0,-0.5,DISABLED,0
0.0999987,0.011719,0.00472817,0.0980031,-0.00974363,0.739058,0.00988698,0.0824085,-0.00817057,-0.996565,-0.00371175,0,0,-0.5,DISABLED,0
0.119999,0.013839,0.00643503,0.0726938,-0.0126823,0.73805,0.0128494,0.0794698,-0.00846622,-0.996801,-0.0106453,0,0,-0.5,DISABLED,0
0.139999,0.0157613,0.00891867,0.0790179,-0.0141896,0.736704,0.01424,0.0779625,-0.00671432,-0.996934,-0.0187566,0,0,-0.5,DISABLED,0
0.159999,0.017024,0.0117254,0.138906,-0.0135632,0.735925,0.013828,0.078589,-0.00427983,-0.996898,-0.0261827,0,0,-0.5,DISABLED,0
0.179999,0.0178906,0.0149366,0.18058,-0.0103479,0.735865,0.0107865,0.0818043,-0.0038096,-0.996641,-0.0315221,0,0,-0.5,DISABLED,0
0.199999,0.0185552,0.018549,0.19226,-0.00501518,0.736476,0.00508611,0.0871369,-0.00608773,-0.996178,-0.0351606,0,0,-0.5,DISABLED,0
0.219999,0.019069,0.0221908,0.189322,0.00180102,0.737474,0.00404125,0.0939531,-0.0103202,-0.995523,-0.0373242,0,0,-0.5,DISABLED,0
0.239999,0.0196549,0.0272747,0.172544,0.00928603,0.738996,0.0126766,0.101438,-0.0152874,-0.994724,-0.0383486,0,0,-0.5,DISABLED,0
0.259999,0.020227,0.0327988,0.142057,0.0163234,0.740345,0.0199901,0.108476,-0.0181088,-0.993934,-0.0385066,0,0,-0.5,DISABLED,0
0.279999,0.0208013,0.0386073,0.104119,0.0217498,0.741362,0.0248623,0.113902,-0.0185087,-0.99332,-0.037214,0,0,-0.5,DISABLED,0
0.299999,0.0215886,0.0467501,0.0717296,0.0272134,0.742157,0.0298782,0.119366,-0.0186594,-0.992675,-0.0333512,0,0,-0.5,DISABLED,0
0.319999,0.022287,0.0553442,0.0581796,0.0310094,0.74215,0.0328109,0.123161,-0.0168503,-0.992244,-0.0304749,0,0,-0.5,DISABLED,0
0.339998,0.0228851,0.0654253,0.0404144,0.0350424,0.740867,0.0352901,0.127194,-0.00516255,-0.991864,-0.0283077,0,0,-0.5,DISABLED,0
0.359998,0.023286,0.0737164,0.0435002,0.0375328,0.740151,0.0377691,0.129685,-0.00636682,-0.991535,-0.0261683,0,0,-0.5,DISABLED,0
