t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.179705,0,-0.115359,-0.406438,-0.906367,0,0,-0.3,0,NEUTRAL,0,0.00182664,3.93406e-06,2.27778e-05,0.998147,0,0,1
0.0399988,-0.0175916,-0.0294077,0,-0.00234753,0.189053,0.0147701,-0.117706,-0.419587,-0.900051,0.023121,0,-0.3,0,NEUTRAL,0,0.00149032,4.51113e-06,0.00196923,0.996536,0,0,1
0.0599988,-0.0331787,-0.0545104,0,0.0151701,0.196839,0.0183189,-0.100189,-0.416345,-0.90367,0.040634,0,-0.3,0,NEUTRAL,0,0.000419081,4.71157e-05,0.0165988,0.982935,0,0,1
0.0799987,-0.0492495,-0.0835052,0,0.0309515,0.205041,0.0324822,-0.0844074,-0.399145,-0.912995,0.0497508,0,-0.3,0,NEUTRAL,0,0.000278519,0.000103153,0.0173083,0.98231,0,0,1
0.0999987,-0.0645275,-0.117657,0,0.0186102,0.212052,0.0374155,-0.0967487,-0.377449,-0.920963,0.0668489,0,-0.3,0,NEUTRAL,0,4.32922e-05,2.95631e-06,0.00286022,0.997094,0,0,1
0.119999,-0.0784189,-0.149782,0,-0.00375127,0.217503,0.0597171,-0.11911,-0.35119,-0.928697,0.0874217,0,-0.3,0,NEUTRAL,0,3.74468e-06,2.29532e-07,0.0183903,0.981606,0,0,1
0.139999,-0.0924714,-0.179784,0,-0.0124074,0.221149,0.0804756,-0.127766,-0.33211,-0.934547,0.102798,0,-0.3,0,NEUTRAL,0,9.65197e-06,3.02542e-07,0.04346,0.95653,0,0,1
0.159999,-0.112345,-0.21688,0,-0.00697322,0.223549,0.103496,-0.122332,-0.309893,-0.942868,0.118927,0,-0.3,0,NEUTRAL,0,1.07544e-05,1.20863e-06,0.110985,0.889003,0,0,1
0.179999,-0.129794,-0.247446,0,0.0117611,0.223124,0.134583,-0.103598,-0.281237,-0.95403,0.142785,0,-0.3,0,NEUTRAL,0,2.1602e-05,7.67619e-06,0.0696835,0.930287,0,0,1
0.199999,-0.148006,-0.280324,0,0.0250852,0.220004,0.168368,-0.0902738,-0.250427,-0.963918,0.169826,0,-0.3,0,NEUTRAL,0,3.79686e-05,1.26791e-05,0.00578991,0.994159,0,0,1
0.219999,-0.167374,-0.315891,0,0.0308741,0.211409,0.214408,-0.0844848,-0.20607,-0.974883,0.184647,0,-0.3,0,NEUTRAL,0,1.69949e-05,2.51075e-06,0.00660205,0.993378,0,0,1
0.239999,-0.179394,-0.337557,0,0.0293028,0.202038,0.267255,-0.0860561,-0.153356,-0.984417,0.195968,0,-0.3,0,NEUTRAL,0,1.99559e-06,3.22489e-07,0.00893203,0.991066,0,0,1
0.259999,-0.194343,-0.366332,0,0.0265283,0.187055,0.359398,-0.0888306,-0.0609424,-0.994181,0.284985,0,-0.3,0,NEUTRAL,0,2.78981e-06,2.37955e-07,0.00234203,0.997655,0,0,1
0.279999,-0.212146,-0.397616,0,0.0472002,0.169792,0.456077,-0.0681588,0.0339776,-0.997096,0.448394,0,-0.3,0,NEUTRAL,0,2.64017e-06,3.31345e-05,0.00158586,0.998378,0,0,1
0.299999,-0.230878,-0.422145,0,0.0586102,0.148734,0.474996,-0.0567487,0.0515477,-0.997057,0.455438,0,-0.3,0,NEUTRAL,0,1.02371e-05,0.00361646,0.00126113,0.995112,0,0,1
