t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733537,0.000345267,-0.0258628,-0.00160772,-0.999664,0,0.3,0,0,flat,0,1.0106e-14,1.65831e-14,1,1.62983e-09,0,0,1
0.0399988,-5.68666e-06,-3.58094e-07,0,1.75424e-05,0.733539,0,-0.0258453,-0.00160849,-0.999665,-9.63453e-06,0.3,0,0,flat,0,1.30969e-14,1.94703e-14,1,1.23522e-09,0,0,1
0.0599988,-6.64406e-06,-6.27479e-07,0,3.17916e-05,0.73354,0,-0.025831,-0.00160958,-0.999665,-1.69352e-05,0.3,0,0,flat,0,1.61593e-14,2.0426e-14,1,8.36478e-10,0,0,1
0.0799987,-1.1865e-06,-7.99773e-07,0,5.12823e-05,0.73354,0.000345267,-0.0258115,-0.00161207,-0.999665,-2.41972e-05,0.3,0,0,flat,0,1.90747e-14,1.98621e-14,1,5.23944e-10,0,0,1
0.0999987,1.82129e-05,-8.57282e-07,0,7.54409e-05,0.733537,0,-0.0257874,-0.00161531,-0.999666,-2.83532e-05,0.3,0,0,flat,0,2.18895e-14,1.87063e-14,1,3.12233e-10,0,0,1
0.119999,5.73415e-05,-8.12579e-07,0,0.000108272,0.733533,0,-0.0257545,-0.00161899,-0.999667,-3.01274e-05,0.3,0,0,flat,0,2.4533e-14,1.75302e-14,1,1.78886e-10,0,0,1
0.139999,0.00012199,-6.77304e-07,0,0.000177756,0.733526,0,-0.025685,-0.00162436,-0.999669,-2.98684e-05,0.3,0,0,flat,0,2.67895e-14,1.65876e-14,1,9.91886e-11,0,0,1
0.159999,0.000218105,-4.6473e-07,0,0.000280907,0.733518,0.000345267,-0.0255819,-0.00163019,-0.999671,-2.75034e-05,0.3,0,0,flat,0,2.86e-14,1.6269e-14,1,5.45167e-11,0,0,1
0.179999,0.000336139,-2.16998e-07,0,0.00041461,0.733509,0.000488281,-0.0254482,-0.00163621,-0.999675,-2.39382e-05,0.3,0,0,flat,0,2.99323e-14,1.68594e-14,1,3.01886e-11,0,0,1
0.199999,0.000505799,1.1595e-07,0,0.00061623,0.733497,0.00059802,-0.0252466,-0.00164368,-0.99968,-1.93766e-05,0.3,0,0,flat,0,3.08962e-14,1.8759e-14,1,1.70938e-11,0,0,1
0.219999,0.000744082,7.15954e-07,0,0.000908889,0.733482,0.000913491,-0.0249539,-0.00165333,-0.999687,-1.39051e-05,0.3,0,0,flat,0,3.18244e-14,2.24697e-14,1,1.00342e-11,0,0,1
0.239999,0.00070774,9.89516e-05,0,0.00255146,0.733425,0.00262948,-0.0233113,-0.000969552,-0.999728,0.00168414,0.3,0,0,flat,0,2.54916e-14,2.20733e-14,1,4.69098e-12,0,0,1
0.259999,0.000284992,0.000902016,0,0.00565488,0.733196,0.00675702,-0.0202079,0.00207638,-0.999794,0.00409858,0.3,0,0,flat,0,3.58125e-13,9.79768e-13,1,4.91064e-12,0,0,1
0.279999,0.000240175,0.00241849,0,0.00683311,0.733025,0.0091675,-0.0190297,0.00449732,-0.999809,0.00389253,0.3,0,0,flat,0,4.13584e-13,1.76004e-12,1,1.53853e-11,0,0,1
0.299999,0.000250012,0.00382237,0,0.00719722,0.733014,0.00993509,-0.0186656,0.00523347,-0.999812,0.00441448,0.3,0,0,flat,0,8.8208e-14,1.49308e-12,1,1.43716e-11,0,0,1
0.319999,9.44715e-05,0.00500979,0,0.00813921,0.733092,0.0109891,-0.0177236,0.00577421,-0.999826,0.00640423,0.3,0,0,flat,0,8.22048e-14,1.32484e-11,1,1.45951e-11,0,0,1
0.339998,-0.000145966,0.0064212,0,0.00946062,0.733151,0.0127329,-0.0164022,0.00691197,-0.999842,0.00804316,0.3,0,0,flat,0,2.1965e-13,2.30799e-10,1,3.46294e-11,0,0,1
0.359998,-0.000554793,0.00827551,0,0.011577,0.732949,0.0162974,-0.0142858,0.00986418,-0.999849,0.00988151,0.3,0,0,flat,0,6.41235e-13,3.59004e-09,1,1.10215e-10,0,0,1
0.379998,-0.000995807,0.0102141,0,0.0143803,0.732523,0.0211295,-0.0114825,0.0138717,-0.999838,0.0133657,0.3,0,0,flat,0,1.45283e-12,3.55683e-08,1,2.33999e-10,0,0,1
0.399998,-0.000988716,0.0118046,0,0.0144839,0.732781,0.017507,-0.0113789,0.00822593,-0.999901,0.0147627,0.3,0,0,flat,0,2.11956e-12,3.0868e-07,1,2.56725e-10,0,0,1
0.419998,-0.000539344,0.0135322,0,0.0128997,0.733408,0.0142149,-0.0129631,0.00435962,-0.999906,0.0149291,0.3,0,0,flat,0,1.75919e-12,2.88481e-07,1,2.11209e-10,0,0,1
