t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733603,0,-0.0282562,-0.00253779,-0.999597,0,0.25,0.2,0,flat,0,8.63539e-15,1.75783e-14,1,1.36992e-09,0,0,1
0.0399988,-4.93228e-06,-1.56939e-06,0,1.25784e-05,0.733605,0,-0.0282436,-0.00253866,-0.999598,-1.93659e-05,0.25,0.2,0,flat,0,1.09705e-14,2.03923e-14,1,1.06301e-09,0,0,1
0.0599988,-6.30319e-06,-1.79734e-06,0,2.58908e-05,0.733606,0,-0.0282303,-0.0025377,-0.999598,-4.15556e-05,0.25,0.2,0,flat,0,1.35069e-14,2.16842e-14,1,7.49388e-10,0,0,1
0.0799987,-1.13621e-06,2.11215e-06,0,3.60906e-05,0.733605,0,-0.0282201,-0.00253452,-0.999599,-5.60377e-05,0.25,0.2,0,flat,0,1.64823e-14,2.23744e-14,1,5.0565e-10,0,0,1
0.0999987,1.71587e-05,1.53154e-05,0,5.0528e-05,0.733602,0,-0.0282056,-0.00252592,-0.999599,-6.76848e-05,0.25,0.2,0,flat,0,2.01664e-14,2.33914e-14,1,3.36389e-10,0,0,1
0.119999,5.28209e-05,4.15164e-05,0,6.99516e-05,0.733596,0,-0.0281862,-0.00251244,-0.9996,-7.50329e-05,0.25,0.2,0,flat,0,2.47541e-14,2.53656e-14,1,2.23719e-10,0,0,1
0.139999,0.000103287,8.00281e-05,0,9.17166e-05,0.733587,0,-0.0281645,-0.00249167,-0.9996,-8.00341e-05,0.25,0.2,0,flat,0,3.03303e-14,2.89864e-14,1,1.50813e-10,0,0,1
0.159999,0.000194265,0.000150481,0,0.00012292,0.733571,0,-0.0281332,-0.00244818,-0.999601,-8.32006e-05,0.25,0.2,0,flat,0,3.71513e-14,3.5597e-14,1,1.04683e-10,0,0,1
0.179999,0.00028204,0.000244456,0,0.000277562,0.733549,0,-0.0279786,-0.00234824,-0.999606,6.75227e-05,0.25,0.2,0,flat,0,6.46301e-14,4.42845e-14,1,7.05815e-11,0,0,1
0.199999,-0.000647964,0.00110163,0,0.00517156,0.733328,0.00640376,-0.0230846,0.00124282,-0.999733,0.0046684,0.25,0.2,0,flat,0,1.08372e-13,1.22086e-13,1,5.98988e-11,0,0,1
0.219999,-0.00117538,0.00262346,0,0.00839841,0.733247,0.0103581,-0.0198578,0.0035171,-0.999797,0.00658555,0.25,0.2,0,flat,0,9.47697e-13,3.27894e-12,1,1.70988e-10,0,0,1
0.239999,-0.00136594,0.00464715,0,0.00995754,0.733285,0.0118855,-0.0182986,0.00394576,-0.999825,0.00711208,0.25,0.2,0,flat,0,3.71558e-13,4.05632e-12,1,3.32472e-10,0,0,1
0.259999,-0.00139363,0.00700059,0,0.0104389,0.733421,0.0119055,-0.0178173,0.00318224,-0.999836,0.0072127,0.25,0.2,0,flat,0,3.80116e-13,1.66627e-11,1,3.51149e-10,0,0,1
