t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733602,0,-0.0283828,-0.00230553,-0.999594,0,0,0,0,flat,0,8.64043e-15,1.76113e-14,1,1.37601e-09,0,0,1
0.0399988,-2.17184e-06,-2.20892e-06,0,1.92542e-05,0.733605,0,-0.0283636,-0.00230724,-0.999595,-2.11336e-05,0,0,0,flat,0,8.69054e-15,1.76521e-14,1,1.38547e-09,0,0,1
0.0599988,-3.19444e-06,-4.0283e-06,0,3.66922e-05,0.733606,0,-0.0283461,-0.00230877,-0.999596,-4.04995e-05,0,0,0,flat,0,8.73825e-15,1.76922e-14,1,1.39451e-09,0,0,1
0.0799987,-3.56697e-06,-5.53224e-06,0,5.22453e-05,0.733608,0,-0.0283306,-0.00231011,-0.999596,-5.80549e-05,0,0,0,flat,0,8.78443e-15,1.77327e-14,1,1.4033e-09,0,0,1
0.0999987,-3.86313e-06,-7.23694e-06,0,7.07749e-05,0.73361,0,-0.0283121,-0.00231169,-0.999596,-7.96616e-05,0,0,0,flat,0,8.82962e-15,1.77743e-14,1,1.41155e-09,0,0,1
0.119999,-4.07174e-06,-8.54758e-06,0,8.54637e-05,0.733611,0,-0.0282974,-0.0023129,-0.999597,-9.74555e-05,0,0,0,flat,0,8.87206e-15,1.78113e-14,1,1.4191e-09,0,0,1
0.139999,-4.28036e-06,-9.93006e-06,0,0.00010122,0.733613,0,-0.0282816,-0.0023142,-0.999597,-0.000117341,0,0,0,flat,0,8.91362e-15,1.78474e-14,1,1.42654e-09,0,0,1
0.159999,-4.46849e-06,-1.12518e-05,0,0.000116402,0.733614,0,-0.0282664,-0.00231544,-0.999598,-0.000137353,0,0,0,flat,0,8.95301e-15,1.78812e-14,1,1.43349e-09,0,0,1
0.179999,-4.63985e-06,-1.25256e-05,0,0.000131046,0.733615,0,-0.0282518,-0.00231663,-0.999598,-0.000157474,0,0,0,flat,0,8.9911e-15,1.79137e-14,1,1.44017e-09,0,0,1
0.199999,-4.79259e-06,-1.37552e-05,0,0.000145162,0.733616,0,-0.0282377,-0.00231779,-0.999599,-0.000177698,0,0,0,flat,0,9.02767e-15,1.79451e-14,1,1.44659e-09,0,0,1
0.219999,-4.93042e-06,-1.49472e-05,0,0.000157453,0.733618,0,-0.0282254,-0.0023188,-0.999599,-0.000195984,0,0,0,flat,0,9.06283e-15,1.79752e-14,1,1.45273e-09,0,0,1
0.239999,-5.05336e-06,-1.60995e-05,0,0.000171971,0.733619,0.000345267,-0.0282109,-0.00231999,-0.999599,-0.000218429,0,0,0,flat,0,9.09705e-15,1.80041e-14,1,1.45865e-09,0,0,1
0.259999,-5.15766e-06,-1.72129e-05,0,0.000184659,0.73362,0.000345267,-0.0281982,-0.00232105,-0.9996,-0.000238929,0,0,0,flat,0,9.12876e-15,1.80292e-14,1,1.46412e-09,0,0,1
0.279999,-5.24707e-06,-1.82906e-05,0,0.000196885,0.733621,0,-0.0281859,-0.0023221,-0.9996,-0.000259528,0,0,0,flat,0,9.15998e-15,1.80536e-14,1,1.46946e-09,0,0,1
0.299999,-5.31971e-06,-1.93382e-05,0,0.000208674,0.733622,0,-0.0281742,-0.00232313,-0.9996,-0.000280211,0,0,0,flat,0,9.18966e-15,1.80752e-14,1,1.47444e-09,0,0,1
0.319999,-5.38118e-06,-2.03634e-05,0,0.000220086,0.733623,0,-0.0281627,-0.00232411,-0.999601,-0.000300964,0,0,0,flat,0,9.21774e-15,1.8093e-14,1,1.47901e-09,0,0,1
0.339998,-5.43334e-06,-2.14594e-05,0,0.000232199,0.733624,0,-0.0281506,-0.00232517,-0.999601,-0.00032388,0,0,0,flat,0,9.24437e-15,1.81094e-14,1,1.48329e-09,0,0,1
0.359998,-5.46314e-06,-2.23325e-05,0,0.00024176,0.733624,0.000345267,-0.0281411,-0.00232602,-0.999601,-0.000342704,0,0,0,flat,0,9.26894e-15,1.81236e-14,1,1.4873e-09,0,0,1
0.379998,-5.48176e-06,-2.3187e-05,0,0.000251025,0.733625,0,-0.0281318,-0.00232685,-0.999602,-0.000361586,0,0,0,flat,0,9.29341e-15,1.81376e-14,1,1.49129e-09,0,0,1
0.399998,-5.49108e-06,-2.42102e-05,0,0.000261977,0.733626,0,-0.0281209,-0.00232785,-0.999602,-0.000384744,0,0,0,flat,0,9.31676e-15,1.81495e-14,1,1.49496e-09,0,0,1
0.419998,-5.48735e-06,-2.51222e-05,0,0.0002716,0.733626,0.000345267,-0.0281112,-0.00232871,-0.999602,-0.000405859,0,0,0,flat,0,9.33826e-15,1.81585e-14,1,1.49828e-09,0,0,1
0.439998,-5.47245e-06,-2.61028e-05,0,0.000281833,0.733627,0.000345267,-0.028101,-0.00232962,-0.999602,-0.00042915,0,0,0,flat,0,9.35947e-15,1.81672e-14,1,1.5016e-09,0,0,1
0.459998,-5.44637e-06,-2.68837e-05,0,0.000289908,0.733628,0,-0.0280929,-0.00233036,-0.999603,-0.000448279,0,0,0,flat,0,9.37899e-15,1.81734e-14,1,1.50469e-09,0,0,1
0.479998,-5.40726e-06,-2.77331e-05,0,0.000298573,0.733628,0.000345267,-0.0280843,-0.00233119,-0.999603,-0.000469608,0,0,0,flat,0,9.39851e-15,1.81798e-14,1,1.50777e-09,0,0,1
0.499998,-5.35138e-06,-2.86534e-05,0,0.000306943,0.733629,0,-0.0280759,-0.002332,-0.999603,-0.000491004,0,0,0,flat,0,9.41652e-15,1.81836e-14,1,1.51048e-09,0,0,1
