t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733605,0,-0.0282014,-0.00242222,-0.999599,0,-0.3,0,0,flat,0,8.62331e-15,1.75496e-14,1,1.37284e-09,0,0,1
0.0399988,-6.4075e-06,-1.96796e-06,0,1.215e-05,0.733607,0,-0.0281893,-0.00242322,-0.9996,-1.82707e-05,-0.3,0,0,flat,0,6.81884e-15,1.50985e-14,1,1.82813e-09,0,0,1
0.0599988,-1.38208e-05,-3.93881e-06,0,2.40169e-05,0.73361,0,-0.0281774,-0.00242385,-0.9996,-3.64818e-05,-0.3,0,0,flat,0,5.67495e-15,1.45525e-14,1,2.62632e-09,0,0,1
0.0799987,-2.57008e-05,-6.33172e-06,0,3.53288e-05,0.733613,0,-0.0281661,-0.00242402,-0.9996,-5.72149e-05,-0.3,0,0,flat,0,5.01082e-15,1.53811e-14,1,3.89572e-09,0,0,1
0.0999987,-5.56204e-05,-1.14988e-05,0,3.9991e-05,0.73362,0,-0.0281614,-0.00242294,-0.9996,-8.11461e-05,-0.3,0,0,flat,0,4.65782e-15,1.73382e-14,1,5.74178e-09,0,0,1
0.119999,-9.81707e-05,-1.84715e-05,0,3.21101e-05,0.733627,0,-0.0281693,-0.00242139,-0.9996,-0.000101713,-0.3,0,0,flat,0,4.4989e-15,2.0321e-14,1,8.09689e-09,0,0,1
0.139999,-0.000160744,-2.84604e-05,0,1.03824e-05,0.733636,0,-0.028191,-0.00241984,-0.9996,-0.000123266,-0.3,0,0,flat,0,4.50153e-15,2.45207e-14,1,1.08877e-08,0,0,1
0.159999,-0.000268655,-4.53743e-05,0,-4.29992e-05,0.73365,0,-0.0282444,-0.00241984,-0.999598,-0.000151277,-0.3,0,0,flat,0,4.64884e-15,3.02753e-14,1,1.40059e-08,0,0,1
0.179999,-0.000416415,-6.81017e-05,0,-0.000144387,0.733667,0,-0.0283458,-0.0024219,-0.999595,-0.000180332,-0.3,0,0,flat,0,4.92651e-15,3.80313e-14,1,1.73489e-08,0,0,1
0.199999,-0.000777192,-0.000120501,0,-0.000501869,0.733697,0.000488281,-0.0287033,-0.00242693,-0.999585,-0.000232244,-0.3,0,0,flat,0,5.3076e-15,4.8198e-14,1,2.07965e-08,0,0,1
0.219999,-0.00134306,-0.000192027,0,-0.00108115,0.733733,0.00109183,-0.0292826,-0.00242824,-0.999568,-0.000275506,-0.3,0,0,flat,0,5.76519e-15,6.14571e-14,1,2.42011e-08,0,0,1
0.239999,-0.00171691,-0.000233743,0,-0.00143948,0.733754,0.00142357,-0.0296409,-0.00242745,-0.999558,-0.000294507,-0.3,0,0,flat,0,7.32308e-15,8.19176e-14,1,3.10198e-08,0,0,1
0.259999,-0.00244922,-0.000137701,0,0.000108868,0.73373,0.000913491,-0.0280925,-0.00146312,-0.999604,0.00141661,-0.3,0,0,flat,0,1.33801e-14,3.24066e-13,1,6.09168e-08,0,0,1
0.279999,-0.00435029,0.00132218,0,0.00298435,0.733555,0.00548095,-0.0252171,0.00216657,-0.99968,0.00326404,-0.3,0,0,flat,0,1.46968e-13,1.01395e-11,1,1.24228e-07,0,0,1
0.299999,-0.00527456,0.00248109,0,0.0027189,0.733623,0.00579803,-0.0254825,0.00269753,-0.999672,0.00350452,-0.3,0,0,flat,0,2.53751e-13,4.56633e-11,1,3.80034e-07,0,0,1
0.319999,-0.00645369,0.00379081,0,0.00212538,0.733701,0.00577743,-0.026076,0.00294251,-0.999656,0.00378354,-0.3,0,0,flat,0,4.72985e-13,1.26993e-10,0.999999,7.89052e-07,0,0,1
0.339998,-0.00825859,0.00517125,0,0.00249751,0.733671,0.00755655,-0.0257039,0.00470571,-0.999659,0.00472011,-0.3,0,0,flat,0,4.60634e-13,1.21187e-10,0.999999,7.44275e-07,0,0,1
0.359998,-0.0106745,0.00668826,0,0.00413584,0.733386,0.0119804,-0.0240656,0.00882313,-0.999671,0.00552455,-0.3,0,0,flat,0,4.63519e-13,1.15998e-10,0.999999,6.90428e-07,0,0,1
0.379998,-0.0120705,0.00759688,0,0.00576515,0.733073,0.017097,-0.0224363,0.0136734,-0.999655,0.00591028,-0.3,0,0,flat,0,4.49874e-13,9.82205e-11,1,5.29319e-07,0,0,1
0.399998,-0.0127804,0.00807389,0,0.00650944,0.73288,0.0195742,-0.021692,0.0160385,-0.999636,0.00613219,-0.3,0,0,flat,0,1.8555e-13,2.51887e-11,1,1.95426e-07,0,0,1
0.419998,-0.0151728,0.00911374,0,0.00674565,0.733284,0.0142317,-0.0214558,0.0101104,-0.999719,0.00568346,-0.3,0,0,flat,0,9.07929e-14,7.25277e-12,1,6.82688e-08,0,0,1
0.439998,-0.0165289,0.00997509,0,0.00495316,0.733982,0.010891,-0.0232483,0.00727993,-0.999703,0.0045152,-0.3,0,0,flat,0,5.78392e-14,4.49825e-12,1,3.87674e-08,0,0,1
0.459998,-0.0179296,0.0113186,0,0.00219651,0.734722,0.0107699,-0.0260049,0.00812175,-0.999629,0.00247595,-0.3,0,0,flat,0,3.56574e-14,2.43728e-12,1,5.29123e-08,0,0,1
