t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.173135,0,-0.406977,-0.569309,-0.714322,0,0,0,0.5,NEUTRAL,0,0.00074052,0.000352132,4.08404e-06,0.998903,0,0,1
0.0399988,-0.0242225,-0.000113934,0,0.00142449,0.125814,0.0600219,-0.405552,-0.615382,-0.675894,-0.1247,0,0,0.5,NEUTRAL,0,0.0153295,0.00351907,7.60745e-09,0.981151,0,0,1
0.0599988,-0.0469669,-0.0138336,0,-0.071039,0.0749644,0.103915,-0.478016,-0.597369,-0.643934,-0.204718,0,0,0.5,NEUTRAL,0,0.00224206,0.000918612,2.41082e-08,0.996839,0,0,1
0.0799987,-0.0712792,-0.0295608,0,-0.194119,0.026262,0.229316,-0.601096,-0.526959,-0.600831,-0.143018,0,0,0.5,NEUTRAL,0,0.00625981,0.00310218,5.03395e-08,0.990638,0,0,1
0.0999987,-0.0954911,-0.0390953,0,-0.306128,-0.028341,0.379881,-0.713105,-0.47765,-0.513159,-0.102494,0,0,0.5,NEUTRAL,0,0.00210479,0.0130796,1.19028e-07,0.984815,0,0,1
0.119999,-0.106599,-0.0192445,0,-0.285222,-0.0607827,0.351945,-0.692199,-0.494765,-0.525421,-0.185416,0,0,0.5,NEUTRAL,0,0.135505,0.284905,3.57299e-05,0.579554,0,0,1
0.139999,-0.106486,0.0147422,0,-0.205785,-0.0857396,0.253422,-0.612762,-0.54832,-0.569094,-0.285606,0,0,0.5,NEUTRAL,0,0.944701,0.00729369,1.79397e-05,0.047987,0,0,1
0.159999,-0.113589,0.0454463,0,-0.121068,-0.104294,0.242528,-0.528045,-0.665088,-0.52804,-0.37759,0,0,0.5,NEUTRAL,0,0.572758,0.400205,1.62328e-05,0.0270208,0,0,1
0.179999,-0.121666,0.0626511,0,-0.0965221,-0.115638,0.312008,-0.503499,-0.728046,-0.465228,-0.479342,0,0,0.5,NEUTRAL,0,0.120488,0.238293,4.65714e-08,0.641219,0,0,1
0.199999,-0.121666,0.0626511,0,-0.0965221,-0.115638,0.312008,-0.503499,-0.728046,-0.465228,-0.479342,0,0,0.5,NEUTRAL,0,0.120488,0.238293,4.65714e-08,0.641219,0,0,1
