t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.73353,0,-0.0258923,-0.00155756,-0.999664,0,0.25,0.2,0,flat,0,1.00514e-14,1.63199e-14,1,1.63761e-09,0,0,1
0.0399988,-3.50736e-06,-2.03028e-07,0,1.5039e-05,0.733532,0,-0.0258773,-0.00155784,-0.999664,-6.87549e-06,0.25,0.2,0,flat,0,1.29059e-14,1.89471e-14,1,1.27421e-09,0,0,1
0.0599988,-2.99513e-06,5.7416e-07,0,3.04878e-05,0.733532,0,-0.0258618,-0.00155603,-0.999664,-1.16667e-05,0.25,0.2,0,flat,0,1.61004e-14,2.00818e-14,1,8.99392e-10,0,0,1
0.0799987,5.27874e-06,6.44801e-06,0,4.28446e-05,0.73353,0,-0.0258495,-0.00155137,-0.999665,-1.17803e-05,0.25,0.2,0,flat,0,1.97437e-14,2.0386e-14,1,6.01555e-10,0,0,1
0.0999987,2.78037e-05,2.14267e-05,0,5.98095e-05,0.733527,0,-0.0258325,-0.00154202,-0.999665,-8.13231e-06,0.25,0.2,0,flat,0,2.42093e-14,2.078e-14,1,3.95099e-10,0,0,1
0.119999,7.36248e-05,5.26302e-05,0,8.62274e-05,0.733519,0,-0.0258061,-0.00152609,-0.999666,-1.71829e-06,0.25,0.2,0,flat,0,2.9636e-14,2.17776e-14,1,2.58747e-10,0,0,1
0.139999,0.000138219,9.82888e-05,0,0.000116533,0.733508,0,-0.0257758,-0.00150229,-0.999667,5.48363e-06,0.25,0.2,0,flat,0,3.59566e-14,2.37694e-14,1,1.70945e-10,0,0,1
0.159999,0.000230402,0.00016616,0,0.000150431,0.733492,0,-0.0257419,-0.00146743,-0.999668,1.86744e-05,0.25,0.2,0,flat,0,4.3385e-14,2.7617e-14,1,1.15813e-10,0,0,1
0.179999,1.8293e-05,0.000389352,0,0.00166928,0.733417,0.00201324,-0.024223,-0.000456688,-0.999706,0.0018535,0.25,0.2,0,flat,0,7.80201e-14,3.366e-14,1,7.8593e-11,0,0,1
0.199999,-0.000720711,0.00140485,0,0.00538372,0.733162,0.00721766,-0.0205086,0.00324845,-0.999784,0.00461837,0.25,0.2,0,flat,0,5.07511e-13,1.00123e-12,1,7.35687e-11,0,0,1
0.219999,-0.00112057,0.00322526,0,0.00726767,0.732987,0.0103753,-0.0186246,0.00584905,-0.999809,0.0050665,0.25,0.2,0,flat,0,3.94009e-13,1.86934e-12,1,1.62265e-10,0,0,1
0.239999,-0.00133292,0.00551691,0,0.00785604,0.732955,0.0112199,-0.0180363,0.00645064,-0.999817,0.00545559,0.25,0.2,0,flat,0,1.68041e-13,2.28484e-12,1,1.81636e-10,0,0,1
0.259999,-0.00152545,0.00772301,0,0.00836377,0.733023,0.0114877,-0.0175285,0.00631434,-0.999826,0.00586029,0.25,0.2,0,flat,0,1.95437e-13,1.0598e-11,1,1.64272e-10,0,0,1
0.279999,-0.00164571,0.00980804,0,0.00876398,0.733145,0.0114043,-0.0171283,0.00574243,-0.999837,0.00597089,0.25,0.2,0,flat,0,3.41589e-13,7.46927e-11,1,2.61344e-10,0,0,1
