t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733531,0,-0.0258677,-0.00159548,-0.999664,0,-0.3,0,0,flat,0,1.01315e-14,1.6403e-14,1,1.65215e-09,0,0,1
0.0399988,-4.15742e-06,-3.36673e-07,0,1.70972e-05,0.733533,0,-0.0258506,-0.00159603,-0.999665,-7.76257e-06,-0.3,0,0,flat,0,7.87819e-15,1.40502e-14,1,2.18497e-09,0,0,1
0.0599988,-1.54767e-05,-1.08499e-06,0,3.30936e-05,0.733537,0,-0.0258346,-0.00159563,-0.999665,-1.62926e-05,-0.3,0,0,flat,0,6.43183e-15,1.35167e-14,1,3.12203e-09,0,0,1
0.0799987,-3.46117e-05,-2.56114e-06,0,4.33736e-05,0.733542,0,-0.0258244,-0.00159492,-0.999665,-2.60896e-05,-0.3,0,0,flat,0,5.57913e-15,1.43115e-14,1,4.612e-09,0,0,1
0.0999987,-7.55023e-05,-5.98561e-06,0,4.30737e-05,0.733549,0,-0.0258247,-0.00159362,-0.999665,-3.84599e-05,-0.3,0,0,flat,0,5.10731e-15,1.62018e-14,1,6.78649e-09,0,0,1
0.119999,-0.000127332,-1.05123e-05,0,2.98508e-05,0.733558,0,-0.0258379,-0.00159239,-0.999665,-4.99566e-05,-0.3,0,0,flat,0,4.87181e-15,1.91076e-14,1,9.57123e-09,0,0,1
0.139999,-0.000217455,-1.8677e-05,0,-6.53602e-06,0.73357,0,-0.0258743,-0.00159125,-0.999664,-6.62762e-05,-0.3,0,0,flat,0,4.8296e-15,2.32484e-14,1,1.28929e-08,0,0,1
0.159999,-0.000316417,-2.80235e-05,0,-6.31344e-05,0.733582,0,-0.0259309,-0.00159103,-0.999662,-8.169e-05,-0.3,0,0,flat,0,4.95951e-15,2.90241e-14,1,1.6643e-08,0,0,1
0.179999,-0.000473468,-4.3303e-05,0,-0.000177164,0.733598,0,-0.0260449,-0.00159166,-0.999659,-0.000102276,-0.3,0,0,flat,0,5.23525e-15,3.68853e-14,1,2.06943e-08,0,0,1
0.199999,-0.000635358,-5.91916e-05,0,-0.000311134,0.733613,0,-0.0261789,-0.00159307,-0.999656,-0.000119118,-0.3,0,0,flat,0,5.61315e-15,4.73485e-14,1,2.4837e-08,0,0,1
0.219999,-0.000854656,-8.04591e-05,0,-0.00050316,0.733632,0.000488281,-0.0263709,-0.00159614,-0.999651,-0.000137255,-0.3,0,0,flat,0,6.07158e-15,6.09508e-14,1,2.8918e-08,0,0,1
0.239999,-0.00135062,-4.31137e-05,0,0.000192488,0.73363,0.000488281,-0.0256752,-0.00118251,-0.99967,0.000762848,-0.3,0,0,flat,0,7.87486e-15,8.40853e-14,1,3.74468e-08,0,0,1
0.259999,-0.00256881,0.000791703,0,0.00299548,0.733423,0.0048214,-0.0228723,0.00219499,-0.999736,0.00253673,-0.3,0,0,flat,0,8.14668e-14,2.59752e-12,1,6.89269e-08,0,0,1
0.279999,-0.00370835,0.00214396,0,0.00366865,0.733323,0.00730794,-0.0221991,0.00473114,-0.999742,0.00234131,-0.3,0,0,flat,0,1.0015e-13,8.82707e-12,1,1.79635e-07,0,0,1
0.299999,-0.00508016,0.00357023,0,0.00369351,0.733364,0.00856933,-0.0221742,0.00613719,-0.999735,0.00239877,-0.3,0,0,flat,0,1.07151e-13,2.00773e-11,1,2.99526e-07,0,0,1
0.319999,-0.00682077,0.0050233,0,0.00413594,0.733429,0.0102772,-0.0217318,0.00781984,-0.999733,0.00281448,-0.3,0,0,flat,0,1.70335e-13,4.5e-11,1,3.37442e-07,0,0,1
0.339998,-0.00878182,0.0065076,0,0.00483982,0.733405,0.0124728,-0.0210279,0.00990595,-0.99973,0.0028745,-0.3,0,0,flat,0,2.53512e-13,7.69864e-11,1,4.05036e-07,0,0,1
0.359998,-0.0109792,0.00812444,0,0.00632018,0.733108,0.0165658,-0.0195475,0.0137186,-0.999715,0.00301148,-0.3,0,0,flat,0,3.13484e-13,9.76755e-11,1,4.19125e-07,0,0,1
0.379998,-0.0132742,0.00994156,0,0.00786762,0.732546,0.0213261,-0.0180001,0.0182281,-0.999672,0.00393531,-0.3,0,0,flat,0,3.10794e-13,8.15565e-11,1,3.00407e-07,0,0,1
0.399998,-0.0154037,0.0112366,0,0.00731637,0.733209,0.0154487,-0.0185514,0.0120108,-0.999756,0.00429772,-0.3,0,0,flat,0,2.03519e-13,5.03781e-11,1,1.0355e-07,0,0,1
0.419998,-0.017282,0.0129179,0,0.00509063,0.734315,0.013061,-0.0207771,0.0104381,-0.99973,0.00266211,-0.3,0,0,flat,0,7.94233e-14,1.36188e-11,1,5.87576e-08,0,0,1
0.439998,-0.0192467,0.0149358,0,0.00317115,0.735333,0.0153597,-0.0226966,0.0134331,-0.999652,0.00182128,-0.3,0,0,flat,0,3.28889e-14,3.91272e-12,1,4.04475e-08,0,0,1
0.459998,-0.0212694,0.0173119,0,0.000622973,0.736288,0.0220354,-0.0252448,0.0204305,-0.999472,0.00106929,-0.3,0,0,flat,0,2.57668e-14,2.60435e-12,1,3.81252e-08,0,0,1
0.479998,-0.0233187,0.0196216,0,-0.00362355,0.73707,0.0297021,-0.0294913,0.0278827,-0.999176,0.00081091,-0.3,0,0,flat,0,5.93666e-14,7.01055e-12,1,4.89115e-08,0,0,1
0.499998,-0.025591,0.0215578,0,-0.00750471,0.73755,0.0337655,-0.0333724,0.0313174,-0.998952,0.000308449,-0.3,0,0,flat,0,1.37815e-13,2.07149e-11,1,6.27569e-08,0,0,1
0.519998,-0.028078,0.0230218,0,-0.0115451,0.737805,0.0365743,-0.0374129,0.0330955,-0.998752,-0.000915121,-0.3,0,0,flat,0,2.2515e-13,4.37321e-11,1,7.73433e-08,0,0,1
0.539998,-0.0307145,0.0239895,0,-0.0167648,0.737917,0.0391823,-0.0426325,0.0337977,-0.998519,-0.0039206,-0.3,0,0,flat,0,3.22969e-13,6.91198e-11,1,9.21243e-08,0,0,1
0.559998,-0.0335403,0.0244134,0,-0.0212692,0.737875,0.0405286,-0.047137,0.0328752,-0.998347,-0.00761694,-0.3,0,0,flat,0,4.63519e-13,9.48272e-11,1,9.58905e-08,0,0,1
0.579998,-0.0365433,0.0242556,0,-0.0251514,0.737669,0.040794,-0.0510191,0.0304885,-0.998232,-0.0114931,-0.3,0,0,flat,0,6.68038e-13,1.1667e-10,1,7.67245e-08,0,0,1
0.599998,-0.0397044,0.0235421,0,-0.027936,0.737352,0.0401696,-0.0538037,0.0272259,-0.99818,-0.0153598,-0.3,0,0,flat,0,9.66514e-13,1.35814e-10,1,5.48615e-08,0,0,1
0.619998,-0.043014,0.0222923,0,-0.0291225,0.736956,0.0384109,-0.0549903,0.023407,-0.998213,-0.0187498,-0.3,0,0,flat,0,1.46159e-12,1.61902e-10,1,4.02447e-08,0,0,1
0.639998,-0.0463731,0.0205445,0,-0.0288712,0.736521,0.0354552,-0.054739,0.0189354,-0.998321,-0.0229009,-0.3,0,0,flat,0,2.33628e-12,2.0752e-10,1,3.61954e-08,0,0,1
0.659998,-0.0499845,0.0179925,0,-0.0274248,0.736047,0.0316907,-0.0532925,0.0142424,-0.998477,-0.026821,-0.3,0,0,flat,0,3.66106e-12,2.85222e-10,1,3.90579e-08,0,0,1
