t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733538,0,-0.0259665,-0.0015498,-0.999662,0,-0.25,0.2,0,flat,0,9.99078e-15,1.64735e-14,1,1.6186e-09,0,0,1
0.0399988,-5.96419e-06,-2.41678e-07,0,1.61361e-05,0.733541,0,-0.0259504,-0.00154961,-0.999662,-8.0755e-06,-0.25,0.2,0,flat,0,7.71498e-15,1.39561e-14,1,2.19679e-09,0,0,1
0.0599988,-1.67247e-05,2.04891e-07,0,2.86195e-05,0.733544,0,-0.0259379,-0.00154607,-0.999662,-1.43042e-05,-0.25,0.2,0,flat,0,6.42004e-15,1.35778e-14,1,3.25184e-09,0,0,1
0.0799987,-3.75528e-05,3.36138e-06,0,3.26559e-05,0.733548,0,-0.0259339,-0.00153799,-0.999662,-1.80644e-05,-0.25,0.2,0,flat,0,5.8626e-15,1.49589e-14,1,5.03607e-09,0,0,1
0.0999987,-7.30809e-05,1.1947e-05,0,2.34414e-05,0.733553,0,-0.0259431,-0.00152429,-0.999662,-2.00071e-05,-0.25,0.2,0,flat,0,5.7729e-15,1.78908e-14,1,7.7945e-09,0,0,1
0.119999,-0.000120806,2.57324e-05,0,-2.76789e-06,0.733559,0,-0.0259693,-0.00150415,-0.999662,-2.04276e-05,-0.25,0.2,0,flat,0,6.00105e-15,2.24181e-14,1,1.16096e-08,0,0,1
0.139999,-0.000195283,4.90453e-05,0,-4.72441e-05,0.733567,0,-0.0260138,-0.00148,-0.99966,-1.87005e-05,-0.25,0.2,0,flat,0,6.52891e-15,2.89997e-14,1,1.65911e-08,0,0,1
0.159999,-0.0003097,8.59778e-05,0,-0.000142867,0.733577,0,-0.0261094,-0.00144267,-0.999658,-1.20704e-05,-0.25,0.2,0,flat,0,7.36101e-15,3.82832e-14,1,2.28118e-08,0,0,1
0.179999,-0.000806363,0.000257432,0,0.00122103,0.733542,0.00158221,-0.0247455,-0.000517546,-0.999694,0.00164245,-0.25,0.2,0,flat,0,1.39023e-14,5.71952e-14,1,3.35504e-08,0,0,1
0.199999,-0.00209692,0.00133446,0,0.00517836,0.733348,0.00714295,-0.0207882,0.00337242,-0.999778,0.00457509,-0.25,0.2,0,flat,0,9.26421e-14,1.05265e-12,1,5.66145e-08,0,0,1
0.219999,-0.00323558,0.00308709,0,0.00675786,0.733263,0.0100721,-0.0192087,0.00591323,-0.999798,0.00497093,-0.25,0.2,0,flat,0,1.03116e-13,3.41622e-12,1,1.46898e-07,0,0,1
0.239999,-0.00445946,0.00506529,0,0.00693341,0.733302,0.0107089,-0.0190331,0.00660964,-0.999797,0.00486519,-0.25,0.2,0,flat,0,1.22049e-13,8.62049e-12,1,2.28882e-07,0,0,1
0.259999,-0.00573377,0.00694991,0,0.00679351,0.733384,0.0107089,-0.019173,0.00672576,-0.999794,0.00482042,-0.25,0.2,0,flat,0,2.40369e-13,2.44339e-11,1,2.84388e-07,0,0,1
0.279999,-0.00753975,0.0094056,0,0.00682965,0.733515,0.0107921,-0.0191369,0.00680622,-0.999794,0.00481053,-0.25,0.2,0,flat,0,4.31279e-13,4.87849e-11,1,4.05952e-07,0,0,1
0.299999,-0.00942809,0.0118207,0,0.00727994,0.733675,0.0112305,-0.0186866,0.00700235,-0.999801,0.00482011,-0.25,0.2,0,flat,0,6.83371e-13,8.23053e-11,0.999999,6.46169e-07,0,0,1
0.319999,-0.0113391,0.014249,0,0.00814488,0.733836,0.0122315,-0.0178217,0.00757879,-0.999812,0.0046834,-0.25,0.2,0,flat,0,9.73898e-13,1.25907e-10,0.999999,1.0263e-06,0,0,1
0.339998,-0.0139446,0.0177113,0,0.0098934,0.733984,0.0145178,-0.0160731,0.00907357,-0.99983,0.00438105,-0.25,0.2,0,flat,0,1.25632e-12,1.53778e-10,0.999999,1.43073e-06,0,0,1
0.359998,-0.0165385,0.0213666,0,0.0119833,0.733926,0.0176798,-0.0139832,0.01145,-0.999837,0.00419749,-0.25,0.2,0,flat,0,1.41279e-12,1.44655e-10,0.999998,1.69802e-06,0,0,1
0.379998,-0.0193716,0.0255246,0,0.0146981,0.733429,0.0229757,-0.0112685,0.0161087,-0.999807,0.00522908,-0.25,0.2,0,flat,0,1.47927e-12,1.26451e-10,0.999998,1.64018e-06,0,0,1
0.399998,-0.0219603,0.0298062,0,0.0165917,0.732634,0.0278136,-0.00937484,0.0207715,-0.99974,0.00535142,-0.25,0.2,0,flat,0,1.82535e-12,1.17141e-10,0.999999,1.32965e-06,0,0,1
0.419998,-0.0250461,0.0341571,0,0.0166484,0.733524,0.0216946,-0.00931815,0.0123614,-0.99988,0.00626455,-0.25,0.2,0,flat,0,3.44609e-12,1.77305e-10,0.999998,1.62631e-06,0,0,1
0.439998,-0.0270169,0.0381353,0,0.0121584,0.734627,0.0165694,-0.0138082,0.00970711,-0.999858,0.00173989,-0.25,0.2,0,flat,0,6.25857e-13,1.59308e-11,1,4.6434e-07,0,0,1
0.459998,-0.0295455,0.0433576,0,0.00663871,0.735747,0.0195529,-0.0193278,0.016841,-0.999671,-0.00222851,-0.25,0.2,0,flat,0,2.96255e-13,6.65078e-12,1,3.80753e-07,0,0,1
0.479998,-0.0319227,0.04746,0,0.00283584,0.736407,0.0243242,-0.0231307,0.0226091,-0.999477,-0.00392238,-0.25,0.2,0,flat,0,5.08135e-13,1.25159e-11,1,3.80228e-07,0,0,1
0.499998,-0.0349816,0.052074,0,-0.00213859,0.736838,0.0271301,-0.0281051,0.0254915,-0.99928,-0.00598002,-0.25,0.2,0,flat,0,1.49659e-12,4.53753e-11,1,4.88545e-07,0,0,1
0.519998,-0.037907,0.0559124,0,-0.00707556,0.736927,0.0282517,-0.0330421,0.025797,-0.999121,-0.00904545,-0.25,0.2,0,flat,0,2.9948e-12,1.15116e-10,0.999999,5.99985e-07,0,0,1
0.539998,-0.0407167,0.059086,0,-0.0113763,0.73691,0.0294865,-0.0373428,0.0256448,-0.998973,-0.0125971,-0.25,0.2,0,flat,0,4.22915e-12,1.8881e-10,0.999999,6.84772e-07,0,0,1
