t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.7336,0,-0.0284489,-0.0023941,-0.999592,0,0,-0.3,0,flat,0,8.61653e-15,1.75852e-14,1,1.36879e-09,0,0,1
0.0399988,-2.19233e-06,-2.97356e-06,0,2.04947e-05,0.733603,0,-0.0284284,-0.00239654,-0.999593,-2.24784e-05,0,-0.3,0,flat,0,8.72988e-15,1.77854e-14,1,1.34351e-09,0,0,1
0.0599988,-3.50922e-06,-9.55532e-06,0,4.14122e-05,0.733605,0,-0.0284075,-0.00240305,-0.999594,-4.48413e-05,0,-0.3,0,flat,0,8.67915e-15,1.76602e-14,1,1.30913e-09,0,0,1
0.0799987,-4.65475e-06,-2.48442e-05,0,6.23465e-05,0.733607,0,-0.0283866,-0.00241322,-0.999594,-6.77537e-05,0,-0.3,0,flat,0,8.39628e-15,1.70502e-14,1,1.26162e-09,0,0,1
0.0999987,-5.61029e-06,-5.1466e-05,0,8.83806e-05,0.733611,0,-0.0283606,-0.00243006,-0.999595,-9.72543e-05,0,-0.3,0,flat,0,7.93035e-15,1.61008e-14,1,1.20439e-09,0,0,1
0.119999,-6.64033e-06,-9.67792e-05,0,0.000117371,0.733615,0,-0.0283316,-0.00245337,-0.999596,-0.000132157,0,-0.3,0,flat,0,7.35119e-15,1.49769e-14,1,1.14311e-09,0,0,1
0.139999,-7.78772e-06,-0.000147311,0,0.000154521,0.733618,0,-0.0282944,-0.00248756,-0.999597,-0.000177801,0,-0.3,0,flat,0,6.71274e-15,1.37977e-14,1,1.08247e-09,0,0,1
0.159999,-1.017e-05,-0.000219428,0,0.000199629,0.733624,0,-0.0282493,-0.0025273,-0.999598,-0.000223465,0,-0.3,0,flat,0,6.05583e-15,1.26371e-14,1,1.02555e-09,0,0,1
0.179999,-1.26008e-05,-0.000323083,0,0.000278622,0.733633,0.000345267,-0.0281703,-0.00259019,-0.9996,-0.000288362,0,-0.3,0,flat,0,5.40566e-15,1.15367e-14,1,9.72935e-10,0,0,1
0.199999,-1.32862e-05,-0.000443805,0,0.000368541,0.733643,0.000488281,-0.0280804,-0.00265752,-0.999602,-0.000353662,0,-0.3,0,flat,0,4.7892e-15,1.05444e-14,1,9.26225e-10,0,0,1
0.219999,-1.34557e-05,-0.000576247,0,0.000457374,0.733652,0.000488281,-0.0279916,-0.00272346,-0.999604,-0.000417141,0,-0.3,0,flat,0,4.20858e-15,9.64855e-15,1,8.85069e-10,0,0,1
0.239999,-0.000225097,-0.000700937,0,0.00146328,0.733644,0.00146484,-0.0269857,-0.00238322,-0.999633,0.000430433,0,-0.3,0,flat,0,4.13432e-15,8.77954e-15,1,8.98398e-10,0,0,1
0.259999,-0.00109616,-0.000155873,0,0.00496985,0.733437,0.00606925,-0.0234791,0.0010813,-0.999724,0.00297135,0,-0.3,0,flat,0,2.11113e-14,1.16278e-13,1,1.11569e-09,0,0,1
0.279999,-0.00168621,0.000815678,0,0.00622436,0.733327,0.00840073,-0.0222246,0.00324761,-0.999748,0.00347412,0,-0.3,0,flat,0,2.8167e-14,4.91458e-13,1,6.12423e-09,0,0,1
0.299999,-0.00227983,0.00180782,0,0.00641049,0.73335,0.00903653,-0.0220384,0.0039674,-0.999749,0.00370467,0,-0.3,0,flat,0,1.45983e-14,6.77407e-13,1,1.81214e-08,0,0,1
0.319999,-0.00320219,0.00287477,0,0.00680492,0.733428,0.00961186,-0.021644,0.00439775,-0.999756,0.0043223,0,-0.3,0,flat,0,1.78841e-14,1.41717e-12,1,3.19764e-08,0,0,1
0.339998,-0.00414263,0.0038216,0,0.00753316,0.733386,0.0112623,-0.0209158,0.00597801,-0.999763,0.00552646,0,-0.3,0,flat,0,2.73062e-14,2.70223e-12,1,6.01169e-08,0,0,1
0.359998,-0.00547711,0.00526747,0,0.00885936,0.732938,0.015129,-0.0195896,0.00986991,-0.999759,0.00670635,0,-0.3,0,flat,0,2.97853e-14,2.96115e-12,1,8.11564e-08,0,0,1
0.379998,-0.00662639,0.00616406,0,0.00996204,0.732848,0.0147943,-0.0184869,0.00854116,-0.999793,0.00896478,0,-0.3,0,flat,0,1.74796e-14,9.94559e-13,1,4.94139e-08,0,0,1
0.399998,-0.00761886,0.007028,0,0.0086767,0.733362,0.00948074,-0.0197722,0.00141118,-0.999804,0.0094749,0,-0.3,0,flat,0,5.29506e-15,5.18068e-13,1,1.19182e-08,0,0,1
0.419998,-0.0084232,0.00808869,0,0.00763246,0.733986,0.00841491,-0.0208165,0.00113544,-0.999783,0.00965635,0,-0.3,0,flat,0,9.34032e-16,7.17819e-14,1,3.9473e-09,0,0,1
