t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.301805,0.000488281,-0.323067,-0.417644,-0.849235,0,0,0,-0.5,NEUTRAL,0,0.000240673,0.000490897,1.93955e-07,0.999268,0,0,1
0.0399988,-0.0306962,-0.00563547,0,-0.0190267,0.264358,0.0491798,-0.342094,-0.454302,-0.822546,-0.101066,0,0,-0.5,NEUTRAL,0,0.000666658,0.000159458,4.77746e-08,0.999174,0,0,1
0.0599988,-0.0572339,-0.0178159,0,-0.0698228,0.223673,0.0874971,-0.39289,-0.445456,-0.804491,-0.161237,0,0,-0.5,NEUTRAL,0,0.0193182,0.00033825,2.23847e-09,0.980343,0,0,1
0.0799987,-0.0786986,-0.034452,0,-0.15371,0.177231,0.168068,-0.476777,-0.391521,-0.787017,-0.152467,0,0,-0.5,NEUTRAL,0,0.385621,0.00120242,3.40946e-08,0.613177,0,0,1
0.0999987,-0.087705,-0.0407814,0,-0.220714,0.131692,0.247188,-0.543781,-0.349587,-0.762949,-0.158022,0,0,-0.5,NEUTRAL,0,0.187147,0.00779134,0.000126266,0.804936,0,0,1
0.119999,-0.0836351,-0.0254975,0,-0.198051,0.0965625,0.219368,-0.521118,-0.384102,-0.762169,-0.337594,0,0,-0.5,NEUTRAL,0,0.00284068,0.000777006,1.35511e-05,0.996369,0,0,1
0.139999,-0.0944979,-0.0106711,0,-0.148739,0.06867,0.185482,-0.471807,-0.464611,-0.749356,-0.473328,0,0,-0.5,NEUTRAL,0,0.676953,0.000856378,1.90608e-05,0.322172,0,0,1
0.159999,-0.115502,0.00390333,0,-0.121005,0.0312823,0.309838,-0.444072,-0.618325,-0.64844,-0.490351,0,0,-0.5,NEUTRAL,0,0.196766,0.331201,1.69092e-05,0.472016,0,0,1
0.179999,-0.133687,0.0166986,0,-0.186397,0.0257276,0.445868,-0.509464,-0.671129,-0.538546,-0.5024,0,0,-0.5,NEUTRAL,0,0.00187663,0.0156239,6.84501e-08,0.982499,0,0,1
0.199999,-0.152465,0.0243914,0,-0.239514,0.0298206,0.549232,-0.562581,-0.694256,-0.448901,-0.514244,0,0,-0.5,NEUTRAL,0,0.00071945,0.0177355,5.8306e-08,0.981545,0,0,1
0.219999,-0.152465,0.0243914,0,-0.239514,0.0298206,0.549232,-0.562581,-0.694256,-0.448901,-0.514244,0,0,-0.5,NEUTRAL,0,0.00071945,0.0177355,5.8306e-08,0.981545,0,0,1
