t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.0879139,0,-0.52612,-0.350863,-0.774657,0,0,0.3,0,NEUTRAL,0,0.00334092,0.0128067,6.03132e-07,0.983852,0,0,1
0.0399988,-0.0176048,0.0229669,0,-0.00247753,0.0700524,0.0551547,-0.528598,-0.399586,-0.748943,-0.0774901,0,0.3,0,NEUTRAL,0,0.016779,0.0048839,1.58627e-06,0.978335,0,0,1
0.0599988,-0.035771,0.0469628,0,0.0114756,0.0490277,0.120385,-0.514644,-0.459369,-0.723962,-0.170951,0,0.3,0,NEUTRAL,0,0.00277092,0.00630606,5.48417e-06,0.990918,0,0,1
0.0799987,-0.0549799,0.0685287,0,0.0372375,0.0236999,0.181805,-0.488883,-0.514204,-0.70469,-0.274011,0,0.3,0,NEUTRAL,0,0.00234426,0.0099526,2.19998e-05,0.987681,0,0,1
0.0999987,-0.0763143,0.0846988,0,0.0523227,-0.00589648,0.233603,-0.473797,-0.557932,-0.681343,-0.365182,0,0.3,0,NEUTRAL,0,0.00855398,0.024746,1.13251e-05,0.966689,0,0,1
0.119999,-0.100041,0.0939367,0,0.0345785,-0.040259,0.254473,-0.491542,-0.572597,-0.65614,-0.429904,0,0.3,0,NEUTRAL,0,0.0120335,0.0687202,4.9556e-07,0.919246,0,0,1
0.139999,-0.123658,0.0961694,0,-0.0182281,-0.0795526,0.248811,-0.544348,-0.552534,-0.631183,-0.470441,0,0.3,0,NEUTRAL,0,0.0377446,0.0616753,2.51725e-07,0.90058,0,0,1
0.159999,-0.139837,0.0958331,0,-0.0754789,-0.117474,0.259635,-0.601599,-0.52686,-0.600414,-0.50193,0,0.3,0,NEUTRAL,0,0.245446,0.140404,1.0825e-05,0.61414,0,0,1
0.179999,-0.147029,0.102097,0,-0.1011,-0.160926,0.31914,-0.62722,-0.551521,-0.549926,-0.604618,0,0.3,0,NEUTRAL,0,0.037547,0.245925,0.000387285,0.716141,0,0,1
0.199999,-0.155348,0.116944,0,-0.0392787,-0.182797,0.378065,-0.565399,-0.632697,-0.529167,-0.689442,0,0.3,0,NEUTRAL,0,0.0992562,0.506428,0.000169204,0.394146,0,0,1
0.219999,-0.164668,0.127176,0,0.0264572,-0.186353,0.474738,-0.499663,-0.718962,-0.483146,-0.779919,0,0.3,0,NEUTRAL,0,0.203184,0.747296,5.44397e-08,0.04952,0,0,1
0.239999,-0.164668,0.127176,0,0.0264572,-0.186353,0.474738,-0.499663,-0.718962,-0.483146,-0.779919,0,0.3,0,NEUTRAL,0,0.203184,0.747296,5.44397e-08,0.04952,0,0,1
