t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.222991,0,-0.305279,-0.0620142,-0.950242,0,0,0,0,NEUTRAL,0,1.78184e-06,8.11435e-06,4.60944e-07,0.99999,0,0,1
0.0399988,-0.0284401,0.0153358,0,0.025718,0.208666,0.0590896,-0.279561,-0.115122,-0.953201,-0.0450839,0,0,0,NEUTRAL,0,2.02795e-06,2.83258e-05,5.20596e-07,0.999969,0,0,1
0.0599988,-0.0588022,0.0277629,0,0.0656476,0.190915,0.152525,-0.239632,-0.199525,-0.95014,-0.109151,0,0,0,NEUTRAL,0,5.69968e-07,4.40016e-05,1.03015e-07,0.999955,0,0,1
0.0799987,-0.0925604,0.0382393,0,0.126041,0.167924,0.251607,-0.179238,-0.278902,-0.943444,-0.177572,0,0,0,NEUTRAL,0,8.67336e-07,2.18471e-05,5.99853e-08,0.999977,0,0,1
0.0999987,-0.118632,0.0563042,0,0.145315,0.158557,0.233588,-0.159964,-0.244115,-0.956462,-0.163009,0,0,0,NEUTRAL,0,9.5977e-07,8.37109e-05,2.36871e-08,0.999915,0,0,1
0.119999,-0.145061,0.0700657,0,0.12121,0.155408,0.180907,-0.184069,-0.195339,-0.963307,-0.0988838,0,0,0,NEUTRAL,0,6.93585e-08,8.04249e-06,1.69273e-08,0.999992,0,0,1
0.139999,-0.1739,0.0794867,0,0.104173,0.151063,0.172669,-0.201106,-0.199163,-0.959109,-0.0972247,0,0,0,NEUTRAL,0,1.51321e-06,3.36265e-05,5.4983e-08,0.999965,0,0,1
0.159999,-0.204272,0.089114,0,0.101864,0.145625,0.172975,-0.203415,-0.201321,-0.958171,-0.124759,0,0,0,NEUTRAL,0,3.54206e-06,2.36996e-05,7.95805e-08,0.999973,0,0,1
0.179999,-0.23694,0.0994332,0,0.111866,0.138279,0.171433,-0.193413,-0.191077,-0.962331,-0.152636,0,0,0,NEUTRAL,0,8.94931e-07,2.55924e-07,7.52189e-07,0.999998,0,0,1
0.199999,-0.272259,0.108775,0,0.125491,0.128734,0.173655,-0.179789,-0.180554,-0.966993,-0.171618,0,0,0,NEUTRAL,0,2.45365e-07,1.75141e-07,7.92229e-06,0.999992,0,0,1
0.219999,-0.305809,0.115197,0,0.134078,0.117524,0.16883,-0.171201,-0.16198,-0.97183,-0.178883,0,0,0,NEUTRAL,0,5.40937e-07,1.34604e-06,2.54827e-05,0.999973,0,0,1
0.239999,-0.347973,0.120835,0,0.137777,0.100517,0.155661,-0.167502,-0.128797,-0.977422,-0.178089,0,0,0,NEUTRAL,0,3.68277e-06,6.19472e-06,1.86322e-05,0.999972,0,0,1
0.259999,-0.386442,0.125279,0,0.140014,0.0820302,0.147945,-0.165265,-0.0976922,-0.981399,-0.18038,0,0,0,NEUTRAL,0,3.50986e-05,2.99355e-05,7.41018e-06,0.999928,0,0,1
0.279999,-0.425301,0.130467,0,0.146788,0.0602563,0.151631,-0.158491,-0.0510731,-0.986039,-0.174071,0,0,0,NEUTRAL,0,7.41353e-05,6.72398e-05,5.90278e-06,0.999853,0,0,1
0.299999,-0.464614,0.13695,0,0.160406,0.0353807,0.175941,-0.144873,-0.00194526,-0.989448,-0.160661,0,0,0,NEUTRAL,0,0.000115146,0.000385091,1.10851e-05,0.999489,0,0,1
0.319999,-0.505129,0.143409,0,0.179541,0.00972469,0.217024,-0.125738,0.0521948,-0.99069,-0.130667,0,0,0,NEUTRAL,0,0.000106003,0.000975335,1.84941e-05,0.9989,0,0,1
0.339998,-0.544697,0.150996,0,0.203563,-0.0132437,0.270564,-0.101716,0.110752,-0.988629,-0.0974693,0,0,0,NEUTRAL,0,0.00370826,0.0102083,5.56574e-05,0.986028,0,0,1
0.359998,-0.583428,0.15552,0,0.208818,-0.026118,0.271644,-0.0964611,0.105845,-0.989693,-0.107884,0,0,0,NEUTRAL,0,0.000650669,0.0162005,0.000263351,0.982885,0,0,1
0.379998,-0.614602,0.157104,0,0.185126,-0.0267347,0.234774,-0.120153,0.0759202,-0.989848,-0.138447,0,0,0,NEUTRAL,0,1.5996e-06,0.00343125,0.000801761,0.995765,0,0,1
0.399998,-0.649163,0.162578,0,0.187792,-0.0255241,0.251302,-0.117487,0.0996177,-0.988065,-0.107199,0,0,0,NEUTRAL,0,2.69554e-06,0.00307472,0.000303139,0.996619,0,0,1
0.419998,-0.679278,0.170857,0,0.197985,-0.0243074,0.259102,-0.107294,0.0993525,-0.989251,-0.107176,0,0,0,NEUTRAL,0,5.39034e-07,0.0052493,5.15063e-06,0.994745,0,0,1
0.439998,-0.709531,0.181931,0,0.221929,-0.023185,0.269395,-0.0833503,0.0830749,-0.993052,-0.121464,0,0,0,NEUTRAL,0,1.41955e-06,0.0144074,1.73235e-07,0.985591,0,0,1
0.459998,-0.739457,0.193717,0,0.256156,-0.0222381,0.295146,-0.0491232,0.0750012,-0.995973,-0.123777,0,0,0,NEUTRAL,0,9.84505e-06,0.0123624,3.24881e-08,0.987628,0,0,1
0.479998,-0.76577,0.203387,0,0.286119,-0.0224595,0.319887,-0.0191598,0.0697896,-0.997378,-0.113555,0,0,0,NEUTRAL,0,9.01842e-06,0.00141439,8.95033e-09,0.998577,0,0,1
0.499998,-0.796542,0.214146,0,0.312145,-0.0259812,0.335576,0.00686584,0.0464118,-0.998899,-0.110364,0,0,0,NEUTRAL,0,9.47571e-07,8.78009e-05,2.8412e-08,0.999911,0,0,1
0.519998,-0.824856,0.224112,0,0.335621,-0.0329974,0.348763,0.0303423,0.0110724,-0.999478,-0.121272,0,0,0,NEUTRAL,0,2.87172e-08,1.10772e-05,1.31783e-06,0.999988,0,0,1
0.539998,-0.855617,0.235063,0,0.373371,-0.0435883,0.379793,0.068092,-0.0318666,-0.99717,-0.148852,0,0,0,NEUTRAL,0,1.22557e-08,6.04706e-06,0.000140093,0.999854,0,0,1
0.559998,-0.889357,0.245317,0,0.425546,-0.0567435,0.431555,0.120267,-0.090385,-0.988618,-0.207551,0,0,0,NEUTRAL,0,3.15524e-08,7.0087e-06,0.000360948,0.999632,0,0,1
0.579998,-0.925699,0.253013,0,0.479091,-0.0730385,0.492644,0.173812,-0.150167,-0.973262,-0.263805,0,0,0,NEUTRAL,0,6.99828e-08,2.88861e-05,1.21972e-05,0.999959,0,0,1
0.599998,-0.958655,0.25757,0,0.513861,-0.0913263,0.534595,0.208581,-0.184045,-0.960532,-0.281908,0,0,0,NEUTRAL,0,1.71931e-07,0.000138823,9.54281e-07,0.99986,0,0,1
0.619998,-0.993521,0.26019,0,0.529001,-0.11649,0.552513,0.223722,-0.195129,-0.954921,-0.281852,0,0,0,NEUTRAL,0,6.30201e-08,8.50956e-05,1.03749e-06,0.999914,0,0,1
0.639998,-1.03154,0.261999,0,0.52837,-0.148492,0.552618,0.223091,-0.198033,-0.95447,-0.280227,0,0,0,NEUTRAL,0,4.36435e-09,3.37097e-06,4.01013e-06,0.999993,0,0,1
0.659998,-1.06969,0.263649,0,0.528035,-0.178763,0.55763,0.222756,-0.217438,-0.950316,-0.265006,0,0,0,NEUTRAL,0,9.96293e-09,9.25489e-06,3.78427e-06,0.999987,0,0,1
0.679998,-1.11563,0.262493,0,0.531606,-0.201916,0.599143,0.226327,-0.316783,-0.9211,-0.221123,0,0,0,NEUTRAL,0,7.07189e-08,0.000891989,1.41152e-05,0.999094,0,0,1
