t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733601,0,-0.0283889,-0.00244704,-0.999594,0,-0.25,0.2,0,flat,0,8.60996e-15,1.75567e-14,1,1.36839e-09,0,0,1
0.0399988,-4.09968e-06,-1.95409e-06,0,1.81422e-05,0.733603,0,-0.0283708,-0.00244783,-0.999594,-2.23834e-05,-0.25,0.2,0,flat,0,6.76668e-15,1.49684e-14,1,1.86725e-09,0,0,1
0.0599988,-1.24108e-05,-2.18241e-06,0,3.10298e-05,0.733606,0,-0.0283579,-0.00244426,-0.999595,-4.04567e-05,-0.25,0.2,0,flat,0,5.72806e-15,1.45903e-14,1,2.77366e-09,0,0,1
0.0799987,-3.08864e-05,-7.63641e-07,0,3.55188e-05,0.733611,0,-0.0283534,-0.0024363,-0.999595,-5.44135e-05,-0.25,0.2,0,flat,0,5.30343e-15,1.60303e-14,1,4.30301e-09,0,0,1
0.0999987,-6.46506e-05,5.34604e-06,0,2.63341e-05,0.733616,0,-0.0283626,-0.00242263,-0.999595,-6.38887e-05,-0.25,0.2,0,flat,0,5.27661e-15,1.90523e-14,1,6.65826e-09,0,0,1
0.119999,-0.000117904,1.85523e-05,0,-1.50129e-06,0.733623,0,-0.0283904,-0.00240312,-0.999594,-6.94022e-05,-0.25,0.2,0,flat,0,5.52864e-15,2.3684e-14,1,9.90678e-09,0,0,1
0.139999,-0.000194279,4.02731e-05,0,-5.98356e-05,0.73363,0,-0.0284488,-0.00237765,-0.999592,-7.14585e-05,-0.25,0.2,0,flat,0,6.04519e-15,3.03264e-14,1,1.41294e-08,0,0,1
0.159999,-0.000298949,7.15018e-05,0,-0.000149224,0.733639,0,-0.0285382,-0.00234914,-0.99959,-6.98064e-05,-0.25,0.2,0,flat,0,6.8279e-15,3.95206e-14,1,1.93715e-08,0,0,1
0.179999,-0.000697292,0.000174466,0,0.000783209,0.733629,0.000913491,-0.0276057,-0.00186264,-0.999617,0.00111833,-0.25,0.2,0,flat,0,1.25598e-14,5.71551e-14,1,2.81233e-08,0,0,1
0.199999,-0.00204885,0.00110171,0,0.0051292,0.733478,0.00654189,-0.0232597,0.00161529,-0.999728,0.00449841,-0.25,0.2,0,flat,0,9.16942e-14,1.00873e-12,1,5.54399e-08,0,0,1
0.219999,-0.00327685,0.00277548,0,0.00737058,0.73343,0.00985679,-0.0210184,0.00410082,-0.999771,0.00523106,-0.25,0.2,0,flat,0,1.29273e-13,3.83826e-12,1,1.58255e-07,0,0,1
0.239999,-0.00446877,0.00469829,0,0.00766809,0.733504,0.0103177,-0.0207209,0.00445847,-0.999775,0.00494163,-0.25,0.2,0,flat,0,1.59596e-13,1.07496e-11,1,2.90806e-07,0,0,1
0.259999,-0.00590332,0.00674101,0,0.00769483,0.733611,0.010254,-0.0206941,0.00433294,-0.999776,0.00487079,-0.25,0.2,0,flat,0,2.95652e-13,2.93482e-11,1,3.71272e-07,0,0,1
0.279999,-0.00757339,0.00891508,0,0.0079161,0.733741,0.0103177,-0.0204728,0.0041608,-0.999782,0.00486595,-0.25,0.2,0,flat,0,4.94107e-13,5.37449e-11,1,4.98736e-07,0,0,1
0.299999,-0.00948679,0.0112413,0,0.00850995,0.733902,0.010781,-0.019879,0.00417194,-0.999794,0.00488341,-0.25,0.2,0,flat,0,7.6942e-13,8.86434e-11,0.999999,7.71121e-07,0,0,1
