t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733601,0.000345267,-0.0282893,-0.00255781,-0.999596,0,0,0,0.5,flat,0,8.60953e-15,1.75409e-14,1,1.36351e-09,0,0,1
0.0399988,-5.28805e-06,-1.85621e-06,0,1.3208e-05,0.733603,0,-0.0282761,-0.0025588,-0.999597,-1.74306e-05,0,0,0.5,flat,0,8.49162e-15,1.65452e-14,1,1.35882e-09,0,0,1
0.0599988,-8.68924e-06,-3.26041e-06,0,2.72002e-05,0.733604,0.000345267,-0.0282621,-0.0025605,-0.999597,-2.6945e-05,0,0,0.5,flat,0,8.60375e-15,1.54824e-14,1,1.39016e-09,0,0,1
0.0799987,-9.64664e-06,-4.67105e-06,0,3.70368e-05,0.733605,0,-0.0282522,-0.0025632,-0.999598,-1.39512e-05,0,0,0.5,flat,0,8.96272e-15,1.46272e-14,1,1.44672e-09,0,0,1
0.0999987,-9.67085e-06,-6.9043e-06,0,4.22057e-05,0.733606,0,-0.0282471,-0.00256724,-0.999598,3.1257e-05,0,0,0.5,flat,0,9.54841e-15,1.40057e-14,1,1.53128e-09,0,0,1
0.119999,-9.50508e-06,-1.4212e-05,0,4.3191e-05,0.733606,0,-0.0282461,-0.00257713,-0.999598,0.00017654,0,0,0.5,flat,0,1.03486e-14,1.35787e-14,1,1.64397e-09,0,0,1
0.139999,-0.000220807,-1.59724e-05,0,0.000979627,0.733572,0.00114512,-0.0273096,-0.00197894,-0.999625,0.00230013,0,0,0.5,flat,0,2.31121e-14,1.51083e-14,1,1.70412e-09,0,0,1
0.159999,-0.00133783,0.000493308,0,0.0057039,0.733368,0.00703364,-0.0225854,0.00154746,-0.999744,0.00844823,0,0,0.5,flat,0,1.23736e-13,1.10179e-13,1,2.71512e-09,0,0,1
0.179999,-0.00233221,0.00183613,0,0.00930557,0.733135,0.0121435,-0.0189837,0.00523411,-0.999806,0.0125313,0,0,0.5,flat,0,2.2325e-13,3.37497e-13,1,9.36874e-09,0,0,1
0.199999,-0.00310617,0.00389294,0,0.0107047,0.733054,0.0140164,-0.0175846,0.00648357,-0.999824,0.0151573,0,0,0.5,flat,0,1.9079e-13,7.57048e-13,1,3.50016e-08,0,0,1
0.219999,-0.00390737,0.00599733,0,0.0113898,0.733134,0.0141981,-0.0168994,0.00590711,-0.99984,0.0172924,0,0,0.5,flat,0,3.22536e-13,2.88982e-12,1,8.08254e-08,0,0,1
0.239999,-0.004742,0.00802294,0,0.0123082,0.733241,0.0145096,-0.0159811,0.00511355,-0.999859,0.0198224,0,0,0.5,flat,0,7.49934e-13,1.03135e-11,1,1.38926e-07,0,0,1
0.259999,-0.00567509,0.0103941,0,0.0128658,0.733371,0.0145588,-0.0154235,0.00424922,-0.999872,0.0224374,0,0,0.5,flat,0,1.32096e-12,1.92329e-11,1,2.44685e-07,0,0,1
0.279999,-0.00662182,0.0128678,0,0.0130968,0.733498,0.0144189,-0.0151925,0.0034676,-0.999879,0.0254996,0,0,0.5,flat,0,2.15058e-12,3.34783e-11,1,4.64726e-07,0,0,1
0.299999,-0.00765998,0.0155081,0,0.0133162,0.733613,0.014526,-0.014973,0.00323485,-0.999883,0.0301191,0,0,0.5,flat,0,3.42067e-12,6.53528e-11,0.999999,1.03734e-06,0,0,1
0.319999,-0.0088352,0.0184541,0,0.0137674,0.733706,0.0149546,-0.0145218,0.00327405,-0.999889,0.0356148,0,0,0.5,flat,0,6.27818e-12,1.54349e-10,0.999997,2.59208e-06,0,0,1
0.339998,-0.0103404,0.0222487,0,0.0150169,0.733712,0.016443,-0.0132724,0.00413174,-0.999903,0.0411136,0,0,0.5,flat,0,8.59394e-12,2.2048e-10,0.999994,6.42996e-06,0,0,1
0.359998,-0.0118274,0.0258529,0,0.0170293,0.733423,0.0195712,-0.01126,0.00707631,-0.999912,0.0465439,0,0,0.5,flat,0,9.42724e-12,2.18675e-10,0.999988,1.21986e-05,0,0,1
0.379998,-0.0136102,0.0304409,0,0.0194965,0.73245,0.0251697,-0.00879278,0.013357,-0.999872,0.0527246,0,0,0.5,flat,0,9.65773e-12,1.52918e-10,0.999986,1.36899e-05,0,0,1
0.399998,-0.0153798,0.0351966,0,0.0207403,0.73128,0.0268762,-0.00754898,0.0145274,-0.999866,0.0584698,0,0,0.5,flat,0,1.78476e-11,1.06983e-10,0.999992,8.15015e-06,0,0,1
0.419998,-0.0165683,0.0389475,0,0.0175504,0.731867,0.0183936,-0.0107388,0.00292458,-0.999938,0.0627865,0,0,0.5,flat,0,1.29106e-11,5.93423e-11,0.999998,2.33523e-06,0,0,1
