t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.733606,0,-0.027947,-0.00251349,-0.999606,0,0.4,0,0,flat,0,8.6012e-15,1.75408e-14,1,1.37102e-09,0,0,1
0.0399988,-1.01924e-05,-1.77592e-06,0,8.67061e-06,0.733608,0,-0.0279383,-0.00251464,-0.999606,-2.08803e-05,0.4,0,0,flat,0,1.10097e-14,2.05244e-14,1,1.03589e-09,0,0,1
0.0599988,-1.39847e-05,-2.60415e-06,0,1.85948e-05,0.733609,0,-0.0279284,-0.00251658,-0.999607,-4.20175e-05,0.4,0,0,flat,0,1.34226e-14,2.15875e-14,1,7.01553e-10,0,0,1
0.0799987,-9.47341e-06,-2.84839e-06,0,3.23355e-05,0.733609,0,-0.0279146,-0.00251954,-0.999607,-6.27786e-05,0.4,0,0,flat,0,1.57833e-14,2.12918e-14,1,4.43271e-10,0,0,1
0.0999987,1.23158e-05,-2.8862e-06,0,5.59092e-05,0.733606,0,-0.0278911,-0.00252395,-0.999608,-8.42735e-05,0.4,0,0,flat,0,1.81135e-14,2.05368e-14,1,2.67397e-10,0,0,1
0.119999,4.80171e-05,-2.80095e-06,0,8.73785e-05,0.733602,0,-0.0278596,-0.00252852,-0.999609,-0.000100827,0.4,0,0,flat,0,2.03555e-14,1.9831e-14,1,1.55395e-10,0,0,1
0.139999,0.00011153,-2.59536e-06,0,0.000147546,0.733595,0,-0.0277994,-0.00253484,-0.99961,-0.000117855,0.4,0,0,flat,0,2.23916e-14,1.95061e-14,1,8.76096e-11,0,0,1
0.159999,0.000205971,-2.23384e-06,0,0.000233667,0.733587,0,-0.0277133,-0.00254196,-0.999613,-0.000132263,0.4,0,0,flat,0,2.41542e-14,2.00445e-14,1,4.90359e-11,0,0,1
0.179999,0.000322884,-1.42551e-06,0,0.000374215,0.733578,0,-0.0275728,-0.00255159,-0.999617,-0.000147598,0.4,0,0,flat,0,2.56544e-14,2.20242e-14,1,2.78252e-11,0,0,1
0.199999,0.000513036,8.01345e-07,0,0.000595184,0.733564,0.00059802,-0.0273518,-0.00256408,-0.999623,-0.000164188,0.4,0,0,flat,0,2.6929e-14,2.6195e-14,1,1.62288e-11,0,0,1
