t,drift_x,drift_y,lean,dpitch,base_z,tilt_rad,gx,gy,gz,yaw_delta,cmd_vx,cmd_vy,cmd_yaw,meta_selected,meta_safety_hold,prob_slope_up,prob_slope_down,prob_flat,prob_NEUTRAL,weight_slope_up,weight_slope_down,weight_flat
0.0199988,0,0,0,0,0.7336,0,-0.0284966,-0.00246111,-0.999591,0,0.4,0,0,flat,0,8.61302e-15,1.75745e-14,1,1.36706e-09,0,0,1
0.0399988,-1.39512e-06,-1.86815e-06,0,1.80397e-05,0.733602,0,-0.0284786,-0.00246289,-0.999591,-2.13459e-05,0.4,0,0,flat,0,1.10168e-14,2.05547e-14,1,1.03226e-09,0,0,1
0.0599988,-7.87899e-07,-2.80623e-06,0,3.49153e-05,0.733603,0,-0.0284617,-0.002465,-0.999592,-4.28781e-05,0.4,0,0,flat,0,1.34206e-14,2.1609e-14,1,6.98585e-10,0,0,1
0.0799987,6.98119e-06,-3.1072e-06,0,5.39962e-05,0.733602,0,-0.0284426,-0.00246807,-0.999592,-6.3898e-05,0.4,0,0,flat,0,1.57672e-14,2.12977e-14,1,4.40971e-10,0,0,1
0.0999987,3.23392e-05,-3.17825e-06,0,8.32118e-05,0.7336,0,-0.0284134,-0.00247275,-0.999593,-8.51769e-05,0.4,0,0,flat,0,1.80666e-14,2.05033e-14,1,2.65698e-10,0,0,1
0.119999,7.765e-05,-3.07956e-06,0,0.000126731,0.733595,0,-0.0283699,-0.0024785,-0.999594,-0.000102781,0.4,0,0,flat,0,2.02738e-14,1.97637e-14,1,1.54235e-10,0,0,1
0.139999,0.000141656,-2.88298e-06,0,0.000191839,0.733589,0,-0.0283048,-0.00248487,-0.999596,-0.000117676,0.4,0,0,flat,0,2.22811e-14,1.9409e-14,1,8.68612e-11,0,0,1
0.159999,0.000244321,-2.5075e-06,0,0.000302901,0.73358,0,-0.0281937,-0.00249356,-0.999599,-0.000133405,0.4,0,0,flat,0,2.40259e-14,1.99472e-14,1,4.86143e-11,0,0,1
0.179999,0.000402454,-1.46609e-06,0,0.000464639,0.733569,0.000488281,-0.028032,-0.0025039,-0.999604,-0.000148587,0.4,0,0,flat,0,2.55066e-14,2.19105e-14,1,2.7584e-11,0,0,1
0.199999,0.000570863,2.61396e-07,0,0.000686489,0.733558,0.00059802,-0.0278101,-0.00251567,-0.99961,-0.000163652,0.4,0,0,flat,0,2.67789e-14,2.61018e-14,1,1.60979e-11,0,0,1
0.219999,0.000803629,3.33138e-06,0,0.000974173,0.733545,0.000913491,-0.0275225,-0.00252901,-0.999618,-0.000179015,0.4,0,0,flat,0,2.79332e-14,3.33854e-14,1,9.71625e-12,0,0,1
0.239999,0.000868291,5.40452e-05,0,0.00228013,0.733516,0.00229024,-0.0262165,-0.00223509,-0.999654,0.000897923,0.4,0,0,flat,0,2.23894e-14,3.42084e-14,1,4.67467e-12,0,0,1
0.259999,0.000298448,0.000966072,0,0.00645814,0.733339,0.00722592,-0.0220385,0.000784611,-0.999757,0.0038338,0.4,0,0,flat,0,3.5176e-13,1.37377e-12,1,6.1803e-12,0,0,1
0.279999,0.000168798,0.00228519,0,0.00804005,0.733286,0.00938596,-0.0204566,0.00236554,-0.999788,0.00414015,0.4,0,0,flat,0,2.83986e-13,1.62966e-12,1,1.4322e-11,0,0,1
0.299999,0.000157606,0.0035001,0,0.00865359,0.733337,0.0100662,-0.019843,0.00267803,-0.9998,0.00448783,0.4,0,0,flat,0,9.04293e-14,2.6241e-12,1,1.49358e-11,0,0,1
0.319999,2.43913e-05,0.00482945,0,0.00944761,0.733445,0.0108031,-0.019049,0.00277696,-0.999815,0.00601275,0.4,0,0,flat,0,1.09054e-13,2.43541e-11,1,2.10602e-11,0,0,1
0.339998,-0.000213133,0.0062817,0,0.0106214,0.733499,0.012285,-0.0178752,0.0037082,-0.999833,0.00803627,0.4,0,0,flat,0,3.02067e-13,4.38459e-10,1,5.42173e-11,0,0,1
0.359998,-0.000594381,0.00822015,0,0.0126213,0.733316,0.015629,-0.0158754,0.00675702,-0.999851,0.00963331,0.4,0,0,flat,0,9.04423e-13,6.92376e-09,1,1.61394e-10,0,0,1
0.379998,-0.000978585,0.0101151,0,0.0148411,0.732877,0.0199363,-0.0136555,0.0108503,-0.999848,0.0117922,0.4,0,0,flat,0,1.85378e-12,5.26008e-08,1,3.18445e-10,0,0,1
0.399998,-0.00116091,0.0118763,0,0.0158434,0.732954,0.0182505,-0.0126532,0.0065913,-0.999898,0.014766,0.4,0,0,flat,0,3.06133e-12,3.84508e-07,1,2.92421e-10,0,0,1
0.419998,-0.000814674,0.0136769,0,0.0143259,0.733428,0.0147419,-0.0141707,0.00102452,-0.999899,0.0148323,0.4,0,0,flat,0,4.14231e-12,6.20965e-07,0.999999,2.55134e-10,0,0,1
0.439998,-0.000407554,0.0158404,0,0.0130792,0.733958,0.0135713,-0.0154174,0.00115727,-0.99988,0.0155628,0.4,0,0,flat,0,4.95348e-12,2.09347e-07,1,2.14778e-10,0,0,1
0.459998,6.98417e-05,0.0183411,0,0.0118731,0.734519,0.0148346,-0.0166235,0.0064284,-0.999841,0.015928,0.4,0,0,flat,0,4.0719e-11,2.61347e-07,1,4.19437e-10,0,0,1
0.479998,0.000719819,0.0207721,0,0.0097709,0.73502,0.0180831,-0.0187257,0.0127547,-0.999743,0.0169405,0.4,0,0,flat,0,1.24507e-10,2.65729e-07,1,7.20653e-10,0,0,1
0.499998,0.00175305,0.0230445,0,0.00679361,0.735384,0.0201859,-0.021703,0.0165509,-0.999627,0.0183166,0.4,0,0,flat,0,1.28811e-10,2.79773e-07,1,9.61174e-10,0,0,1
0.519998,0.0027937,0.0245148,0,0.00385104,0.735597,0.0218234,-0.0246456,0.0190204,-0.999515,0.0188719,0.4,0,0,flat,0,1.52451e-10,5.08919e-07,1,1.49724e-09,0,0,1
0.539998,0.00407738,0.0257066,0,0.00107268,0.73583,0.0240481,-0.0274239,0.0215634,-0.999391,0.0183533,0.4,0,0,flat,0,3.06918e-10,1.33795e-06,0.999999,2.69062e-09,0,0,1
0.559998,0.00556846,0.026317,0,-0.00116621,0.736039,0.0261751,-0.0296628,0.023686,-0.999279,0.0179249,0.4,0,0,flat,0,5.88196e-10,3.15668e-06,0.999997,4.32847e-09,0,0,1
0.579998,0.00733328,0.026309,0,-0.00225227,0.736158,0.0267963,-0.0307489,0.0242358,-0.999233,0.0179297,0.4,0,0,flat,0,8.8348e-10,5.72846e-06,0.999994,4.71025e-09,0,0,1
0.599998,0.00962972,0.0256515,0,-0.00247393,0.736162,0.0262342,-0.0309706,0.0236519,-0.99924,0.0182214,0.4,0,0,flat,0,9.21671e-10,5.63243e-06,0.999994,3.4299e-09,0,0,1
0.619998,0.0117932,0.0246427,0,-0.00161362,0.736036,0.0248335,-0.0301102,0.0223187,-0.999297,0.018216,0.4,0,0,flat,0,6.37984e-10,2.82425e-06,0.999997,1.98721e-09,0,0,1
0.639998,0.0145673,0.0230333,0,0.000445135,0.735778,0.0225911,-0.0280515,0.0201248,-0.999404,0.0170146,0.4,0,0,flat,0,3.79914e-10,1.12363e-06,0.999999,1.33367e-09,0,0,1
0.659998,0.01785,0.0208053,0,0.00334324,0.735349,0.0197168,-0.0251534,0.0169694,-0.99954,0.0148632,0.4,0,0,flat,0,2.16603e-10,5.59234e-07,0.999999,1.2413e-09,0,0,1
0.679998,0.0217948,0.0178602,0,0.00619177,0.734621,0.0161319,-0.0223049,0.0124324,-0.999674,0.013411,0.4,0,0,flat,0,1.30624e-10,4.83486e-07,1,1.59215e-09,0,0,1
0.699998,0.0266333,0.0139151,0,0.00971727,0.733288,0.0120597,-0.0187794,0.00467799,-0.999813,0.0120354,0.4,0,0,flat,0,1.51092e-10,1.22178e-06,0.999999,4.20288e-09,0,0,1
0.719998,0.0315526,0.0107501,0,0.0112882,0.732469,0.0136545,-0.0172085,0.00522408,-0.999838,0.0147605,0.4,0,0,flat,0,1.03935e-09,8.29924e-06,0.999992,4.41056e-08,0,0,1
0.739998,0.0366375,0.00782883,0,0.0122677,0.731883,0.0177806,-0.0162289,0.0104042,-0.999814,0.0189031,0.4,0,0,flat,0,3.25885e-09,3.74418e-05,0.999962,1.10895e-07,0,0,1
0.759998,0.0409537,0.00510879,0,0.0136418,0.731606,0.0187753,-0.0148548,0.0104378,-0.999835,0.0193184,0.4,0,0,flat,0,4.44426e-09,4.23601e-05,0.999958,7.07171e-08,0,0,1
0.779998,0.0465947,0.00224233,0,0.012819,0.731694,0.0148064,-0.0156776,0.00494944,-0.999865,0.0165746,0.4,0,0,flat,0,1.64163e-09,3.14566e-06,0.999997,1.4028e-08,0,0,1
0.799998,0.0515443,0.00036263,0,0.0100629,0.732007,0.0100899,-0.0184337,-0.003148,-0.999825,0.0137888,0.4,0,0,flat,0,1.18343e-09,7.06445e-07,0.999999,6.52427e-09,0,0,1
0.819998,0.0572807,-0.00146284,0,0.00954959,0.732384,0.0119505,-0.018947,-0.00965246,-0.999774,0.0140334,0.4,0,0,flat,0,1.47452e-09,5.21499e-07,1,5.21371e-09,0,0,1
0.839998,0.0622675,-0.00270571,0,0.0119669,0.732678,0.016301,-0.0165297,-0.0135342,-0.999772,0.0143542,0.4,0,0,flat,0,1.87259e-09,3.08925e-07,1,3.99499e-09,0,0,1
0.859998,0.0673745,-0.00357235,0,0.0148415,0.732967,0.0205169,-0.0136552,-0.0166268,-0.999768,0.0141805,0.4,0,0,flat,0,2.265e-09,2.62461e-07,1,4.23574e-09,0,0,1
0.879998,0.0721344,-0.00404308,0,0.0178387,0.733211,0.0249866,-0.0106579,-0.0199549,-0.999744,0.0138224,0.4,0,0,flat,0,2.37366e-09,2.4226e-07,1,6.11197e-09,0,0,1
0.899998,0.0775563,-0.00415681,0,0.0203658,0.733438,0.0289932,-0.00813084,-0.0230955,-0.9997,0.0132955,0.4,0,0,flat,0,2.59937e-09,2.82508e-07,1,1.06356e-08,0,0,1
0.919998,0.0830432,-0.00378829,0,0.0227078,0.733592,0.0324749,-0.00578879,-0.0256759,-0.999654,0.0124948,0.4,0,0,flat,0,3.50009e-09,4.39769e-07,1,2.05295e-08,0,0,1
0.939998,0.0885431,-0.00289677,0,0.0252831,0.733643,0.0352343,-0.00321348,-0.0269992,-0.99963,0.0117097,0.4,0,0,flat,0,5.78756e-09,7.86972e-07,0.999999,4.72734e-08,0,0,1
0.959998,0.0944965,-0.00126502,0,0.0290541,0.733562,0.0371324,0.000557468,-0.0255819,-0.999673,0.0111558,0.4,0,0,flat,0,1.30091e-08,2.13607e-06,0.999998,1.38313e-07,0,0,1
0.979998,0.0992264,0.000477786,0,0.0329304,0.73339,0.0381445,0.00443376,-0.0217056,-0.999755,0.0107318,0.4,0,0,flat,0,3.27344e-08,8.20383e-06,0.999991,4.10513e-07,0,0,1
0.999998,0.104441,0.00281067,0,0.036719,0.733022,0.0384357,0.00822241,-0.0138104,-0.999871,0.01043,0.4,0,0,flat,0,6.83119e-08,3.08719e-05,0.999968,9.79772e-07,0,0,1
1.02,0.109832,0.00533955,0,0.038121,0.73244,0.0382023,0.00962438,-0.00488253,-0.999942,0.0105464,0.4,0,0,flat,0,8.1755e-08,2.62183e-05,0.999972,1.18516e-06,0,0,1
1.04,0.115783,0.00727898,0,0.0350872,0.732513,0.0351309,0.00659061,-0.00411926,-0.99997,0.0114275,0.4,0,0,flat,0,3.41779e-08,5.97071e-06,0.999994,4.33374e-07,0,0,1
1.06,0.121701,0.00923989,0,0.0326965,0.733112,0.0327163,0.00419986,-0.00142402,-0.99999,0.0167521,0.4,0,0,flat,0,1.6446e-08,2.74398e-07,1,1.97518e-07,0,0,1
1.08,0.126685,0.0112823,0,0.0322582,0.733727,0.0330913,0.00376153,0.00489898,-0.999981,0.0202802,0.4,0,0,flat,0,3.44307e-08,1.28109e-07,1,1.70727e-07,0,0,1
1.1,0.133844,0.0142322,0,0.0303909,0.734541,0.0355962,0.00189426,0.0160665,-0.999869,0.0241245,0.4,0,0,flat,0,1.07251e-07,1.035e-07,1,2.7189e-07,0,0,1
1.12,0.139483,0.0162441,0,0.0284587,0.735003,0.0382242,-3.7882e-05,0.0230531,-0.999734,0.026949,0.4,0,0,flat,0,1.51427e-07,1.33031e-07,0.999999,4.36228e-07,0,0,1
1.14,0.146451,0.018402,0,0.0262606,0.735406,0.0406344,-0.00223601,0.0285438,-0.99959,0.0282252,0.4,0,0,flat,0,1.84949e-07,5.79531e-07,0.999999,6.67139e-07,0,0,1
1.16,0.152873,0.0201464,0,0.0243792,0.735649,0.0433712,-0.00411747,0.033406,-0.999433,0.0293529,0.4,0,0,flat,0,1.93483e-07,1.49253e-06,0.999998,7.69822e-07,0,0,1
1.18,0.159385,0.0216213,0,0.0228734,0.735764,0.0470127,-0.00562323,0.0386051,-0.999239,0.0309621,0.4,0,0,flat,0,1.53674e-07,1.91693e-06,0.999997,5.99813e-07,0,0,1
1.2,0.165971,0.0226774,0,0.0223346,0.735676,0.0511039,-0.00616201,0.0434943,-0.999035,0.0334563,0.4,0,0,flat,0,9.69872e-08,1.38724e-06,0.999998,3.61419e-07,0,0,1
1.22,0.17199,0.0231844,0,0.0228113,0.735383,0.0544309,-0.00568533,0.0469474,-0.998881,0.0363753,0.4,0,0,flat,0,5.51806e-08,7.0092e-07,0.999999,1.98372e-07,0,0,1
1.24,0.178688,0.0231808,0,0.0248169,0.734813,0.0567082,-0.00367977,0.0485147,-0.998816,0.0393392,0.4,0,0,flat,0,3.31148e-08,3.3982e-07,1,1.14105e-07,0,0,1
